date,국제구리가격
2022-12-08,13.73801
2022-12-09,13.76464
2022-12-10,5.51118
2022-12-11,3.06176
2022-12-12,11.66134
2022-12-13,14.0575
2022-12-14,15.46858
2022-12-15,14.45686
2022-12-16,12.6198
2022-12-17,4.92545
2022-12-18,2.55591
2022-12-19,11.02236
2022-12-20,12.22044
2022-12-21,13.63152
2022-12-22,13.4984
2022-12-23,11.92758
2022-12-24,5.5378
2022-12-25,1.94355
2022-12-26,8.22683
2022-12-27,11.3951
2022-12-28,14.03088
2022-12-29,12.80617
2022-12-30,8.01384
2022-12-31,3.70074
2023-01-01,2.44941
2023-01-02,9.0788
2023-01-03,12.32694
2023-01-04,12.11395
2023-01-05,12.46006
2023-01-06,13.15228
2023-01-07,6.49627
2023-01-08,3.38125
2023-01-09,15.81469
2023-01-10,18.95633
2023-01-11,20.63365
2023-01-12,22.20447
2023-01-13,19.83493
2023-01-14,9.34504
2023-01-15,3.328
2023-01-16,13.73801
2023-01-17,17.25239
2023-01-18,23.05644
2023-01-19,19.78168
2023-01-20,16.9329
2023-01-21,7.58785
2023-01-22,4.02023
2023-01-23,10.03727
2023-01-24,12.38019
2023-01-25,17.27902
2023-01-26,15.94781
2023-01-27,16.66666
2023-01-28,6.84238
2023-01-29,3.64749
2023-01-30,13.36528
2023-01-31,14.7231
2023-02-01,15.7082
2023-02-02,16.85303
2023-02-03,16.61341
2023-02-04,7.13525
2023-02-05,2.71565
2023-02-06,13.87113
2023-02-07,15.52183
2023-02-08,14.98935
2023-02-09,15.09584
2023-02-10,13.87113
2023-02-11,5.5378
2023-02-12,2.18317
2023-02-13,11.87433
2023-02-14,14.37699
2023-02-15,14.35037
2023-02-16,14.35037
2023-02-17,15.30883
2023-02-18,6.3099
2023-02-19,2.74227
2023-02-20,12.0607
2023-02-21,16.74653
2023-02-22,18.71671
2023-02-23,15.54845
2023-02-24,15.04259
2023-02-25,6.3099
2023-02-26,2.26304
2023-02-27,12.53993
2023-02-28,14.98935
2023-03-01,12.19382
2023-03-02,16.05431
2023-03-03,13.52502
2023-03-04,5.51118
2023-03-05,2.50266
2023-03-06,10.67625
2023-03-07,11.79446
2023-03-08,12.43343
2023-03-09,12.93929
2023-03-10,13.01916
2023-03-11,6.04366
2023-03-12,2.68903
2023-03-13,12.16719
2023-03-14,13.81789
2023-03-15,16.08093
2023-03-16,16.13418
2023-03-17,13.84451
2023-03-18,5.59105
2023-03-19,2.7689
2023-03-20,12.67305
2023-03-21,15.84132
2023-03-22,15.01597
2023-03-23,18.66347
2023-03-24,16.32055
2023-03-25,5.75079
2023-03-26,2.90202
2023-03-27,12.14057
2023-03-28,14.53674
2023-03-29,13.47177
2023-03-30,16.08093
2023-03-31,13.87113
2023-04-01,6.33652
2023-04-02,2.47603
2023-04-03,12.30031
2023-04-04,16.32055
2023-04-05,14.77635
2023-04-06,14.45686
2023-04-07,10.14376
2023-04-08,4.12673
2023-04-09,2.42279
2023-04-10,10.09052
2023-04-11,11.07561
2023-04-12,10.78274
2023-04-13,12.7263
2023-04-14,13.17891
2023-04-15,5.51118
2023-04-16,1.81043
2023-04-17,11.44834
2023-04-18,12.24707
2023-04-19,12.30031
2023-04-20,13.65814
2023-04-21,11.31522
2023-04-22,4.7657
2023-04-23,2.42279
2023-04-24,9.45154
2023-04-25,10.06389
2023-04-26,11.9542
2023-04-27,10.01064
2023-04-28,9.26517
2023-04-29,3.96698
2023-04-30,1.65069
2023-05-01,5.85729
2023-05-02,9.90415
2023-05-03,10.19701
2023-05-04,9.7444
2023-05-05,6.36315
2023-05-06,3.88711
2023-05-07,2.05005
2023-05-08,9.39829
2023-05-09,11.04898
2023-05-10,9.39829
2023-05-11,8.89243
2023-05-12,10.623
2023-05-13,4.49946
2023-05-14,1.97018
2023-05-15,7.26837
2023-05-16,9.9574
2023-05-17,11.12886
2023-05-18,11.07561
2023-05-19,9.69116
2023-05-20,3.80724
2023-05-21,1.78381
2023-05-22,7.82747
2023-05-23,9.21192
2023-05-24,8.75931
2023-05-25,10.03727
2023-05-26,9.87752
2023-05-27,4.28647
