date,떼인돈받아드립니다
2022-05-20,43.6137
2022-05-21,30.84112
2022-05-22,22.4299
2022-05-23,44.23676
2022-05-24,43.30218
2022-05-25,55.76323
2022-05-26,55.14018
2022-05-27,45.17133
2022-05-28,27.72585
2022-05-29,23.36448
2022-05-30,52.64797
2022-05-31,47.97507
2022-06-01,34.57943
2022-06-02,47.04049
2022-06-03,42.3676
2022-06-04,32.71028
2022-06-05,29.90654
2022-06-06,24.61059
2022-06-07,51.40186
2022-06-08,50.46728
2022-06-09,44.23676
2022-06-10,42.67912
2022-06-11,36.44859
2022-06-12,29.28348
2022-06-13,61.99376
2022-06-14,53.58255
2022-06-15,50.77881
2022-06-16,47.04049
2022-06-17,47.97507
2022-06-18,27.41433
2022-06-19,19.62616
2022-06-20,63.5514
2022-06-21,55.14018
2022-06-22,66.66666
2022-06-23,37.6947
2022-06-24,42.3676
2022-06-25,22.74143
2022-06-26,26.47975
2022-06-27,43.6137
2022-06-28,42.3676
2022-06-29,45.79439
2022-06-30,45.79439
2022-07-01,52.64797
2022-07-02,29.59501
2022-07-03,17.44548
2022-07-04,51.40186
2022-07-05,49.53271
2022-07-06,52.02492
2022-07-07,29.59501
2022-07-08,42.05607
2022-07-09,28.3489
2022-07-10,22.4299
2022-07-11,53.89408
2022-07-12,52.9595
2022-07-13,58.8785
2022-07-14,42.05607
2022-07-15,54.2056
2022-07-16,29.90654
2022-07-17,30.52959
2022-07-18,53.58255
2022-07-19,57.00934
2022-07-20,51.40186
2022-07-21,43.30218
2022-07-22,40.18691
2022-07-23,21.1838
2022-07-24,28.66043
2022-07-25,41.74454
2022-07-26,46.10591
2022-07-27,41.12149
2022-07-28,34.57943
2022-07-29,43.6137
2022-07-30,32.39875
2022-07-31,23.05295
2022-08-01,47.35202
2022-08-02,43.92523
2022-08-03,40.49844
2022-08-04,33.95638
2022-08-05,36.76012
2022-08-06,20.56074
2022-08-07,23.05295
2022-08-08,39.56386
2022-08-09,38.9408
2022-08-10,38.62928
2022-08-11,50.15576
2022-08-12,41.74454
2022-08-13,20.56074
2022-08-14,16.19937
2022-08-15,26.47975
2022-08-16,49.84423
2022-08-17,48.2866
2022-08-18,47.97507
2022-08-19,42.99065
2022-08-20,21.49532
2022-08-21,23.98753
2022-08-22,48.90965
2022-08-23,46.10591
2022-08-24,36.76012
2022-08-25,38.00623
2022-08-26,39.56386
2022-08-27,22.4299
2022-08-28,25.85669
2022-08-29,39.56386
2022-08-30,55.14018
2022-08-31,46.41744
2022-09-01,44.54828
2022-09-02,43.92523
2022-09-03,27.72585
2022-09-04,21.49532
2022-09-05,47.35202
