date,퇴직연금IRP
2021-12-08,10.42372
2021-12-09,10.9322
2021-12-10,10.76271
2021-12-11,3.98305
2021-12-12,4.66101
2021-12-13,12.37288
2021-12-14,11.35593
2021-12-15,10.33898
2021-12-16,11.01694
2021-12-17,8.13559
2021-12-18,2.88135
2021-12-19,3.81355
2021-12-20,10.42372
2021-12-21,14.8305
2021-12-22,11.18644
2021-12-23,11.61016
2021-12-24,12.11864
2021-12-25,3.22033
2021-12-26,5.50847
2021-12-27,16.35593
2021-12-28,18.13559
2021-12-29,18.22033
2021-12-30,17.9661
2021-12-31,13.38983
2022-01-01,4.32203
2022-01-02,4.40677
2022-01-03,12.20338
2022-01-04,13.8983
2022-01-05,13.13559
2022-01-06,10.84745
2022-01-07,9.8305
2022-01-08,4.49152
2022-01-09,3.30508
2022-01-10,10.76271
2022-01-11,11.69491
2022-01-12,9.23728
2022-01-13,7.79661
2022-01-14,9.15254
2022-01-15,4.06779
2022-01-16,3.98305
2022-01-17,10.16949
2022-01-18,13.98305
2022-01-19,12.71186
2022-01-20,11.18644
2022-01-21,10.50847
2022-01-22,3.98305
2022-01-23,3.64406
2022-01-24,10.0
2022-01-25,13.22033
2022-01-26,12.45762
2022-01-27,10.59322
2022-01-28,9.57627
2022-01-29,3.55932
2022-01-30,2.79661
2022-01-31,2.9661
2022-02-01,4.49152
2022-02-02,5.08474
2022-02-03,10.42372
2022-02-04,10.59322
2022-02-05,3.8983
2022-02-06,4.91525
2022-02-07,12.03389
2022-02-08,9.57627
2022-02-09,10.08474
2022-02-10,11.94915
2022-02-11,10.08474
2022-02-12,3.72881
2022-02-13,3.47457
2022-02-14,9.40677
2022-02-15,10.59322
2022-02-16,10.50847
2022-02-17,11.8644
2022-02-18,10.0
2022-02-19,3.72881
2022-02-20,3.22033
2022-02-21,12.28813
2022-02-22,12.11864
2022-02-23,11.35593
2022-02-24,9.66101
2022-02-25,11.01694
2022-02-26,3.55932
2022-02-27,3.55932
2022-02-28,10.16949
2022-03-01,5.33898
2022-03-02,9.23728
2022-03-03,10.33898
2022-03-04,9.06779
2022-03-05,2.9661
2022-03-06,2.11864
2022-03-07,9.32203
2022-03-08,9.91525
2022-03-09,2.45762
2022-03-10,9.23728
2022-03-11,7.79661
2022-03-12,2.37288
2022-03-13,2.28813
2022-03-14,8.47457
2022-03-15,9.49152
2022-03-16,7.62711
2022-03-17,6.52542
2022-03-18,5.76271
2022-03-19,2.45762
2022-03-20,3.13559
2022-03-21,7.45762
2022-03-22,6.8644
2022-03-23,7.71186
2022-03-24,7.71186
2022-03-25,8.22033
2022-03-26,2.11864
2022-03-27,2.03389
2022-03-28,7.11864
2022-03-29,6.77966
2022-03-30,9.32203
2022-03-31,8.22033
2022-04-01,5.76271
2022-04-02,2.20338
2022-04-03,1.61016
2022-04-04,6.94915
2022-04-05,8.05084
2022-04-06,8.47457
2022-04-07,8.22033
2022-04-08,6.01694
2022-04-09,1.44067
2022-04-10,1.61016
2022-04-11,8.81355
2022-04-12,9.40677
2022-04-13,7.37288
2022-04-14,10.67796
2022-04-15,8.38983
2022-04-16,0.76271
2022-04-17,2.79661
2022-04-18,10.16949
2022-04-19,9.40677
2022-04-20,8.64406
2022-04-21,8.47457
2022-04-22,8.30508
2022-04-23,2.11864
2022-04-24,2.71186
2022-04-25,8.72881
2022-04-26,11.44067
2022-04-27,10.67796
2022-04-28,9.49152
2022-04-29,8.55932
2022-04-30,3.30508
2022-05-01,2.11864
2022-05-02,8.64406
2022-05-03,9.15254
2022-05-04,10.08474
2022-05-05,1.8644
2022-05-06,5.9322
2022-05-07,1.69491
2022-05-08,1.69491
2022-05-09,7.9661
2022-05-10,9.15254
2022-05-11,7.45762
2022-05-12,6.94915
2022-05-13,7.03389
2022-05-14,0.9322
2022-05-15,1.52542
2022-05-16,7.37288
2022-05-17,6.61016
2022-05-18,6.8644
2022-05-19,7.45762
2022-05-20,5.08474
2022-05-21,1.77966
2022-05-22,0.76271
2022-05-23,8.38983
2022-05-24,7.45762
2022-05-25,7.03389
2022-05-26,7.11864
2022-05-27,8.30508
2022-05-28,2.20338
2022-05-29,1.8644
2022-05-30,7.28813
2022-05-31,8.13559
2022-06-01,2.28813
2022-06-02,7.9661
2022-06-03,5.76271
2022-06-04,0.84745
2022-06-05,1.69491
2022-06-06,1.44067
2022-06-07,6.69491
2022-06-08,7.45762
2022-06-09,6.44067
2022-06-10,6.77966
2022-06-11,1.69491
2022-06-12,2.54237
2022-06-13,6.61016
2022-06-14,8.98305
2022-06-15,7.88135
2022-06-16,9.23728
2022-06-17,6.10169
2022-06-18,2.45762
2022-06-19,2.28813
2022-06-20,9.66101
2022-06-21,7.79661
2022-06-22,5.67796
2022-06-23,8.38983
2022-06-24,6.61016
2022-06-25,2.03389
2022-06-26,0.9322
2022-06-27,6.10169
2022-06-28,6.94915
2022-06-29,9.06779
2022-06-30,7.45762
2022-07-01,8.13559
2022-07-02,2.03389
2022-07-03,1.27118
2022-07-04,8.81355
2022-07-05,9.06779
2022-07-06,9.91525
2022-07-07,9.23728
2022-07-08,10.42372
2022-07-09,2.03389
2022-07-10,2.54237
2022-07-11,8.55932
2022-07-12,9.74576
2022-07-13,7.71186
2022-07-14,7.79661
2022-07-15,7.71186
2022-07-16,2.45762
2022-07-17,1.8644
2022-07-18,8.98305
2022-07-19,8.72881
2022-07-20,7.62711
2022-07-21,7.45762
2022-07-22,8.05084
2022-07-23,1.27118
2022-07-24,1.61016
2022-07-25,7.37288
2022-07-26,9.66101
2022-07-27,8.05084
2022-07-28,6.77966
2022-07-29,5.67796
2022-07-30,1.77966
2022-07-31,3.55932
2022-08-01,6.94915
2022-08-02,8.30508
2022-08-03,7.28813
2022-08-04,8.64406
2022-08-05,7.71186
2022-08-06,1.77966
2022-08-07,2.45762
2022-08-08,5.84745
2022-08-09,9.49152
2022-08-10,7.71186
2022-08-11,6.01694
2022-08-12,7.9661
2022-08-13,2.54237
2022-08-14,2.03389
2022-08-15,2.37288
2022-08-16,5.84745
2022-08-17,8.81355
2022-08-18,6.27118
2022-08-19,5.9322
2022-08-20,1.61016
2022-08-21,1.35593
2022-08-22,6.69491
2022-08-23,7.37288
2022-08-24,6.61016
2022-08-25,6.61016
2022-08-26,6.01694
2022-08-27,2.11864
2022-08-28,2.03389
2022-08-29,6.69491
2022-08-30,7.11864
2022-08-31,5.16949
2022-09-01,7.45762
2022-09-02,6.27118
2022-09-03,1.35593
2022-09-04,1.77966
2022-09-05,6.10169
2022-09-06,7.88135
2022-09-07,7.11864
2022-09-08,5.42372
2022-09-09,1.69491
2022-09-10,1.44067
2022-09-11,1.27118
2022-09-12,2.45762
2022-09-13,6.27118
2022-09-14,7.11864
2022-09-15,6.61016
2022-09-16,5.84745
2022-09-17,2.03389
2022-09-18,1.94915
2022-09-19,5.76271
2022-09-20,5.84745
2022-09-21,6.10169
2022-09-22,4.91525
2022-09-23,6.8644
2022-09-24,1.10169
2022-09-25,1.8644
2022-09-26,4.66101
2022-09-27,6.69491
2022-09-28,6.69491
2022-09-29,7.88135
2022-09-30,8.98305
2022-10-01,5.67796
2022-10-02,5.9322
2022-10-03,7.37288
2022-10-04,17.11864
2022-10-05,20.16949
2022-10-06,18.30508
2022-10-07,14.49152
2022-10-08,4.23728
2022-10-09,3.30508
2022-10-10,6.10169
2022-10-11,17.71186
2022-10-12,17.88135
2022-10-13,20.08474
2022-10-14,19.66101
2022-10-15,6.61016
2022-10-16,7.62711
2022-10-17,23.38983
2022-10-18,21.01694
2022-10-19,21.35593
2022-10-20,22.9661
2022-10-21,23.64406
2022-10-22,8.38983
2022-10-23,9.40677
2022-10-24,25.0
2022-10-25,34.23728
2022-10-26,28.8983
2022-10-27,28.13559
2022-10-28,28.22033
2022-10-29,9.49152
2022-10-30,8.64406
2022-10-31,34.8305
2022-11-01,36.52542
2022-11-02,33.38983
2022-11-03,32.37288
2022-11-04,31.8644
2022-11-05,16.61016
2022-11-06,15.67796
2022-11-07,32.20338
2022-11-08,35.08474
2022-11-09,35.33898
2022-11-10,34.06779
2022-11-11,33.98305
2022-11-12,15.16949
2022-11-13,15.33898
2022-11-14,35.33898
2022-11-15,39.74576
2022-11-16,37.20338
2022-11-17,33.64406
2022-11-18,28.8983
2022-11-19,13.47457
2022-11-20,18.64406
2022-11-21,35.16949
2022-11-22,41.35593
2022-11-23,41.61016
2022-11-24,34.49152
2022-11-25,34.91525
2022-11-26,16.77966
2022-11-27,16.18644
2022-11-28,38.8983
2022-11-29,45.25423
2022-11-30,49.06779
2022-12-01,48.64406
2022-12-02,46.69491
2022-12-03,15.84745
2022-12-04,22.20338
2022-12-05,48.47457
2022-12-06,52.88135
2022-12-07,52.54237
2022-12-08,62.03389
2022-12-09,53.22033
2022-12-10,19.74576
2022-12-11,22.79661
2022-12-12,56.61016
2022-12-13,62.45762
2022-12-14,53.47457
2022-12-15,45.59322
2022-12-16,43.98305
2022-12-17,20.33898
2022-12-18,24.06779
2022-12-19,65.0
2022-12-20,72.03389
2022-12-21,53.72881
2022-12-22,60.67796
2022-12-23,55.16949
2022-12-24,21.18644
2022-12-25,26.10169
2022-12-26,60.42372
2022-12-27,69.32203
2022-12-28,66.69491
2022-12-29,67.88135
2022-12-30,74.06779
2022-12-31,22.88135
2023-01-01,18.47457
2023-01-02,56.52542
2023-01-03,52.9661
2023-01-04,52.71186
2023-01-05,56.01694
2023-01-06,42.9661
2023-01-07,17.9661
2023-01-08,16.94915
2023-01-09,47.79661
2023-01-10,49.91525
2023-01-11,51.10169
2023-01-12,53.05084
2023-01-13,42.45762
2023-01-14,18.55932
2023-01-15,27.9661
2023-01-16,59.23728
2023-01-17,58.13559
2023-01-18,62.45762
2023-01-19,56.18644
2023-01-20,55.9322
2023-01-21,25.67796
2023-01-22,29.06779
2023-01-23,28.30508
2023-01-24,36.52542
2023-01-25,76.35593
2023-01-26,79.06779
2023-01-27,69.23728
2023-01-28,44.66101
2023-01-29,33.98305
