date,미국국채ETF
2022-05-30,2.38611
2022-05-31,4.12147
2022-06-01,10.08676
2022-06-02,7.37527
2022-06-03,5.96529
2022-06-04,4.98915
2022-06-05,3.57917
2022-06-06,4.44685
2022-06-07,4.55531
2022-06-08,5.63991
2022-06-09,4.44685
2022-06-10,3.90455
2022-06-11,11.49674
2022-06-12,9.00216
2022-06-13,15.50976
2022-06-14,13.44902
2022-06-15,14.64208
2022-06-16,10.30368
2022-06-17,7.80911
2022-06-18,4.55531
2022-06-19,3.90455
2022-06-20,6.07375
2022-06-21,4.98915
2022-06-22,8.13449
2022-06-23,8.67678
2022-06-24,5.31453
2022-06-25,3.25379
2022-06-26,4.01301
2022-06-27,6.18221
2022-06-28,4.98915
2022-06-29,4.44685
2022-06-30,3.14533
2022-07-01,3.36225
2022-07-02,4.22993
2022-07-03,2.49457
2022-07-04,2.49457
2022-07-05,4.66377
2022-07-06,4.55531
2022-07-07,4.77223
2022-07-08,5.31453
2022-07-09,4.33839
2022-07-10,1.40997
2022-07-11,4.98915
2022-07-12,7.80911
2022-07-13,9.11062
2022-07-14,8.56832
2022-07-15,5.53145
2022-07-16,3.03687
2022-07-17,3.79609
2022-07-18,3.79609
2022-07-19,3.14533
2022-07-20,4.01301
2022-07-21,4.66377
2022-07-22,2.81995
2022-07-23,2.27765
2022-07-24,1.40997
2022-07-25,3.03687
2022-07-26,2.60303
2022-07-27,2.92841
2022-07-28,3.79609
2022-07-29,4.33839
2022-07-30,4.44685
2022-07-31,2.27765
2022-08-01,3.25379
2022-08-02,5.74837
2022-08-03,4.44685
2022-08-04,3.68763
2022-08-05,4.01301
2022-08-06,2.71149
2022-08-07,2.49457
2022-08-08,3.47071
2022-08-09,3.25379
2022-08-10,3.03687
2022-08-11,4.22993
2022-08-12,3.14533
2022-08-13,2.60303
2022-08-14,1.95227
2022-08-15,3.25379
2022-08-16,5.42299
2022-08-17,4.01301
2022-08-18,3.47071
2022-08-19,3.68763
2022-08-20,2.49457
2022-08-21,2.49457
2022-08-22,3.14533
2022-08-23,5.53145
2022-08-24,4.77223
2022-08-25,4.88069
2022-08-26,3.36225
2022-08-27,3.36225
