date,조각투자
2022-11-02,3.23294
2022-11-03,2.61293
2022-11-04,3.63153
2022-11-05,1.15146
2022-11-06,1.55004
2022-11-07,2.30292
2022-11-08,4.11868
2022-11-09,2.08148
2022-11-10,2.52435
2022-11-11,2.17006
2022-11-12,1.50575
2022-11-13,1.6829
2022-11-14,2.96722
2022-11-15,4.16297
2022-11-16,2.79007
2022-11-17,3.58724
2022-11-18,2.87865
2022-11-19,4.65013
2022-11-20,1.72719
2022-11-21,3.85296
2022-11-22,2.79007
2022-11-23,3.0558
2022-11-24,2.52435
2022-11-25,2.79007
2022-11-26,1.6829
2022-11-27,0.93002
2022-11-28,2.3472
2022-11-29,10.05314
2022-11-30,13.2418
2022-12-01,6.33303
2022-12-02,4.47298
2022-12-03,0.93002
2022-12-04,1.59433
2022-12-05,3.98582
2022-12-06,3.27723
2022-12-07,3.23294
2022-12-08,2.96722
2022-12-09,1.6829
2022-12-10,0.75287
2022-12-11,1.46147
2022-12-12,2.39149
2022-12-13,2.3472
2022-12-14,2.08148
2022-12-15,2.3472
2022-12-16,2.08148
2022-12-17,0.62001
2022-12-18,1.06288
2022-12-19,1.90434
2022-12-20,3.01151
2022-12-21,2.87865
2022-12-22,1.99291
2022-12-23,1.10717
2022-12-24,0.84145
2022-12-25,0.88573
2022-12-26,2.43578
2022-12-27,1.72719
2022-12-28,3.18866
2022-12-29,2.17006
2022-12-30,2.3472
2022-12-31,0.88573
2023-01-01,0.44286
2023-01-02,2.3472
2023-01-03,2.96722
2023-01-04,2.12577
2023-01-05,2.25863
2023-01-06,2.12577
2023-01-07,2.87865
2023-01-08,2.92294
2023-01-09,4.11868
2023-01-10,2.25863
2023-01-11,2.43578
2023-01-12,2.17006
2023-01-13,1.77147
2023-01-14,0.31
2023-01-15,1.10717
2023-01-16,2.3472
2023-01-17,2.48007
2023-01-18,2.25863
2023-01-19,5.04871
2023-01-20,4.7387
2023-01-21,1.63861
2023-01-22,1.37289
2023-01-23,2.21434
2023-01-24,1.59433
2023-01-25,3.67581
2023-01-26,3.58724
2023-01-27,3.54295
2023-01-28,2.30292
2023-01-29,1.86005
2023-01-30,4.03011
2023-01-31,4.0744
2023-02-01,6.02302
2023-02-02,5.093
2023-02-03,4.7387
2023-02-04,1.50575
2023-02-05,17.58193
2023-02-06,21.96634
2023-02-07,9.61027
2023-02-08,10.00885
2023-02-09,7.61736
2023-02-10,5.40301
2023-02-11,2.48007
2023-02-12,2.25863
2023-02-13,5.58015
2023-02-14,4.91585
2023-02-15,4.87156
2023-02-16,4.78299
2023-02-17,6.24446
2023-02-18,2.39149
2023-02-19,2.17006
2023-02-20,4.29583
2023-02-21,4.96014
2023-02-22,4.56155
2023-02-23,3.67581
2023-02-24,3.94154
2023-02-25,1.24003
2023-02-26,2.0372
2023-02-27,3.27723
2023-02-28,2.74579
2023-03-01,1.99291
2023-03-02,3.76439
2023-03-03,2.92294
2023-03-04,1.50575
2023-03-05,1.46147
2023-03-06,3.32152
2023-03-07,3.80868
2023-03-08,3.45438
2023-03-09,3.45438
2023-03-10,3.41009
2023-03-11,1.46147
2023-03-12,0.97431
2023-03-13,3.89725
2023-03-14,3.80868
2023-03-15,3.49867
2023-03-16,3.54295
2023-03-17,3.10008
2023-03-18,0.79716
2023-03-19,1.59433
2023-03-20,2.83436
2023-03-21,4.7387
2023-03-22,3.45438
2023-03-23,3.76439
2023-03-24,2.56864
2023-03-25,1.19574
2023-03-26,1.59433
2023-03-27,3.18866
2023-03-28,3.23294
2023-03-29,2.61293
2023-03-30,3.10008
2023-03-31,3.36581
2023-04-01,1.90434
2023-04-02,1.55004
2023-04-03,3.89725
2023-04-04,2.92294
2023-04-05,3.36581
2023-04-06,4.51727
2023-04-07,2.74579
2023-04-08,1.59433
2023-04-09,1.46147
2023-04-10,2.87865
2023-04-11,3.14437
2023-04-12,2.43578
2023-04-13,3.58724
2023-04-14,2.92294
2023-04-15,1.81576
2023-04-16,1.6829
2023-04-17,4.25155
2023-04-18,5.27015
2023-04-19,4.87156
2023-04-20,4.56155
2023-04-21,3.10008
2023-04-22,2.12577
2023-04-23,8.90168
2023-04-24,16.74047
2023-04-25,9.25597
2023-04-26,13.33038
2023-04-27,8.90168
2023-04-28,3.27723
2023-04-29,1.28432
2023-04-30,1.41718
2023-05-01,1.99291
2023-05-02,3.10008
2023-05-03,3.0558
2023-05-04,2.48007
2023-05-05,1.19574
2023-05-06,1.59433
2023-05-07,1.19574
2023-05-08,2.43578
2023-05-09,3.18866
2023-05-10,3.36581
2023-05-11,3.01151
2023-05-12,3.49867
2023-05-13,1.86005
2023-05-14,1.63861
2023-05-15,3.36581
2023-05-16,2.61293
2023-05-17,2.7015
2023-05-18,2.87865
2023-05-19,2.17006
2023-05-20,1.3286
2023-05-21,1.59433
2023-05-22,3.0558
2023-05-23,3.76439
2023-05-24,3.23294
2023-05-25,3.0558
2023-05-26,3.10008
2023-05-27,0.6643
2023-05-28,1.63861
2023-05-29,1.28432
2023-05-30,2.87865
2023-05-31,2.52435
2023-06-01,2.17006
2023-06-02,1.72719
2023-06-03,0.6643
2023-06-04,0.70859
2023-06-05,1.99291
2023-06-06,7.75022
2023-06-07,4.82728
2023-06-08,3.45438
2023-06-09,3.41009
2023-06-10,1.0186
2023-06-11,1.59433
2023-06-12,2.39149
2023-06-13,2.87865
2023-06-14,3.18866
2023-06-15,3.49867
2023-06-16,4.34012
2023-06-17,1.3286
2023-06-18,1.46147
2023-06-19,3.41009
2023-06-20,4.11868
2023-06-21,2.65721
2023-06-22,2.12577
2023-06-23,2.65721
2023-06-24,1.15146
2023-06-25,0.97431
2023-06-26,1.77147
2023-06-27,3.32152
2023-06-28,3.58724
2023-06-29,2.79007
2023-06-30,2.30292
2023-07-01,1.15146
2023-07-02,0.79716
2023-07-03,3.14437
2023-07-04,3.32152
2023-07-05,2.96722
2023-07-06,2.83436
2023-07-07,2.74579
2023-07-08,0.62001
2023-07-09,0.84145
2023-07-10,2.52435
