date,달러
2022-02-18,15.67956
2022-02-19,9.43402
2022-02-20,9.12957
2022-02-21,17.66741
2022-02-22,19.33496
2022-02-23,17.29494
2022-02-24,31.85774
2022-02-25,24.84546
2022-02-26,11.5064
2022-02-27,10.14793
2022-02-28,21.97596
2022-03-01,15.52767
2022-03-02,21.12732
2022-03-03,18.9572
2022-03-04,22.98045
2022-03-05,12.47655
2022-03-06,10.06406
2022-03-07,31.16166
2022-03-08,32.49108
2022-03-09,16.6332
2022-03-10,24.46638
2022-03-11,23.18518
2022-03-12,12.85563
2022-03-13,11.67745
2022-03-14,27.95865
2022-03-15,27.72883
2022-03-16,26.56716
2022-03-17,30.39162
2022-03-18,25.32954
2022-03-19,13.53255
2022-03-20,10.75221
2022-03-21,21.75538
2022-03-22,21.92775
2022-03-23,21.51367
2022-03-24,20.13934
2022-03-25,19.59384
2022-03-26,10.47483
2022-03-27,9.35477
2022-03-28,21.01571
2022-03-29,21.18346
2022-03-30,21.91322
2022-03-31,19.67837
2022-04-01,17.36428
2022-04-02,9.73913
2022-04-03,8.8938
2022-04-04,17.35437
2022-04-05,17.39994
2022-04-06,17.53929
2022-04-07,16.9251
2022-04-08,15.90873
2022-04-09,8.79276
2022-04-10,8.05705
2022-04-11,18.91097
2022-04-12,20.42266
2022-04-13,19.97754
2022-04-14,20.21463
2022-04-15,16.71905
2022-04-16,8.22942
2022-04-17,8.13366
2022-04-18,17.76647
2022-04-19,19.1157
2022-04-20,20.23444
2022-04-21,18.50548
2022-04-22,19.70479
2022-04-23,9.50336
2022-04-24,8.72804
2022-04-25,25.0733
2022-04-26,23.30735
2022-04-27,29.90291
2022-04-28,31.27526
2022-04-29,28.20103
2022-04-30,12.22229
2022-05-01,10.40021
2022-05-02,22.99035
2022-05-03,21.62924
2022-05-04,20.21331
2022-05-05,13.1264
2022-05-06,24.59978
2022-05-07,10.07462
2022-05-08,10.46757
2022-05-09,25.22322
2022-05-10,27.67401
2022-05-11,24.68828
2022-05-12,35.32822
2022-05-13,28.48368
2022-05-14,12.8761
2022-05-15,10.69211
2022-05-16,24.66384
2022-05-17,23.38858
2022-05-18,23.17791
2022-05-19,23.75379
2022-05-20,21.52687
2022-05-21,10.53163
2022-05-22,9.74706
2022-05-23,22.22956
2022-05-24,21.46612
2022-05-25,19.98481
2022-05-26,19.60375
2022-05-27,19.50931
2022-05-28,9.44194
2022-05-29,8.93078
2022-05-30,24.42808
2022-05-31,23.52991
2022-06-01,13.24461
2022-06-02,20.68881
2022-06-03,20.05745
2022-06-04,9.45515
2022-06-05,8.82049
2022-06-06,11.74811
2022-06-07,20.67098
2022-06-08,20.22057
2022-06-09,18.93673
2022-06-10,20.86448
2022-06-11,12.60467
2022-06-12,11.18874
2022-06-13,32.76713
2022-06-14,34.1791
2022-06-15,29.69356
2022-06-16,30.26614
2022-06-17,27.57957
2022-06-18,12.93224
2022-06-19,12.05785
2022-06-20,27.89327
2022-06-21,24.15731
2022-06-22,33.46519
2022-06-23,36.72368
2022-06-24,28.82974
2022-06-25,12.58552
2022-06-26,11.81217
2022-06-27,28.87333
2022-06-28,24.72196
2022-06-29,24.70743
2022-06-30,25.62871
2022-07-01,24.17183
2022-07-02,11.00184
2022-07-03,10.18821
2022-07-04,22.65618
2022-07-05,28.60256
2022-07-06,35.57257
2022-07-07,28.43481
2022-07-08,25.8308
2022-07-09,11.77981
2022-07-10,10.61154
2022-07-11,25.62871
2022-07-12,32.09285
2022-07-13,30.01386
2022-07-14,32.08096
2022-07-15,38.32122
2022-07-16,14.34354
2022-07-17,12.5842
2022-07-18,31.57773
2022-07-19,29.00475
2022-07-20,28.58671
2022-07-21,25.90873
2022-07-22,24.39572
2022-07-23,11.77189
2022-07-24,10.57984
2022-07-25,24.63082
2022-07-26,23.26773
2022-07-27,22.52476
2022-07-28,29.03843
2022-07-29,25.47153
2022-07-30,12.06709
2022-07-31,10.61748
2022-08-01,23.21952
2022-08-02,23.32981
2022-08-03,23.33839
2022-08-04,22.23946
2022-08-05,23.54972
2022-08-06,11.2845
2022-08-07,10.30379
2022-08-08,22.33258
2022-08-09,20.70268
2022-08-10,22.50495
2022-08-11,23.44736
2022-08-12,21.2561
2022-08-13,10.98401
2022-08-14,9.81772
2022-08-15,13.3582
2022-08-16,24.2775
2022-08-17,22.55514
2022-08-18,25.352
2022-08-19,30.63928
2022-08-20,15.35134
2022-08-21,12.60005
2022-08-22,41.40272
2022-08-23,40.50917
2022-08-24,31.78642
2022-08-25,31.11742
2022-08-26,26.41658
2022-08-27,14.83225
2022-08-28,12.13974
2022-08-29,38.94267
2022-08-30,30.34869
2022-08-31,29.4327
2022-09-01,31.99181
2022-09-02,34.9082
2022-09-03,15.38964
2022-09-04,13.60322
2022-09-05,42.49042
2022-09-06,38.8687
2022-09-07,53.69171
2022-09-08,45.25161
2022-09-09,22.25927
2022-09-10,18.50614
2022-09-11,16.20393
2022-09-12,20.27539
2022-09-13,44.50468
2022-09-14,59.00475
2022-09-15,50.27935
2022-09-16,48.70294
2022-09-17,20.96156
2022-09-18,17.86157
2022-09-19,44.95839
2022-09-20,37.53203
2022-09-21,38.83172
2022-09-22,72.46004
2022-09-23,51.87227
2022-09-24,27.59873
2022-09-25,22.24078
2022-09-26,76.97662
2022-09-27,62.28701
2022-09-28,72.98837
2022-09-29,60.31171
2022-09-30,51.6299
2022-10-01,24.48487
2022-10-02,20.59239
2022-10-03,27.30682
2022-10-04,52.10804
2022-10-05,49.93065
2022-10-06,58.87069
2022-10-07,44.40232
2022-10-08,20.96156
2022-10-09,17.60995
2022-10-10,23.82314
2022-10-11,46.64509
2022-10-12,43.77162
2022-10-13,40.71192
2022-10-14,39.6295
2022-10-15,21.04279
2022-10-16,17.18729
2022-10-17,40.47285
2022-10-18,40.66966
2022-10-19,39.89895
2022-10-20,37.53203
2022-10-21,38.31528
2022-10-22,19.51063
2022-10-23,16.60877
2022-10-24,38.54114
2022-10-25,37.18663
2022-10-26,39.42874
2022-10-27,39.33099
2022-10-28,31.84585
2022-10-29,16.71377
2022-10-30,13.54576
2022-10-31,30.80702
2022-11-01,34.5245
2022-11-02,32.781
2022-11-03,39.07343
2022-11-04,32.0737
2022-11-05,18.35754
2022-11-06,15.28463
2022-11-07,41.13855
2022-11-08,54.30128
2022-11-09,63.06168
2022-11-10,57.30088
2022-11-11,86.23365
2022-11-12,32.29031
2022-11-13,24.40298
2022-11-14,62.57297
2022-11-15,52.17738
2022-11-16,46.46215
2022-11-17,43.40179
2022-11-18,38.09998
2022-11-19,18.10064
2022-11-20,16.84916
2022-11-21,40.88033
2022-11-22,38.51604
2022-11-23,34.71205
2022-11-24,38.84427
2022-11-25,33.26244
2022-11-26,17.30814
2022-11-27,15.79315
2022-11-28,33.20763
2022-11-29,33.6435
2022-11-30,35.00462
2022-12-01,49.3693
2022-12-02,36.94756
2022-12-03,15.68617
2022-12-04,14.70347
2022-12-05,36.90001
2022-12-06,35.98137
2022-12-07,35.31633
2022-12-08,32.15229
2022-12-09,32.68656
2022-12-10,15.60758
2022-12-11,14.73847
2022-12-12,31.20525
2022-12-13,32.27644
2022-12-14,35.09509
2022-12-15,34.92801
2022-12-16,30.89089
2022-12-17,15.96948
2022-12-18,15.20803
2022-12-19,31.5632
2022-12-20,37.2005
2022-12-21,39.71536
2022-12-22,37.47919
2022-12-23,33.0412
2022-12-24,15.68947
2022-12-25,14.04107
2022-12-26,31.05071
2022-12-27,33.67256
2022-12-28,32.75723
2022-12-29,30.74626
2022-12-30,27.50957
2022-12-31,16.01241
2023-01-01,14.04239
2023-01-02,31.31224
2023-01-03,32.7209
2023-01-04,31.33733
2023-01-05,29.17712
2023-01-06,29.27618
2023-01-07,17.09021
2023-01-08,14.80451
2023-01-09,39.88574
2023-01-10,39.22335
2023-01-11,33.84559
2023-01-12,32.42504
2023-01-13,33.97701
2023-01-14,18.65605
2023-01-15,15.54946
2023-01-16,33.60718
2023-01-17,30.24105
2023-01-18,31.58829
2023-01-19,30.58975
2023-01-20,25.92458
2023-01-21,15.78061
2023-01-22,14.27486
2023-01-23,16.36705
2023-01-24,19.12957
2023-01-25,31.76
2023-01-26,29.95311
2023-01-27,29.17646
2023-01-28,16.22044
2023-01-29,14.76092
2023-01-30,31.49121
2023-01-31,30.387
2023-02-01,29.01598
2023-02-02,36.90529
2023-02-03,31.45555
2023-02-04,19.85206
2023-02-05,16.5632
2023-02-06,38.61841
2023-02-07,37.98705
2023-02-08,35.62673
2023-02-09,33.56491
2023-02-10,32.10276
2023-02-11,19.05428
2023-02-12,16.04675
2023-02-13,37.67005
2023-02-14,35.58842
2023-02-15,39.049
2023-02-16,38.89314
2023-02-17,43.89116
2023-02-18,20.47549
2023-02-19,16.30828
2023-02-20,37.79421
2023-02-21,34.78734
2023-02-22,37.70109
2023-02-23,39.70545
2023-02-24,35.00462
2023-02-25,20.58578
2023-02-26,16.33271
2023-02-27,42.38673
2023-02-28,39.57667
2023-03-01,24.92669
2023-03-02,37.56373
2023-03-03,34.5694
2023-03-04,16.85246
2023-03-05,14.97028
2023-03-06,34.23391
2023-03-07,32.36098
2023-03-08,40.76145
2023-03-09,34.76687
2023-03-10,36.2244
2023-03-11,17.47919
2023-03-12,15.68418
2023-03-13,45.31898
2023-03-14,41.8868
2023-03-15,38.00026
2023-03-16,35.70268
2023-03-17,33.90371
2023-03-18,16.80359
2023-03-19,15.04622
2023-03-20,37.3088
2023-03-21,32.99828
2023-03-22,30.88693
2023-03-23,53.39255
2023-03-24,39.59978
2023-03-25,17.18068
2023-03-26,14.52185
2023-03-27,34.15863
2023-03-28,32.30418
2023-03-29,30.66503
2023-03-30,30.97609
2023-03-31,28.85484
2023-04-01,14.57997
2023-04-02,13.78351
2023-04-03,36.01505
2023-04-04,33.78153
2023-04-05,33.01149
2023-04-06,33.38924
2023-04-07,28.71549
2023-04-08,14.12098
2023-04-09,13.53321
2023-04-10,31.7534
2023-04-11,32.66147
2023-04-12,32.80544
2023-04-13,34.55355
2023-04-14,37.46929
2023-04-15,16.34988
2023-04-16,14.72526
2023-04-17,32.89657
2023-04-18,32.02152
2023-04-19,33.99683
2023-04-20,33.94729
2023-04-21,30.17633
2023-04-22,16.32941
2023-04-23,14.36336
2023-04-24,33.0914
2023-04-25,34.18042
2023-04-26,35.2602
2023-04-27,34.39175
2023-04-28,29.84876
2023-04-29,15.90542
2023-04-30,13.82908
2023-05-01,20.85589
2023-05-02,32.50561
2023-05-03,32.51221
2023-05-04,35.99986
2023-05-05,19.19297
2023-05-06,17.7744
2023-05-07,14.87055
2023-05-08,32.3689
2023-05-09,29.39836
2023-05-10,28.38198
2023-05-11,28.94663
2023-05-12,27.99894
2023-05-13,16.23959
2023-05-14,14.11768
2023-05-15,31.70981
2023-05-16,28.87927
2023-05-17,28.84493
2023-05-18,28.80332
2023-05-19,29.19033
2023-05-20,14.06089
2023-05-21,13.30471
2023-05-22,33.22414
2023-05-23,35.29124
2023-05-24,30.76145
2023-05-25,31.31752
2023-05-26,27.46004
2023-05-27,14.5694
2023-05-28,13.67256
