date,코스닥
2022-01-14,13.76883
2022-01-15,2.0042
2022-01-16,1.57818
2022-01-17,15.72751
2022-01-18,18.44857
2022-01-19,19.53848
2022-01-20,16.52613
2022-01-21,19.00467
2022-01-22,3.84209
2022-01-23,2.30804
2022-01-24,32.10637
2022-01-25,39.05373
2022-01-26,26.99967
2022-01-27,40.19614
2022-01-28,25.60639
2022-01-29,2.94591
2022-01-30,1.86715
2022-01-31,1.8927
2022-02-01,2.23882
2022-02-02,2.68017
2022-02-03,16.37235
2022-02-04,15.10311
2022-02-05,2.39956
2022-02-06,1.80072
2022-02-07,15.04829
2022-02-08,14.76443
2022-02-09,12.03501
2022-02-10,17.3043
2022-02-11,17.18908
2022-02-12,3.12571
2022-02-13,1.91036
2022-02-14,24.05283
2022-02-15,21.54826
2022-02-16,19.33639
2022-02-17,26.02498
2022-02-18,17.97469
2022-02-19,2.50131
2022-02-20,1.73568
2022-02-21,17.57701
2022-02-22,21.04837
2022-02-23,15.53656
2022-02-24,29.10656
2022-02-25,17.61975
2022-02-26,2.38981
2022-02-27,1.63765
2022-02-28,14.93307
2022-03-01,2.56588
2022-03-02,14.05037
2022-03-03,11.50863
2022-03-04,13.81203
2022-03-05,2.01071
2022-03-06,1.41929
2022-03-07,17.03113
2022-03-08,16.58513
2022-03-09,2.35961
2022-03-10,11.8803
2022-03-11,12.54558
2022-03-12,2.19097
2022-03-13,1.73521
2022-03-14,16.68548
2022-03-15,14.98371
2022-03-16,12.44941
2022-03-17,12.60784
2022-03-18,12.61155
2022-03-19,2.24625
2022-03-20,1.60327
2022-03-21,12.95813
2022-03-22,10.76019
2022-03-23,10.45589
2022-03-24,11.13604
2022-03-25,10.40943
2022-03-26,1.79235
2022-03-27,1.37051
2022-03-28,10.84335
2022-03-29,9.83428
2022-03-30,10.41454
2022-03-31,9.25076
2022-04-01,9.32695
2022-04-02,1.47086
2022-04-03,1.21952
2022-04-04,9.06539
2022-04-05,9.4798
2022-04-06,10.73325
2022-04-07,13.02364
2022-04-08,10.47912
2022-04-09,1.6251
2022-04-10,1.22975
2022-04-11,12.33095
2022-04-12,13.2931
2022-04-13,10.20176
2022-04-14,10.09863
2022-04-15,9.62522
2022-04-16,1.31569
2022-04-17,1.13172
2022-04-18,10.04102
2022-04-19,8.75738
2022-04-20,9.44449
2022-04-21,8.33135
2022-04-22,9.65123
2022-04-23,2.06553
2022-04-24,1.23346
2022-04-25,14.12377
2022-04-26,10.09073
2022-04-27,15.33819
2022-04-28,11.79853
2022-04-29,9.39339
2022-04-30,2.15334
2022-05-01,1.41047
2022-05-02,11.43941
2022-05-03,9.4208
2022-05-04,10.04195
2022-05-05,1.94567
2022-05-06,14.95166
2022-05-07,1.87505
2022-05-08,1.35379
2022-05-09,18.21535
2022-05-10,22.15361
2022-05-11,13.88823
2022-05-12,26.23404
2022-05-13,13.71772
2022-05-14,2.11942
2022-05-15,1.48852
2022-05-16,13.23177
2022-05-17,10.50932
2022-05-18,11.17181
2022-05-19,15.83018
2022-05-20,10.36344
2022-05-21,1.95682
2022-05-22,1.39281
2022-05-23,10.67378
2022-05-24,13.68056
2022-05-25,11.43709
2022-05-26,11.44359
2022-05-27,9.9481
2022-05-28,1.69154
2022-05-29,1.08758
2022-05-30,9.24705
2022-05-31,9.78968
2022-06-01,1.93312
2022-06-02,9.33671
2022-06-03,8.92788
2022-06-04,1.23346
2022-06-05,0.98584
2022-06-06,1.40303
2022-06-07,11.70887
2022-06-08,9.66192
2022-06-09,10.41222
2022-06-10,10.66635
2022-06-11,2.09851
2022-06-12,1.42719
2022-06-13,26.55368
2022-06-14,24.96202
2022-06-15,24.96294
2022-06-16,17.94031
2022-06-17,19.53848
2022-06-18,2.20909
2022-06-19,1.74311
2022-06-20,29.78299
2022-06-21,17.39768
2022-06-22,29.77648
2022-06-23,42.42242
2022-06-24,27.08237
2022-06-25,3.4026
2022-06-26,2.34753
2022-06-27,18.11175
2022-06-28,16.12519
2022-06-29,16.5605
2022-06-30,17.564
2022-07-01,20.67903
2022-07-02,2.3545
2022-07-03,1.64555
2022-07-04,20.7004
2022-07-05,16.3087
2022-07-06,18.25112
2022-07-07,13.0018
2022-07-08,12.27612
2022-07-09,1.6855
2022-07-10,1.18282
2022-07-11,13.12074
2022-07-12,14.98696
2022-07-13,13.45756
2022-07-14,13.20575
2022-07-15,13.27823
2022-07-16,1.61581
2022-07-17,1.19351
2022-07-18,11.12953
2022-07-19,11.17785
2022-07-20,11.55184
2022-07-21,10.22546
2022-07-22,10.69236
2022-07-23,1.30083
2022-07-24,1.08108
2022-07-25,10.1855
2022-07-26,9.24705
2022-07-27,9.61964
2022-07-28,10.59666
2022-07-29,8.70813
2022-07-30,1.58376
2022-07-31,1.01139
2022-08-01,9.51232
2022-08-02,9.79618
2022-08-03,9.11789
2022-08-04,9.53834
2022-08-05,8.45261
2022-08-06,1.37562
2022-08-07,0.91847
2022-08-08,8.93113
2022-08-09,8.82242
2022-08-10,9.39246
2022-08-11,8.79036
2022-08-12,8.3518
2022-08-13,1.38492
2022-08-14,0.84228
2022-08-15,1.32591
2022-08-16,8.14924
2022-08-17,9.36319
2022-08-18,8.82009
2022-08-19,9.58666
2022-08-20,1.61163
2022-08-21,1.00489
2022-08-22,12.71423
2022-08-23,12.94512
2022-08-24,10.26495
2022-08-25,8.73322
2022-08-26,9.29072
2022-08-27,2.0581
2022-08-28,1.20326
2022-08-29,15.40276
2022-08-30,11.09655
2022-08-31,11.09376
2022-09-01,12.96742
2022-09-02,10.73789
2022-09-03,1.56285
2022-09-04,0.98073
2022-09-05,13.27776
2022-09-06,9.93138
2022-09-07,12.76161
2022-09-08,9.1597
2022-09-09,1.42441
2022-09-10,1.10152
2022-09-11,0.83857
2022-09-12,1.39932
2022-09-13,9.61546
2022-09-14,15.1714
2022-09-15,9.93649
2022-09-16,11.19132
2022-09-17,1.52708
2022-09-18,1.05692
2022-09-19,14.75607
2022-09-20,9.77713
2022-09-21,10.91072
2022-09-22,14.12934
2022-09-23,17.30941
2022-09-24,2.43812
2022-09-25,1.45646
2022-09-26,46.48101
2022-09-27,27.69562
2022-09-28,35.95404
2022-09-29,21.60355
2022-09-30,21.5687
2022-10-01,2.41582
2022-10-02,1.5452
2022-10-03,2.08086
2022-10-04,13.36
2022-10-05,21.03443
2022-10-06,13.5816
2022-10-07,13.47475
2022-10-08,2.15241
2022-10-09,1.22556
2022-10-10,1.94753
2022-10-11,27.43824
2022-10-12,17.8172
2022-10-13,26.16389
2022-10-14,16.0555
2022-10-15,2.90457
2022-10-16,1.74822
2022-10-17,17.50268
2022-10-18,14.91728
2022-10-19,15.14724
2022-10-20,14.4815
2022-10-21,13.04733
2022-10-22,1.73568
2022-10-23,1.15866
2022-10-24,12.12188
2022-10-25,11.86497
2022-10-26,13.26011
2022-10-27,10.9581
2022-10-28,11.21177
2022-10-29,1.68643
2022-10-30,0.99281
2022-10-31,9.90257
2022-11-01,9.94717
2022-11-02,10.53022
2022-11-03,12.6752
2022-11-04,11.17228
2022-11-05,1.47458
2022-11-06,1.0021
2022-11-07,9.55785
2022-11-08,10.07447
2022-11-09,10.4085
2022-11-10,10.63522
2022-11-11,14.57116
2022-11-12,2.12035
2022-11-13,1.38817
2022-11-14,11.63268
2022-11-15,12.13396
2022-11-16,12.33698
2022-11-17,11.51839
2022-11-18,10.21942
2022-11-19,1.42348
2022-11-20,0.97004
2022-11-21,11.52257
2022-11-22,10.15623
2022-11-23,8.95204
2022-11-24,8.59106
2022-11-25,8.18919
2022-11-26,1.24879
2022-11-27,0.89664
2022-11-28,10.63243
2022-11-29,9.07376
2022-11-30,8.9906
2022-12-01,9.98573
2022-12-02,9.10814
2022-12-03,1.09734
2022-12-04,0.98305
2022-12-05,9.27353
2022-12-06,9.69862
2022-12-07,10.27517
2022-12-08,9.98202
2022-12-09,8.58873
2022-12-10,1.44485
2022-12-11,1.2395
2022-12-12,8.68118
2022-12-13,8.88978
2022-12-14,8.54274
2022-12-15,9.66238
2022-12-16,9.99688
2022-12-17,1.46622
2022-12-18,1.0402
2022-12-19,9.123
2022-12-20,12.08983
2022-12-21,9.53184
2022-12-22,8.19337
2022-12-23,15.4311
2022-12-24,1.96193
2022-12-25,1.3064
2022-12-26,10.43452
2022-12-27,8.99478
2022-12-28,11.64987
2022-12-29,14.04944
2022-12-30,4.0623
2022-12-31,1.23532
2023-01-01,1.16656
2023-01-02,14.3765
2023-01-03,14.86989
2023-01-04,11.02779
2023-01-05,10.53766
2023-01-06,9.91883
2023-01-07,1.59212
