date,재택
2021-10-16,2.95652
2021-10-17,4.08695
2021-10-18,15.7826
2021-10-19,11.56521
2021-10-20,10.52173
2021-10-21,9.65217
2021-10-22,15.52173
2021-10-23,7.52173
2021-10-24,4.21739
2021-10-25,16.69565
2021-10-26,11.7826
2021-10-27,12.04347
2021-10-28,11.43478
2021-10-29,16.86956
2021-10-30,4.04347
2021-10-31,5.26086
2021-11-01,14.7826
2021-11-02,11.43478
2021-11-03,9.08695
2021-11-04,9.34782
2021-11-05,8.21739
2021-11-06,2.3913
2021-11-07,2.91304
2021-11-08,10.73913
2021-11-09,9.65217
2021-11-10,10.47826
2021-11-11,10.34782
2021-11-12,7.60869
2021-11-13,2.34782
2021-11-14,3.73913
2021-11-15,10.21739
2021-11-16,9.56521
2021-11-17,9.82608
2021-11-18,9.17391
2021-11-19,7.91304
2021-11-20,2.3913
2021-11-21,4.21739
2021-11-22,11.47826
2021-11-23,9.30434
2021-11-24,11.69565
2021-11-25,11.91304
2021-11-26,11.3913
2021-11-27,3.21739
2021-11-28,4.91304
2021-11-29,24.52173
2021-11-30,24.26086
2021-12-01,23.52173
2021-12-02,19.91304
2021-12-03,25.0
2021-12-04,7.0
2021-12-05,9.04347
2021-12-06,20.69565
2021-12-07,17.7826
2021-12-08,28.91304
2021-12-09,21.69565
2021-12-10,17.7826
2021-12-11,4.95652
2021-12-12,6.43478
2021-12-13,16.86956
2021-12-14,14.65217
2021-12-15,20.7826
2021-12-16,29.86956
2021-12-17,16.95652
2021-12-18,5.04347
2021-12-19,6.0
2021-12-20,18.65217
2021-12-21,14.47826
2021-12-22,11.86956
2021-12-23,13.56521
2021-12-24,10.86956
2021-12-25,5.08695
2021-12-26,6.52173
2021-12-27,13.47826
2021-12-28,10.69565
2021-12-29,9.86956
2021-12-30,10.56521
2021-12-31,7.13043
2022-01-01,3.04347
2022-01-02,4.3913
2022-01-03,11.69565
2022-01-04,11.86956
2022-01-05,9.30434
2022-01-06,10.73913
2022-01-07,9.86956
2022-01-08,3.69565
2022-01-09,4.34782
2022-01-10,11.52173
2022-01-11,11.26086
2022-01-12,10.7826
2022-01-13,11.34782
2022-01-14,9.30434
2022-01-15,4.13043
2022-01-16,4.17391
2022-01-17,11.30434
2022-01-18,9.13043
2022-01-19,15.34782
2022-01-20,12.43478
2022-01-21,11.60869
2022-01-22,4.13043
2022-01-23,5.60869
2022-01-24,15.95652
2022-01-25,16.34782
2022-01-26,17.3913
2022-01-27,18.26086
2022-01-28,14.65217
2022-01-29,5.30434
2022-01-30,5.26086
2022-01-31,5.86956
2022-02-01,6.65217
2022-02-02,10.65217
2022-02-03,25.60869
2022-02-04,23.3913
2022-02-05,10.0
2022-02-06,17.91304
2022-02-07,37.56521
2022-02-08,28.91304
2022-02-09,30.34782
2022-02-10,27.21739
2022-02-11,22.3913
2022-02-12,8.47826
2022-02-13,9.73913
2022-02-14,24.91304
2022-02-15,24.3913
2022-02-16,28.91304
2022-02-17,26.69565
2022-02-18,23.69565
2022-02-19,9.43478
2022-02-20,12.3913
2022-02-21,30.04347
2022-02-22,29.13043
2022-02-23,28.21739
2022-02-24,27.60869
2022-02-25,22.26086
2022-02-26,9.91304
2022-02-27,10.3913
2022-02-28,22.43478
2022-03-01,11.04347
2022-03-02,24.82608
2022-03-03,23.08695
2022-03-04,20.43478
2022-03-05,7.7826
2022-03-06,9.82608
2022-03-07,25.43478
2022-03-08,23.13043
2022-03-09,9.86956
2022-03-10,22.21739
2022-03-11,22.73913
2022-03-12,9.52173
2022-03-13,13.7826
2022-03-14,30.17391
2022-03-15,26.34782
2022-03-16,24.7826
2022-03-17,25.08695
2022-03-18,21.21739
2022-03-19,8.26086
2022-03-20,9.08695
2022-03-21,25.69565
2022-03-22,24.13043
2022-03-23,21.91304
2022-03-24,20.91304
2022-03-25,18.56521
2022-03-26,6.34782
2022-03-27,7.65217
2022-03-28,20.43478
2022-03-29,17.3913
2022-03-30,18.17391
2022-03-31,17.17391
2022-04-01,19.08695
2022-04-02,11.34782
2022-04-03,9.08695
2022-04-04,24.82608
2022-04-05,21.69565
2022-04-06,23.08695
2022-04-07,18.56521
2022-04-08,12.04347
2022-04-09,4.69565
2022-04-10,6.91304
2022-04-11,19.13043
2022-04-12,16.82608
2022-04-13,15.08695
2022-04-14,14.30434
2022-04-15,19.60869
2022-04-16,5.26086
2022-04-17,6.47826
2022-04-18,20.13043
2022-04-19,14.60869
2022-04-20,14.95652
2022-04-21,12.30434
2022-04-22,9.82608
2022-04-23,2.82608
2022-04-24,4.04347
2022-04-25,11.47826
2022-04-26,11.26086
2022-04-27,9.04347
2022-04-28,8.86956
2022-04-29,8.7826
2022-04-30,2.65217
2022-05-01,3.52173
2022-05-02,8.65217
2022-05-03,8.30434
2022-05-04,14.91304
2022-05-05,4.95652
2022-05-06,7.73913
2022-05-07,3.47826
2022-05-08,4.04347
2022-05-09,10.30434
2022-05-10,8.95652
2022-05-11,9.13043
2022-05-12,7.30434
2022-05-13,7.30434
2022-05-14,2.26086
2022-05-15,3.73913
2022-05-16,8.52173
2022-05-17,9.47826
2022-05-18,7.3913
2022-05-19,8.7826
2022-05-20,9.30434
2022-05-21,1.91304
2022-05-22,2.52173
2022-05-23,8.95652
2022-05-24,7.52173
2022-05-25,7.26086
2022-05-26,6.3913
2022-05-27,5.82608
2022-05-28,2.08695
2022-05-29,2.34782
2022-05-30,7.43478
2022-05-31,7.60869
2022-06-01,3.52173
2022-06-02,9.82608
2022-06-03,7.34782
2022-06-04,2.56521
2022-06-05,1.7826
2022-06-06,3.21739
2022-06-07,8.30434
2022-06-08,7.17391
2022-06-09,7.73913
2022-06-10,5.95652
2022-06-11,2.08695
2022-06-12,2.3913
2022-06-13,8.52173
2022-06-14,7.52173
2022-06-15,6.56521
2022-06-16,8.08695
2022-06-17,6.26086
2022-06-18,2.3913
2022-06-19,3.21739
2022-06-20,8.82608
2022-06-21,8.08695
2022-06-22,7.13043
2022-06-23,7.3913
2022-06-24,6.30434
2022-06-25,2.43478
2022-06-26,2.47826
2022-06-27,7.26086
2022-06-28,7.30434
2022-06-29,7.82608
2022-06-30,9.0
2022-07-01,5.7826
2022-07-02,2.56521
2022-07-03,2.95652
2022-07-04,8.21739
2022-07-05,8.86956
2022-07-06,8.56521
2022-07-07,8.3913
2022-07-08,7.0
2022-07-09,2.69565
2022-07-10,3.0
2022-07-11,10.3913
2022-07-12,9.7826
2022-07-13,10.26086
2022-07-14,8.95652
2022-07-15,7.60869
2022-07-16,2.73913
2022-07-17,3.73913
2022-07-18,10.73913
2022-07-19,13.43478
2022-07-20,11.21739
2022-07-21,10.86956
2022-07-22,7.86956
2022-07-23,3.13043
2022-07-24,3.30434
2022-07-25,11.21739
2022-07-26,10.47826
2022-07-27,16.30434
2022-07-28,13.26086
2022-07-29,8.08695
2022-07-30,2.95652
2022-07-31,4.21739
2022-08-01,11.82608
2022-08-02,9.95652
2022-08-03,9.69565
2022-08-04,8.86956
2022-08-05,7.7826
2022-08-06,2.13043
2022-08-07,3.52173
2022-08-08,21.86956
2022-08-09,57.56521
2022-08-10,16.52173
