date,워드프레스
2022-05-05,0.63799
2022-05-06,0.87818
2022-05-07,0.48787
2022-05-08,0.46911
2022-05-09,1.00202
2022-05-10,0.96825
2022-05-11,1.21218
2022-05-12,1.08083
2022-05-13,0.88943
2022-05-14,0.55167
2022-05-15,0.5179
2022-05-16,1.08834
2022-05-17,1.27974
2022-05-18,1.21594
2022-05-19,1.14463
2022-05-20,1.03204
2022-05-21,0.67927
2022-05-22,0.653
2022-05-23,1.25722
2022-05-24,1.33228
2022-05-25,1.19342
2022-05-26,1.08459
2022-05-27,1.00953
2022-05-28,0.55543
2022-05-29,0.5254
2022-05-30,1.15214
2022-05-31,1.15964
2022-06-01,0.52165
2022-06-02,1.13337
2022-06-03,0.94198
2022-06-04,0.37529
2022-06-05,0.60797
2022-06-06,0.61547
2022-06-07,0.96074
2022-06-08,1.08459
2022-06-09,1.20843
2022-06-10,1.09584
2022-06-11,0.60421
2022-06-12,0.55167
2022-06-13,1.10335
2022-06-14,1.20843
2022-06-15,1.0358
2022-06-16,1.0996
2022-06-17,1.09209
2022-06-18,0.62298
2022-06-19,0.5892
2022-06-20,1.07333
2022-06-21,1.0996
2022-06-22,1.13337
2022-06-23,1.09584
2022-06-24,0.93822
2022-06-25,0.50664
2022-06-26,0.49538
2022-06-27,0.97575
2022-06-28,1.11461
2022-06-29,1.14088
2022-06-30,0.98701
2022-07-01,1.06582
2022-07-02,0.39405
2022-07-03,0.4616
2022-07-04,1.11086
2022-07-05,1.01703
2022-07-06,1.15589
2022-07-07,1.12211
2022-07-08,0.96449
2022-07-09,0.43909
2022-07-10,0.59295
2022-07-11,1.06207
2022-07-12,1.2272
2022-07-13,1.0358
2022-07-14,1.04706
2022-07-15,0.98701
2022-07-16,0.5254
2022-07-17,0.51414
2022-07-18,0.97575
2022-07-19,0.972
2022-07-20,1.0358
2022-07-21,0.96074
2022-07-22,0.87818
2022-07-23,0.50664
2022-07-24,0.52165
2022-07-25,1.15964
2022-07-26,1.10335
2022-07-27,1.19717
2022-07-28,0.99827
2022-07-29,0.78435
2022-07-30,0.53291
2022-07-31,0.49538
2022-08-01,0.93072
2022-08-02,1.03955
2022-08-03,1.05456
2022-08-04,0.98326
2022-08-05,1.1709
2022-08-06,0.54417
2022-08-07,0.55167
2022-08-08,1.07333
2022-08-09,1.03204
2022-08-10,1.08083
2022-08-11,0.99827
2022-08-12,1.02454
2022-08-13,0.49163
2022-08-14,0.42783
2022-08-15,0.57419
2022-08-16,1.07708
2022-08-17,1.06957
2022-08-18,1.13337
2022-08-19,0.98326
2022-08-20,0.48787
2022-08-21,0.5817
2022-08-22,1.17466
2022-08-23,1.14463
2022-08-24,1.13713
2022-08-25,1.00577
2022-08-26,0.94573
2022-08-27,0.58545
2022-08-28,0.61547
2022-08-29,1.02454
2022-08-30,1.12962
2022-08-31,1.12211
2022-09-01,1.11836
2022-09-02,1.05081
2022-09-03,0.55167
2022-09-04,0.68302
2022-09-05,1.22344
2022-09-06,1.15964
2022-09-07,1.11836
2022-09-08,0.82563
2022-09-09,0.51414
2022-09-10,0.34902
2022-09-11,0.42407
2022-09-12,0.57419
2022-09-13,1.18216
2022-09-14,1.08459
2022-09-15,1.11461
2022-09-16,1.0996
2022-09-17,0.53666
2022-09-18,0.58545
2022-09-19,1.15964
2022-09-20,1.06957
2022-09-21,1.08459
2022-09-22,1.00577
2022-09-23,0.85941
2022-09-24,0.60421
2022-09-25,0.57419
2022-09-26,1.07708
2022-09-27,1.09584
2022-09-28,0.94198
2022-09-29,1.07708
2022-09-30,0.87442
2022-10-01,0.5817
2022-10-02,0.5817
2022-10-03,0.64174
2022-10-04,1.07333
2022-10-05,1.15589
2022-10-06,1.00577
2022-10-07,0.89694
2022-10-08,0.47661
2022-10-09,0.43158
2022-10-10,0.67552
2022-10-11,1.17841
2022-10-12,1.05081
2022-10-13,1.08459
2022-10-14,0.94198
2022-10-15,0.83689
2022-10-16,1.22344
2022-10-17,1.71132
2022-10-18,1.71132
2022-10-19,2.73962
2022-10-20,2.06034
2022-10-21,1.34729
2022-10-22,0.72806
2022-10-23,0.76934
2022-10-24,1.41109
2022-10-25,1.36605
2022-10-26,1.44111
2022-10-27,1.15964
2022-10-28,0.93822
2022-10-29,0.63424
2022-10-30,0.55918
2022-10-31,1.1071
2022-11-01,1.24221
2022-11-02,1.18967
2022-11-03,1.33978
2022-11-04,1.18216
2022-11-05,0.66051
2022-11-06,0.6455
2022-11-07,1.09209
2022-11-08,1.41109
2022-11-09,1.2347
2022-11-10,1.20093
2022-11-11,1.12962
2022-11-12,0.79561
2022-11-13,0.70179
2022-11-14,1.25347
2022-11-15,1.39983
2022-11-16,1.38107
2022-11-17,1.18967
2022-11-18,1.05456
2022-11-19,0.60797
2022-11-20,0.68302
2022-11-21,1.30976
2022-11-22,1.2272
2022-11-23,1.19717
2022-11-24,0.98326
2022-11-25,1.05832
2022-11-26,1.10335
2022-11-27,1.05456
2022-11-28,1.13713
2022-11-29,1.30225
2022-11-30,1.15964
2022-12-01,1.00953
2022-12-02,0.95323
2022-12-03,0.56668
2022-12-04,0.66426
2022-12-05,1.15964
2022-12-06,1.01703
2022-12-07,1.12587
2022-12-08,1.18967
2022-12-09,1.06207
2022-12-10,0.70179
2022-12-11,0.64174
2022-12-12,1.25722
2022-12-13,1.31727
2022-12-14,1.24596
2022-12-15,0.99452
2022-12-16,0.99827
2022-12-17,0.60421
2022-12-18,0.54417
2022-12-19,1.05832
2022-12-20,1.0996
2022-12-21,1.14088
2022-12-22,1.17466
2022-12-23,0.91946
2022-12-24,0.45785
2022-12-25,0.48787
2022-12-26,1.02454
2022-12-27,1.12962
2022-12-28,1.1709
2022-12-29,1.1709
2022-12-30,0.87067
2022-12-31,0.47661
2023-01-01,0.44284
2023-01-02,1.291
2023-01-03,1.50866
2023-01-04,1.70382
2023-01-05,1.43736
2023-01-06,1.26473
2023-01-07,0.81438
2023-01-08,0.88193
2023-01-09,1.64377
2023-01-10,1.56496
2023-01-11,1.53118
2023-01-12,1.47864
2023-01-13,1.31727
2023-01-14,0.90069
2023-01-15,0.96074
2023-01-16,1.291
2023-01-17,1.44111
2023-01-18,1.44862
2023-01-19,1.4261
2023-01-20,1.1071
2023-01-21,0.66426
2023-01-22,0.61172
2023-01-23,0.75808
2023-01-24,1.03204
2023-01-25,1.54244
2023-01-26,1.45988
2023-01-27,1.57622
2023-01-28,0.9082
2023-01-29,0.97575
2023-01-30,1.64752
2023-01-31,1.60249
2023-02-01,1.39232
2023-02-02,1.43736
2023-02-03,1.35479
2023-02-04,0.78811
2023-02-05,0.97575
2023-02-06,1.37731
2023-02-07,1.42235
2023-02-08,1.41109
2023-02-09,1.37356
2023-02-10,1.41109
2023-02-11,0.87442
2023-02-12,0.76184
2023-02-13,1.45612
2023-02-14,1.6888
2023-02-15,1.41109
2023-02-16,1.35104
2023-02-17,1.34729
2023-02-18,0.76934
2023-02-19,0.84065
2023-02-20,1.4899
2023-02-21,1.77137
2023-02-22,1.38482
2023-02-23,1.291
2023-02-24,1.19717
2023-02-25,0.74307
2023-02-26,0.83314
2023-02-27,1.27974
2023-02-28,1.27223
2023-03-01,0.74682
2023-03-02,1.34354
2023-03-03,1.36981
2023-03-04,0.81438
2023-03-05,0.85941
2023-03-06,1.59123
2023-03-07,1.42985
2023-03-08,1.51617
2023-03-09,1.26097
2023-03-10,1.07333
2023-03-11,0.61547
2023-03-12,0.77309
2023-03-13,1.42235
2023-03-14,1.47114
2023-03-15,1.42985
2023-03-16,1.42235
2023-03-17,1.63626
2023-03-18,0.8444
2023-03-19,0.80687
2023-03-20,1.45612
2023-03-21,2.11664
2023-03-22,1.89521
2023-03-23,1.53493
2023-03-24,1.67379
2023-03-25,0.89319
2023-03-26,0.94573
2023-03-27,1.92524
2023-03-28,2.27801
2023-03-29,1.80514
2023-03-30,1.82016
2023-03-31,1.39983
2023-04-01,1.01328
2023-04-02,0.90069
2023-04-03,1.47489
2023-04-04,1.46363
2023-04-05,1.51617
2023-04-06,1.51242
2023-04-07,1.29475
2023-04-08,0.80312
2023-04-09,0.98701
2023-04-10,1.53118
2023-04-11,1.52368
2023-04-12,1.48615
2023-04-13,1.51242
2023-04-14,1.35479
2023-04-15,0.81438
2023-04-16,0.81438
2023-04-17,1.70757
2023-04-18,1.83517
2023-04-19,1.62876
2023-04-20,1.45988
2023-04-21,1.05456
2023-04-22,0.76559
2023-04-23,0.77309
2023-04-24,1.24221
2023-04-25,1.45988
2023-04-26,1.67004
2023-04-27,1.4261
2023-04-28,1.24971
2023-04-29,0.7806
2023-04-30,0.73181
2023-05-01,1.11086
2023-05-02,1.52743
2023-05-03,1.41109
2023-05-04,1.29475
2023-05-05,0.82939
2023-05-06,1.03955
2023-05-07,0.94573
