date,카카오뱅크주가
2021-12-10,5.76076
2021-12-11,0.64263
2021-12-12,0.51353
2021-12-13,5.45401
2021-12-14,4.78114
2021-12-15,4.64299
2021-12-16,4.70059
2021-12-17,4.39649
2021-12-18,0.52368
2021-12-19,0.4332
2021-12-20,4.4318
2021-12-21,4.54567
2021-12-22,4.52779
2021-12-23,4.81424
2021-12-24,4.50617
2021-12-25,0.52368
2021-12-26,0.48241
2021-12-27,4.7242
2021-12-28,4.77011
2021-12-29,4.30932
2021-12-30,3.92599
2021-12-31,1.2195
2022-01-01,0.36832
2022-01-02,0.37582
2022-01-03,4.23715
2022-01-04,5.02654
2022-01-05,5.35448
2022-01-06,5.26201
2022-01-07,5.18985
2022-01-08,0.73223
2022-01-09,0.65984
2022-01-10,7.43554
2022-01-11,8.24237
2022-01-12,6.7779
2022-01-13,5.93841
2022-01-14,6.50668
2022-01-15,1.11622
2022-01-16,0.98425
2022-01-17,5.85544
2022-01-18,6.51021
2022-01-19,7.3508
2022-01-20,7.51477
2022-01-21,7.05067
2022-01-22,0.99639
2022-01-23,0.7479
2022-01-24,5.65439
2022-01-25,5.8358
2022-01-26,5.87618
2022-01-27,6.44864
2022-01-28,5.74201
2022-01-29,0.81278
2022-01-30,0.5228
2022-01-31,0.59099
2022-02-01,0.56076
2022-02-02,0.62144
2022-02-03,5.44651
2022-02-04,5.02676
2022-02-05,0.70641
2022-02-06,0.55723
2022-02-07,5.70294
2022-02-08,5.99557
2022-02-09,5.37545
2022-02-10,5.41804
2022-02-11,5.08789
2022-02-12,0.66117
2022-02-13,0.4769
2022-02-14,4.95394
2022-02-15,4.75378
2022-02-16,5.65417
2022-02-17,8.26907
2022-02-18,6.05074
2022-02-19,0.62078
2022-02-20,0.53251
2022-02-21,5.24723
2022-02-22,4.32256
2022-02-23,4.21398
2022-02-24,4.37023
2022-02-25,4.52735
2022-02-26,0.46674
2022-02-27,0.35618
2022-02-28,3.87545
2022-03-01,0.59209
2022-03-02,3.75606
2022-03-03,4.04295
2022-03-04,3.84764
2022-03-05,0.38002
2022-03-06,0.30564
2022-03-07,3.37427
2022-03-08,3.46806
2022-03-09,0.44622
2022-03-10,3.7746
2022-03-11,3.61151
2022-03-12,0.42239
2022-03-13,0.36898
2022-03-14,4.08091
2022-03-15,5.26974
2022-03-16,4.6196
2022-03-17,4.40554
2022-03-18,4.10209
2022-03-19,0.48903
2022-03-20,0.37229
2022-03-21,3.70287
2022-03-22,3.50293
2022-03-23,3.77173
2022-03-24,3.31998
2022-03-25,3.11629
2022-03-26,0.33654
2022-03-27,0.25709
2022-03-28,3.16308
2022-03-29,3.15359
2022-03-30,3.07657
2022-03-31,3.49675
2022-04-01,2.96954
2022-04-02,0.3297
2022-04-03,0.23436
2022-04-04,2.89362
2022-04-05,2.88281
2022-04-06,2.94592
2022-04-07,3.2273
2022-04-08,3.10084
2022-04-09,0.33014
2022-04-10,0.27762
2022-04-11,2.94901
2022-04-12,2.71751
2022-04-13,3.06156
2022-04-14,2.89141
2022-04-15,2.46461
2022-04-16,0.2604
2022-04-17,0.22311
2022-04-18,2.55818
2022-04-19,2.58179
2022-04-20,2.47344
2022-04-21,2.45931
2022-04-22,2.54803
2022-04-23,0.35596
2022-04-24,0.26967
2022-04-25,2.60011
2022-04-26,2.72347
2022-04-27,2.51713
2022-04-28,2.66411
2022-04-29,2.64756
2022-04-30,0.31337
2022-05-01,0.24275
2022-05-02,2.72502
2022-05-03,2.83867
2022-05-04,2.5509
2022-05-05,0.39458
2022-05-06,2.64027
2022-05-07,0.3361
2022-05-08,0.28953
2022-05-09,2.67183
2022-05-10,2.68927
2022-05-11,2.56877
2022-05-12,3.08253
2022-05-13,2.951
2022-05-14,0.32771
2022-05-15,0.32639
2022-05-16,2.75459
2022-05-17,2.85787
2022-05-18,2.69876
2022-05-19,2.62416
2022-05-20,2.74973
2022-05-21,0.29439
2022-05-22,0.29064
2022-05-23,2.63873
2022-05-24,2.48668
2022-05-25,2.87839
2022-05-26,2.74024
2022-05-27,2.51823
2022-05-28,0.2838
2022-05-29,0.23547
2022-05-30,2.67271
2022-05-31,2.5147
2022-06-01,0.40539
2022-06-02,2.1722
2022-06-03,2.44607
2022-06-04,0.27806
2022-06-05,0.21891
2022-06-06,0.29086
2022-06-07,2.33131
2022-06-08,2.63785
2022-06-09,2.64292
2022-06-10,2.49992
2022-06-11,0.31271
2022-06-12,0.27696
2022-06-13,3.69184
2022-06-14,3.04302
2022-06-15,2.70802
2022-06-16,2.83558
2022-06-17,2.45247
2022-06-18,0.31226
2022-06-19,0.23149
2022-06-20,2.42886
2022-06-21,2.37126
2022-06-22,2.66036
2022-06-23,2.44475
2022-06-24,2.45026
2022-06-25,0.29218
2022-06-26,0.21362
2022-06-27,2.39884
2022-06-28,2.19074
2022-06-29,4.99234
2022-06-30,2.87464
2022-07-01,3.47954
2022-07-02,0.5634
2022-07-03,0.33367
2022-07-04,2.5328
2022-07-05,2.72766
2022-07-06,2.81307
2022-07-07,2.64822
2022-07-08,2.36817
2022-07-09,0.2593
2022-07-10,0.21516
2022-07-11,2.14395
2022-07-12,2.06649
