date,NH농협증권
2022-06-27,0.53346
2022-06-29,0.87293
2022-06-30,0.63045
2022-07-02,0.24248
2022-07-04,0.33947
2022-07-05,0.63045
2022-07-06,0.38797
2022-07-07,0.82444
2022-07-08,0.48496
2022-07-11,0.63045
2022-07-12,0.92143
2022-07-13,0.24248
2022-07-15,0.72744
2022-07-18,0.48496
2022-07-19,0.38797
2022-07-20,0.58195
2022-07-21,0.48496
2022-07-22,0.29097
2022-07-25,0.38797
2022-07-26,0.48496
2022-07-27,0.33947
2022-07-28,0.53346
2022-07-29,0.33947
2022-08-02,0.67895
2022-08-03,0.67895
2022-08-04,0.48496
2022-08-05,0.43646
2022-08-08,0.77594
2022-08-09,0.48496
2022-08-10,0.43646
2022-08-11,0.33947
2022-08-12,0.38797
2022-08-16,0.24248
2022-08-17,0.24248
2022-08-22,0.24248
2022-08-24,0.63045
2022-08-25,0.24248
2022-08-26,0.38797
2022-08-29,0.33947
2022-08-30,0.24248
2022-09-01,0.29097
2022-09-05,0.29097
2022-09-06,0.48496
2022-09-07,0.29097
2022-09-08,0.63045
2022-09-13,0.63045
2022-09-14,0.63045
2022-09-15,0.82444
2022-09-18,0.33947
2022-09-21,0.58195
2022-09-22,0.48496
2022-09-23,1.01842
2022-09-26,0.58195
2022-09-27,0.72744
2022-09-28,0.77594
2022-09-30,0.33947
2022-10-04,0.43646
2022-10-06,0.29097
2022-10-07,0.33947
2022-10-12,0.53346
2022-10-13,0.29097
2022-10-14,0.63045
2022-10-17,0.72744
2022-10-24,0.33947
2022-10-25,0.38797
2022-10-26,0.24248
2022-10-27,0.63045
2022-10-31,0.29097
2022-11-01,0.29097
2022-11-02,0.29097
2022-11-03,0.33947
2022-11-07,0.53346
2022-11-08,0.24248
2022-11-09,0.67895
2022-11-10,0.24248
2022-11-11,0.58195
2022-11-14,0.92143
2022-11-15,0.63045
2022-11-16,0.72744
2022-11-17,0.33947
2022-11-18,0.38797
2022-11-21,0.38797
2022-11-30,0.24248
2022-12-01,0.29097
2022-12-02,0.33947
2022-12-03,0.38797
2022-12-05,0.29097
2022-12-07,0.53346
2022-12-09,0.24248
2022-12-12,0.58195
2022-12-13,0.72744
2022-12-14,0.29097
2022-12-16,0.29097
2022-12-17,1.01842
2022-12-18,0.82444
2022-12-19,0.67895
2022-12-20,0.29097
2022-12-21,0.33947
2022-12-22,0.24248
2022-12-26,0.33947
2022-12-27,0.92143
2022-12-28,0.33947
2022-12-30,0.53346
2023-01-02,0.77594
2023-01-03,0.48496
2023-01-04,0.58195
2023-01-05,0.63045
2023-01-06,0.24248
2023-01-09,0.58195
2023-01-10,0.24248
2023-01-11,0.24248
2023-01-12,0.38797
2023-01-13,0.67895
2023-01-16,0.77594
2023-01-17,0.29097
2023-01-19,0.24248
2023-01-20,0.53346
2023-01-23,0.33947
2023-01-25,0.82444
2023-01-26,0.72744
2023-01-27,0.72744
2023-01-30,0.29097
2023-01-31,0.48496
2023-02-01,0.43646
2023-02-02,0.63045
2023-02-06,0.33947
2023-02-07,0.53346
2023-02-08,0.72744
2023-02-09,0.87293
2023-02-11,0.29097
2023-02-13,0.53346
2023-02-14,0.33947
2023-02-20,0.33947
2023-02-21,0.58195
2023-02-22,0.38797
2023-02-23,0.29097
2023-02-24,0.33947
2023-02-27,0.24248
2023-02-28,0.53346
2023-03-02,0.58195
2023-03-03,0.43646
2023-03-06,0.24248
2023-03-07,1.06692
2023-03-08,0.24248
2023-03-09,0.38797
2023-03-10,0.24248
2023-03-12,0.58195
2023-03-13,0.82444
2023-03-14,0.24248
2023-03-15,0.58195
2023-03-16,0.33947
2023-03-19,0.24248
2023-03-20,0.53346
2023-03-21,0.29097
2023-03-22,0.58195
2023-03-23,0.77594
2023-03-24,0.92143
2023-03-27,0.29097
2023-03-29,0.72744
2023-03-30,0.58195
2023-03-31,0.48496
2023-04-03,0.48496
2023-04-05,0.33947
2023-04-06,0.33947
2023-04-07,0.87293
2023-04-10,0.53346
2023-04-11,4.31619
2023-04-12,4.75266
2023-04-13,4.70417
2023-04-14,4.94665
2023-04-15,1.3579
2023-04-16,1.69738
2023-04-17,4.41319
2023-04-18,5.18913
2023-04-19,4.46168
2023-04-20,4.2192
2023-04-21,3.54025
2023-04-22,0.77594
2023-04-23,1.3579
2023-04-24,3.68574
2023-04-25,3.34626
2023-04-26,3.24927
2023-04-27,2.61881
2023-04-28,2.66731
2023-04-29,1.21241
2023-04-30,0.77594
2023-05-01,1.93986
2023-05-02,4.51018
2023-05-03,3.15227
2023-05-04,2.7158
2023-05-05,1.89136
2023-05-06,1.3579
2023-05-07,1.74587
2023-05-08,3.44325
2023-05-09,3.05528
2023-05-10,3.58874
2023-05-11,3.00678
2023-05-12,3.00678
2023-05-13,1.16391
2023-05-14,1.4064
2023-05-15,3.73423
2023-05-16,2.61881
2023-05-17,3.20077
2023-05-18,3.10378
2023-05-19,4.07371
2023-05-20,1.01842
2023-05-21,1.01842
2023-05-22,3.39476
2023-05-23,2.90979
2023-05-24,3.20077
2023-05-25,3.24927
2023-05-26,2.86129
2023-05-27,0.82444
2023-05-28,1.01842
2023-05-29,1.3094
2023-05-30,5.09214
2023-05-31,3.63724
2023-06-01,3.92822
2023-06-02,2.47332
2023-06-03,0.92143
2023-06-04,1.11542
2023-06-05,3.34626
2023-06-06,1.01842
2023-06-07,2.7158
2023-06-08,3.29776
2023-06-09,2.47332
2023-06-10,1.01842
2023-06-11,1.16391
2023-06-12,4.2192
2023-06-13,3.78273
2023-06-14,3.54025
2023-06-15,3.63724
2023-06-16,4.2192
2023-06-17,2.57032
2023-06-18,3.00678
2023-06-19,9.65082
2023-06-20,11.15421
2023-06-21,10.28128
2023-06-22,4.89815
2023-06-23,3.63724
2023-06-24,0.72744
2023-06-25,1.26091
2023-06-26,3.54025
2023-06-27,3.20077
2023-06-28,3.10378
2023-06-29,2.08535
2023-06-30,3.73423
