date,데이터센터
2021-12-17,0.47791
2021-12-18,0.24355
2021-12-19,0.20679
2021-12-20,0.36763
2021-12-21,0.3975
2021-12-22,0.44575
2021-12-23,0.34005
2021-12-24,0.25504
2021-12-25,0.12177
2021-12-26,0.16543
2021-12-27,0.32397
2021-12-28,0.36303
2021-12-29,0.42277
2021-12-30,0.34465
2021-12-31,0.21598
2022-01-01,0.16543
2022-01-02,0.15394
2022-01-03,0.42507
2022-01-04,0.3883
2022-01-05,0.36533
2022-01-06,0.36992
2022-01-07,0.33546
2022-01-08,0.14705
2022-01-09,0.17692
2022-01-10,0.45264
2022-01-11,0.50549
2022-01-12,0.37452
2022-01-13,0.38141
2022-01-14,0.33316
2022-01-15,0.14705
2022-01-16,0.15394
2022-01-17,0.38371
2022-01-18,0.3975
2022-01-19,0.45264
2022-01-20,0.44115
2022-01-21,0.36763
2022-01-22,0.16313
2022-01-23,0.17692
2022-01-24,0.32167
2022-01-25,0.40669
2022-01-26,0.34924
2022-01-27,0.40898
2022-01-28,0.31708
2022-01-29,0.12867
2022-01-30,0.0942
2022-01-31,0.12867
2022-02-01,0.13096
2022-02-02,0.14245
2022-02-03,0.37222
2022-02-04,0.32627
2022-02-05,0.11488
2022-02-06,0.16313
2022-02-07,0.31478
2022-02-08,0.47791
2022-02-09,0.37452
2022-02-10,0.3906
2022-02-11,0.36533
2022-02-12,0.17232
2022-02-13,0.18841
2022-02-14,0.40209
2022-02-15,0.40209
2022-02-16,0.42737
2022-02-17,0.44115
2022-02-18,0.36992
2022-02-19,0.19989
2022-02-20,0.1907
2022-02-21,0.45724
2022-02-22,0.37911
2022-02-23,0.47332
2022-02-24,0.33546
2022-02-25,0.34005
2022-02-26,0.30329
2022-02-27,0.1976
2022-02-28,0.27112
2022-03-01,0.1953
2022-03-02,0.33776
2022-03-03,0.3952
2022-03-04,0.31248
2022-03-05,0.14934
2022-03-06,0.28031
2022-03-07,0.34465
2022-03-08,0.34465
2022-03-09,0.15624
2022-03-10,0.35384
2022-03-11,0.35384
2022-03-12,0.21828
2022-03-13,0.23666
2022-03-14,0.36992
2022-03-15,0.37911
2022-03-16,0.44115
2022-03-17,0.40669
2022-03-18,0.34465
2022-03-19,0.22747
2022-03-20,0.24355
2022-03-21,0.4917
2022-03-22,0.52387
2022-03-23,0.40898
2022-03-24,0.34924
2022-03-25,0.41128
2022-03-26,0.18841
2022-03-27,0.19989
2022-03-28,0.39979
2022-03-29,0.47791
2022-03-30,0.63186
2022-03-31,0.52157
2022-04-01,0.45724
2022-04-02,0.25734
2022-04-03,0.22747
2022-04-04,0.51468
2022-04-05,0.76513
2022-04-06,0.59739
2022-04-07,0.55604
2022-04-08,0.54914
2022-04-09,0.21138
2022-04-10,0.20219
2022-04-11,0.43656
2022-04-12,0.41358
2022-04-13,0.51697
2022-04-14,0.4963
2022-04-15,0.41817
2022-04-16,0.15854
2022-04-17,0.15624
2022-04-18,0.49859
2022-04-19,0.4871
2022-04-20,0.54684
2022-04-21,0.57442
2022-04-22,0.43426
2022-04-23,0.28261
2022-04-24,0.17232
2022-04-25,0.62267
2022-04-26,0.53765
2022-04-27,0.61118
2022-04-28,0.56063
2022-04-29,0.59969
2022-04-30,0.43656
2022-05-01,0.31708
2022-05-02,0.47791
2022-05-03,0.51238
2022-05-04,0.5951
2022-05-05,0.25963
