date,우주항공관련주
2022-01-28,1.91433
2022-01-29,2.24934
2022-01-30,1.55539
2022-01-31,1.41182
2022-02-01,2.34505
2022-02-02,3.39794
2022-02-03,3.2065
2022-02-04,3.2065
2022-02-05,2.10576
2022-02-06,1.93826
2022-02-07,3.97224
2022-02-08,4.04402
2022-02-09,3.46972
2022-02-10,2.82364
2022-02-11,1.93826
2022-02-12,1.84254
2022-02-13,2.34505
2022-02-14,1.93826
2022-02-15,3.75687
2022-02-16,2.94328
2022-02-17,3.15865
2022-02-18,4.30725
2022-02-19,2.68006
2022-02-20,2.41684
2022-02-21,1.96219
2022-02-22,1.38789
2022-02-23,1.8904
2022-02-24,1.74682
2022-02-25,1.91433
2022-02-26,3.66116
2022-02-27,2.17755
2022-02-28,5.55156
2022-03-01,6.36515
2022-03-02,5.1687
2022-03-03,4.1876
2022-03-04,2.99114
2022-03-05,4.52261
2022-03-06,2.53649
2022-03-07,2.84757
2022-03-08,2.32112
2022-03-09,1.57932
2022-03-10,4.54654
2022-03-11,5.5037
2022-03-12,4.40296
2022-03-13,5.09691
2022-03-14,7.0591
2022-03-15,4.11581
2022-03-16,7.6334
2022-03-17,6.77195
2022-03-18,10.60062
2022-03-19,3.73295
2022-03-20,3.80473
2022-03-21,4.88155
2022-03-22,5.86264
2022-03-23,5.67121
2022-03-24,6.24551
2022-03-25,6.55659
2022-03-26,7.68126
2022-03-27,5.79085
2022-03-28,7.68126
2022-03-29,9.26058
2022-03-30,7.89662
2022-03-31,8.13591
2022-04-01,6.34122
2022-04-02,4.40296
2022-04-03,4.23546
2022-04-04,4.80976
2022-04-05,5.02512
2022-04-06,3.68509
2022-04-07,3.06293
2022-04-08,3.4458
2022-04-09,5.1687
2022-04-10,8.87772
2022-04-11,9.57166
2022-04-12,5.28834
2022-04-13,3.6133
2022-04-14,4.23546
2022-04-15,4.16367
2022-04-16,2.65613
2022-04-17,3.58937
2022-04-18,3.7808
2022-04-19,3.82866
2022-04-20,3.68509
2022-04-21,3.32615
2022-04-22,2.91935
2022-04-23,2.34505
2022-04-24,2.34505
2022-04-25,4.40296
2022-04-26,6.86767
2022-04-27,6.43694
2022-04-28,6.078
2022-04-29,4.40296
2022-04-30,2.22541
2022-05-01,4.21153
2022-05-02,11.17492
2022-05-03,11.55778
2022-05-04,7.37018
2022-05-05,5.67121
2022-05-06,6.4848
2022-05-07,3.51758
2022-05-08,4.45082
2022-05-09,5.36013
2022-05-10,4.78583
2022-05-11,5.47977
2022-05-12,4.57047
2022-05-13,3.42187
2022-05-14,3.06293
2022-05-15,3.39794
2022-05-16,4.30725
2022-05-17,2.94328
2022-05-18,3.11079
2022-05-19,6.86767
2022-05-20,7.8009
2022-05-21,5.09691
2022-05-22,6.98731
2022-05-23,11.74922
2022-05-24,6.00622
2022-05-25,9.16487
2022-05-26,7.89662
2022-05-27,3.49365
2022-05-28,1.77075
2022-05-29,2.39291
2022-05-30,3.80473
2022-05-31,4.95333
2022-06-01,3.75687
2022-06-02,6.12586
2022-06-03,5.79085
2022-06-04,3.58937
2022-06-05,2.6322
2022-06-06,5.21655
2022-06-07,7.92055
2022-06-08,7.82483
2022-06-09,4.69011
2022-06-10,4.97726
2022-06-11,2.39291
2022-06-12,3.32615
2022-06-13,7.75305
2022-06-14,6.05407
2022-06-15,8.35128
2022-06-16,4.66618
2022-06-17,3.94831
2022-06-18,2.12969
2022-06-19,2.48863
2022-06-20,5.86264
2022-06-21,51.28021
2022-06-22,25.24527
2022-06-23,6.70016
2022-06-24,4.3551
2022-06-25,1.91433
2022-06-26,1.55539
2022-06-27,3.08686
2022-06-28,2.60827
2022-06-29,2.36898
2022-06-30,2.36898
2022-07-01,2.10576
2022-07-02,1.19645
2022-07-03,1.26824
2022-07-04,1.91433
2022-07-05,1.65111
2022-07-06,2.10576
2022-07-07,2.60827
2022-07-08,1.77075
2022-07-09,2.48863
2022-07-10,1.60325
2022-07-11,2.08183
2022-07-12,1.38789
2022-07-13,2.39291
2022-07-14,1.65111
2022-07-15,0.335
2022-07-16,0.78966
2022-07-17,0.40679
2022-07-18,0.71787
2022-07-19,0.43072
2022-07-20,0.93323
2022-07-21,0.47858
2022-07-22,0.62215
2022-07-23,0.23929
2022-07-24,0.11964
2022-07-25,0.78966
2022-07-26,0.50251
2022-07-27,0.78966
2022-07-28,0.81359
2022-07-29,1.24431
2022-07-30,0.55037
2022-07-31,0.5743
2022-08-01,1.10074
2022-08-02,0.81359
2022-08-03,0.71787
2022-08-04,1.67504
2022-08-05,4.47475
2022-08-06,0.95716
2022-08-07,1.00502
2022-08-08,2.4647
2022-08-09,1.84254
2022-08-10,1.02895
2022-08-11,0.62215
2022-08-12,0.40679
2022-08-13,0.26322
2022-08-14,0.14357
2022-08-15,0.35893
2022-08-16,0.40679
2022-08-17,0.98109
2022-08-18,1.45967
2022-08-19,1.19645
2022-08-20,0.40679
2022-08-21,0.55037
2022-08-22,0.31107
2022-08-23,0.5743
2022-08-24,1.00502
2022-08-25,0.35893
2022-08-26,0.62215
2022-08-27,0.64608
2022-08-28,0.45465
2022-08-29,1.24431
2022-08-30,0.67001
2022-08-31,1.00502
2022-09-01,0.59822
2022-09-02,0.45465
2022-09-03,0.50251
2022-09-04,0.1675
2022-09-05,0.7418
2022-09-06,0.38286
2022-09-07,0.19143
2022-09-08,0.19143
2022-09-09,0.23929
2022-09-10,0.23929
2022-09-11,0.23929
2022-09-12,0.43072
2022-09-13,0.47858
2022-09-14,0.43072
2022-09-15,0.59822
2022-09-16,0.55037
2022-09-17,0.1675
2022-09-18,0.19143
2022-09-19,0.45465
2022-09-20,0.28715
2022-09-21,0.67001
2022-09-22,0.35893
2022-09-23,0.21536
2022-09-24,0.28715
2022-09-25,0.35893
2022-09-26,2.32112
2022-09-27,2.10576
2022-09-28,2.01005
2022-09-29,0.95716
2022-09-30,0.43072
2022-10-01,1.81861
2022-10-02,1.57932
2022-10-03,0.93323
2022-10-04,1.07681
2022-10-05,1.8904
2022-10-06,1.26824
2022-10-07,0.78966
2022-10-08,0.31107
2022-10-09,2.53649
