date,상속세신고기한
2022-08-05,45.8498
2022-08-06,23.71541
2022-08-07,37.15415
2022-08-08,52.17391
2022-08-09,51.77865
2022-08-10,42.68774
2022-08-11,51.38339
2022-08-12,41.89723
2022-08-13,26.48221
2022-08-14,29.64426
2022-08-15,33.59683
2022-08-16,55.33596
2022-08-17,52.56916
2022-08-18,51.38339
2022-08-19,48.6166
2022-08-20,30.83003
2022-08-21,49.01185
2022-08-22,63.2411
2022-08-23,45.05928
2022-08-24,62.84584
2022-08-25,61.66007
2022-08-26,58.89328
2022-08-27,30.83003
2022-08-28,29.64426
2022-08-29,61.26482
2022-08-30,47.82608
2022-08-31,52.96442
2022-09-01,64.03162
2022-09-02,43.083
2022-09-03,28.06324
2022-09-04,28.45849
2022-09-05,44.66403
2022-09-06,33.20158
2022-09-07,48.6166
2022-09-08,33.99209
2022-09-09,23.71541
2022-09-10,24.50592
2022-09-11,30.83003
2022-09-12,33.20158
2022-09-13,66.79841
2022-09-14,57.31225
2022-09-15,58.49802
2022-09-16,57.31225
2022-09-17,33.99209
2022-09-18,35.17786
2022-09-19,71.5415
2022-09-20,54.94071
2022-09-21,48.6166
2022-09-22,52.56916
2022-09-23,38.33992
2022-09-24,21.34387
2022-09-25,21.34387
2022-09-26,52.56916
2022-09-27,49.01185
2022-09-28,46.64031
2022-09-29,41.89723
2022-09-30,38.73517
2022-10-01,21.34387
2022-10-02,23.32015
2022-10-03,27.27272
2022-10-04,45.05928
2022-10-05,41.50197
2022-10-06,50.98814
2022-10-07,37.5494
2022-10-08,21.34387
2022-10-09,23.71541
2022-10-10,29.64426
2022-10-11,48.22134
2022-10-12,59.28853
2022-10-13,41.50197
2022-10-14,45.05928
2022-10-15,24.90118
2022-10-16,30.83003
2022-10-17,54.15019
2022-10-18,40.71146
2022-10-19,38.73517
2022-10-20,42.29249
2022-10-21,41.50197
2022-10-22,20.1581
2022-10-23,32.01581
2022-10-24,42.29249
2022-10-25,45.05928
2022-10-26,48.6166
2022-10-27,44.66403
2022-10-28,46.64031
2022-10-29,23.71541
2022-10-30,20.55335
2022-10-31,47.03557
2022-11-01,37.94466
2022-11-02,43.47826
2022-11-03,42.68774
2022-11-04,45.8498
2022-11-05,25.69169
2022-11-06,25.29644
2022-11-07,43.47826
2022-11-08,43.87351
2022-11-09,43.47826
2022-11-10,33.59683
2022-11-11,32.01581
2022-11-12,22.13438
2022-11-13,24.90118
2022-11-14,39.52569
2022-11-15,44.26877
2022-11-16,41.10671
2022-11-17,43.47826
2022-11-18,45.05928
2022-11-19,19.76284
2022-11-20,20.94861
2022-11-21,46.24505
2022-11-22,38.33992
2022-11-23,42.29249
2022-11-24,39.92094
2022-11-25,37.5494
2022-11-26,24.90118
2022-11-27,16.99604
2022-11-28,45.8498
2022-11-29,38.73517
2022-11-30,52.17391
2022-12-01,37.15415
2022-12-02,35.17786
2022-12-03,15.41501
2022-12-04,25.29644
2022-12-05,43.083
2022-12-06,39.92094
2022-12-07,48.22134
2022-12-08,41.89723
2022-12-09,44.26877
2022-12-10,22.9249
2022-12-11,23.32015
2022-12-12,53.75494
2022-12-13,56.12648
2022-12-14,46.64031
2022-12-15,40.3162
2022-12-16,41.10671
2022-12-17,18.97233
2022-12-18,36.36363
2022-12-19,45.05928
2022-12-20,52.56916
2022-12-21,46.24505
2022-12-22,40.3162
2022-12-23,37.15415
2022-12-24,16.99604
2022-12-25,18.57707
2022-12-26,45.45454
2022-12-27,46.64031
2022-12-28,45.8498
2022-12-29,40.3162
2022-12-30,30.43478
2022-12-31,26.08695
2023-01-01,32.01581
2023-01-02,52.56916
2023-01-03,45.05928
2023-01-04,40.71146
2023-01-05,47.82608
2023-01-06,41.50197
2023-01-07,34.38735
2023-01-08,25.69169
2023-01-09,50.59288
2023-01-10,45.8498
2023-01-11,50.98814
2023-01-12,52.17391
2023-01-13,41.10671
2023-01-14,22.9249
2023-01-15,32.80632
2023-01-16,43.083
2023-01-17,46.64031
2023-01-18,41.10671
2023-01-19,39.52569
2023-01-20,32.41106
2023-01-21,23.71541
2023-01-22,28.06324
2023-01-23,26.48221
2023-01-24,30.83003
2023-01-25,53.35968
2023-01-26,50.98814
2023-01-27,49.40711
2023-01-28,30.03952
2023-01-29,29.64426
2023-01-30,62.45059
2023-01-31,50.98814
2023-02-01,40.3162
2023-02-02,44.66403
2023-02-03,50.59288
2023-02-04,16.60079
2023-02-05,26.48221
2023-02-06,53.35968
2023-02-07,48.6166
2023-02-08,59.28853
2023-02-09,47.03557
2023-02-10,46.24505
2023-02-11,27.27272
2023-02-12,27.27272
2023-02-13,60.07905
2023-02-14,51.77865
2023-02-15,52.17391
2023-02-16,55.73122
2023-02-17,50.59288
2023-02-18,32.80632
2023-02-19,31.62055
2023-02-20,59.68379
2023-02-21,50.19762
2023-02-22,54.94071
2023-02-23,54.15019
2023-02-24,49.01185
2023-02-25,36.75889
2023-02-26,31.22529
2023-02-27,53.75494
2023-02-28,46.64031
2023-03-01,30.03952
2023-03-02,42.29249
2023-03-03,43.083
2023-03-04,26.08695
2023-03-05,22.13438
2023-03-06,57.7075
2023-03-07,50.59288
2023-03-08,40.3162
2023-03-09,39.13043
2023-03-10,42.29249
2023-03-11,32.80632
2023-03-12,24.90118
2023-03-13,57.7075
2023-03-14,56.52173
2023-03-15,49.40711
2023-03-16,45.45454
2023-03-17,37.15415
2023-03-18,32.01581
