date,엔젤투자
2021-11-25,12.55246
2021-11-26,6.18084
2021-11-27,2.2892
2021-11-28,5.49408
2021-11-29,6.33346
2021-11-30,6.56238
2021-12-01,5.60854
2021-12-02,5.45593
2021-12-03,5.49408
2021-12-04,3.73903
2021-12-05,4.76917
2021-12-06,6.67684
2021-12-07,6.40976
2021-12-08,7.4399
2021-12-09,6.44792
2021-12-10,8.73712
2021-12-11,4.69286
2021-12-12,3.96795
2021-12-13,7.4399
2021-12-14,7.97405
2021-12-15,6.44792
2021-12-16,6.67684
2021-12-17,6.67684
2021-12-18,5.11255
2021-12-19,16.17703
2021-12-20,8.62266
2021-12-21,6.63868
2021-12-22,7.66882
2021-12-23,7.40175
2021-12-24,6.33346
2021-12-25,3.35749
2021-12-26,3.35749
2021-12-27,5.83746
2021-12-28,6.40976
2021-12-29,6.7913
2021-12-30,4.46394
2021-12-31,3.66272
2022-01-01,2.21289
2022-01-02,3.96795
2022-01-03,6.40976
2022-01-04,5.57039
2022-01-05,6.37161
2022-01-06,5.49408
2022-01-07,14.76535
2022-01-08,13.96413
2022-01-09,24.99046
2022-01-10,21.55665
2022-01-11,14.38382
2022-01-12,11.29339
2022-01-13,9.61465
2022-01-14,8.31743
2022-01-15,4.99809
2022-01-16,5.91377
2022-01-17,9.69095
2022-01-18,10.56848
2022-01-19,13.54444
2022-01-20,9.30942
2022-01-21,8.66081
2022-01-22,5.87561
2022-01-23,5.45593
2022-01-24,7.89774
2022-01-25,7.66882
2022-01-26,8.92789
2022-01-27,8.16482
2022-01-28,5.91377
2022-01-29,4.65471
2022-01-30,5.45593
2022-01-31,3.96795
2022-02-01,4.12056
2022-02-02,3.31934
2022-02-03,7.05837
2022-02-04,6.33346
2022-02-05,4.08241
2022-02-06,4.65471
2022-02-07,7.05837
2022-02-08,7.89774
2022-02-09,7.55436
2022-02-10,5.76115
2022-02-11,5.83746
2022-02-12,3.05227
2022-02-13,3.20488
2022-02-14,6.71499
2022-02-15,6.56238
2022-02-16,5.07439
2022-02-17,5.30331
2022-02-18,4.23502
2022-02-19,3.16673
2022-02-20,2.89965
2022-02-21,5.49408
2022-02-22,5.723
2022-02-23,6.98206
2022-02-24,7.51621
2022-02-25,6.37161
2022-02-26,3.89164
2022-02-27,3.62457
2022-02-28,5.37962
2022-03-01,3.05227
2022-03-02,6.02823
2022-03-03,5.1507
2022-03-04,4.31133
2022-03-05,2.82334
2022-03-06,4.34948
2022-03-07,5.45593
2022-03-08,4.08241
2022-03-09,3.12857
2022-03-10,5.11255
2022-03-11,4.31133
2022-03-12,4.08241
2022-03-13,4.76917
2022-03-14,5.03624
2022-03-15,6.02823
2022-03-16,7.24914
2022-03-17,6.94391
2022-03-18,4.73101
2022-03-19,2.89965
2022-03-20,3.51011
2022-03-21,5.53223
2022-03-22,5.87561
2022-03-23,6.40976
2022-03-24,4.99809
2022-03-25,4.95993
2022-03-26,4.42579
2022-03-27,6.06638
2022-03-28,7.3636
2022-03-29,5.723
2022-03-30,6.33346
2022-03-31,6.82945
2022-04-01,5.18885
2022-04-02,3.70087
2022-04-03,3.05227
2022-04-04,5.37962
2022-04-05,5.30331
2022-04-06,5.60854
2022-04-07,3.58641
2022-04-08,4.76917
2022-04-09,2.63258
2022-04-10,2.2892
2022-04-11,4.12056
2022-04-12,4.04425
2022-04-13,4.50209
2022-04-14,7.05837
2022-04-15,7.4399
2022-04-16,2.8615
2022-04-17,2.44181
2022-04-18,6.82945
2022-04-19,6.7913
2022-04-20,6.94391
2022-04-21,4.76917
2022-04-22,4.5784
2022-04-23,2.17474
2022-04-24,2.97596
2022-04-25,5.26516
2022-04-26,5.34147
2022-04-27,5.34147
2022-04-28,4.5784
2022-04-29,4.99809
2022-04-30,3.39565
2022-05-01,3.35749
2022-05-02,4.27317
2022-05-03,5.11255
2022-05-04,4.50209
2022-05-05,2.67073
2022-05-06,3.89164
2022-05-07,2.63258
2022-05-08,1.98397
2022-05-09,5.1507
2022-05-10,5.11255
2022-05-11,6.90576
2022-05-12,4.80732
2022-05-13,5.41777
2022-05-14,3.51011
2022-05-15,4.12056
2022-05-16,7.05837
2022-05-17,5.79931
2022-05-18,6.52422
2022-05-19,5.87561
2022-05-20,5.18885
2022-05-21,2.47996
2022-05-22,3.51011
2022-05-23,5.37962
2022-05-24,5.99008
2022-05-25,7.74513
2022-05-26,8.92789
2022-05-27,8.16482
2022-05-28,4.73101
2022-05-29,3.54826
2022-05-30,4.76917
2022-05-31,4.84547
2022-06-01,3.85349
2022-06-02,4.38763
2022-06-03,5.60854
2022-06-04,3.20488
2022-06-05,3.12857
2022-06-06,3.31934
2022-06-07,6.63868
2022-06-08,6.40976
2022-06-09,5.68485
2022-06-10,5.95192
2022-06-11,4.0061
2022-06-12,3.4338
2022-06-13,5.83746
2022-06-14,6.02823
2022-06-15,5.11255
2022-06-16,5.30331
2022-06-17,6.10454
2022-06-18,2.63258
2022-06-19,2.17474
2022-06-20,4.95993
2022-06-21,5.18885
2022-06-22,4.73101
2022-06-23,4.54025
2022-06-24,4.19687
2022-06-25,2.63258
2022-06-26,1.7932
2022-06-27,4.31133
2022-06-28,4.80732
2022-06-29,4.92178
2022-06-30,4.54025
2022-07-01,4.34948
2022-07-02,1.86951
2022-07-03,2.13658
2022-07-04,3.89164
2022-07-05,4.73101
2022-07-06,4.61655
2022-07-07,4.42579
2022-07-08,2.63258
2022-07-09,1.75505
2022-07-10,1.98397
2022-07-11,4.0061
2022-07-12,4.84547
2022-07-13,4.34948
2022-07-14,3.81533
2022-07-15,3.81533
2022-07-16,4.65471
2022-07-17,4.27317
2022-07-18,5.26516
2022-07-19,4.5784
2022-07-20,4.31133
2022-07-21,4.54025
2022-07-22,4.04425
2022-07-23,2.89965
2022-07-24,1.98397
2022-07-25,3.92979
2022-07-26,4.0061
2022-07-27,7.66882
2022-07-28,7.02022
2022-07-29,5.03624
2022-07-30,2.8615
2022-07-31,6.7913
2022-08-01,5.49408
2022-08-02,5.79931
2022-08-03,4.92178
2022-08-04,6.48607
2022-08-05,3.92979
2022-08-06,2.74704
2022-08-07,2.06028
2022-08-08,4.34948
2022-08-09,3.89164
2022-08-10,3.92979
2022-08-11,4.15871
2022-08-12,3.54826
2022-08-13,2.51812
2022-08-14,2.55627
2022-08-15,1.7169
2022-08-16,3.66272
2022-08-17,4.12056
2022-08-18,4.31133
2022-08-19,4.0061
2022-08-20,2.70888
2022-08-21,3.81533
2022-08-22,4.80732
2022-08-23,3.89164
2022-08-24,4.80732
2022-08-25,4.12056
2022-08-26,3.05227
2022-08-27,2.13658
2022-08-28,1.98397
2022-08-29,2.78519
2022-08-30,4.5784
2022-08-31,4.46394
2022-09-01,4.0061
2022-09-02,3.20488
2022-09-03,1.94582
2022-09-04,1.90766
2022-09-05,2.67073
2022-09-06,4.04425
2022-09-07,3.66272
2022-09-08,3.73903
2022-09-09,1.18275
2022-09-10,1.52613
2022-09-11,1.7932
2022-09-12,2.59442
2022-09-13,4.84547
2022-09-14,4.73101
2022-09-15,4.73101
2022-09-16,3.92979
2022-09-17,1.98397
2022-09-18,2.06028
2022-09-19,5.723
2022-09-20,6.219
2022-09-21,4.61655
2022-09-22,5.03624
2022-09-23,4.27317
2022-09-24,1.86951
2022-09-25,3.39565
2022-09-26,6.63868
2022-09-27,7.51621
2022-09-28,6.56238
2022-09-29,5.18885
2022-09-30,3.09042
2022-10-01,2.8615
2022-10-02,1.83136
2022-10-03,2.2892
2022-10-04,3.35749
2022-10-05,4.0061
2022-10-06,3.66272
2022-10-07,3.16673
2022-10-08,1.75505
2022-10-09,1.56428
2022-10-10,1.75505
2022-10-11,3.73903
2022-10-12,4.19687
2022-10-13,3.92979
2022-10-14,3.47195
2022-10-15,2.44181
2022-10-16,2.21289
2022-10-17,2.78519
2022-10-18,3.92979
2022-10-19,3.73903
2022-10-20,3.12857
2022-10-21,2.44181
2022-10-22,2.06028
2022-10-23,1.56428
2022-10-24,3.66272
2022-10-25,4.34948
2022-10-26,3.73903
2022-10-27,3.58641
2022-10-28,2.70888
2022-10-29,1.90766
2022-10-30,1.48798
2022-10-31,3.12857
2022-11-01,3.51011
2022-11-02,4.0061
2022-11-03,3.66272
2022-11-04,2.44181
2022-11-05,1.41167
2022-11-06,1.37352
2022-11-07,3.01411
2022-11-08,4.19687
2022-11-09,4.12056
2022-11-10,4.61655
2022-11-11,5.07439
2022-11-12,2.70888
2022-11-13,2.59442
2022-11-14,4.92178
2022-11-15,3.85349
2022-11-16,4.08241
2022-11-17,4.80732
2022-11-18,3.96795
2022-11-19,2.09843
2022-11-20,2.09843
2022-11-21,4.88363
2022-11-22,4.73101
2022-11-23,3.31934
2022-11-24,3.39565
2022-11-25,2.78519
2022-11-26,1.33536
2022-11-27,1.2209
2022-11-28,3.4338
2022-11-29,3.09042
2022-11-30,4.80732
2022-12-01,3.96795
2022-12-02,3.09042
2022-12-03,1.67874
2022-12-04,2.25104
2022-12-05,4.12056
2022-12-06,3.85349
2022-12-07,4.04425
2022-12-08,4.0061
2022-12-09,4.69286
2022-12-10,2.3655
2022-12-11,2.55627
2022-12-12,5.07439
2022-12-13,4.23502
2022-12-14,5.18885
2022-12-15,4.84547
2022-12-16,4.23502
2022-12-17,1.90766
2022-12-18,2.47996
2022-12-19,3.35749
2022-12-20,4.31133
2022-12-21,4.50209
2022-12-22,3.89164
2022-12-23,3.05227
2022-12-24,1.37352
2022-12-25,2.74704
2022-12-26,3.51011
2022-12-27,3.81533
2022-12-28,4.19687
2022-12-29,3.20488
2022-12-30,2.09843
2022-12-31,1.44982
2023-01-01,1.41167
2023-01-02,3.35749
2023-01-03,3.16673
2023-01-04,3.96795
2023-01-05,2.82334
2023-01-06,3.77718
2023-01-07,1.64059
2023-01-08,2.02212
2023-01-09,4.50209
2023-01-10,2.82334
2023-01-11,3.92979
2023-01-12,3.85349
2023-01-13,2.63258
2023-01-14,1.83136
2023-01-15,2.2892
2023-01-16,3.77718
2023-01-17,3.73903
2023-01-18,3.96795
2023-01-19,4.15871
2023-01-20,3.4338
2023-01-21,3.05227
2023-01-22,3.05227
2023-01-23,5.76115
2023-01-24,4.99809
2023-01-25,5.64669
2023-01-26,5.03624
2023-01-27,3.81533
2023-01-28,2.06028
2023-01-29,2.13658
2023-01-30,4.08241
2023-01-31,4.38763
2023-02-01,4.42579
2023-02-02,3.73903
2023-02-03,4.04425
2023-02-04,1.98397
2023-02-05,2.44181
2023-02-06,3.31934
2023-02-07,4.42579
2023-02-08,4.04425
2023-02-09,3.66272
2023-02-10,3.73903
2023-02-11,1.60244
2023-02-12,2.32735
2023-02-13,3.39565
2023-02-14,3.89164
2023-02-15,4.46394
2023-02-16,3.28119
2023-02-17,3.12857
2023-02-18,2.21289
2023-02-19,2.63258
2023-02-20,4.23502
2023-02-21,5.57039
2023-02-22,3.05227
2023-02-23,4.38763
2023-02-24,3.77718
2023-02-25,2.3655
2023-02-26,2.25104
2023-02-27,3.4338
2023-02-28,3.28119
2023-03-01,2.51812
2023-03-02,3.70087
2023-03-03,3.62457
2023-03-04,1.7932
2023-03-05,2.32735
2023-03-06,3.62457
2023-03-07,3.4338
2023-03-08,3.70087
2023-03-09,3.62457
2023-03-10,3.51011
2023-03-11,1.86951
2023-03-12,2.3655
2023-03-13,3.62457
2023-03-14,4.65471
2023-03-15,4.92178
2023-03-16,3.47195
2023-03-17,2.74704
2023-03-18,1.44982
2023-03-19,1.83136
2023-03-20,3.51011
2023-03-21,3.31934
2023-03-22,3.31934
2023-03-23,3.77718
2023-03-24,3.73903
2023-03-25,1.56428
2023-03-26,1.64059
2023-03-27,3.58641
2023-03-28,3.12857
2023-03-29,3.05227
2023-03-30,3.12857
2023-03-31,3.16673
2023-04-01,1.56428
2023-04-02,2.02212
2023-04-03,3.62457
2023-04-04,4.69286
2023-04-05,4.50209
2023-04-06,3.35749
2023-04-07,3.51011
2023-04-08,1.41167
2023-04-09,1.94582
2023-04-10,3.58641
2023-04-11,3.35749
2023-04-12,4.12056
2023-04-13,4.12056
2023-04-14,3.28119
2023-04-15,2.32735
2023-04-16,2.44181
2023-04-17,4.04425
2023-04-18,4.99809
2023-04-19,4.69286
2023-04-20,5.1507
2023-04-21,3.77718
2023-04-22,1.7932
2023-04-23,1.60244
2023-04-24,3.70087
2023-04-25,3.54826
2023-04-26,3.70087
2023-04-27,4.34948
2023-04-28,2.9378
2023-04-29,2.40366
2023-04-30,2.40366
2023-05-01,5.1507
2023-05-02,5.07439
2023-05-03,3.73903
2023-05-04,3.28119
2023-05-05,1.56428
2023-05-06,1.94582
2023-05-07,1.83136
2023-05-08,3.16673
2023-05-09,2.8615
2023-05-10,3.58641
2023-05-11,3.47195
2023-05-12,3.66272
2023-05-13,1.94582
2023-05-14,2.97596
2023-05-15,3.77718
2023-05-16,19.00038
2023-05-17,14.7272
2023-05-18,4.95993
2023-05-19,3.77718
2023-05-20,2.09843
2023-05-21,2.09843
2023-05-22,4.76917
2023-05-23,5.64669
2023-05-24,5.41777
2023-05-25,4.04425
2023-05-26,4.19687
2023-05-27,2.09843
