date,회사채금리
2022-01-10,9.15395
2022-01-11,5.82524
2022-01-12,5.27045
2022-01-13,6.65742
2022-01-14,8.04438
2022-01-15,3.4674
2022-01-16,2.77392
2022-01-17,6.65742
2022-01-18,8.46047
2022-01-19,9.15395
2022-01-20,7.3509
2022-01-21,7.2122
2022-01-22,5.13176
2022-01-23,3.05131
2022-01-24,6.65742
2022-01-25,8.46047
2022-01-26,5.40915
2022-01-27,7.3509
2022-01-28,5.96393
2022-01-29,4.29958
2022-01-30,2.77392
2022-01-31,3.4674
2022-02-01,2.63522
2022-02-02,1.66435
2022-02-03,7.48959
2022-02-04,5.40915
2022-02-05,2.21914
2022-02-06,2.63522
2022-02-07,7.0735
2022-02-08,8.32177
2022-02-09,17.33703
2022-02-10,18.58529
2022-02-11,14.42441
2022-02-12,7.0735
2022-02-13,6.38002
2022-02-14,12.06657
2022-02-15,11.92787
2022-02-16,10.54091
2022-02-17,8.04438
2022-02-18,6.79611
2022-02-19,2.91262
2022-02-20,4.43828
2022-02-21,10.54091
2022-02-22,9.15395
2022-02-23,10.12482
2022-02-24,8.32177
2022-02-25,6.38002
2022-02-26,2.21914
2022-02-27,4.43828
2022-02-28,7.48959
2022-03-01,4.16088
2022-03-02,5.96393
2022-03-03,9.01525
2022-03-04,7.76699
2022-03-05,1.94174
2022-03-06,4.29958
2022-03-07,5.40915
2022-03-08,6.10263
2022-03-09,2.91262
2022-03-10,8.18307
2022-03-11,5.27045
2022-03-12,1.66435
2022-03-13,3.74479
2022-03-14,9.29264
2022-03-15,6.24133
2022-03-16,7.76699
2022-03-17,7.3509
2022-03-18,8.73786
2022-03-19,2.63522
2022-03-20,2.91262
2022-03-21,6.93481
2022-03-22,7.48959
2022-03-23,6.65742
2022-03-24,6.79611
2022-03-25,6.79611
2022-03-26,3.4674
2022-03-27,2.08044
2022-03-28,9.98613
2022-03-29,14.14701
2022-03-30,14.00832
2022-03-31,9.15395
2022-04-01,7.48959
2022-04-02,4.85436
2022-04-03,7.62829
2022-04-04,9.84743
2022-04-05,11.65048
2022-04-06,15.81137
2022-04-07,15.11789
2022-04-08,11.23439
2022-04-09,5.82524
2022-04-10,5.54785
2022-04-11,14.28571
2022-04-12,18.72399
2022-04-13,17.05963
2022-04-14,24.96532
2022-04-15,25.24271
2022-04-16,12.76005
2022-04-17,11.51178
2022-04-18,20.11095
2022-04-19,18.86269
2022-04-20,17.75312
2022-04-21,24.68793
2022-04-22,16.78224
2022-04-23,12.34396
2022-04-24,11.65048
2022-04-25,14.5631
2022-04-26,19.97226
2022-04-27,17.47572
