date,유상증자
2021-10-21,0.67092
2021-10-22,0.53668
2021-10-23,0.19971
2021-10-24,0.14595
2021-10-25,0.44718
2021-10-26,0.5589
2021-10-27,0.62888
2021-10-28,0.73279
2021-10-29,0.41625
2021-10-30,0.14926
2021-10-31,0.14235
2021-11-01,0.67272
2021-11-02,0.51595
2021-11-03,0.70546
2021-11-04,0.65741
2021-11-05,0.5607
2021-11-06,0.15166
2021-11-07,0.12733
2021-11-08,0.30663
2021-11-09,0.58293
2021-11-10,0.57572
2021-11-11,0.66642
2021-11-12,0.48472
2021-11-13,0.17268
2021-11-14,0.15496
2021-11-15,0.44237
2021-11-16,1.0214
2021-11-17,0.79646
2021-11-18,0.50604
2021-11-19,0.4694
2021-11-20,0.17088
2021-11-21,0.15646
2021-11-22,0.35828
2021-11-23,0.38862
2021-11-24,0.49223
2021-11-25,0.45229
2021-11-26,1.33915
2021-11-27,0.49463
2021-11-28,0.28861
2021-11-29,1.78183
2021-11-30,0.7388
2021-12-01,1.16195
2021-12-02,1.22352
2021-12-03,0.49433
2021-12-04,0.17358
2021-12-05,0.14655
2021-12-06,0.4682
2021-12-07,0.42616
2021-12-08,0.29161
2021-12-09,0.31474
2021-12-10,0.29131
2021-12-11,0.12043
2021-12-12,0.12253
2021-12-13,0.27209
2021-12-14,0.32345
2021-12-15,0.34417
2021-12-16,0.29912
2021-12-17,0.27269
2021-12-18,0.13214
2021-12-19,0.10271
2021-12-20,0.41054
2021-12-21,0.3742
2021-12-22,0.45259
2021-12-23,0.555
2021-12-24,0.30543
2021-12-25,0.12463
2021-12-26,0.11622
2021-12-27,0.29191
2021-12-28,0.27269
2021-12-29,0.29552
2021-12-30,0.25017
2021-12-31,0.19431
2022-01-01,0.0943
2022-01-02,0.15526
2022-01-03,0.32134
2022-01-04,0.88475
2022-01-05,0.42706
2022-01-06,0.3778
2022-01-07,0.35198
2022-01-08,0.14355
2022-01-09,0.13995
2022-01-10,0.2859
2022-01-11,0.32375
2022-01-12,0.35528
2022-01-13,0.27179
2022-01-14,0.49163
2022-01-15,0.14535
2022-01-16,0.12103
2022-01-17,0.24957
2022-01-18,0.24686
2022-01-19,0.29311
2022-01-20,0.36009
2022-01-21,0.46069
2022-01-22,0.16217
2022-01-23,0.12643
2022-01-24,0.38741
2022-01-25,0.40573
2022-01-26,0.32405
2022-01-27,0.54238
2022-01-28,1.04423
2022-01-29,0.24656
2022-01-30,0.14265
2022-01-31,0.11051
2022-02-01,0.11262
2022-02-02,0.13814
2022-02-03,0.26698
2022-02-04,0.24866
2022-02-05,0.12553
2022-02-06,0.12103
2022-02-07,0.34447
2022-02-08,0.34747
2022-02-09,0.32825
2022-02-10,0.464
2022-02-11,0.45349
2022-02-12,0.14595
2022-02-13,0.11502
2022-02-14,0.31594
2022-02-15,0.34207
2022-02-16,0.3733
2022-02-17,0.43907
2022-02-18,0.39432
2022-02-19,0.14776
2022-02-20,0.10721
2022-02-21,0.23185
2022-02-22,0.26278
2022-02-23,0.36849
2022-02-24,0.24266
2022-02-25,0.23185
2022-02-26,0.08769
2022-02-27,0.10931
2022-02-28,0.28711
2022-03-01,0.14655
2022-03-02,0.32555
2022-03-03,0.37
2022-03-04,0.28951
2022-03-05,0.13214
2022-03-06,0.10901
2022-03-07,0.25407
2022-03-08,0.22133
2022-03-09,0.09099
2022-03-10,0.23125
2022-03-11,0.25617
2022-03-12,0.12703
2022-03-13,0.13244
2022-03-14,0.29371
2022-03-15,0.29311
2022-03-16,0.2859
2022-03-17,0.57632
2022-03-18,0.27029
2022-03-19,0.14055
2022-03-20,0.12883
2022-03-21,0.2853
2022-03-22,0.30483
2022-03-23,0.31954
2022-03-24,0.27089
2022-03-25,0.42616
2022-03-26,0.14625
2022-03-27,0.12133
2022-03-28,0.33696
2022-03-29,0.39312
2022-03-30,0.32014
2022-03-31,0.53728
2022-04-01,0.42766
2022-04-02,0.14565
2022-04-03,0.13935
2022-04-04,0.279
2022-04-05,0.34056
2022-04-06,0.40333
2022-04-07,0.39492
2022-04-08,0.38141
2022-04-09,0.16878
2022-04-10,0.12763
2022-04-11,0.25287
2022-04-12,0.2772
2022-04-13,0.28891
2022-04-14,0.34987
2022-04-15,0.2832
2022-04-16,0.14265
2022-04-17,0.12883
2022-04-18,0.29431
2022-04-19,0.2826
2022-04-20,0.2778
2022-04-21,0.32675
2022-04-22,0.24116
2022-04-23,0.10631
2022-04-24,0.10691
2022-04-25,0.18439
2022-04-26,0.19731
2022-04-27,0.1877
2022-04-28,0.24416
2022-04-29,0.19941
2022-04-30,0.07958
2022-05-01,0.07538
2022-05-02,0.20602
2022-05-03,0.23034
2022-05-04,0.26488
2022-05-05,0.13184
2022-05-06,0.2787
2022-05-07,0.0964
2022-05-08,0.08799
2022-05-09,0.21142
2022-05-10,0.20872
2022-05-11,0.20452
2022-05-12,0.20271
2022-05-13,0.24776
2022-05-14,0.10151
2022-05-15,0.07748
2022-05-16,0.24206
2022-05-17,0.21683
2022-05-18,0.21863
2022-05-19,0.22374
2022-05-20,0.1874
2022-05-21,0.07357
2022-05-22,0.07087
2022-05-23,0.24716
