date,KB손해보험다이렉트
2021-10-23,18.99293
2021-10-24,18.55123
2021-10-25,44.08127
2021-10-26,39.84098
2021-10-27,38.5159
2021-10-28,40.5477
2021-10-29,32.77385
2021-10-30,17.66784
2021-10-31,19.69964
2021-11-01,39.48763
2021-11-02,39.22261
2021-11-03,38.5159
2021-11-04,39.13427
2021-11-05,33.83392
2021-11-06,17.84452
2021-11-07,16.07773
2021-11-08,37.6325
2021-11-09,38.78091
2021-11-10,39.31095
2021-11-11,34.98233
2021-11-12,35.68904
2021-11-13,18.10954
2021-11-14,17.49116
2021-11-15,41.60777
2021-11-16,34.45229
2021-11-17,37.89752
2021-11-18,32.33215
2021-11-19,32.50883
2021-11-20,16.87279
2021-11-21,15.90106
2021-11-22,38.60424
2021-11-23,32.33215
2021-11-24,33.74558
2021-11-25,34.45229
2021-11-26,35.07067
2021-11-27,20.75971
2021-11-28,20.053
2021-11-29,46.20141
2021-11-30,39.22261
2021-12-01,40.106
2021-12-02,34.89399
2021-12-03,35.86572
2021-12-04,20.67137
2021-12-05,19.08127
2021-12-06,39.84098
2021-12-07,42.84452
2021-12-08,35.07067
2021-12-09,36.92579
2021-12-10,36.30742
2021-12-11,18.46289
2021-12-12,18.63957
2021-12-13,46.81978
2021-12-14,35.51236
2021-12-15,41.07773
2021-12-16,35.42402
2021-12-17,34.54063
2021-12-18,20.75971
2021-12-19,18.99293
2021-12-20,45.93639
2021-12-21,43.10954
2021-12-22,40.5477
2021-12-23,38.33922
2021-12-24,30.12367
2021-12-25,18.63957
2021-12-26,24.20494
2021-12-27,49.20494
2021-12-28,42.5795
2021-12-29,37.54416
2021-12-30,35.33568
2021-12-31,32.59717
2022-01-01,21.02473
2022-01-02,20.49469
2022-01-03,41.87279
2022-01-04,40.106
2022-01-05,41.07773
2022-01-06,28.44522
2022-01-07,32.86219
2022-01-08,18.28621
2022-01-09,16.87279
2022-01-10,38.86925
2022-01-11,38.16254
2022-01-12,39.04593
2022-01-13,36.92579
2022-01-14,35.6007
2022-01-15,17.31448
2022-01-16,15.90106
2022-01-17,38.60424
2022-01-18,38.0742
2022-01-19,35.68904
2022-01-20,38.33922
2022-01-21,35.95406
2022-01-22,20.67137
2022-01-23,19.96466
2022-01-24,41.51943
2022-01-25,42.66784
2022-01-26,41.16607
2022-01-27,39.13427
2022-01-28,35.42402
2022-01-29,22.5265
2022-01-30,18.99293
2022-01-31,19.16961
2022-02-01,20.58303
2022-02-02,22.43816
2022-02-03,51.1484
2022-02-04,43.46289
2022-02-05,22.26148
2022-02-06,18.0212
2022-02-07,47.43816
2022-02-08,43.63957
2022-02-09,43.55123
2022-02-10,40.37102
2022-02-11,40.81272
2022-02-12,21.90812
2022-02-13,18.63957
2022-02-14,41.25441
2022-02-15,42.22614
2022-02-16,39.75265
2022-02-17,38.86925
2022-02-18,36.0424
2022-02-19,21.81978
2022-02-20,21.73144
2022-02-21,59.09893
2022-02-22,45.49469
2022-02-23,40.72438
2022-02-24,41.69611
2022-02-25,37.80918
2022-02-26,25.17667
2022-02-27,21.73144
2022-02-28,50.53003
2022-03-01,27.12014
