date,주식종목
2022-11-30,8.70406
2022-12-01,6.67311
2022-12-02,9.18762
2022-12-03,3.86847
2022-12-04,4.25531
2022-12-05,7.25338
2022-12-06,6.86653
2022-12-07,8.02707
2022-12-08,6.18955
2022-12-09,6.28626
2022-12-10,4.44874
2022-12-11,4.9323
2022-12-12,8.12379
2022-12-13,8.99419
2022-12-14,7.64023
2022-12-15,8.60735
2022-12-16,6.38297
2022-12-17,4.35203
2022-12-18,3.67504
2022-12-19,8.60735
2022-12-20,7.15667
2022-12-21,7.83365
2022-12-22,7.35009
2022-12-23,7.83365
2022-12-24,3.48162
2022-12-25,3.77176
2022-12-26,5.89941
2022-12-27,6.28626
2022-12-28,8.80077
2022-12-29,5.51257
2022-12-30,5.12572
2022-12-31,3.86847
2023-01-01,4.9323
2023-01-02,8.51063
2023-01-03,8.02707
2023-01-04,8.99419
2023-01-05,8.31721
2023-01-06,5.60928
2023-01-07,5.02901
2023-01-08,5.12572
2023-01-09,8.60735
2023-01-10,7.73694
2023-01-11,8.31721
2023-01-12,10.83172
2023-01-13,11.02514
2023-01-14,6.5764
2023-01-15,4.83558
2023-01-16,8.60735
2023-01-17,10.15473
2023-01-18,8.12379
2023-01-19,9.57446
2023-01-20,7.15667
2023-01-21,5.41586
2023-01-22,5.70599
2023-01-23,7.25338
2023-01-24,6.47969
2023-01-25,11.70212
2023-01-26,13.73307
2023-01-27,11.41199
2023-01-28,5.89941
2023-01-29,6.76982
2023-01-30,12.86266
2023-01-31,11.21856
2023-02-01,14.7969
2023-02-02,12.57253
2023-02-03,13.92649
2023-02-04,7.64023
2023-02-05,7.05996
2023-02-06,10.63829
2023-02-07,9.76789
2023-02-08,14.50676
2023-02-09,14.60348
2023-02-10,12.28239
2023-02-11,6.86653
2023-02-12,5.8027
2023-02-13,9.76789
2023-02-14,11.89555
2023-02-15,11.21856
2023-02-16,10.05802
2023-02-17,9.8646
2023-02-18,6.47969
2023-02-19,6.09284
2023-02-20,9.96131
2023-02-21,13.1528
2023-02-22,9.57446
2023-02-23,9.8646
2023-02-24,10.63829
2023-02-25,4.54545
2023-02-26,5.99613
2023-02-27,9.57446
2023-02-28,9.0909
2023-03-01,5.31914
2023-03-02,8.99419
2023-03-03,8.99419
2023-03-04,4.73887
2023-03-05,5.51257
2023-03-06,11.89555
2023-03-07,11.89555
2023-03-08,14.41005
2023-03-09,13.05609
2023-03-10,10.54158
2023-03-11,5.02901
2023-03-12,5.99613
2023-03-13,11.89555
2023-03-14,8.02707
2023-03-15,8.99419
2023-03-16,11.41199
2023-03-17,11.41199
2023-03-18,5.22243
2023-03-19,5.70599
2023-03-20,11.70212
2023-03-21,11.31528
2023-03-22,11.79883
2023-03-23,13.63636
2023-03-24,12.47582
2023-03-25,6.5764
2023-03-26,7.64023
2023-03-27,11.31528
2023-03-28,11.31528
2023-03-29,13.92649
2023-03-30,11.99226
2023-03-31,11.70212
2023-04-01,6.86653
2023-04-02,5.99613
2023-04-03,11.60541
2023-04-04,15.66731
2023-04-05,15.86073
2023-04-06,13.24951
2023-04-07,15.18375
2023-04-08,6.96324
2023-04-09,8.60735
2023-04-10,17.11798
2023-04-11,17.79497
2023-04-12,20.88974
2023-04-13,19.53578
2023-04-14,14.89361
2023-04-15,7.05996
2023-04-16,8.31721
2023-04-17,17.11798
2023-04-18,16.24758
2023-04-19,15.86073
2023-04-20,12.18568
2023-04-21,11.70212
2023-04-22,5.8027
2023-04-23,4.35203
2023-04-24,11.79883
2023-04-25,14.31334
2023-04-26,12.95938
2023-04-27,12.66924
2023-04-28,9.28433
2023-04-29,6.5764
2023-04-30,5.70599
2023-05-01,6.5764
2023-05-02,9.96131
2023-05-03,12.57253
2023-05-04,10.15473
2023-05-05,5.8027
2023-05-06,5.99613
2023-05-07,6.09284
2023-05-08,10.83172
2023-05-09,12.08897
2023-05-10,10.735
2023-05-11,11.89555
2023-05-12,11.02514
2023-05-13,3.96518
2023-05-14,5.60928
2023-05-15,11.79883
2023-05-16,9.96131
2023-05-17,11.21856
2023-05-18,9.76789
2023-05-19,9.67117
2023-05-20,6.47969
2023-05-21,6.18955
2023-05-22,13.34622
2023-05-23,11.41199
2023-05-24,10.83172
2023-05-25,12.86266
2023-05-26,10.34816
2023-05-27,4.1586
2023-05-28,6.18955
