date,알트코인
2022-02-28,0.4887
2022-03-01,2.0177
2022-03-02,1.39594
2022-03-03,0.71127
2022-03-04,0.67498
2022-03-05,0.51773
2022-03-06,0.5516
2022-03-07,0.5637
2022-03-08,0.49595
2022-03-09,0.49354
2022-03-10,0.67982
2022-03-11,0.59031
2022-03-12,0.46692
2022-03-13,0.52983
2022-03-14,0.57579
2022-03-15,0.61208
2022-03-16,0.58789
2022-03-17,0.5516
2022-03-18,0.58063
2022-03-19,0.82256
2022-03-20,0.75966
2022-03-21,0.66531
2022-03-22,0.99917
2022-03-23,0.88063
2022-03-24,0.89514
2022-03-25,0.94837
2022-03-26,0.93385
2022-03-27,1.42013
2022-03-28,1.8169
2022-03-29,1.77819
2022-03-30,1.44675
2022-03-31,1.70561
2022-04-01,1.29191
2022-04-02,1.41046
2022-04-03,1.20239
2022-04-04,1.39836
2022-04-05,1.4782
2022-04-06,1.37901
2022-04-07,1.0282
2022-04-08,0.76208
2022-04-09,0.44757
2022-04-10,0.42096
2022-04-11,1.00159
2022-04-12,0.74998
2022-04-13,0.58547
2022-04-14,0.66531
2022-04-15,0.65805
2022-04-16,0.4645
2022-04-17,0.49595
2022-04-18,0.7016
2022-04-19,0.64353
2022-04-20,0.80321
2022-04-21,0.76692
2022-04-22,0.58789
2022-04-23,0.40644
2022-04-24,0.40402
2022-04-25,0.71127
2022-04-26,0.62418
2022-04-27,0.79837
2022-04-28,0.54676
2022-04-29,0.79111
2022-04-30,0.78627
2022-05-01,2.52092
2022-05-02,0.90724
2022-05-03,0.74998
2022-05-04,0.58547
2022-05-05,0.57821
2022-05-06,0.7016
2022-05-07,0.57095
2022-05-08,0.57095
2022-05-09,1.03062
2022-05-10,1.08143
2022-05-11,4.86766
2022-05-12,4.81685
2022-05-13,2.45802
2022-05-14,1.56045
2022-05-15,1.03546
2022-05-16,1.16852
2022-05-17,1.06933
2022-05-18,1.13465
2022-05-19,0.99917
2022-05-20,0.72095
2022-05-21,0.57579
2022-05-22,0.58063
2022-05-23,0.66531
2022-05-24,0.66289
2022-05-25,0.62176
2022-05-26,0.87337
2022-05-27,0.99675
2022-05-28,0.57337
2022-05-29,0.58789
2022-05-30,0.62418
2022-05-31,0.67498
2022-06-01,0.50805
2022-06-02,0.68466
2022-06-03,0.57821
2022-06-04,0.39676
2022-06-05,0.31451
2022-06-06,0.48386
2022-06-07,0.60482
2022-06-08,0.6024
2022-06-09,0.49112
2022-06-10,0.57579
2022-06-11,0.49354
2022-06-12,1.00643
2022-06-13,1.29917
2022-06-14,1.10078
2022-06-15,0.69918
2022-06-16,1.00159
2022-06-17,0.78143
2022-06-18,0.6024
2022-06-19,0.99917
2022-06-20,0.73789
2022-06-21,0.55886
2022-06-22,0.44999
2022-06-23,0.4645
2022-06-24,0.65563
2022-06-25,0.42338
2022-06-26,0.3895
2022-06-27,0.67256
2022-06-28,0.56853
2022-06-29,0.60482
2022-06-30,0.58789
2022-07-01,0.33628
2022-07-02,0.2758
2022-07-03,0.29031
2022-07-04,0.56853
2022-07-05,0.46692
2022-07-06,0.33386
2022-07-07,0.32902
2022-07-08,0.3387
2022-07-09,0.22983
2022-07-10,0.29031
2022-07-11,0.42579
2022-07-12,0.43305
2022-07-13,0.45725
2022-07-14,0.35563
2022-07-15,0.28789
2022-07-16,0.24193
2022-07-17,0.33144
2022-07-18,0.3895
2022-07-19,0.45241
2022-07-20,0.51289
2022-07-21,0.50079
2022-07-22,0.34596
2022-07-23,0.27338
2022-07-24,0.28789
2022-07-25,0.36047
2022-07-26,0.32902
2022-07-27,0.23709
2022-07-28,0.45725
2022-07-29,0.59273
2022-07-30,0.44031
2022-07-31,0.49354
2022-08-01,0.63628
2022-08-02,0.5516
2022-08-03,0.36289
2022-08-04,0.31209
2022-08-05,0.37499
2022-08-06,0.27096
2022-08-07,0.2758
2022-08-08,0.40402
2022-08-09,0.41854
2022-08-10,0.43063
2022-08-11,0.52741
2022-08-12,0.43547
2022-08-13,0.31934
2022-08-14,0.36047
2022-08-15,0.3508
2022-08-16,0.44999
2022-08-17,0.39434
2022-08-18,0.37741
2022-08-19,0.7016
2022-08-20,0.30967
2022-08-21,0.27096
2022-08-22,0.30483
2022-08-23,0.23709
2022-08-24,0.30725
2022-08-25,0.29999
2022-08-26,0.26128
2022-08-27,0.29757
2022-08-28,0.28789
2022-08-29,0.25402
2022-08-30,0.31934
2022-08-31,0.31693
2022-09-01,0.28789
2022-09-02,0.46208
2022-09-03,0.31209
2022-09-04,0.29031
2022-09-05,0.31693
2022-09-06,0.31693
2022-09-07,0.42338
2022-09-08,0.43789
2022-09-09,0.35563
2022-09-10,0.31451
2022-09-11,0.32176
2022-09-12,0.42338
