date,RSI
2022-01-10,48.32985
2022-01-11,42.0668
2022-01-12,39.4572
2022-01-13,36.53444
2022-01-14,34.02922
2022-01-15,23.38204
2022-01-16,24.42588
2022-01-17,29.43632
2022-01-18,31.31524
2022-01-19,32.77661
2022-01-20,37.4739
2022-01-21,44.15448
2022-01-22,45.82463
2022-01-23,39.66597
2022-01-24,50.83507
2022-01-25,48.43423
2022-01-26,51.87891
2022-01-27,67.53653
2022-01-28,52.6096
2022-01-29,37.05636
2022-01-30,27.13987
2022-01-31,27.76617
2022-02-01,31.00208
2022-02-02,35.28183
2022-02-03,38.51774
2022-02-04,37.78705
2022-02-05,28.81002
2022-02-06,29.85386
2022-02-07,40.39665
2022-02-08,39.14405
2022-02-09,33.71607
2022-02-10,38.41336
2022-02-11,31.524
2022-02-12,28.07933
2022-02-13,19.31106
2022-02-14,32.15031
2022-02-15,26.09603
2022-02-16,31.31524
2022-02-17,30.58455
2022-02-18,30.8977
2022-02-19,19.62421
2022-02-20,24.63465
2022-02-21,34.8643
2022-02-22,28.81002
2022-02-23,28.39248
2022-02-24,41.54488
2022-02-25,34.96868
2022-02-26,28.07933
2022-02-27,18.58037
2022-02-28,27.24425
2022-03-01,24.11273
2022-03-02,31.00208
2022-03-03,25.46972
2022-03-04,26.61795
2022-03-05,19.93736
2022-03-06,18.16283
2022-03-07,24.9478
2022-03-08,25.99164
2022-03-09,20.87682
2022-03-10,25.36534
2022-03-11,22.3382
2022-03-12,17.01461
2022-03-13,15.65762
2022-03-14,26.51356
2022-03-15,27.76617
2022-03-16,27.87056
2022-03-17,32.04592
2022-03-18,25.15657
2022-03-19,28.49686
2022-03-20,25.26096
2022-03-21,29.64509
2022-03-22,32.25469
2022-03-23,36.22129
2022-03-24,37.68267
2022-03-25,33.08977
2022-03-26,26.3048
2022-03-27,26.51356
2022-03-28,38.93528
2022-03-29,46.24217
2022-03-30,46.13778
2022-03-31,48.12108
2022-04-01,42.48434
2022-04-02,30.48016
2022-04-03,31.31524
2022-04-04,36.63883
2022-04-05,41.96242
2022-04-06,40.70981
2022-04-07,38.83089
2022-04-08,31.21085
2022-04-09,26.61795
2022-04-10,20.04175
2022-04-11,30.06263
2022-04-12,35.17745
2022-04-13,33.40292
2022-04-14,29.22755
2022-04-15,27.87056
2022-04-16,21.08559
2022-04-17,27.03549
2022-04-18,32.98538
2022-04-19,34.44676
2022-04-20,27.34864
2022-04-21,32.67223
2022-04-22,28.2881
2022-04-23,19.51983
2022-04-24,19.62421
2022-04-25,30.27139
2022-04-26,30.68893
2022-04-27,32.881
2022-04-28,32.25469
2022-04-29,29.01878
2022-04-30,20.14613
2022-05-01,18.47599
2022-05-02,22.65135
2022-05-03,26.61795
2022-05-04,26.61795
2022-05-05,17.84968
2022-05-06,22.02505
2022-05-07,14.50939
2022-05-08,14.30062
2022-05-09,32.67223
2022-05-10,30.58455
2022-05-11,30.68893
2022-05-12,37.89144
2022-05-13,31.31524
2022-05-14,18.58037
2022-05-15,17.32776
2022-05-16,27.66179
2022-05-17,28.81002
2022-05-18,24.9478
2022-05-19,27.13987
2022-05-20,21.08559
2022-05-21,15.65762
2022-05-22,18.78914
2022-05-23,22.3382
2022-05-24,24.21711
2022-05-25,23.90396
2022-05-26,22.75574
2022-05-27,21.92066
2022-05-28,13.1524
2022-05-29,21.50313
2022-05-30,28.39248
2022-05-31,23.48643
2022-06-01,15.24008
2022-06-02,21.92066
2022-06-03,22.75574
2022-06-04,15.55323
2022-06-05,15.55323
2022-06-06,20.56367
2022-06-07,22.9645
2022-06-08,25.05219
2022-06-09,23.79958
2022-06-10,19.51983
2022-06-11,16.3883
2022-06-12,16.17954
2022-06-13,28.07933
2022-06-14,32.46346
2022-06-15,30.58455
2022-06-16,27.13987
2022-06-17,28.2881
2022-06-18,17.7453
2022-06-19,17.95407
2022-06-20,29.33194
2022-06-21,26.3048
2022-06-22,29.43632
2022-06-23,34.13361
2022-06-24,26.61795
2022-06-25,19.20668
2022-06-26,19.93736
2022-06-27,19.7286
2022-06-28,24.11273
2022-06-29,18.78914
2022-06-30,20.56367
2022-07-01,16.07515
2022-07-02,10.85594
2022-07-03,13.1524
2022-07-04,16.80584
2022-07-05,22.12943
2022-07-06,20.77244
2022-07-07,17.7453
2022-07-08,16.17954
2022-07-09,11.06471
2022-07-10,12.21294
2022-07-11,16.07515
2022-07-12,21.92066
2022-07-13,21.50313
2022-07-14,19.20668
2022-07-15,20.3549
2022-07-16,11.69102
2022-07-17,16.17954
2022-07-18,20.66805
2022-07-19,17.53653
2022-07-20,24.63465
2022-07-21,24.00835
2022-07-22,19.10229
2022-07-23,13.36116
2022-07-24,13.88308
2022-07-25,19.7286
2022-07-26,21.18997
2022-07-27,19.62421
2022-07-28,20.3549
2022-07-29,20.04175
2022-07-30,26.72233
2022-07-31,18.3716
2022-08-01,23.90396
2022-08-02,25.05219
2022-08-03,21.29436
2022-08-04,26.61795
2022-08-05,25.78288
2022-08-06,16.49269
2022-08-07,19.10229
2022-08-08,23.69519
2022-08-09,25.99164
2022-08-10,25.36534
2022-08-11,26.40918
2022-08-12,25.88726
2022-08-13,21.18997
2022-08-14,18.78914
2022-08-15,22.3382
2022-08-16,30.68893
2022-08-17,28.9144
2022-08-18,26.82672
2022-08-19,24.9478
2022-08-20,22.12943
2022-08-21,18.58037
2022-08-22,25.26096
2022-08-23,29.43632
2022-08-24,24.73903
2022-08-25,21.39874
2022-08-26,20.87682
2022-08-27,14.61377
2022-08-28,14.50939
2022-08-29,22.02505
2022-08-30,22.23382
2022-08-31,22.23382
2022-09-01,20.98121
2022-09-02,19.41544
2022-09-03,14.19624
2022-09-04,14.50939
2022-09-05,16.70146
2022-09-06,18.47599
2022-09-07,22.65135
2022-09-08,19.20668
2022-09-09,12.52609
2022-09-10,13.46555
2022-09-11,12.31732
2022-09-12,15.86638
2022-09-13,21.60751
2022-09-14,20.66805
2022-09-15,21.18997
2022-09-16,19.62421
2022-09-17,12.63048
2022-09-18,13.56993
2022-09-19,17.43215
2022-09-20,20.3549
2022-09-21,32.15031
2022-09-22,21.60751
2022-09-23,23.48643
2022-09-24,15.86638
2022-09-25,15.34446
2022-09-26,27.45302
2022-09-27,31.524
2022-09-28,27.45302
2022-09-29,27.87056
2022-09-30,25.78288
2022-10-01,17.01461
2022-10-02,14.71816
2022-10-03,20.77244
2022-10-04,25.05219
2022-10-05,24.3215
2022-10-06,22.02505
2022-10-07,20.77244
2022-10-08,12.73486
2022-10-09,14.09185
2022-10-10,18.68475
2022-10-11,25.46972
2022-10-12,19.51983
2022-10-13,20.56367
2022-10-14,18.16283
2022-10-15,14.82254
2022-10-16,13.56993
2022-10-17,20.3549
2022-10-18,22.54697
2022-10-19,21.08559
2022-10-20,19.62421
2022-10-21,16.59707
2022-10-22,12.21294
2022-10-23,12.10855
2022-10-24,13.98747
2022-10-25,16.70146
2022-10-26,15.86638
2022-10-27,17.11899
2022-10-28,15.44885
2022-10-29,13.1524
2022-10-30,13.25678
2022-10-31,17.84968
2022-11-01,20.98121
2022-11-02,22.23382
2022-11-03,20.56367
2022-11-04,19.83298
2022-11-05,13.88308
2022-11-06,12.31732
2022-11-07,20.45929
2022-11-08,23.59081
2022-11-09,22.86012
2022-11-10,23.27766
2022-11-11,20.56367
2022-11-12,14.82254
2022-11-13,15.97077
2022-11-14,25.15657
2022-11-15,24.11273
2022-11-16,23.27766
2022-11-17,24.3215
2022-11-18,20.98121
2022-11-19,13.04801
2022-11-20,17.43215
2022-11-21,26.51356
2022-11-22,24.53027
2022-11-23,22.9645
2022-11-24,20.66805
2022-11-25,20.25052
2022-11-26,12.52609
2022-11-27,19.10229
2022-11-28,19.10229
2022-11-29,20.98121
2022-11-30,18.89352
2022-12-01,20.25052
2022-12-02,15.762
2022-12-03,9.08141
2022-12-04,11.1691
2022-12-05,19.10229
2022-12-06,15.97077
2022-12-07,18.05845
2022-12-08,19.31106
2022-12-09,20.77244
2022-12-10,11.27348
2022-12-11,12.00417
2022-12-12,18.16283
2022-12-13,20.04175
2022-12-14,20.98121
2022-12-15,17.01461
2022-12-16,17.7453
2022-12-17,11.69102
2022-12-18,12.63048
2022-12-19,16.17954
2022-12-20,20.87682
2022-12-21,18.78914
2022-12-22,16.3883
2022-12-23,16.59707
2022-12-24,11.37787
2022-12-25,9.1858
2022-12-26,13.7787
2022-12-27,17.53653
2022-12-28,26.09603
2022-12-29,19.62421
2022-12-30,11.48225
2022-12-31,8.97703
2023-01-01,5.63674
2023-01-02,16.70146
2023-01-03,18.58037
2023-01-04,19.10229
2023-01-05,17.11899
2023-01-06,15.34446
2023-01-07,14.92693
2023-01-08,15.65762
2023-01-09,19.93736
2023-01-10,22.9645
2023-01-11,20.14613
2023-01-12,23.17327
2023-01-13,25.05219
2023-01-14,22.54697
2023-01-15,18.16283
2023-01-16,23.38204
2023-01-17,22.23382
2023-01-18,23.59081
2023-01-19,19.93736
2023-01-20,16.3883
2023-01-21,12.21294
2023-01-22,14.61377
2023-01-23,16.28392
2023-01-24,19.31106
2023-01-25,27.87056
2023-01-26,30.16701
2023-01-27,31.62839
2023-01-28,23.17327
2023-01-29,28.07933
2023-01-30,35.17745
2023-01-31,28.49686
2023-02-01,28.07933
2023-02-02,33.82045
2023-02-03,30.58455
2023-02-04,22.54697
2023-02-05,24.00835
2023-02-06,25.05219
2023-02-07,31.10647
2023-02-08,30.8977
2023-02-09,34.65553
2023-02-10,24.9478
2023-02-11,18.05845
2023-02-12,14.19624
2023-02-13,19.93736
2023-02-14,26.40918
2023-02-15,27.34864
2023-02-16,31.94154
2023-02-17,23.69519
2023-02-18,17.7453
2023-02-19,21.71189
2023-02-20,24.53027
2023-02-21,24.21711
2023-02-22,24.11273
2023-02-23,23.48643
2023-02-24,28.60125
2023-02-25,18.68475
2023-02-26,17.64091
2023-02-27,20.25052
2023-02-28,23.17327
2023-03-01,14.50939
2023-03-02,20.25052
2023-03-03,21.60751
2023-03-04,15.86638
2023-03-05,18.78914
2023-03-06,22.12943
2023-03-07,22.54697
2023-03-08,26.9311
2023-03-09,24.9478
2023-03-10,24.63465
2023-03-11,14.61377
2023-03-12,14.09185
2023-03-13,21.39874
2023-03-14,24.00835
2023-03-15,27.45302
2023-03-16,26.82672
2023-03-17,26.51356
2023-03-18,16.91022
2023-03-19,18.78914
2023-03-20,26.40918
2023-03-21,24.84342
2023-03-22,27.13987
2023-03-23,27.24425
2023-03-24,29.85386
2023-03-25,18.05845
2023-03-26,17.53653
2023-03-27,29.85386
2023-03-28,28.18371
2023-03-29,29.22755
2023-03-30,27.13987
2023-03-31,19.51983
2023-04-01,19.41544
2023-04-02,16.49269
2023-04-03,26.9311
2023-04-04,30.58455
2023-04-05,32.35908
2023-04-06,27.45302
2023-04-07,20.77244
2023-04-08,16.49269
2023-04-09,15.97077
2023-04-10,26.40918
2023-04-11,28.70563
2023-04-12,29.5407
2023-04-13,26.20041
2023-04-14,30.68893
2023-04-15,21.60751
2023-04-16,17.22338
2023-04-17,27.87056
2023-04-18,27.03549
2023-04-19,28.39248
2023-04-20,30.58455
2023-04-21,25.67849
2023-04-22,19.51983
2023-04-23,18.89352
2023-04-24,25.57411
2023-04-25,26.9311
2023-04-26,28.49686
2023-04-27,24.3215
2023-04-28,21.18997
2023-04-29,16.49269
2023-04-30,13.04801
2023-05-01,19.31106
2023-05-02,25.36534
2023-05-03,23.38204
2023-05-04,20.3549
2023-05-05,12.31732
2023-05-06,14.30062
2023-05-07,15.13569
2023-05-08,23.06889
2023-05-09,27.13987
2023-05-10,25.26096
2023-05-11,25.26096
2023-05-12,23.69519
2023-05-13,12.94363
2023-05-14,13.98747
2023-05-15,22.9645
2023-05-16,23.69519
2023-05-17,21.50313
2023-05-18,22.65135
2023-05-19,22.3382
2023-05-20,16.70146
2023-05-21,14.92693
2023-05-22,25.78288
2023-05-23,33.5073
2023-05-24,27.55741
2023-05-25,24.73903
2023-05-26,24.00835
2023-05-27,13.7787
2023-05-28,16.28392
