date,오늘주가
2021-11-21,1.15627
2021-11-22,30.16818
2021-11-23,30.02803
2021-11-24,32.90119
2021-11-25,27.68044
2021-11-26,30.0981
2021-11-27,3.60896
2021-11-28,0.7358
2021-11-29,33.53188
2021-11-30,43.93833
2021-12-01,39.34828
2021-12-02,36.01962
2021-12-03,32.86615
2021-12-04,2.80308
2021-12-05,1.47161
2021-12-06,31.07918
2021-12-07,32.90119
2021-12-08,31.25437
2021-12-09,29.39733
2021-12-10,27.89067
2021-12-11,3.8192
2021-12-12,1.22634
2021-12-13,28.34618
2021-12-14,30.06306
2021-12-15,30.79887
2021-12-16,28.48633
2021-12-17,27.57533
2021-12-18,2.76804
2021-12-19,0.94604
2021-12-20,34.58304
2021-12-21,29.36229
2021-12-22,27.01471
2021-12-23,28.10091
2021-12-24,27.04975
2021-12-25,2.52277
2021-12-26,1.12123
2021-12-27,27.47021
2021-12-28,24.9124
2021-12-29,25.71829
2021-12-30,25.96355
2021-12-31,13.80518
2022-01-01,0.911
2022-01-02,0.98107
2022-01-03,31.28941
2022-01-04,28.06587
2022-01-05,41.94113
2022-01-06,36.01962
2022-01-07,29.78276
2022-01-08,3.29362
2022-01-09,1.05115
2022-01-10,33.70707
2022-01-11,32.76103
2022-01-12,30.7288
2022-01-13,28.90679
2022-01-14,28.38121
2022-01-15,2.20742
2022-01-16,1.64681
2022-01-17,27.22494
2022-01-18,27.57533
2022-01-19,27.92571
2022-01-20,27.75052
2022-01-21,27.54029
2022-01-22,3.25858
2022-01-23,1.40154
2022-01-24,32.86615
2022-01-25,43.02733
2022-01-26,38.64751
2022-01-27,54.30974
2022-01-28,44.67414
2022-01-29,4.66012
2022-01-30,1.40154
2022-01-31,1.78696
2022-02-01,3.3637
2022-02-02,3.74912
2022-02-03,35.87946
2022-02-04,34.72319
2022-02-05,4.20462
2022-02-06,1.85704
2022-02-07,33.9173
2022-02-08,32.69096
2022-02-09,32.06026
2022-02-10,33.04134
2022-02-11,30.58864
2022-02-12,3.60896
2022-02-13,1.12123
2022-02-14,34.82831
2022-02-15,33.49684
2022-02-16,31.92011
2022-02-17,33.49684
2022-02-18,32.97126
2022-02-19,4.37981
2022-02-20,1.78696
2022-02-21,32.0953
2022-02-22,36.8255
2022-02-23,35.10861
2022-02-24,48.17799
2022-02-25,39.10301
2022-02-26,5.25578
2022-02-27,1.71688
2022-02-28,32.02522
2022-03-01,6.90259
2022-03-02,31.60476
2022-03-03,27.22494
2022-03-04,31.14926
2022-03-05,4.34477
2022-03-06,1.40154
2022-03-07,36.75543
2022-03-08,38.15697
2022-03-09,7.95374
2022-03-10,31.04414
2022-03-11,33.28661
2022-03-12,4.30974
2022-03-13,1.85704
2022-03-14,33.21653
2022-03-15,29.95795
2022-03-16,29.99299
2022-03-17,29.85283
2022-03-18,35.52908
2022-03-19,3.67904
2022-03-20,1.68185
2022-03-21,28.06587
2022-03-22,27.71548
2022-03-23,28.45129
2022-03-24,29.57252
2022-03-25,28.69656
2022-03-26,4.16958
2022-03-27,1.822
2022-03-28,27.43517
2022-03-29,28.17098
2022-03-30,28.62648
2022-03-31,26.66433
2022-04-01,27.04975
2022-04-02,3.11843
2022-04-03,1.33146
2022-04-04,22.28451
2022-04-05,27.8206
2022-04-06,26.7344
2022-04-07,33.67203
2022-04-08,25.78836
2022-04-09,3.1885
2022-04-10,1.05115
2022-04-11,25.61317
2022-04-12,25.57813
2022-04-13,30.13314
2022-04-14,28.76664
2022-04-15,25.61317
2022-04-16,2.94323
2022-04-17,1.3665
2022-04-18,25.96355
2022-04-19,23.96636
2022-04-20,26.69936
2022-04-21,25.19271
2022-04-22,29.11702
2022-04-23,3.67904
2022-04-24,1.01611
2022-04-25,32.97126
2022-04-26,29.08199
2022-04-27,34.26769
2022-04-28,31.46461
2022-04-29,24.94744
2022-04-30,4.55501
2022-05-01,1.40154
2022-05-02,28.41625
2022-05-03,27.25998
2022-05-04,29.22214
2022-05-05,7.60336
2022-05-06,31.25437
2022-05-07,4.7302
2022-05-08,1.54169
2022-05-09,33.95234
2022-05-10,36.75543
2022-05-11,34.12754
2022-05-12,38.8227
2022-05-13,33.21653
2022-05-14,4.90539
2022-05-15,1.33146
2022-05-16,30.5536
2022-05-17,27.89067
2022-05-18,29.60756
2022-05-19,35.42396
2022-05-20,30.23826
2022-05-21,4.41485
2022-05-22,1.71688
2022-05-23,28.06587
2022-05-24,30.20322
2022-05-25,29.25718
2022-05-26,25.71829
2022-05-27,25.96355
2022-05-28,3.43377
2022-05-29,1.57673
2022-05-30,23.93132
2022-05-31,27.75052
2022-06-01,6.5522
2022-06-02,27.1899
2022-06-03,22.74001
2022-06-04,3.3637
2022-06-05,1.33146
2022-06-06,2.83812
2022-06-07,31.14926
2022-06-08,26.80448
2022-06-09,24.80728
2022-06-10,29.25718
2022-06-11,3.32866
2022-06-12,1.19131
2022-06-13,51.78696
2022-06-14,48.03784
2022-06-15,43.44779
2022-06-16,43.02733
2022-06-17,43.58794
2022-06-18,4.94043
2022-06-19,2.13735
2022-06-20,46.70637
2022-06-21,41.59074
2022-06-22,46.25087
2022-06-23,47.58234
2022-06-24,43.51786
2022-06-25,3.99439
2022-06-26,1.29642
2022-06-27,37.56131
2022-06-28,39.03293
2022-06-29,38.99789
2022-06-30,38.15697
2022-07-01,39.03293
2022-07-02,5.71128
2022-07-03,1.89208
2022-07-04,36.79046
2022-07-05,35.70427
2022-07-06,41.03013
2022-07-07,37.03573
2022-07-08,33.98738
2022-07-09,4.20462
2022-07-10,1.40154
2022-07-11,33.11142
2022-07-12,33.4618
2022-07-13,34.61807
2022-07-14,32.62088
2022-07-15,31.42957
2022-07-16,3.85423
2022-07-17,1.61177
2022-07-18,28.83672
2022-07-19,32.30553
2022-07-20,32.44569
2022-07-21,31.95515
2022-07-22,31.25437
2022-07-23,3.46881
2022-07-24,1.26138
2022-07-25,28.48633
2022-07-26,27.08479
2022-07-27,28.38121
2022-07-28,31.39453
2022-07-29,29.04695
2022-07-30,4.23966
2022-07-31,1.40154
2022-08-01,29.78276
2022-08-02,32.30553
2022-08-03,31.39453
2022-08-04,31.53468
2022-08-05,30.23826
2022-08-06,4.51997
2022-08-07,1.47161
2022-08-08,29.85283
2022-08-09,30.44849
2022-08-10,29.11702
2022-08-11,29.39733
2022-08-12,31.42957
2022-08-13,3.88927
2022-08-14,1.68185
2022-08-15,3.50385
2022-08-16,29.99299
2022-08-17,30.48353
2022-08-18,30.30833
2022-08-19,30.16818
2022-08-20,3.71408
2022-08-21,1.64681
2022-08-22,33.18149
2022-08-23,32.58584
2022-08-24,34.58304
2022-08-25,30.30833
2022-08-26,30.2733
2022-08-27,4.34477
2022-08-28,1.96215
2022-08-29,43.76313
2022-08-30,36.26489
2022-08-31,33.84723
2022-09-01,42.53679
2022-09-02,34.23265
2022-09-03,5.08058
2022-09-04,1.96215
2022-09-05,36.15977
2022-09-06,32.93622
2022-09-07,37.98177
2022-09-08,30.69376
2022-09-09,6.58724
2022-09-10,3.99439
2022-09-11,2.34758
2022-09-12,3.22354
2022-09-13,36.54519
2022-09-14,49.26419
2022-09-15,40.71478
2022-09-16,41.2754
2022-09-17,5.85143
2022-09-18,3.39873
2022-09-19,38.89278
2022-09-20,33.81219
2022-09-21,37.56131
2022-09-22,43.86825
2022-09-23,41.83601
2022-09-24,7.1829
2022-09-25,2.45269
2022-09-26,50.84092
2022-09-27,48.49334
2022-09-28,60.33637
2022-09-29,47.86264
2022-09-30,48.73861
2022-10-01,5.85143
2022-10-02,2.87316
2022-10-03,6.79747
2022-10-04,41.10021
2022-10-05,45.48002
2022-10-06,39.76874
2022-10-07,41.10021
2022-10-08,4.94043
2022-10-09,2.2775
2022-10-10,6.90259
2022-10-11,45.83041
2022-10-12,41.83601
2022-10-13,39.62859
2022-10-14,40.99509
2022-10-15,6.20182
2022-10-16,2.10231
2022-10-17,38.57743
2022-10-18,38.54239
2022-10-19,36.75543
2022-10-20,37.21093
2022-10-21,35.87946
2022-10-22,4.62508
2022-10-23,1.96215
2022-10-24,29.92291
2022-10-25,32.72599
2022-10-26,33.07638
2022-10-27,35.66923
2022-10-28,35.80939
2022-10-29,5.46601
2022-10-30,1.68185
2022-10-31,28.94183
2022-11-01,33.25157
2022-11-02,36.44008
2022-11-03,38.68255
2022-11-04,33.88227
2022-11-05,4.30974
2022-11-06,1.75192
2022-11-07,30.13314
2022-11-08,32.79607
2022-11-09,33.49684
2022-11-10,33.35669
2022-11-11,40.57463
2022-11-12,5.53608
2022-11-13,1.96215
2022-11-14,31.81499
2022-11-15,30.90399
2022-11-16,31.00911
2022-11-17,40.60967
2022-11-18,27.96075
2022-11-19,3.88927
2022-11-20,1.71688
2022-11-21,24.66713
2022-11-22,24.52697
2022-11-23,24.49194
2022-11-24,22.88016
2022-11-25,23.8262
2022-11-26,2.94323
2022-11-27,1.64681
2022-11-28,23.79117
2022-11-29,24.66713
2022-11-30,25.26278
2022-12-01,26.13875
2022-12-02,26.45409
2022-12-03,3.22354
2022-12-04,1.50665
2022-12-05,23.65101
2022-12-06,24.73721
2022-12-07,22.95024
2022-12-08,22.38962
2022-12-09,23.47582
2022-12-10,3.57393
2022-12-11,1.22634
2022-12-12,20.95304
2022-12-13,24.59705
2022-12-14,23.09039
2022-12-15,24.14155
2022-12-16,24.35178
2022-12-17,3.53889
2022-12-18,1.64681
2022-12-19,20.77785
2022-12-20,21.96916
2022-12-21,23.23055
2022-12-22,22.21443
2022-12-23,23.44078
2022-12-24,3.78416
2022-12-25,1.71688
2022-12-26,22.31955
2022-12-27,19.48142
2022-12-28,26.34898
2022-12-29,23.30063
2022-12-30,18.07988
2022-12-31,2.34758
2023-01-01,1.33146
2023-01-02,24.66713
2023-01-03,24.14155
2023-01-04,24.21163
2023-01-05,23.72109
2023-01-06,24.14155
2023-01-07,3.3637
2023-01-08,1.33146
2023-01-09,23.19551
2023-01-10,25.26278
2023-01-11,23.96636
2023-01-12,22.77505
2023-01-13,24.70217
2023-01-14,3.71408
2023-01-15,1.33146
2023-01-16,21.72389
2023-01-17,22.17939
2023-01-18,21.05816
2023-01-19,20.67274
2023-01-20,18.53538
2023-01-21,2.97827
2023-01-22,1.54169
2023-01-23,2.41765
2023-01-24,3.95935
2023-01-25,23.8262
2023-01-26,22.4597
2023-01-27,23.40574
2023-01-28,3.85423
2023-01-29,1.68185
2023-01-30,25.57813
2023-01-31,24.70217
2023-02-01,24.87736
2023-02-02,25.01751
2023-02-03,25.26278
2023-02-04,4.0995
2023-02-05,1.92711
2023-02-06,24.73721
2023-02-07,26.10371
2023-02-08,25.78836
2023-02-09,24.73721
2023-02-10,24.77224
2023-02-11,4.66012
2023-02-12,1.61177
2023-02-13,23.33566
2023-02-14,24.77224
2023-02-15,28.94183
2023-02-16,25.40294
2023-02-17,24.9124
2023-02-18,4.06447
2023-02-19,1.71688
2023-02-20,23.79117
2023-02-21,22.66993
2023-02-22,27.3651
2023-02-23,26.13875
2023-02-24,26.2789
2023-02-25,3.78416
2023-02-26,1.54169
2023-02-27,23.05536
2023-02-28,22.63489
2023-03-01,4.94043
2023-03-02,24.70217
2023-03-03,23.75613
2023-03-04,3.01331
2023-03-05,1.08619
2023-03-06,23.68605
2023-03-07,25.43798
2023-03-08,28.62648
2023-03-09,28.87175
2023-03-10,27.1899
2023-03-11,4.13454
2023-03-12,1.75192
2023-03-13,30.90399
2023-03-14,38.8227
2023-03-15,32.34057
2023-03-16,30.97407
2023-03-17,26.48913
2023-03-18,4.37981
2023-03-19,1.64681
2023-03-20,26.10371
2023-03-21,26.94463
2023-03-22,26.7344
2023-03-23,29.29222
2023-03-24,27.08479
2023-03-25,3.57393
2023-03-26,1.54169
2023-03-27,23.58093
2023-03-28,24.31674
2023-03-29,26.2789
2023-03-30,25.99859
2023-03-31,24.31674
2023-04-01,3.71408
2023-04-02,1.26138
2023-04-03,24.63209
2023-04-04,25.43798
2023-04-05,24.07147
2023-04-06,26.94463
2023-04-07,25.43798
2023-04-08,3.46881
2023-04-09,1.19131
2023-04-10,25.47302
2023-04-11,26.94463
2023-04-12,27.71548
2023-04-13,25.54309
2023-04-14,24.52697
2023-04-15,3.29362
2023-04-16,1.50665
2023-04-17,22.07428
2023-04-18,25.22775
2023-04-19,23.75613
2023-04-20,29.43237
2023-04-21,27.25998
2023-04-22,3.22354
2023-04-23,1.22634
2023-04-24,23.86124
2023-04-25,31.60476
2023-04-26,30.37841
2023-04-27,26.24386
2023-04-28,26.17379
2023-04-29,2.69796
2023-04-30,1.12123
2023-05-01,15.52207
2023-05-02,22.63489
2023-05-03,24.17659
2023-05-04,20.98808
2023-05-05,4.06447
2023-05-06,2.59285
2023-05-07,1.08619
2023-05-08,21.23335
2023-05-09,22.98528
2023-05-10,22.38962
2023-05-11,19.97196
2023-05-12,19.79677
2023-05-13,2.94323
2023-05-14,1.05115
2023-05-15,19.51646
2023-05-16,22.0042
2023-05-17,21.65381
2023-05-18,21.33847
2023-05-19,22.07428
2023-05-20,2.87316
2023-05-21,1.3665
2023-05-22,22.52978
2023-05-23,22.0042
2023-05-24,23.09039
2023-05-25,23.26559
2023-05-26,23.5459
2023-05-27,2.90819
2023-05-28,1.12123
