date,피성년후견인
2023-03-23,50.0
2023-03-24,38.18965
2023-03-25,24.91379
2023-03-26,26.37931
2023-03-27,45.94827
2023-03-28,48.62068
2023-03-29,46.03448
2023-03-30,43.96551
2023-03-31,36.20689
2023-04-01,21.98275
2023-04-02,26.03448
2023-04-03,46.89655
2023-04-04,46.98275
2023-04-05,49.48275
2023-04-06,47.93103
2023-04-07,37.24137
2023-04-08,30.0
2023-04-09,29.65517
2023-04-10,56.81034
2023-04-11,54.65517
2023-04-12,58.44827
2023-04-13,53.87931
2023-04-14,50.77586
2023-04-15,35.94827
2023-04-16,38.53448
2023-04-17,66.2931
2023-04-18,62.06896
2023-04-19,62.75862
2023-04-20,60.51724
2023-04-21,51.03448
2023-04-22,37.5
2023-04-23,44.39655
2023-04-24,63.36206
2023-04-25,60.17241
2023-04-26,52.32758
2023-04-27,45.34482
2023-04-28,36.37931
2023-04-29,21.55172
2023-04-30,18.87931
2023-05-01,33.44827
2023-05-02,43.44827
2023-05-03,42.15517
2023-05-04,38.01724
2023-05-05,28.27586
2023-05-06,25.77586
2023-05-07,26.46551
2023-05-08,48.44827
2023-05-09,51.55172
2023-05-10,47.67241
2023-05-11,47.06896
2023-05-12,41.2931
2023-05-13,21.98275
2023-05-14,27.5862
2023-05-15,51.2931
2023-05-16,49.05172
2023-05-17,43.87931
2023-05-18,44.65517
2023-05-19,38.27586
2023-05-20,24.31034
2023-05-21,25.25862
2023-05-22,45.0862
2023-05-23,50.34482
2023-05-24,44.91379
2023-05-25,45.77586
2023-05-26,37.93103
2023-05-27,23.27586
2023-05-28,24.48275
2023-05-29,33.62068
2023-05-30,50.17241
2023-05-31,53.70689
