date,아파트
2022-02-04,23.17467
2022-02-05,23.61827
2022-02-06,25.46457
2022-02-07,25.11689
2022-02-08,23.55832
2022-02-09,22.97086
2022-02-10,21.736
2022-02-11,21.80793
2022-02-12,21.6281
2022-02-13,22.81501
2022-02-14,24.04987
2022-02-15,21.42428
2022-02-16,19.96163
2022-02-17,21.04064
2022-02-18,20.93274
2022-02-19,21.74799
2022-02-20,23.17467
2022-02-21,22.81501
2022-02-22,22.08368
2022-02-23,20.51312
2022-02-24,20.60903
2022-02-25,19.14638
2022-02-26,20.46517
2022-02-27,20.60903
2022-02-28,21.12456
2022-03-01,20.94473
2022-03-02,19.37417
2022-03-03,20.36926
2022-03-04,18.49898
2022-03-05,19.84174
2022-03-06,19.69787
2022-03-07,17.92351
2022-03-08,18.21124
2022-03-09,17.56384
2022-03-10,19.74583
2022-03-11,21.19649
2022-03-12,21.91583
2022-03-13,23.54633
2022-03-14,22.43136
2022-03-15,20.99268
2022-03-16,20.35727
2022-03-17,20.41721
2022-03-18,19.37417
2022-03-19,20.16544
2022-03-20,20.92075
2022-03-21,20.48914
2022-03-22,19.91367
2022-03-23,22.57523
2022-03-24,19.62594
2022-03-25,18.53494
2022-03-26,22.92291
2022-03-27,22.04771
2022-03-28,21.05263
2022-03-29,21.12456
2022-03-30,20.51312
2022-03-31,19.4461
2022-04-01,16.68864
2022-04-02,19.79378
2022-04-03,20.62102
2022-04-04,20.63301
2022-04-05,20.93274
2022-04-06,21.31638
2022-04-07,22.41937
2022-04-08,19.53003
2022-04-09,20.35727
2022-04-10,22.31147
2022-04-11,21.96379
2022-04-12,20.93274
2022-04-13,18.66682
2022-04-14,19.63793
2022-04-15,19.91367
2022-04-16,19.8897
2022-04-17,19.54202
2022-04-18,21.36434
2022-04-19,19.58997
2022-04-20,19.96163
2022-04-21,20.54909
2022-04-22,18.27119
2022-04-23,20.27334
2022-04-24,22.81501
2022-04-25,20.34528
2022-04-26,21.54417
2022-04-27,20.81285
2022-04-28,19.54202
2022-04-29,18.87063
2022-04-30,19.75782
2022-05-01,19.30224
2022-05-02,19.27826
2022-05-03,19.26627
2022-05-04,17.33605
2022-05-05,19.41014
2022-05-06,20.15345
2022-05-07,21.0766
2022-05-08,22.58721
2022-05-09,23.16269
2022-05-10,21.96379
2022-05-11,20.76489
2022-05-12,22.04771
2022-05-13,18.73876
2022-05-14,20.04555
2022-05-15,20.44119
2022-05-16,22.14362
2022-05-17,19.70986
2022-05-18,19.79378
2022-05-19,19.9976
2022-05-20,19.42213
2022-05-21,19.91367
2022-05-22,20.89677
2022-05-23,21.98777
2022-05-24,19.54202
2022-05-25,19.94964
2022-05-26,21.10058
2022-05-27,19.82975
2022-05-28,20.68097
2022-05-29,23.54633
2022-05-30,24.31363
2022-05-31,20.83683
2022-06-01,20.83683
2022-06-02,19.75782
2022-06-03,20.5371
2022-06-04,20.60903
2022-06-05,21.68804
2022-06-06,23.39048
2022-06-07,21.54417
2022-06-08,21.49622
2022-06-09,21.70003
2022-06-10,21.93981
2022-06-11,21.01666
2022-06-12,23.45042
2022-06-13,24.43352
2022-06-14,22.22755
2022-06-15,22.4913
2022-06-16,21.61611
2022-06-17,22.40738
2022-06-18,22.41937
2022-06-19,21.6281
2022-06-20,24.00191
2022-06-21,21.42428
2022-06-22,21.89185
2022-06-23,19.96163
2022-06-24,19.37417
2022-06-25,19.1224
2022-06-26,20.23738
2022-06-27,19.54202
2022-06-28,21.36434
2022-06-29,19.29025
2022-06-30,18.57091
2022-07-01,19.93765
2022-07-02,20.14146
2022-07-03,20.50113
2022-07-04,21.02865
2022-07-05,21.10058
2022-07-06,20.00959
2022-07-07,20.27334
2022-07-08,20.99268
2022-07-09,20.1055
2022-07-10,21.48423
2022-07-11,23.43843
2022-07-12,22.62318
2022-07-13,20.7529
2022-07-14,21.17252
2022-07-15,19.93765
2022-07-16,20.66898
2022-07-17,20.88478
2022-07-18,21.56815
2022-07-19,20.68097
2022-07-20,20.41721
2022-07-21,21.67605
2022-07-22,20.20141
2022-07-23,20.00959
2022-07-24,20.70495
2022-07-25,20.71694
2022-07-26,19.29025
2022-07-27,19.26627
2022-07-28,19.26627
2022-07-29,18.16328
2022-07-30,19.92566
2022-07-31,19.54202
2022-08-01,20.9687
2022-08-02,20.35727
2022-08-03,20.35727
2022-08-04,19.90169
2022-08-05,18.87063
2022-08-06,20.72892
2022-08-07,22.46733
2022-08-08,22.15561
2022-08-09,20.71694
2022-08-10,19.25428
2022-08-11,19.0145
2022-08-12,21.54417
2022-08-13,21.32837
2022-08-14,20.69296
2022-08-15,22.43136
2022-08-16,22.93489
2022-08-17,19.66191
2022-08-18,20.44119
2022-08-19,18.94257
2022-08-20,20.48914
2022-08-21,22.29948
2022-08-22,24.46948
2022-08-23,22.94688
2022-08-24,21.64009
2022-08-25,21.89185
2022-08-26,22.75506
2022-08-27,21.68804
2022-08-28,23.70219
2022-08-29,22.58721
2022-08-30,21.37633
2022-08-31,21.14854
2022-09-01,21.30439
2022-09-02,20.88478
2022-09-03,22.20357
2022-09-04,23.17467
2022-09-05,20.57307
2022-09-06,22.32346
2022-09-07,21.72401
2022-09-08,19.43412
2022-09-09,21.56815
2022-09-10,22.88694
2022-09-11,24.91307
2022-09-12,25.41661
2022-09-13,25.03296
2022-09-14,22.2755
2022-09-15,22.89893
2022-09-16,24.57738
2022-09-17,23.11473
2022-09-18,22.39539
2022-09-19,25.22479
2022-09-20,21.6281
2022-09-21,22.14362
2022-09-22,22.99484
2022-09-23,21.68804
2022-09-24,20.94473
2022-09-25,22.04771
2022-09-26,22.4913
2022-09-27,20.90876
2022-09-28,22.91092
2022-09-29,21.22047
2022-09-30,20.05754
2022-10-01,21.29241
2022-10-02,21.13655
2022-10-03,23.48639
2022-10-04,22.09567
2022-10-05,20.41721
2022-10-06,21.50821
2022-10-07,20.40522
2022-10-08,19.00251
2022-10-09,21.02865
2022-10-10,21.53219
2022-10-11,21.74799
2022-10-12,22.07169
2022-10-13,22.44335
2022-10-14,20.18942
2022-10-15,23.2586
2022-10-16,23.2586
2022-10-17,22.29948
2022-10-18,20.2134
2022-10-19,23.34252
2022-10-20,24.45749
2022-10-21,21.18451
2022-10-22,21.58014
2022-10-23,22.74307
2022-10-24,22.43136
2022-10-25,21.11257
2022-10-26,21.71202
2022-10-27,23.5823
2022-10-28,20.60903
2022-10-29,21.01666
2022-10-30,17.15621
2022-10-31,17.67174
2022-11-01,19.4461
2022-11-02,19.00251
2022-11-03,20.90876
2022-11-04,20.23738
2022-11-05,19.76981
2022-11-06,20.77688
2022-11-07,20.52511
2022-11-08,20.05754
2022-11-09,20.94473
2022-11-10,21.11257
2022-11-11,19.69787
2022-11-12,20.56108
2022-11-13,22.17959
2022-11-14,21.30439
2022-11-15,21.77196
2022-11-16,20.26135
2022-11-17,19.9976
2022-11-18,20.14146
2022-11-19,20.16544
2022-11-20,21.4123
2022-11-21,20.02158
2022-11-22,19.58997
2022-11-23,19.86572
2022-11-24,19.21831
2022-11-25,19.30224
2022-11-26,19.43412
2022-11-27,19.3382
2022-11-28,19.47008
2022-11-29,19.42213
2022-11-30,18.29516
2022-12-01,18.07936
2022-12-02,17.14422
2022-12-03,16.72461
2022-12-04,17.5998
2022-12-05,17.99544
2022-12-06,16.66466
2022-12-07,17.53986
2022-12-08,18.09135
2022-12-09,18.93058
2022-12-10,18.24721
2022-12-11,19.35019
2022-12-12,20.93274
2022-12-13,19.2303
2022-12-14,19.26627
2022-12-15,20.78887
2022-12-16,20.36926
2022-12-17,20.41721
2022-12-18,20.74091
2022-12-19,28.43783
2022-12-20,20.46517
2022-12-21,20.03356
2022-12-22,17.61179
2022-12-23,17.5998
2022-12-24,18.29516
2022-12-25,19.37417
2022-12-26,21.05263
2022-12-27,19.06246
2022-12-28,18.52295
2022-12-29,18.95456
2022-12-30,18.71478
2022-12-31,18.33113
2023-01-01,18.85865
2023-01-02,21.04064
2023-01-03,21.8439
2023-01-04,21.29241
2023-01-05,19.50605
2023-01-06,21.66406
2023-01-07,21.06462
2023-01-08,23.87003
2023-01-09,23.22263
2023-01-10,21.56815
2023-01-11,21.23246
2023-01-12,20.72892
2023-01-13,19.81776
2023-01-14,20.88478
2023-01-15,20.93274
2023-01-16,20.92075
2023-01-17,20.87279
2023-01-18,19.32621
2023-01-19,19.43412
2023-01-20,18.43903
2023-01-21,20.50113
2023-01-22,23.13871
2023-01-23,22.69512
2023-01-24,22.68313
2023-01-25,25.12888
2023-01-26,22.10766
2023-01-27,21.54417
2023-01-28,22.01174
2023-01-29,23.83407
2023-01-30,24.58937
2023-01-31,22.95887
2023-02-01,21.37633
2023-02-02,20.56108
2023-02-03,21.05263
2023-02-04,21.70003
2023-02-05,23.06677
2023-02-06,23.13871
2023-02-07,21.40031
2023-02-08,21.44826
2023-02-09,23.01882
2023-02-10,21.68804
2023-02-11,22.98285
2023-02-12,22.47931
2023-02-13,24.27766
2023-02-14,21.14854
2023-02-15,20.35727
2023-02-16,21.05263
2023-02-17,21.24445
2023-02-18,22.83898
2023-02-19,21.44826
2023-02-20,22.19158
2023-02-21,20.645
2023-02-22,19.21831
2023-02-23,21.31638
2023-02-24,18.72677
2023-02-25,19.98561
2023-02-26,20.69296
2023-02-27,20.62102
2023-02-28,19.82975
2023-03-01,21.29241
2023-03-02,19.57798
2023-03-03,19.25428
2023-03-04,21.30439
2023-03-05,21.55616
2023-03-06,21.9518
2023-03-07,20.92075
2023-03-08,20.16544
2023-03-09,18.99052
2023-03-10,17.53986
2023-03-11,19.7818
2023-03-12,20.16544
2023-03-13,21.12456
2023-03-14,18.88262
2023-03-15,19.90169
2023-03-16,19.4461
2023-03-17,19.74583
2023-03-18,20.2134
2023-03-19,20.87279
2023-03-20,21.78395
2023-03-21,28.40187
2023-03-22,24.75722
2023-03-23,21.60412
2023-03-24,20.34528
2023-03-25,20.58506
2023-03-26,22.01174
2023-03-27,20.50113
2023-03-28,19.05047
2023-03-29,19.42213
2023-03-30,20.77688
2023-03-31,18.61887
2023-04-01,19.30224
2023-04-02,21.08859
2023-04-03,20.39323
2023-04-04,20.5371
2023-04-05,19.49406
2023-04-06,19.96163
2023-04-07,18.96655
2023-04-08,20.35727
2023-04-09,21.30439
2023-04-10,22.62318
2023-04-11,20.48914
2023-04-12,19.36218
2023-04-13,18.64284
2023-04-14,17.97146
2023-04-15,20.2134
2023-04-16,22.02373
2023-04-17,20.5371
2023-04-18,19.87771
2023-04-19,18.93058
2023-04-20,19.66191
2023-04-21,17.88754
2023-04-22,18.6908
2023-04-23,19.97362
2023-04-24,20.17743
2023-04-25,19.72185
2023-04-26,17.76765
2023-04-27,17.95947
2023-04-28,17.34803
2023-04-29,18.475
2023-04-30,19.96163
2023-05-01,19.64992
2023-05-02,20.16544
2023-05-03,19.29025
2023-05-04,17.88754
2023-05-05,18.27119
2023-05-06,19.76981
2023-05-07,20.03356
2023-05-08,19.75782
2023-05-09,20.65699
2023-05-10,19.85373
2023-05-11,20.16544
2023-05-12,18.70279
2023-05-13,22.91092
2023-05-14,22.14362
2023-05-15,20.80086
2023-05-16,20.82484
2023-05-17,19.14638
2023-05-18,19.17036
2023-05-19,19.69787
2023-05-20,19.24229
2023-05-21,19.73384
2023-05-22,20.89677
2023-05-23,19.31423
2023-05-24,20.94473
2023-05-25,19.50605
2023-05-26,18.72677
2023-05-27,18.31914
2023-05-28,18.33113
