date,재택근무직업
2021-05-28,31.51515
2021-05-29,21.21212
2021-05-30,26.0606
2021-05-31,36.96969
2021-06-01,31.81818
2021-06-02,29.0909
2021-06-03,29.39393
2021-06-04,27.87878
2021-06-05,22.72727
2021-06-06,28.48484
2021-06-07,37.27272
2021-06-08,32.72727
2021-06-09,25.75757
2021-06-10,24.24242
2021-06-11,24.84848
2021-06-12,17.27272
2021-06-13,31.81818
2021-06-14,46.66666
2021-06-15,35.75757
2021-06-16,32.72727
2021-06-17,30.30303
2021-06-18,36.96969
2021-06-19,22.12121
2021-06-20,26.36363
2021-06-21,30.60606
2021-06-22,39.39393
2021-06-23,27.27272
2021-06-24,26.0606
2021-06-25,27.57575
2021-06-26,19.69696
2021-06-27,22.42424
2021-06-28,33.93939
2021-06-29,37.87878
2021-06-30,33.33333
2021-07-01,34.54545
2021-07-02,23.63636
2021-07-03,18.48484
2021-07-04,25.45454
2021-07-05,43.33333
2021-07-06,32.72727
2021-07-07,40.30303
2021-07-08,44.24242
2021-07-09,36.0606
2021-07-10,22.12121
2021-07-11,30.60606
2021-07-12,63.0303
2021-07-13,39.0909
2021-07-14,37.57575
2021-07-15,37.57575
2021-07-16,29.0909
2021-07-17,21.21212
2021-07-18,29.0909
2021-07-19,41.21212
2021-07-20,38.48484
2021-07-21,38.48484
2021-07-22,33.63636
2021-07-23,24.24242
2021-07-24,20.90909
2021-07-25,23.63636
2021-07-26,37.57575
2021-07-27,31.51515
2021-07-28,35.45454
2021-07-29,41.51515
2021-07-30,23.63636
2021-07-31,17.87878
2021-08-01,26.96969
2021-08-02,45.45454
2021-08-03,41.21212
2021-08-04,29.39393
2021-08-05,39.0909
2021-08-06,28.18181
2021-08-07,24.84848
2021-08-08,26.36363
2021-08-09,37.57575
2021-08-10,37.57575
2021-08-11,35.45454
2021-08-12,37.57575
2021-08-13,33.33333
2021-08-14,22.72727
2021-08-15,27.57575
2021-08-16,28.18181
2021-08-17,40.30303
2021-08-18,32.42424
2021-08-19,29.39393
2021-08-20,27.27272
2021-08-21,19.0909
2021-08-22,23.63636
2021-08-23,42.12121
2021-08-24,32.72727
2021-08-25,30.0
2021-08-26,31.21212
2021-08-27,20.90909
2021-08-28,20.90909
2021-08-29,16.66666
2021-08-30,29.0909
2021-08-31,31.51515
2021-09-01,31.21212
2021-09-02,22.72727
2021-09-03,22.42424
2021-09-04,16.0606
2021-09-05,27.87878
2021-09-06,27.87878
2021-09-07,31.51515
2021-09-08,25.75757
2021-09-09,25.45454
2021-09-10,23.33333
2021-09-11,16.0606
2021-09-12,20.30303
2021-09-13,33.93939
2021-09-14,23.33333
2021-09-15,26.66666
2021-09-16,23.93939
2021-09-17,15.15151
2021-09-18,15.75757
2021-09-19,12.12121
2021-09-20,12.12121
2021-09-21,12.72727
2021-09-22,22.12121
2021-09-23,37.27272
2021-09-24,22.12121
2021-09-25,16.96969
2021-09-26,21.21212
2021-09-27,36.96969
2021-09-28,36.36363
2021-09-29,33.33333
2021-09-30,26.0606
2021-10-01,20.30303
2021-10-02,14.54545
2021-10-03,16.96969
2021-10-04,25.15151
2021-10-05,41.51515
2021-10-06,35.75757
2021-10-07,32.42424
2021-10-08,20.90909
2021-10-09,16.0606
2021-10-10,23.0303
2021-10-11,32.42424
2021-10-12,39.0909
2021-10-13,30.60606
2021-10-14,26.0606
2021-10-15,27.27272
2021-10-16,19.69696
2021-10-17,21.51515
2021-10-18,37.87878
2021-10-19,30.90909
2021-10-20,27.27272
2021-10-21,23.93939
2021-10-22,30.90909
2021-10-23,18.18181
2021-10-24,21.81818
2021-10-25,31.21212
2021-10-26,28.18181
2021-10-27,35.15151
2021-10-28,31.21212
2021-10-29,19.39393
2021-10-30,23.33333
2021-10-31,22.72727
2021-11-01,33.93939
2021-11-02,30.90909
2021-11-03,29.0909
2021-11-04,33.33333
2021-11-05,24.54545
2021-11-06,14.84848
2021-11-07,23.33333
2021-11-08,34.24242
2021-11-09,37.27272
2021-11-10,30.90909
2021-11-11,26.0606
2021-11-12,32.12121
2021-11-13,15.15151
2021-11-14,23.33333
2021-11-15,30.90909
2021-11-16,28.48484
2021-11-17,30.60606
2021-11-18,33.63636
2021-11-19,26.96969
2021-11-20,15.75757
2021-11-21,18.18181
2021-11-22,45.15151
2021-11-23,36.36363
2021-11-24,28.48484
2021-11-25,32.72727
2021-11-26,26.36363
2021-11-27,19.39393
2021-11-28,27.27272
2021-11-29,36.66666
2021-11-30,31.81818
2021-12-01,33.93939
2021-12-02,34.54545
2021-12-03,29.0909
2021-12-04,22.72727
2021-12-05,28.48484
2021-12-06,34.24242
2021-12-07,41.51515
2021-12-08,55.15151
2021-12-09,40.60606
2021-12-10,29.0909
2021-12-11,22.42424
2021-12-12,30.60606
2021-12-13,42.42424
2021-12-14,35.15151
2021-12-15,42.42424
2021-12-16,47.57575
2021-12-17,33.63636
2021-12-18,23.0303
2021-12-19,32.12121
2021-12-20,48.18181
2021-12-21,37.57575
2021-12-22,47.87878
2021-12-23,40.60606
2021-12-24,18.18181
2021-12-25,15.75757
2021-12-26,24.24242
2021-12-27,40.90909
2021-12-28,44.24242
2021-12-29,42.12121
2021-12-30,38.78787
2021-12-31,30.30303
2022-01-01,23.93939
2022-01-02,27.57575
2022-01-03,55.15151
2022-01-04,48.78787
2022-01-05,39.0909
2022-01-06,40.30303
2022-01-07,37.27272
2022-01-08,26.96969
2022-01-09,31.81818
2022-01-10,44.24242
2022-01-11,42.42424
2022-01-12,40.60606
2022-01-13,38.78787
2022-01-14,31.21212
2022-01-15,24.84848
2022-01-16,26.66666
2022-01-17,42.72727
2022-01-18,41.51515
2022-01-19,34.54545
2022-01-20,36.66666
2022-01-21,27.87878
2022-01-22,21.21212
2022-01-23,29.0909
2022-01-24,40.0
2022-01-25,35.75757
2022-01-26,35.45454
2022-01-27,33.63636
2022-01-28,25.45454
2022-01-29,15.15151
2022-01-30,21.21212
2022-01-31,24.84848
2022-02-01,22.12121
2022-02-02,38.18181
2022-02-03,53.0303
2022-02-04,45.45454
2022-02-05,28.48484
2022-02-06,44.84848
2022-02-07,67.87878
2022-02-08,46.36363
2022-02-09,57.27272
2022-02-10,44.84848
2022-02-11,40.0
2022-02-12,30.90909
2022-02-13,33.63636
2022-02-14,57.87878
2022-02-15,44.84848
2022-02-16,50.60606
2022-02-17,52.42424
2022-02-18,35.45454
2022-02-19,26.66666
2022-02-20,35.75757
2022-02-21,58.78787
2022-02-22,50.30303
2022-02-23,50.0
2022-02-24,41.21212
2022-02-25,37.27272
2022-02-26,31.81818
2022-02-27,31.51515
2022-02-28,44.54545
2022-03-01,36.66666
2022-03-02,49.39393
2022-03-03,51.21212
2022-03-04,34.54545
2022-03-05,30.60606
2022-03-06,33.33333
2022-03-07,53.63636
2022-03-08,38.48484
2022-03-09,29.69696
2022-03-10,44.24242
2022-03-11,42.12121
2022-03-12,32.42424
2022-03-13,43.93939
2022-03-14,52.42424
2022-03-15,50.90909
2022-03-16,51.21212
2022-03-17,49.39393
2022-03-18,41.21212
2022-03-19,33.93939
2022-03-20,46.66666
2022-03-21,56.36363
2022-03-22,58.18181
2022-03-23,47.87878
2022-03-24,44.84848
2022-03-25,39.0909
2022-03-26,32.42424
2022-03-27,38.78787
2022-03-28,50.90909
2022-03-29,44.84848
2022-03-30,53.93939
2022-03-31,41.21212
2022-04-01,36.66666
2022-04-02,26.96969
2022-04-03,36.36363
2022-04-04,52.12121
2022-04-05,51.51515
2022-04-06,48.48484
2022-04-07,44.84848
2022-04-08,31.81818
2022-04-09,21.51515
2022-04-10,38.18181
2022-04-11,52.12121
2022-04-12,45.15151
2022-04-13,39.39393
2022-04-14,44.24242
2022-04-15,37.87878
2022-04-16,24.24242
2022-04-17,30.0
2022-04-18,51.51515
2022-04-19,49.0909
2022-04-20,40.60606
2022-04-21,39.39393
2022-04-22,34.24242
2022-04-23,24.24242
2022-04-24,31.51515
2022-04-25,44.54545
2022-04-26,38.48484
2022-04-27,45.15151
2022-04-28,34.54545
2022-04-29,25.15151
2022-04-30,25.45454
2022-05-01,27.87878
2022-05-02,42.12121
2022-05-03,30.90909
2022-05-04,35.15151
2022-05-05,28.48484
2022-05-06,26.96969
2022-05-07,25.45454
2022-05-08,27.57575
2022-05-09,42.42424
2022-05-10,36.36363
2022-05-11,36.36363
2022-05-12,30.60606
2022-05-13,20.0
2022-05-14,13.93939
2022-05-15,26.0606
2022-05-16,56.96969
2022-05-17,50.90909
2022-05-18,43.93939
2022-05-19,44.84848
2022-05-20,30.0
2022-05-21,18.78787
2022-05-22,27.57575
2022-05-23,54.84848
2022-05-24,31.51515
2022-05-25,39.0909
2022-05-26,29.0909
2022-05-27,25.15151
2022-05-28,19.0909
2022-05-29,25.75757
2022-05-30,39.0909
2022-05-31,38.48484
2022-06-01,26.0606
2022-06-02,33.0303
2022-06-03,26.0606
2022-06-04,14.84848
2022-06-05,25.45454
2022-06-06,28.48484
2022-06-07,46.0606
2022-06-08,35.15151
2022-06-09,24.84848
2022-06-10,26.96969
2022-06-11,20.60606
2022-06-12,28.18181
2022-06-13,35.45454
2022-06-14,35.75757
2022-06-15,33.0303
2022-06-16,29.39393
2022-06-17,30.60606
2022-06-18,15.45454
2022-06-19,26.66666
2022-06-20,39.39393
2022-06-21,36.66666
2022-06-22,35.15151
2022-06-23,32.12121
2022-06-24,26.0606
2022-06-25,14.24242
2022-06-26,20.30303
2022-06-27,41.81818
2022-06-28,35.15151
2022-06-29,33.33333
2022-06-30,35.15151
2022-07-01,24.24242
2022-07-02,16.0606
2022-07-03,25.75757
2022-07-04,36.36363
2022-07-05,31.21212
2022-07-06,25.15151
2022-07-07,25.15151
2022-07-08,24.24242
2022-07-09,15.15151
2022-07-10,25.45454
2022-07-11,28.78787
2022-07-12,33.93939
2022-07-13,30.90909
2022-07-14,40.0
2022-07-15,25.75757
2022-07-16,19.39393
2022-07-17,26.96969
2022-07-18,37.87878
2022-07-19,34.24242
2022-07-20,37.87878
2022-07-21,22.72727
2022-07-22,22.72727
2022-07-23,17.27272
2022-07-24,20.60606
2022-07-25,28.18181
2022-07-26,26.96969
2022-07-27,28.48484
2022-07-28,27.87878
2022-07-29,20.90909
2022-07-30,14.84848
2022-07-31,20.60606
2022-08-01,31.21212
2022-08-02,24.54545
2022-08-03,29.39393
2022-08-04,27.57575
2022-08-05,36.0606
2022-08-06,21.51515
2022-08-07,18.18181
2022-08-08,36.36363
2022-08-09,44.84848
2022-08-10,37.27272
2022-08-11,35.15151
2022-08-12,24.54545
2022-08-13,18.18181
2022-08-14,20.30303
2022-08-15,24.84848
2022-08-16,42.42424
2022-08-17,36.66666
2022-08-18,32.72727
2022-08-19,26.36363
2022-08-20,18.48484
2022-08-21,24.84848
2022-08-22,37.87878
