date,건강보험종류
2022-09-08,0.52781
2022-09-09,0.48721
2022-09-10,0.3248
2022-09-11,0.48721
2022-09-12,0.52781
2022-09-13,1.42103
2022-09-14,1.62403
2022-09-15,1.90824
2022-09-16,0.89321
2022-09-17,0.77141
2022-09-18,0.85261
2022-09-19,1.50223
2022-09-20,1.66463
2022-09-21,1.70523
2022-09-22,1.50223
2022-09-23,1.58343
2022-09-24,0.60901
2022-09-25,0.2436
2022-09-26,1.29922
2022-09-27,1.09622
2022-09-28,0.81201
2022-09-29,0.406
2022-09-30,0.97442
2022-10-02,0.56841
2022-10-03,0.3248
2022-10-04,1.94884
2022-10-05,1.29922
2022-10-06,1.58343
2022-10-07,0.3654
2022-10-08,0.406
2022-10-09,0.2436
2022-10-10,0.52781
2022-10-11,1.29922
2022-10-12,0.97442
2022-10-13,0.85261
2022-10-14,0.93382
2022-10-15,0.2436
2022-10-16,0.406
2022-10-17,1.13682
2022-10-18,0.97442
2022-10-19,1.29922
2022-10-20,0.81201
2022-10-21,0.48721
2022-10-22,0.56841
2022-10-23,0.4466
2022-10-24,1.21802
2022-10-25,1.17742
2022-10-26,1.17742
2022-10-27,1.09622
2022-10-28,0.85261
2022-10-29,0.3248
2022-10-30,0.406
2022-10-31,1.13682
2022-11-01,1.90824
2022-11-02,1.21802
2022-11-03,1.21802
2022-11-04,0.93382
2022-11-05,0.203
2022-11-06,0.2436
2022-11-07,1.25862
2022-11-08,1.09622
2022-11-09,0.64961
2022-11-10,1.13682
2022-11-11,0.89321
2022-11-13,0.52781
2022-11-14,1.38043
2022-11-15,0.73081
2022-11-16,0.93382
2022-11-17,1.01502
2022-11-18,0.56841
2022-11-19,0.2436
2022-11-21,0.97442
2022-11-22,1.17742
2022-11-23,1.29922
2022-11-24,0.93382
2022-11-25,0.81201
2022-11-26,0.2842
2022-11-27,0.69021
2022-11-28,1.78643
2022-11-29,1.90824
2022-11-30,1.78643
2022-12-01,2.51725
2022-12-02,1.42103
2022-12-03,0.69021
2022-12-04,0.85261
2022-12-05,1.70523
2022-12-06,1.50223
2022-12-07,1.50223
2022-12-08,1.46163
2022-12-09,0.73081
2022-12-10,0.3654
2022-12-11,1.09622
2022-12-12,1.74583
2022-12-13,1.74583
2022-12-14,2.27365
2022-12-15,2.76086
2022-12-16,1.94884
2022-12-17,0.2842
2022-12-18,1.29922
2022-12-19,2.35485
2022-12-20,3.24807
2022-12-21,3.49167
2022-12-22,2.76086
2022-12-23,1.29922
2022-12-24,0.60901
2022-12-25,1.09622
2022-12-26,2.39545
2022-12-27,2.55785
2022-12-28,1.70523
2022-12-29,1.54283
2022-12-30,1.50223
2022-12-31,0.56841
2023-01-01,1.78643
2023-01-02,3.57287
2023-01-03,3.41047
2023-01-04,2.47665
2023-01-05,3.00446
2023-01-06,1.94884
2023-01-07,0.60901
2023-01-08,1.50223
2023-01-09,3.16686
2023-01-10,3.41047
2023-01-11,3.57287
2023-01-12,2.27365
2023-01-13,1.86764
2023-01-14,0.81201
2023-01-15,0.93382
2023-01-16,2.15184
2023-01-17,1.66463
2023-01-18,1.50223
2023-01-19,0.93382
2023-01-20,0.73081
2023-01-21,0.3248
2023-01-22,0.56841
2023-01-23,0.3654
2023-01-24,0.3654
2023-01-25,1.21802
2023-01-26,1.25862
2023-01-27,0.97442
2023-01-28,0.93382
2023-01-29,0.60901
2023-01-30,1.62403
2023-01-31,2.23304
2023-02-01,1.98944
2023-02-02,1.62403
2023-02-03,1.82704
2023-02-04,0.85261
2023-02-05,0.64961
2023-02-06,2.31425
2023-02-07,3.04506
2023-02-08,1.50223
2023-02-09,1.78643
2023-02-10,1.54283
2023-02-11,0.77141
2023-02-12,0.52781
2023-02-13,2.76086
2023-02-14,2.43605
2023-02-15,3.00446
2023-02-16,2.96386
2023-02-17,3.57287
2023-02-18,2.55785
2023-02-19,2.88266
2023-02-20,5.23751
2023-02-21,6.00893
2023-02-22,5.60292
2023-02-23,6.33373
2023-02-24,5.84652
2023-02-25,5.31871
2023-02-26,6.41494
2023-02-27,10.06902
2023-02-28,10.06902
2023-03-01,27.24319
2023-03-02,70.36134
2023-03-03,30.41006
2023-03-04,11.97726
2023-03-05,27.6086
2023-03-06,30.65367
2023-03-07,15.91555
2023-03-08,10.96224
2023-03-09,5.64352
2023-03-10,3.41047
2023-03-11,1.25862
2023-03-12,2.80146
2023-03-13,4.8315
2023-03-14,3.97888
2023-03-15,2.39545
2023-03-16,2.11124
2023-03-17,1.74583
2023-03-18,1.01502
2023-03-19,1.25862
2023-03-20,3.77588
2023-03-21,1.46163
2023-03-22,1.90824
2023-03-23,1.13682
2023-03-24,1.13682
2023-03-25,0.3248
2023-03-26,0.56841
2023-03-27,1.42103
2023-03-28,1.50223
2023-03-29,1.25862
2023-03-30,1.13682
2023-03-31,1.01502
2023-04-01,0.406
2023-04-02,0.52781
2023-04-03,1.50223
2023-04-04,1.50223
2023-04-05,1.62403
2023-04-06,1.50223
2023-04-07,0.64961
2023-04-08,0.2436
2023-04-09,0.56841
2023-04-10,1.38043
2023-04-11,0.64961
2023-04-12,0.93382
2023-04-13,1.17742
2023-04-14,0.60901
2023-04-16,0.60901
2023-04-17,1.09622
2023-04-18,1.09622
2023-04-19,1.09622
2023-04-20,1.78643
2023-04-21,0.97442
2023-04-22,0.3654
2023-04-23,0.52781
2023-04-24,1.38043
2023-04-25,1.58343
2023-04-26,1.17742
2023-04-27,1.29922
2023-04-28,0.97442
2023-05-01,0.2842
2023-05-02,1.25862
2023-05-03,1.13682
2023-05-04,0.85261
2023-05-05,0.2436
2023-05-07,0.2436
2023-05-08,1.38043
2023-05-09,0.97442
2023-05-10,1.42103
2023-05-11,0.81201
2023-05-12,1.13682
2023-05-14,0.2436
2023-05-15,1.33982
2023-05-16,1.54283
2023-05-17,1.09622
2023-05-18,1.25862
2023-05-19,0.77141
2023-05-20,0.48721
2023-05-21,0.203
2023-05-22,1.62403
2023-05-23,0.97442
2023-05-24,1.17742
2023-05-25,1.21802
2023-05-26,0.60901
2023-05-27,0.3654
2023-05-28,0.203
2023-05-30,1.29922
2023-05-31,1.78643
2023-06-01,1.94884
2023-06-02,0.81201
2023-06-04,0.81201
2023-06-05,0.406
2023-06-06,0.69021
2023-06-07,1.46163
2023-06-08,1.50223
2023-06-09,0.64961
2023-06-10,0.3248
2023-06-11,0.64961
2023-06-12,1.70523
2023-06-13,1.82704
2023-06-14,1.01502
2023-06-15,0.77141
2023-06-16,1.09622
