date,파미셀주가
2022-01-16,0.31778
2022-01-17,3.51175
2022-01-18,3.36677
2022-01-19,3.37848
2022-01-20,3.56593
2022-01-21,3.24229
2022-01-22,0.36611
2022-01-23,0.29289
2022-01-24,3.45756
2022-01-25,3.45317
2022-01-26,3.43706
2022-01-27,3.55715
2022-01-28,3.85296
2022-01-29,0.36025
2022-01-30,0.28263
2022-01-31,0.23284
2022-02-01,0.27531
2022-02-02,0.26213
2022-02-03,6.75111
2022-02-04,5.73918
2022-02-05,0.60042
2022-02-06,0.51695
2022-02-07,5.3511
2022-02-08,5.22515
2022-02-09,4.60276
2022-02-10,4.09021
2022-02-11,3.39166
2022-02-12,0.36318
2022-02-13,0.33828
2022-02-14,3.44585
2022-02-15,3.21739
2022-02-16,4.12389
2022-02-17,3.80171
2022-02-18,3.28036
2022-02-19,0.38075
2022-02-20,0.32217
2022-02-21,3.71091
2022-02-22,3.07388
2022-02-23,3.22032
2022-02-24,3.13099
2022-02-25,3.26133
2022-02-26,0.32657
2022-02-27,0.28556
2022-02-28,3.39459
2022-03-01,0.37782
2022-03-02,3.20275
2022-03-03,3.3243
2022-03-04,3.01823
2022-03-05,0.29874
2022-03-06,0.24602
2022-03-07,2.90546
2022-03-08,3.14271
2022-03-09,0.38807
2022-03-10,3.22325
2022-03-11,3.22911
2022-03-12,0.26652
2022-03-13,0.29581
2022-03-14,3.09291
2022-03-15,2.76488
2022-03-16,3.04166
2022-03-17,3.43267
2022-03-18,3.20275
2022-03-19,0.36171
2022-03-20,0.27531
2022-03-21,3.07388
2022-03-22,2.81613
2022-03-23,3.0563
2022-03-24,2.65651
2022-03-25,2.84982
2022-03-26,0.29728
2022-03-27,0.22845
2022-03-28,2.62429
2022-03-29,2.9699
2022-03-30,2.8791
2022-03-31,3.02262
2022-04-01,2.75756
2022-04-02,0.27971
2022-04-03,0.24749
2022-04-04,2.9948
2022-04-05,2.81028
2022-04-06,2.57596
2022-04-07,2.52617
2022-04-08,2.53935
2022-04-09,0.23138
2022-04-10,0.19916
2022-04-11,2.53789
2022-04-12,2.32847
2022-04-13,2.91572
2022-04-14,2.73705
2022-04-15,2.76048
2022-04-16,0.25481
2022-04-17,0.20648
2022-04-18,2.6858
2022-04-19,2.6814
2022-04-20,3.213
2022-04-21,2.91279
2022-04-22,2.38266
2022-04-23,0.23431
2022-04-24,0.21234
2022-04-25,2.29479
2022-04-26,2.47492
2022-04-27,2.2904
2022-04-28,2.21717
2022-04-29,2.38705
2022-04-30,0.23577
2022-05-01,0.15816
2022-05-02,2.3768
2022-05-03,2.46613
2022-05-04,2.54228
2022-05-05,0.35146
2022-05-06,2.54228
2022-05-07,0.28849
2022-05-08,0.23577
2022-05-09,2.73705
2022-05-10,2.40316
2022-05-11,4.05799
2022-05-12,4.95423
2022-05-13,3.92619
2022-05-14,0.36025
2022-05-15,0.31485
2022-05-16,4.3831
2022-05-17,3.86322
2022-05-18,3.55422
2022-05-19,3.41802
2022-05-20,3.65233
2022-05-21,0.78348
2022-05-22,1.27114
2022-05-23,23.35798
2022-05-24,15.75748
2022-05-25,11.03902
2022-05-26,8.61389
2022-05-27,7.04107
2022-05-28,1.19059
2022-05-29,1.04415
2022-05-30,7.19191
2022-05-31,7.69715
2022-06-01,1.74269
2022-06-02,8.64757
2022-06-03,6.18583
2022-06-04,0.83913
2022-06-05,0.68829
2022-06-06,1.0749
2022-06-07,5.13143
2022-06-08,5.51219
2022-06-09,6.89756
2022-06-10,5.49901
2022-06-11,0.76004
2022-06-12,0.6795
2022-06-13,4.76825
2022-06-14,4.73017
2022-06-15,5.69964
2022-06-16,5.55173
2022-06-17,5.18122
2022-06-18,0.52573
2022-06-19,0.45983
2022-06-20,4.50611
2022-06-21,4.50904
2022-06-22,7.50677
2022-06-23,7.18898
2022-06-24,5.82119
2022-06-25,0.59017
2022-06-26,0.46276
2022-06-27,5.15779
2022-06-28,4.20297
2022-06-29,4.13121
2022-06-30,4.2469
2022-07-01,3.75192
2022-07-02,0.39247
2022-07-03,0.27531
2022-07-04,4.01405
2022-07-05,4.41824
2022-07-06,4.56615
2022-07-07,4.59544
2022-07-08,4.16782
2022-07-09,0.32071
2022-07-10,0.31925
2022-07-11,4.49879
2022-07-12,3.80464
2022-07-13,4.68624
2022-07-14,4.85025
2022-07-15,4.52368
2022-07-16,0.47155
2022-07-17,0.34853
2022-07-18,4.11364
2022-07-19,4.08728
2022-07-20,4.20883
2022-07-21,4.08142
2022-07-22,3.45463
2022-07-23,0.31485
2022-07-24,0.56674
2022-07-25,4.02723
2022-07-26,3.48832
2022-07-27,3.46928
2022-07-28,3.50882
2022-07-29,3.41656
2022-07-30,0.29728
2022-07-31,0.32071
2022-08-01,3.45756
2022-08-02,3.17492
2022-08-03,3.28036
2022-08-04,5.17683
2022-08-05,8.76766
2022-08-06,1.1657
2022-08-07,1.08808
2022-08-08,5.98374
2022-08-09,5.08457
2022-08-10,5.21197
2022-08-11,6.35132
2022-08-12,7.01911
2022-08-13,0.85963
2022-08-14,0.57699
2022-08-15,0.69414
2022-08-16,5.69085
2022-08-17,4.45778
2022-08-18,4.10192
2022-08-19,3.86907
2022-08-20,0.3705
2022-08-21,0.32803
2022-08-22,3.60108
2022-08-23,3.33601
2022-08-24,3.50589
2022-08-25,3.78414
2022-08-26,3.63623
2022-08-27,0.33389
2022-08-28,0.24749
2022-08-29,2.95672
2022-08-30,3.24522
2022-08-31,3.38141
2022-09-01,3.00651
2022-09-02,3.92179
2022-09-03,0.36171
2022-09-04,0.27971
2022-09-05,2.98894
2022-09-06,2.80149
2022-09-07,2.52031
2022-09-08,2.56278
2022-09-09,0.19184
2022-09-10,0.16548
2022-09-11,0.13326
2022-09-12,0.22406
2022-09-13,3.05777
2022-09-14,2.63601
2022-09-15,2.73412
2022-09-16,2.48956
2022-09-17,0.24016
2022-09-18,0.17426
2022-09-19,2.50421
2022-09-20,2.4837
2022-09-21,2.34751
2022-09-22,3.09877
2022-09-23,2.54082
2022-09-24,0.19623
2022-09-25,0.13619
2022-09-26,2.87032
2022-09-27,2.89082
2022-09-28,2.945
2022-09-29,3.41363
2022-09-30,3.07241
2022-10-01,0.25042
2022-10-02,0.17573
2022-10-03,0.20062
2022-10-04,3.05777
2022-10-05,2.66822
2022-10-06,2.7971
2022-10-07,2.52178
2022-10-08,0.20648
2022-10-09,0.15083
2022-10-10,0.19037
2022-10-11,2.64626
2022-10-12,2.47785
2022-10-13,2.51299
2022-10-14,2.80735
2022-10-15,0.2592
2022-10-16,0.18012
2022-10-17,2.7722
2022-10-18,2.66529
2022-10-19,2.49249
2022-10-20,2.41048
2022-10-21,2.11905
2022-10-22,0.17573
2022-10-23,0.13326
2022-10-24,2.67847
2022-10-25,3.06655
2022-10-26,2.78099
2022-10-27,2.91279
2022-10-28,2.6199
2022-10-29,0.22259
2022-10-30,0.13619
2022-10-31,2.4837
2022-11-01,2.4632
2022-11-02,2.6609
2022-11-03,2.3109
2022-11-04,2.03119
2022-11-05,0.20795
2022-11-06,0.13912
2022-11-07,2.36069
2022-11-08,2.61257
2022-11-09,2.49542
2022-11-10,1.99458
2022-11-11,2.44563
2022-11-12,0.27385
2022-11-13,0.16548
2022-11-14,2.28893
2022-11-15,2.32994
2022-11-16,2.19374
2022-11-17,2.15859
2022-11-18,1.88767
2022-11-19,0.14058
2022-11-20,0.15816
2022-11-21,1.74562
2022-11-22,1.70022
2022-11-23,1.80273
2022-11-24,1.85545
2022-11-25,1.64164
2022-11-26,0.20209
2022-11-27,0.11862
2022-11-28,1.48934
2022-11-29,1.63579
2022-11-30,1.69436
2022-12-01,1.6475
2022-12-02,1.45273
2022-12-03,0.14351
2022-12-04,0.10397
2022-12-05,1.76319
2022-12-06,1.4747
2022-12-07,1.40733
2022-12-08,1.4044
2022-12-09,1.39269
2022-12-10,0.15669
2022-12-11,0.15669
2022-12-12,1.56549
2022-12-13,1.75587
2022-12-14,3.07388
2022-12-15,2.70044
2022-12-16,3.10756
2022-12-17,0.7
2022-12-18,0.56381
2022-12-19,2.77513
2022-12-20,2.08098
2022-12-21,2.45588
2022-12-22,2.13223
2022-12-23,1.79248
2022-12-24,0.24016
2022-12-25,0.18305
2022-12-26,1.95064
2022-12-27,1.94186
2022-12-28,1.97993
2022-12-29,1.8906
2022-12-30,0.57406
2022-12-31,0.16255
2023-01-01,0.14351
2023-01-02,1.78516
2023-01-03,1.627
2023-01-04,1.78516
2023-01-05,1.67093
2023-01-06,1.62407
2023-01-07,0.14205
2023-01-08,0.14644
2023-01-09,1.79102
2023-01-10,1.58746
2023-01-11,1.72658
2023-01-12,1.77491
2023-01-13,1.71487
2023-01-14,0.17134
2023-01-15,0.12594
2023-01-16,1.99458
2023-01-17,1.44687
2023-01-18,1.33704
2023-01-19,1.32532
2023-01-20,1.31361
2023-01-21,0.08493
2023-01-22,0.09518
2023-01-23,0.11276
2023-01-24,0.13765
2023-01-25,1.64457
2023-01-26,1.71926
2023-01-27,1.61528
2023-01-28,0.1977
2023-01-29,0.13033
2023-01-30,1.34582
2023-01-31,1.43223
2023-02-01,1.76612
2023-02-02,1.68265
2023-02-03,1.40294
2023-02-04,0.11569
2023-02-05,0.08933
2023-02-06,1.49373
2023-02-07,1.73537
2023-02-08,1.62846
2023-02-09,1.37658
2023-02-10,1.29164
2023-02-11,0.10544
2023-02-12,0.1069
2023-02-13,1.36779
2023-02-14,1.38976
2023-02-15,1.35901
2023-02-16,1.56696
2023-02-17,1.31068
2023-02-18,0.15083
2023-02-19,0.12301
2023-02-20,1.64311
2023-02-21,1.39562
2023-02-22,1.19499
2023-02-23,1.26674
2023-02-24,1.27553
2023-02-25,0.12154
2023-02-26,0.10251
2023-02-27,1.33411
2023-02-28,1.33411
2023-03-01,0.25188
2023-03-02,1.41026
2023-03-03,1.41612
2023-03-04,0.17866
2023-03-05,0.11422
2023-03-06,1.36193
2023-03-07,1.3385
2023-03-08,1.29457
2023-03-09,1.20231
2023-03-10,1.18181
2023-03-11,0.11715
2023-03-12,0.11569
2023-03-13,1.33557
2023-03-14,1.25942
2023-03-15,1.28432
2023-03-16,1.15398
2023-03-17,1.33118
2023-03-18,0.20648
2023-03-19,0.1933
2023-03-20,1.31946
2023-03-21,2.24939
2023-03-22,1.76026
2023-03-23,1.50691
2023-03-24,1.39269
2023-03-25,0.1318
2023-03-26,0.09665
2023-03-27,1.32386
2023-03-28,1.31068
2023-03-29,1.41465
2023-03-30,1.53181
2023-03-31,1.31946
2023-04-01,0.10836
2023-04-02,0.09665
2023-04-03,1.38683
2023-04-04,1.71487
2023-04-05,1.84081
2023-04-06,1.55817
2023-04-07,1.37658
2023-04-08,0.26945
2023-04-09,0.21673
2023-04-10,1.39708
2023-04-11,1.53767
2023-04-12,1.60064
2023-04-13,1.77052
2023-04-14,1.98433
2023-04-15,0.23284
2023-04-16,0.21234
2023-04-17,1.63579
2023-04-18,1.59332
2023-04-19,1.47177
2023-04-20,1.31361
2023-04-21,1.2726
2023-04-22,0.17866
2023-04-23,0.14644
2023-04-24,1.32239
2023-04-25,1.16863
2023-04-26,1.19206
2023-04-27,1.17448
2023-04-28,1.2316
2023-04-29,0.18452
2023-04-30,0.09958
2023-05-01,0.3046
2023-05-02,1.32679
2023-05-03,1.11444
2023-05-04,1.38537
2023-05-05,0.20941
2023-05-06,0.23138
2023-05-07,0.12154
2023-05-08,1.50106
2023-05-09,1.25649
2023-05-10,1.2726
2023-05-11,1.10126
2023-05-12,1.02365
2023-05-13,0.10397
2023-05-14,0.10104
2023-05-15,1.03683
2023-05-16,0.97239
2023-05-17,1.09833
2023-05-18,1.08662
2023-05-19,1.15252
2023-05-20,0.09665
2023-05-21,0.07908
2023-05-22,1.17595
2023-05-23,1.14227
2023-05-24,1.05733
2023-05-25,0.99582
2023-05-26,1.01925
2023-05-27,0.10544
