date,달러인덱스
2022-01-23,2.21857
2022-01-24,10.28142
2022-01-25,14.49812
2022-01-26,12.35459
2022-01-27,16.27579
2022-01-28,15.6848
2022-01-29,6.72138
2022-01-30,2.76266
2022-01-31,6.7636
2022-02-01,9.53095
2022-02-02,10.91463
2022-02-03,15.05159
2022-02-04,14.77485
2022-02-05,6.47748
2022-02-06,2.76735
2022-02-07,10.50187
2022-02-08,10.91932
2022-02-09,10.68011
2022-02-10,10.3893
2022-02-11,12.42495
2022-02-12,5.6848
2022-02-13,2.68292
2022-02-14,10.53001
2022-02-15,12.29362
2022-02-16,11.24765
2022-02-17,11.38836
2022-02-18,9.92964
2022-02-19,4.39493
2022-02-20,2.106
2022-02-21,8.18949
2022-02-22,10.91932
2022-02-23,11.32739
2022-02-24,15.21106
2022-02-25,13.78517
2022-02-26,5.01407
2022-02-27,2.11069
2022-02-28,8.82739
2022-03-01,8.18949
2022-03-02,12.89399
2022-03-03,11.49155
2022-03-04,14.69043
2022-03-05,6.53377
2022-03-06,3.21294
2022-03-07,15.36585
2022-03-08,18.35365
2022-03-09,10.87242
2022-03-10,14.16041
2022-03-11,13.80393
2022-03-12,6.40243
2022-03-13,3.54596
2022-03-14,14.71388
2022-03-15,15.83958
2022-03-16,15.23452
2022-03-17,15.43151
2022-03-18,15.05628
2022-03-19,5.61444
2022-03-20,2.5938
2022-03-21,11.07879
2022-03-22,13.10037
2022-03-23,12.01219
2022-03-24,12.01219
2022-03-25,10.83958
2022-03-26,4.59193
2022-03-27,2.05909
2022-03-28,10.8818
2022-03-29,15.4409
2022-03-30,13.10975
2022-03-31,11.62288
2022-04-01,10.23452
2022-04-02,4.48405
2022-04-03,1.909
2022-04-04,8.21294
2022-04-05,10.40806
2022-04-06,13.06285
2022-04-07,12.6454
2022-04-08,14.24015
2022-04-09,6.29455
2022-04-10,2.85178
2022-04-11,13.59756
2022-04-12,18.6726
2022-04-13,18.94465
2022-04-14,15.81144
2022-04-15,13.71013
2022-04-16,3.95403
2022-04-17,2.70168
2022-04-18,13.7242
2022-04-19,17.40619
2022-04-20,18.01125
2022-04-21,15.90994
2022-04-22,17.81425
2022-04-23,7.76735
2022-04-24,3.80393
2022-04-25,20.00469
2022-04-26,20.81613
2022-04-27,29.50281
2022-04-28,34.39024
2022-04-29,30.12195
2022-04-30,11.31801
2022-05-01,5.49249
2022-05-02,21.5666
2022-05-03,23.10975
2022-05-04,21.72607
2022-05-05,23.27861
2022-05-06,31.1257
2022-05-07,9.76078
2022-05-08,5.27673
2022-05-09,26.28048
2022-05-10,26.77298
2022-05-11,25.25797
2022-05-12,30.0938
2022-05-13,26.66041
2022-05-14,9.92026
2022-05-15,4.13696
2022-05-16,19.87335
2022-05-17,21.9559
2022-05-18,23.35834
2022-05-19,25.91463
2022-05-20,27.20919
2022-05-21,10.2439
2022-05-22,4.68574
2022-05-23,20.19699
2022-05-24,23.05816
2022-05-25,22.78611
2022-05-26,20.85834
2022-05-27,20.40806
2022-05-28,7.87523
2022-05-29,3.9681
2022-05-30,17.88461
2022-05-31,20.41275
2022-06-01,16.06003
2022-06-02,22.09662
2022-06-03,19.86397
2022-06-04,8.19887
2022-06-05,3.60225
2022-06-06,14.12288
2022-06-07,20.86772
2022-06-08,21.23358
2022-06-09,20.15009
2022-06-10,25.72232
2022-06-11,10.21575
2022-06-12,4.95309
2022-06-13,24.99061
2022-06-14,31.00375
2022-06-15,29.09943
2022-06-16,34.46998
2022-06-17,31.29455
2022-06-18,10.8302
2022-06-19,4.74202
2022-06-20,22.21857
2022-06-21,22.83771
2022-06-22,28.30675
2022-06-23,29.27298
2022-06-24,23.1848
2022-06-25,8.01125
2022-06-26,3.41463
2022-06-27,20.01407
2022-06-28,22.52814
2022-06-29,24.63883
2022-06-30,25.90056
2022-07-01,24.24484
2022-07-02,8.63039
2022-07-03,4.03846
2022-07-04,18.01125
2022-07-05,37.33114
2022-07-06,46.11632
2022-07-07,38.72889
2022-07-08,31.28048
2022-07-09,10.44559
2022-07-10,4.82176
2022-07-11,30.57223
2022-07-12,44.00093
2022-07-13,40.05159
2022-07-14,43.34427
2022-07-15,40.61444
2022-07-16,11.66979
2022-07-17,6.18198
2022-07-18,31.08348
2022-07-19,35.67073
2022-07-20,34.98592
2022-07-21,35.13602
2022-07-22,32.86585
2022-07-23,10.58161
2022-07-24,4.49812
2022-07-25,23.41932
2022-07-26,26.7636
2022-07-27,25.71763
2022-07-28,31.98874
2022-07-29,26.39774
2022-07-30,9.98123
2022-07-31,4.26829
2022-08-01,21.13977
2022-08-02,24.67166
2022-08-03,25.3424
2022-08-04,23.25984
2022-08-05,24.89681
2022-08-06,10.57223
2022-08-07,4.20731
2022-08-08,19.53095
2022-08-09,20.9287
2022-08-10,24.59662
2022-08-11,26.62288
2022-08-12,20.6848
2022-08-13,8.45684
2022-08-14,3.34427
2022-08-15,15.93808
2022-08-16,25.98499
2022-08-17,25.45497
2022-08-18,29.62007
2022-08-19,37.303
