date,아파트전세
2022-08-26,45.79273
2022-08-27,43.31266
2022-08-28,43.8441
2022-08-29,50.22143
2022-08-30,48.00708
2022-08-31,43.75553
2022-09-01,48.98139
2022-09-02,43.57838
2022-09-03,38.70682
2022-09-04,40.83259
2022-09-05,48.36138
2022-09-06,41.45261
2022-09-07,35.42958
2022-09-08,33.12666
2022-09-09,24.88928
2022-09-10,28.43224
2022-09-11,39.41541
2022-09-12,47.38706
2022-09-13,62.79893
2022-09-14,54.38441
2022-09-15,52.79007
2022-09-16,49.24712
2022-09-17,46.05845
2022-09-18,54.7387
2022-09-19,59.96457
2022-09-20,56.15589
2022-09-21,50.31
2022-09-22,54.38441
2022-09-23,46.41275
2022-09-24,38.0868
2022-09-25,44.10983
2022-09-26,51.10717
2022-09-27,47.38706
2022-09-28,43.75553
2022-09-29,45.88131
2022-09-30,41.71833
2022-10-01,37.82108
2022-10-02,41.18689
2022-10-03,58.01594
2022-10-04,51.0186
2022-10-05,51.28432
2022-10-06,48.18423
2022-10-07,46.2356
2022-10-08,38.70682
2022-10-09,40.92116
2022-10-10,50.6643
2022-10-11,59.87599
2022-10-12,52.17006
2022-10-13,51.37289
2022-10-14,45.43844
2022-10-15,41.45261
2022-10-16,51.63861
2022-10-17,59.43312
2022-10-18,49.86713
2022-10-19,48.98139
2022-10-20,49.77856
2022-10-21,48.00708
2022-10-22,39.59255
2022-10-23,48.71567
2022-10-24,58.8131
2022-10-25,52.25863
2022-10-26,50.04428
2022-10-27,48.00708
2022-10-28,40.21257
2022-10-29,40.92116
2022-10-30,30.91231
2022-10-31,48.09565
2022-11-01,45.70416
2022-11-02,42.24977
2022-11-03,46.32418
2022-11-04,40.30115
2022-11-05,34.27812
2022-11-06,45.43844
2022-11-07,50.31
2022-11-08,48.36138
2022-11-09,50.22143
2022-11-10,46.85562
2022-11-11,39.85828
2022-11-12,39.06111
2022-11-13,45.70416
2022-11-14,51.46147
2022-11-15,57.48449
2022-11-16,46.94419
2022-11-17,47.47564
2022-11-18,42.60407
2022-11-19,44.37555
2022-11-20,39.94685
2022-11-21,52.79007
2022-11-22,53.67581
2022-11-23,48.2728
2022-11-24,44.90699
2022-11-25,46.2356
2022-11-26,40.03542
2022-11-27,47.82993
2022-11-28,44.90699
2022-11-29,43.93268
2022-11-30,44.28697
2022-12-01,41.62976
2022-12-02,37.20106
2022-12-03,35.25243
2022-12-04,37.90965
2022-12-05,45.96988
2022-12-06,48.98139
2022-12-07,41.09831
2022-12-08,45.79273
2022-12-09,41.98405
2022-12-10,38.97254
2022-12-11,40.83259
2022-12-12,53.85296
2022-12-13,54.47298
2022-12-14,47.65279
2022-12-15,44.72984
2022-12-16,46.67847
2022-12-17,45.43844
2022-12-18,46.05845
