date,전세권설정
2021-10-28,62.39612
2021-10-29,59.76454
2021-10-30,34.14127
2021-10-31,32.61772
2021-11-01,60.94182
2021-11-02,57.75623
2021-11-03,58.17174
2021-11-04,55.47091
2021-11-05,53.53185
2021-11-06,35.2493
2021-11-07,28.39335
2021-11-08,61.14958
2021-11-09,59.00277
2021-11-10,58.86426
2021-11-11,53.32409
2021-11-12,53.32409
2021-11-13,37.60387
2021-11-14,29.36288
2021-11-15,67.86703
2021-11-16,62.18836
2021-11-17,62.53462
2021-11-18,56.99445
2021-11-19,54.43213
2021-11-20,35.59556
2021-11-21,31.57894
2021-11-22,61.56509
2021-11-23,57.75623
2021-11-24,57.68698
2021-11-25,56.44044
2021-11-26,55.88642
2021-11-27,43.4903
2021-11-28,32.47922
2021-11-29,68.90581
2021-11-30,68.21329
2021-12-01,67.72853
2021-12-02,64.81994
2021-12-03,60.18005
2021-12-04,44.73684
2021-12-05,37.95013
2021-12-06,74.79224
2021-12-07,72.64542
2021-12-08,66.20498
2021-12-09,62.39612
2021-12-10,58.3795
2021-12-11,47.71468
2021-12-12,40.72022
2021-12-13,66.759
2021-12-14,64.75069
2021-12-15,60.59556
2021-12-16,64.47368
2021-12-17,56.99445
2021-12-18,39.05817
2021-12-19,35.87257
2021-12-20,68.21329
2021-12-21,68.21329
2021-12-22,59.00277
2021-12-23,57.20221
2021-12-24,52.00831
2021-12-25,28.18559
2021-12-26,35.73407
2021-12-27,69.25207
2021-12-28,63.22714
2021-12-29,63.85041
2021-12-30,55.26315
2021-12-31,44.59833
2022-01-01,25.41551
2022-01-02,32.27146
2022-01-03,67.24376
2022-01-04,72.02216
2022-01-05,76.03878
2022-01-06,76.10803
2022-01-07,65.72022
2022-01-08,52.97783
2022-01-09,41.55124
2022-01-10,82.20221
2022-01-11,79.84764
2022-01-12,77.35457
2022-01-13,73.47645
2022-01-14,65.58171
2022-01-15,56.57894
2022-01-16,42.03601
2022-01-17,75.1385
2022-01-18,72.36842
2022-01-19,71.60664
2022-01-20,68.07479
2022-01-21,66.20498
2022-01-22,46.19113
2022-01-23,45.63711
2022-01-24,75.96952
2022-01-25,72.57617
2022-01-26,67.86703
2022-01-27,66.68975
2022-01-28,53.39335
2022-01-29,33.03324
2022-01-30,19.04432
2022-01-31,16.759
2022-02-01,20.15235
2022-02-02,27.77008
2022-02-03,69.52908
2022-02-04,72.29916
2022-02-05,61.7036
2022-02-06,54.08587
2022-02-07,85.59556
2022-02-08,81.02493
2022-02-09,80.88642
2022-02-10,75.96952
2022-02-11,73.13019
2022-02-12,53.73961
2022-02-13,44.25207
2022-02-14,79.84764
2022-02-15,80.88642
2022-02-16,79.98614
2022-02-17,82.34072
2022-02-18,75.48476
2022-02-19,58.31024
2022-02-20,40.72022
2022-02-21,80.26315
2022-02-22,72.85318
2022-02-23,68.21329
2022-02-24,73.75346
2022-02-25,61.42659
2022-02-26,44.80609
2022-02-27,40.58171
2022-02-28,65.51246
2022-03-01,50.0
2022-03-02,68.76731
2022-03-03,67.52077
2022-03-04,58.6565
2022-03-05,50.83102
2022-03-06,38.29639
2022-03-07,73.75346
2022-03-08,64.95844
2022-03-09,42.86703
2022-03-10,62.18836
2022-03-11,65.0277
2022-03-12,47.16066
2022-03-13,37.95013
2022-03-14,73.47645
2022-03-15,67.86703
2022-03-16,58.6565
2022-03-17,68.28254
2022-03-18,61.14958
2022-03-19,44.11357
2022-03-20,39.12742
2022-03-21,68.6288
2022-03-22,65.51246
2022-03-23,57.20221
2022-03-24,58.6565
2022-03-25,57.96398
2022-03-26,42.03601
2022-03-27,33.58725
2022-03-28,65.3047
2022-03-29,64.26592
2022-03-30,64.26592
2022-03-31,61.9806
2022-04-01,52.83933
2022-04-02,31.30193
2022-04-03,28.32409
2022-04-04,60.31855
2022-04-05,61.14958
2022-04-06,62.18836
2022-04-07,59.27977
2022-04-08,55.60941
2022-04-09,34.62603
2022-04-10,30.12465
2022-04-11,64.40443
2022-04-12,59.97229
2022-04-13,60.2493
2022-04-14,62.46537
2022-04-15,56.30193
2022-04-16,39.12742
2022-04-17,35.73407
2022-04-18,69.32132
2022-04-19,66.82825
2022-04-20,68.55955
2022-04-21,53.6011
2022-04-22,49.93074
2022-04-23,36.49584
2022-04-24,27.83933
2022-04-25,60.31855
2022-04-26,57.75623
2022-04-27,58.86426
2022-04-28,57.96398
2022-04-29,53.25484
2022-04-30,38.5734
2022-05-01,26.93905
2022-05-02,64.61218
2022-05-03,58.58725
2022-05-04,52.90858
2022-05-05,36.01108
2022-05-06,51.17728
2022-05-07,34.76454
2022-05-08,32.34072
2022-05-09,70.98337
2022-05-10,63.29639
2022-05-11,62.39612
2022-05-12,61.28808
2022-05-13,58.79501
2022-05-14,36.77285
2022-05-15,28.73961
2022-05-16,63.78116
2022-05-17,63.50415
2022-05-18,62.60387
2022-05-19,61.49584
2022-05-20,53.73961
2022-05-21,38.5734
2022-05-22,25.90027
2022-05-23,57.06371
2022-05-24,56.09418
2022-05-25,72.36842
2022-05-26,60.94182
2022-05-27,55.0554
2022-05-28,30.60941
2022-05-29,29.77839
2022-05-30,61.63434
2022-05-31,56.23268
2022-06-01,40.09695
2022-06-02,57.06371
2022-06-03,48.5457
2022-06-04,37.81163
2022-06-05,23.68421
2022-06-06,33.3795
2022-06-07,60.94182
2022-06-08,62.32686
2022-06-09,60.45706
2022-06-10,53.18559
2022-06-11,38.4349
2022-06-12,35.45706
2022-06-13,62.18836
2022-06-14,60.18005
2022-06-15,58.86426
2022-06-16,55.67867
2022-06-17,54.29362
2022-06-18,37.46537
2022-06-19,29.29362
2022-06-20,65.1662
2022-06-21,62.81163
2022-06-22,56.9252
2022-06-23,58.58725
2022-06-24,51.45429
2022-06-25,35.2493
2022-06-26,29.91689
2022-06-27,66.68975
2022-06-28,58.3795
2022-06-29,59.83379
2022-06-30,60.04155
2022-07-01,51.8698
2022-07-02,36.9806
2022-07-03,26.52354
2022-07-04,65.0277
2022-07-05,64.47368
2022-07-06,63.50415
2022-07-07,52.00831
2022-07-08,52.77008
2022-07-09,34.34903
2022-07-10,27.56232
2022-07-11,64.54293
2022-07-12,66.27423
2022-07-13,62.25761
2022-07-14,64.95844
2022-07-15,60.38781
2022-07-16,48.89196
2022-07-17,41.62049
2022-07-18,73.96121
2022-07-19,66.55124
2022-07-20,64.05817
2022-07-21,68.97506
2022-07-22,55.74792
2022-07-23,34.62603
2022-07-24,32.13296
2022-07-25,60.31855
2022-07-26,57.68698
2022-07-27,57.82548
2022-07-28,61.49584
2022-07-29,51.10803
2022-07-30,38.64265
2022-07-31,29.08587
2022-08-01,59.41828
2022-08-02,58.31024
2022-08-03,59.90304
2022-08-04,62.88088
2022-08-05,58.3795
2022-08-06,43.83656
2022-08-07,38.4349
2022-08-08,65.0277
2022-08-09,57.06371
2022-08-10,66.13573
2022-08-11,58.44875
2022-08-12,56.99445
2022-08-13,38.08864
2022-08-14,29.50138
2022-08-15,37.53462
2022-08-16,62.67313
2022-08-17,65.1662
