date,사업자등록증발급
2022-01-14,29.73337
2022-01-15,8.80863
2022-01-16,9.98987
2022-01-17,44.07694
2022-01-18,42.22072
2022-01-19,37.52953
2022-01-20,37.96827
2022-01-21,28.72089
2022-01-22,8.36989
2022-01-23,10.59736
2022-01-24,44.92068
2022-01-25,34.32332
2022-01-26,34.93081
2022-01-27,37.29328
2022-01-28,24.09719
2022-01-29,6.10867
2022-01-30,5.39993
2022-01-31,5.23118
2022-02-01,4.82618
2022-02-02,8.80863
2022-02-03,41.07323
2022-02-04,34.18832
2022-02-05,8.67364
2022-02-06,9.88862
2022-02-07,59.87175
2022-02-08,62.13297
2022-02-09,59.568
2022-02-10,57.13803
2022-02-11,42.52446
2022-02-12,11.20485
2022-02-13,14.27607
2022-02-14,49.51063
2022-02-15,41.03948
2022-02-16,38.44076
2022-02-17,35.16706
2022-02-18,30.13837
2022-02-19,9.75362
2022-02-20,10.15862
2022-02-21,42.89571
2022-02-22,38.33952
2022-02-23,58.42051
2022-02-24,57.03678
2022-02-25,52.88558
2022-02-26,9.61862
2022-02-27,10.52986
2022-02-28,65.33918
2022-03-01,27.13466
2022-03-02,55.8218
2022-03-03,49.34188
2022-03-04,45.29193
2022-03-05,7.72865
2022-03-06,8.77489
2022-03-07,45.12318
2022-03-08,38.40701
2022-03-09,11.27235
2022-03-10,51.36685
2022-03-11,46.16942
2022-03-12,15.28855
2022-03-13,14.17482
2022-03-14,46.91191
2022-03-15,56.83428
2022-03-16,42.15322
2022-03-17,39.52075
2022-03-18,35.63955
2022-03-19,8.50489
2022-03-20,9.17988
2022-03-21,42.22072
2022-03-22,39.622
2022-03-23,38.27202
2022-03-24,33.54708
2022-03-25,28.38339
2022-03-26,7.05366
2022-03-27,8.47114
2022-03-28,35.5383
2022-03-29,30.91461
2022-03-30,35.57205
2022-03-31,29.86837
2022-04-01,29.05838
2022-04-02,7.32365
2022-04-03,7.3574
2022-04-04,36.71954
2022-04-05,34.89706
2022-04-06,34.96456
2022-04-07,32.33209
2022-04-08,26.39217
2022-04-09,6.58116
2022-04-10,7.39115
2022-04-11,37.93452
2022-04-12,32.12959
2022-04-13,33.17583
2022-04-14,32.63584
2022-04-15,26.15592
2022-04-16,6.74991
2022-04-17,7.72865
2022-04-18,37.05703
2022-04-19,34.49206
2022-04-20,32.09584
2022-04-21,32.33209
2022-04-22,27.60715
2022-04-23,6.61491
2022-04-24,7.99865
2022-04-25,36.61829
2022-04-26,35.97705
2022-04-27,32.77084
2022-04-28,32.09584
2022-04-29,26.25717
2022-04-30,6.17617
2022-05-01,7.15491
2022-05-02,42.65946
2022-05-03,35.50455
2022-05-04,26.49341
2022-05-05,9.17988
2022-05-06,27.16841
2022-05-07,6.44616
2022-05-08,7.6274
2022-05-09,39.72325
2022-05-10,35.5383
2022-05-11,37.22578
2022-05-12,35.3358
2022-05-13,28.85588
