date,종합지수
2021-08-29,1.73887
2021-08-30,42.44031
2021-08-31,47.00854
2021-09-01,45.65281
2021-09-02,50.07368
2021-09-03,39.55201
2021-09-04,2.68199
2021-09-05,1.14942
2021-09-06,41.7035
2021-09-07,40.87827
2021-09-08,49.69053
2021-09-09,56.05658
2021-09-10,47.74535
2021-09-11,2.59357
2021-09-12,2.00412
2021-09-13,41.96875
2021-09-14,34.33539
2021-09-15,37.1058
2021-09-16,38.43206
2021-09-17,34.07014
2021-09-18,1.82729
2021-09-19,1.17889
2021-09-20,1.56203
2021-09-21,2.26937
2021-09-22,2.68199
2021-09-23,40.08252
2021-09-24,39.16887
2021-09-25,2.65251
2021-09-26,1.00206
2021-09-27,32.56704
2021-09-28,48.62953
2021-09-29,62.01002
2021-09-30,46.24226
2021-10-01,58.88594
2021-10-02,3.743
2021-10-03,2.44621
2021-10-04,6.36604
2021-10-05,77.39463
2021-10-06,82.84703
2021-10-07,57.3239
2021-10-08,55.43766
2021-10-09,3.18302
2021-10-10,2.21043
2021-10-11,4.89242
2021-10-12,61.74476
2021-10-13,52.51989
2021-10-14,46.03595
2021-10-15,48.45269
2021-10-16,2.74093
2021-10-17,2.06307
2021-10-18,49.07161
2021-10-19,40.58355
2021-10-20,46.83171
2021-10-21,42.44031
2021-10-22,42.70557
2021-10-23,2.62304
2021-10-24,1.59151
2021-10-25,40.05305
2021-10-26,32.74388
2021-10-27,44.03183
2021-10-28,42.49926
2021-10-29,47.36221
2021-10-30,3.47774
2021-10-31,1.88623
2021-11-01,38.90362
2021-11-02,37.54789
2021-11-03,44.70969
2021-11-04,46.44857
2021-11-05,47.30327
2021-11-06,2.7704
2021-11-07,1.41467
2021-11-08,43.61921
2021-11-09,39.78779
2021-11-10,46.83171
2021-11-11,47.36221
2021-11-12,34.71853
2021-11-13,2.53463
2021-11-14,1.56203
2021-11-15,32.80282
2021-11-16,38.96256
2021-11-17,41.55614
2021-11-18,39.75832
2021-11-19,35.7206
2021-11-20,2.47568
2021-11-21,1.56203
2021-11-22,35.9269
2021-11-23,40.34777
2021-11-24,38.31417
2021-11-25,35.57323
2021-11-26,41.02564
2021-11-27,5.74712
2021-11-28,2.82935
2021-11-29,48.80636
2021-11-30,66.48983
2021-12-01,54.93663
2021-12-02,49.27792
2021-12-03,43.82552
2021-12-04,4.50928
2021-12-05,2.12201
2021-12-06,45.4465
2021-12-07,43.58974
2021-12-08,42.64662
2021-12-09,38.90362
2021-12-10,41.40878
2021-12-11,3.0946
2021-12-12,1.3852
2021-12-13,37.98997
2021-12-14,42.38137
2021-12-15,42.26348
2021-12-16,38.04892
2021-12-17,38.52048
2021-12-18,3.59563
2021-12-19,1.50309
2021-12-20,49.36634
2021-12-21,43.02976
2021-12-22,38.63837
2021-12-23,37.28264
2021-12-24,32.89124
2021-12-25,1.85676
2021-12-26,1.88623
2021-12-27,37.72472
2021-12-28,36.36899
2021-12-29,38.04892
2021-12-30,35.89743
2021-12-31,8.10492
2022-01-01,1.32625
2022-01-02,0.8547
2022-01-03,32.71441
2022-01-04,36.31005
2022-01-05,51.13468
2022-01-06,49.98526
2022-01-07,37.07633
2022-01-08,2.7704
2022-01-09,1.7094
2022-01-10,47.53905
2022-01-11,43.00029
2022-01-12,35.63218
2022-01-13,39.61096
2022-01-14,43.64868
2022-01-15,3.03566
2022-01-16,1.7094
2022-01-17,51.75361
2022-01-18,50.39787
2022-01-19,53.72826
2022-01-20,47.56852
2022-01-21,58.23754
2022-01-22,5.68818
