date,멋진사진
2023-02-27,36.41975
2023-02-28,36.41975
2023-03-01,48.76543
2023-03-02,40.12345
2023-03-03,43.82716
2023-03-04,56.17283
2023-03-05,41.35802
2023-03-06,33.33333
2023-03-07,35.80246
2023-03-08,34.5679
2023-03-09,38.88888
2023-03-10,40.74074
2023-03-11,33.95061
2023-03-12,32.71604
2023-03-13,29.62962
2023-03-14,35.80246
2023-03-15,33.33333
2023-03-16,28.39506
2023-03-17,30.24691
2023-03-18,44.44444
2023-03-19,38.88888
2023-03-20,34.5679
2023-03-21,31.48148
2023-03-22,38.2716
2023-03-23,35.80246
2023-03-24,36.41975
2023-03-25,52.46913
2023-03-26,30.86419
2023-03-27,38.2716
2023-03-28,33.33333
2023-03-29,37.65432
2023-03-30,38.2716
2023-03-31,36.41975
2023-04-01,38.88888
2023-04-02,32.71604
2023-04-03,27.77777
2023-04-04,32.71604
2023-04-05,35.80246
2023-04-06,33.95061
2023-04-07,27.77777
2023-04-08,35.18518
2023-04-09,35.18518
2023-04-10,30.86419
2023-04-11,29.01234
2023-04-12,27.16049
2023-04-13,30.24691
2023-04-14,40.74074
2023-04-15,36.41975
2023-04-16,41.35802
2023-04-17,25.92592
2023-04-18,32.09876
2023-04-19,35.80246
2023-04-20,30.86419
2023-04-21,29.62962
2023-04-22,38.2716
2023-04-23,27.16049
2023-04-24,34.5679
2023-04-25,41.35802
2023-04-26,40.12345
2023-04-27,34.5679
2023-04-28,35.18518
2023-04-29,30.24691
2023-04-30,22.8395
2023-05-01,38.88888
2023-05-02,25.30864
2023-05-03,27.77777
2023-05-04,37.03703
2023-05-05,50.0
2023-05-06,49.38271
2023-05-07,29.01234
2023-05-08,27.16049
2023-05-09,40.74074
2023-05-10,25.30864
2023-05-11,45.67901
2023-05-12,30.24691
2023-05-13,31.48148
2023-05-14,33.33333
2023-05-15,38.88888
2023-05-16,39.50617
2023-05-17,32.71604
2023-05-18,32.09876
2023-05-19,35.80246
2023-05-20,41.35802
2023-05-21,30.86419
2023-05-22,35.18518
2023-05-23,28.39506
2023-05-24,27.77777
2023-05-25,43.20987
2023-05-26,24.07407
2023-05-27,39.50617
2023-05-28,35.18518
