date,이벤트응모
2021-12-27,61.84738
2021-12-28,63.45381
2021-12-29,68.07228
2021-12-30,61.64658
2021-12-31,56.8273
2022-01-01,64.65863
2022-01-02,66.66666
2022-01-03,77.71084
2022-01-04,73.69477
2022-01-05,69.87951
2022-01-06,64.65863
2022-01-07,71.68674
2022-01-08,61.24497
2022-01-09,58.03212
2022-01-10,71.08433
2022-01-11,67.67068
2022-01-12,65.06024
2022-01-13,67.87148
2022-01-14,71.88755
2022-01-15,63.45381
2022-01-16,59.23694
2022-01-17,72.08835
2022-01-18,65.26104
2022-01-19,65.86345
2022-01-20,63.25301
2022-01-21,67.26907
2022-01-22,65.06024
2022-01-23,60.84337
2022-01-24,69.87951
2022-01-25,73.49397
2022-01-26,71.68674
2022-01-27,70.48192
2022-01-28,65.06024
2022-01-29,59.83935
2022-01-30,57.42971
2022-01-31,60.84337
2022-02-01,58.63453
2022-02-02,58.03212
2022-02-03,67.06827
2022-02-04,72.28915
2022-02-05,62.8514
2022-02-06,60.24096
2022-02-07,69.2771
2022-02-08,68.27309
2022-02-09,67.26907
2022-02-10,63.45381
2022-02-11,65.46184
2022-02-12,62.44979
2022-02-13,60.04016
2022-02-14,69.67871
2022-02-15,66.86746
2022-02-16,66.86746
2022-02-17,63.0522
2022-02-18,66.46586
2022-02-19,63.65461
2022-02-20,60.84337
2022-02-21,65.26104
2022-02-22,67.46987
2022-02-23,71.28514
2022-02-24,67.06827
2022-02-25,68.8755
2022-02-26,66.26506
2022-02-27,62.44979
2022-02-28,77.10843
2022-03-01,79.71887
2022-03-02,81.5261
2022-03-03,77.30923
2022-03-04,71.48594
2022-03-05,66.66666
2022-03-06,64.65863
2022-03-07,67.87148
2022-03-08,79.31726
2022-03-09,64.45783
2022-03-10,74.29718
2022-03-11,78.31325
2022-03-12,68.07228
2022-03-13,66.66666
2022-03-14,79.51807
2022-03-15,73.29317
2022-03-16,73.49397
2022-03-17,87.5502
2022-03-18,78.11244
2022-03-19,67.06827
2022-03-20,64.65863
2022-03-21,69.2771
2022-03-22,73.09236
2022-03-23,78.71485
2022-03-24,73.89558
2022-03-25,68.47389
2022-03-26,63.65461
2022-03-27,58.83534
2022-03-28,63.65461
2022-03-29,70.48192
2022-03-30,67.06827
2022-03-31,69.47791
2022-04-01,64.25702
2022-04-02,59.03614
2022-04-03,61.24497
2022-04-04,67.87148
2022-04-05,62.44979
2022-04-06,68.07228
2022-04-07,64.45783
2022-04-08,64.85943
2022-04-09,58.03212
2022-04-10,55.22088
2022-04-11,69.47791
2022-04-12,66.26506
2022-04-13,69.2771
2022-04-14,70.88353
2022-04-15,68.47389
2022-04-16,57.83132
2022-04-17,62.04819
2022-04-18,65.66265
2022-04-19,66.46586
2022-04-20,64.65863
2022-04-21,68.8755
2022-04-22,62.8514
2022-04-23,62.8514
2022-04-24,55.42168
2022-04-25,70.08032
2022-04-26,74.09638
2022-04-27,66.46586
2022-04-28,71.68674
2022-04-29,69.2771
2022-04-30,65.46184
2022-05-01,69.47791
2022-05-02,74.89959
2022-05-03,76.50602
2022-05-04,69.87951
2022-05-05,66.06425
2022-05-06,67.67068
2022-05-07,57.42971
2022-05-08,68.07228
2022-05-09,75.70281
2022-05-10,68.8755
2022-05-11,75.90361
2022-05-12,72.08835
2022-05-13,71.88755
2022-05-14,63.85542
2022-05-15,64.45783
2022-05-16,73.09236
2022-05-17,79.11646
2022-05-18,74.09638
2022-05-19,72.08835
2022-05-20,72.48995
2022-05-21,59.83935
2022-05-22,59.63855
2022-05-23,69.67871
2022-05-24,68.47389
2022-05-25,71.68674
2022-05-26,64.05622
2022-05-27,65.06024
2022-05-28,52.20883
2022-05-29,57.22891
2022-05-30,69.0763
2022-05-31,67.87148
2022-06-01,65.06024
2022-06-02,68.67469
2022-06-03,74.29718
2022-06-04,56.6265
2022-06-05,60.64257
2022-06-06,66.06425
2022-06-07,69.0763
2022-06-08,74.89959
2022-06-09,71.28514
2022-06-10,67.67068
2022-06-11,63.25301
2022-06-12,61.44578
2022-06-13,67.26907
2022-06-14,67.67068
2022-06-15,66.06425
2022-06-16,62.04819
2022-06-17,64.25702
2022-06-18,57.83132
2022-06-19,57.63052
2022-06-20,64.25702
2022-06-21,63.65461
