date,파이코인상장
2021-06-12,16.47806
2021-06-13,15.56202
2021-06-14,17.36178
2021-06-15,16.88759
2021-06-16,17.20012
2021-06-17,18.79512
2021-06-18,17.97607
2021-06-19,14.0209
2021-06-20,13.4605
2021-06-21,16.60739
2021-06-22,17.00614
2021-06-23,17.25401
2021-06-24,15.44347
2021-06-25,13.67604
2021-06-26,12.16725
2021-06-27,13.39584
2021-06-28,18.41793
2021-06-29,24.60394
2021-06-30,16.71516
2021-07-01,13.77303
2021-07-02,14.161
2021-07-03,11.45597
2021-07-04,12.75999
2021-07-05,15.66979
2021-07-06,14.72141
2021-07-07,14.45198
2021-07-08,14.1179
2021-07-09,14.34421
2021-07-10,13.27729
2021-07-11,11.85472
2021-07-12,14.06401
2021-07-13,13.63293
2021-07-14,13.96702
2021-07-15,15.22793
2021-07-16,12.70611
2021-07-17,10.76624
2021-07-18,11.03567
2021-07-19,14.161
2021-07-20,13.37428
2021-07-21,13.44972
2021-07-22,15.27104
2021-07-23,13.05097
2021-07-24,11.18655
2021-07-25,12.2858
2021-07-26,15.08783
2021-07-27,13.76225
2021-07-28,11.80084
2021-07-29,11.94094
2021-07-30,11.36975
2021-07-31,10.22739
2021-08-01,10.47526
2021-08-02,12.40435
2021-08-03,13.00786
2021-08-04,12.40435
2021-08-05,12.69533
2021-08-06,13.10486
2021-08-07,13.02942
2021-08-08,15.02317
2021-08-09,17.48033
2021-08-10,17.53421
2021-08-11,19.37708
2021-08-12,20.18536
2021-08-13,18.17006
2021-08-14,20.17458
2021-08-15,18.62269
2021-08-16,19.47408
2021-08-17,19.31242
2021-08-18,15.3357
2021-08-19,15.77756
2021-08-20,16.48884
2021-08-21,16.32719
2021-08-22,15.97154
2021-08-23,18.18083
2021-08-24,19.25854
2021-08-25,20.63799
2021-08-26,19.87283
2021-08-27,16.7906
2021-08-28,16.66127
2021-08-29,15.15249
2021-08-30,19.51718
2021-08-31,15.26026
2021-09-01,14.36577
2021-09-02,16.98458
2021-09-03,14.51665
2021-09-04,16.30563
2021-09-05,16.70438
2021-09-06,20.75654
2021-09-07,19.25854
2021-09-08,17.00614
2021-09-09,16.38107
2021-09-10,15.32492
2021-09-11,12.75999
2021-09-12,14.30111
2021-09-13,14.15023
2021-09-14,13.82692
2021-09-15,17.81441
2021-09-16,18.74124
2021-09-17,14.45198
2021-09-18,12.92165
2021-09-19,9.12813
2021-09-20,8.51384
2021-09-21,9.83942
2021-09-22,12.21036
2021-09-23,17.77131
