date,다우나스닥
2021-11-06,8.83601
2021-11-07,1.58804
2021-11-08,5.77627
2021-11-09,14.30399
2021-11-10,15.17072
2021-11-11,18.22465
2021-11-12,14.53667
2021-11-13,10.03432
2021-11-14,1.80326
2021-11-15,4.54889
2021-11-16,14.35053
2021-11-17,14.10621
2021-11-18,14.55412
2021-11-19,13.66412
2021-11-20,9.49333
2021-11-21,1.75673
2021-11-22,4.03117
2021-11-23,15.54883
2021-11-24,16.1887
2021-11-25,15.28125
2021-11-26,12.40765
2021-11-27,15.82223
2021-11-28,2.09993
2021-11-29,6.56157
2021-11-30,19.38805
2021-12-01,22.11622
2021-12-02,21.7323
2021-12-03,18.3468
2021-12-04,16.10726
2021-12-05,2.72235
2021-12-06,5.93915
2021-12-07,19.36478
2021-12-08,18.76563
2021-12-09,17.42772
2021-12-10,18.80635
2021-12-11,12.23896
2021-12-12,2.00686
2021-12-13,4.79902
2021-12-14,18.25955
2021-12-15,20.3304
2021-12-16,20.51073
2021-12-17,20.63288
2021-12-18,14.99621
2021-12-19,2.14647
2021-12-20,6.68372
2021-12-21,22.30818
2021-12-22,18.09667
2021-12-23,17.53824
2021-12-24,13.58268
2021-12-25,6.81752
2021-12-26,1.59967
2021-12-27,3.8334
2021-12-28,13.48379
2021-12-29,14.53667
2021-12-30,13.09987
2021-12-31,8.79529
2022-01-01,3.99046
2022-01-02,1.35536
2022-01-03,3.62398
2022-01-04,12.05281
2022-01-05,15.89785
2022-01-06,20.34785
2022-01-07,20.01628
2022-01-08,13.60595
2022-01-09,2.13483
2022-01-10,5.88098
2022-01-11,22.8957
2022-01-12,19.91739
2022-01-13,17.82327
2022-01-14,19.87667
2022-01-15,12.7683
2022-01-16,2.32679
2022-01-17,4.42673
2022-01-18,14.35053
2022-01-19,21.61596
2022-01-20,21.66249
2022-01-21,21.32511
2022-01-22,18.87033
2022-01-23,2.53039
2022-01-24,8.15543
2022-01-25,35.80943
2022-01-26,34.00616
2022-01-27,33.4361
2022-01-28,29.75394
2022-01-29,17.34628
2022-01-30,2.7747
2022-01-31,3.55418
2022-02-01,13.89098
2022-02-02,18.03269
2022-02-03,22.48851
2022-02-04,24.4721
2022-02-05,17.387
2022-02-06,2.82706
2022-02-07,5.81118
2022-02-08,20.88883
2022-02-09,20.93537
2022-02-10,21.81373
2022-02-11,23.72753
2022-02-12,19.43458
2022-02-13,3.04228
2022-02-14,6.84078
2022-02-15,27.89831
2022-02-16,24.21615
2022-02-17,26.78145
2022-02-18,24.98982
2022-02-19,18.49805
2022-02-20,2.65836
2022-02-21,5.24693
2022-02-22,16.58425
2022-02-23,25.89727
2022-02-24,29.01518
2022-02-25,33.91309
2022-02-26,18.85288
2022-02-27,2.39078
2022-02-28,4.83974
2022-03-01,18.20138
2022-03-02,21.4938
2022-03-03,20.49909
2022-03-04,22.26746
2022-03-05,16.16543
2022-03-06,2.30353
2022-03-07,6.43941
2022-03-08,23.2389
2022-03-09,19.68471
2022-03-10,20.74341
2022-03-11,19.19609
2022-03-12,14.85079
2022-03-13,2.66418
2022-03-14,6.35216
2022-03-15,23.01785
2022-03-16,22.56994
2022-03-17,25.69949
2022-03-18,21.23785
2022-03-19,14.36216
2022-03-20,2.23372
2022-03-21,5.55523
2022-03-22,18.16066
2022-03-23,18.81798
2022-03-24,19.21935
2022-03-25,18.48641
2022-03-26,12.61706
2022-03-27,2.08248
2022-03-28,5.69484
2022-03-29,17.79419
2022-03-30,17.24739
2022-03-31,16.38066
2022-04-01,16.63661
2022-04-02,11.25007
2022-04-03,2.09411
2022-04-04,4.70595
2022-04-05,15.60118
2022-04-06,18.0036
2022-04-07,20.3653
2022-04-08,18.52131
2022-04-09,12.14589
2022-04-10,1.97777
2022-04-11,5.49124
2022-04-12,18.17229
2022-04-13,20.057
2022-04-14,17.72439
2022-04-15,16.09563
2022-04-16,7.20725
2022-04-17,1.55895
2022-04-18,4.57797
2022-04-19,16.50863
2022-04-20,15.70589
2022-04-21,17.41027
2022-04-22,17.52661
2022-04-23,14.22255
2022-04-24,2.12902
2022-04-25,7.88203
2022-04-26,21.69739
2022-04-27,26.95596
2022-04-28,21.70321
2022-04-29,20.16752
2022-04-30,17.71275
2022-05-01,2.61764
2022-05-02,6.27072
2022-05-03,20.26641
2022-05-04,19.50439
2022-05-05,21.63341
2022-05-06,30.37635
2022-05-07,17.64295
2022-05-08,2.65255
2022-05-09,9.26647
2022-05-10,27.79942
2022-05-11,28.97446
2022-05-12,28.85812
2022-05-13,27.22936
2022-05-14,14.72282
2022-05-15,2.16973
2022-05-16,7.06183
2022-05-17,21.72648
2022-05-18,19.52184
2022-05-19,30.15531
2022-05-20,22.56413
2022-05-21,16.70641
2022-05-22,2.67581
2022-05-23,7.10837
2022-05-24,23.5821
2022-05-25,24.18125
2022-05-26,21.51707
2022-05-27,19.26007
2022-05-28,11.90739
2022-05-29,2.13483
2022-05-30,5.46216
2022-05-31,14.02478
2022-06-01,15.89785
2022-06-02,19.64399
2022-06-03,17.02635
2022-06-04,11.65144
2022-06-05,1.98941
2022-06-06,6.33471
2022-06-07,17.49752
2022-06-08,18.02687
2022-06-09,20.01628
2022-06-10,23.38432
2022-06-11,16.58425
2022-06-12,2.45477
2022-06-13,13.17549
2022-06-14,33.15106
2022-06-15,32.52283
2022-06-16,36.73433
2022-06-17,32.11564
2022-06-18,18.10831
2022-06-19,2.79215
2022-06-20,8.56261
2022-06-21,17.73602
2022-06-22,25.84491
2022-06-23,26.68838
2022-06-24,25.19341
2022-06-25,15.35105
2022-06-26,2.26281
2022-06-27,7.90529
2022-06-28,23.98929
2022-06-29,26.2172
2022-06-30,27.78779
2022-07-01,26.76982
2022-07-02,16.18288
2022-07-03,2.48385
2022-07-04,6.6081
2022-07-05,17.10778
2022-07-06,28.21243
2022-07-07,25.02472
2022-07-08,21.54034
2022-07-09,15.04275
2022-07-10,2.69326
2022-07-11,8.73131
2022-07-12,23.19236
2022-07-13,25.86236
2022-07-14,26.74655
2022-07-15,23.76825
2022-07-16,13.6583
2022-07-17,2.26862
2022-07-18,8.5219
2022-07-19,23.34942
2022-07-20,25.0189
2022-07-21,24.08236
2022-07-22,20.90628
2022-07-23,13.8619
2022-07-24,2.32679
2022-07-25,6.7768
2022-07-26,20.06864
2022-07-27,22.314
2022-07-28,25.6355
2022-07-29,21.26694
2022-07-30,13.0068
2022-07-31,2.28026
2022-08-01,7.95183
2022-08-02,21.2204
2022-08-03,21.78465
2022-08-04,20.32458
2022-08-05,18.52131
2022-08-06,13.0766
2022-08-07,2.19882
2022-08-08,7.02693
2022-08-09,20.16752
2022-08-10,22.02896
2022-08-11,21.88936
2022-08-12,19.22517
2022-08-13,12.17497
2022-08-14,1.9196
2022-08-15,6.90477
2022-08-16,17.47425
2022-08-17,21.2204
2022-08-18,21.84282
2022-08-19,19.84759
2022-08-20,11.98301
2022-08-21,2.04176
2022-08-22,8.9698
2022-08-23,22.94805
2022-08-24,22.52923
2022-08-25,20.77831
2022-08-26,20.60962
2022-08-27,18.87033
2022-08-28,2.193
2022-08-29,9.52242
2022-08-30,26.1125
2022-08-31,23.59955
2022-09-01,26.07178
2022-09-02,23.617
2022-09-03,16.1538
2022-09-04,2.33843
2022-09-05,6.52085
2022-09-06,16.52027
2022-09-07,24.45465
2022-09-08,21.35419
2022-09-09,14.99621
2022-09-10,10.08085
2022-09-11,2.67581
2022-09-12,7.36431
2022-09-13,24.36158
2022-09-14,33.5408
2022-09-15,25.42027
2022-09-16,24.00674
2022-09-17,14.60066
2022-09-18,2.52457
2022-09-19,8.60915
2022-09-20,22.23838
2022-09-21,23.72171
2022-09-22,28.91047
2022-09-23,24.92583
2022-09-24,17.17759
2022-09-25,2.0883
2022-09-26,10.34843
2022-09-27,27.54348
2022-09-28,28.89884
2022-09-29,29.82374
2022-09-30,26.44988
2022-10-01,19.24262
2022-10-02,3.0481
2022-10-03,12.84974
2022-10-04,33.58734
2022-10-05,39.51486
2022-10-06,37.63597
2022-10-07,34.36681
2022-10-08,24.6408
2022-10-09,4.03699
2022-10-10,17.81746
2022-10-11,42.93525
2022-10-12,49.81676
2022-10-13,52.98121
2022-10-14,58.18742
2022-10-15,35.4895
2022-10-16,5.97405
2022-10-17,18.53295
2022-10-18,49.63062
2022-10-19,52.46931
2022-10-20,46.85009
2022-10-21,46.97225
2022-10-22,32.26106
2022-10-23,5.43889
2022-10-24,17.68367
2022-10-25,45.79721
2022-10-26,44.66872
2022-10-27,48.99656
2022-10-28,46.09388
2022-10-29,29.95753
2022-10-30,5.11895
2022-10-31,16.1538
2022-11-01,50.87545
2022-11-02,48.75807
2022-11-03,63.13768
2022-11-04,50.7882
2022-11-05,32.96492
2022-11-06,6.0264
2022-11-07,20.6736
2022-11-08,50.1716
2022-11-09,55.59304
2022-11-10,65.5052
2022-11-11,73.4803
2022-11-12,46.00663
2022-11-13,7.24797
2022-11-14,18.91687
2022-11-15,62.30585
2022-11-16,62.21278
2022-11-17,57.21016
2022-11-18,51.90506
2022-11-19,34.02943
2022-11-20,6.28235
2022-11-21,15.67099
2022-11-22,49.93892
2022-11-23,47.14094
2022-11-24,46.70467
2022-11-25,32.86603
2022-11-26,23.93694
2022-11-27,6.13111
2022-11-28,13.74556
2022-11-29,45.64597
2022-11-30,41.98708
2022-12-01,56.49467
2022-12-02,47.96695
2022-12-03,32.0342
2022-12-04,6.55575
2022-12-05,13.05915
2022-12-06,50.15996
2022-12-07,51.22447
2022-12-08,50.99761
2022-12-09,45.84375
2022-12-10,35.70472
2022-12-11,6.52085
2022-12-12,14.56576
2022-12-13,55.65702
2022-12-14,63.98696
2022-12-15,61.78232
2022-12-16,57.565
2022-12-17,38.5027
2022-12-18,6.49758
2022-12-19,13.6234
2022-12-20,51.82362
2022-12-21,55.08696
2022-12-22,51.96905
2022-12-23,66.40684
2022-12-24,40.52701
2022-12-25,6.92804
2022-12-26,12.51236
2022-12-27,34.95433
2022-12-28,55.22657
2022-12-29,54.73794
2022-12-30,43.31336
2022-12-31,22.5874
2023-01-01,5.81699
2023-01-02,13.85027
2023-01-03,35.8327
2023-01-04,60.14775
2023-01-05,61.00285
2023-01-06,54.6565
2023-01-07,40.21871
2023-01-08,7.74824
2023-01-09,17.00308
2023-01-10,62.53853
2023-01-11,60.8516
2023-01-12,61.36932
2023-01-13,61.81722
2023-01-14,38.66558
2023-01-15,6.78261
2023-01-16,12.50654
2023-01-17,39.43342
2023-01-18,54.77866
2023-01-19,58.57134
2023-01-20,50.2763
2023-01-21,33.19178
2023-01-22,7.03274
2023-01-23,11.1919
2023-01-24,42.15577
2023-01-25,49.47356
2023-01-26,60.97958
2023-01-27,59.51369
2023-01-28,41.59153
2023-01-29,8.3532
2023-01-30,17.77092
2023-01-31,57.11709
2023-02-01,59.35664
2023-02-02,71.13605
2023-02-03,68.38461
2023-02-04,46.7861
2023-02-05,8.76621
2023-02-06,18.29445
2023-02-07,60.58984
2023-02-08,61.77651
2023-02-09,60.42115
2023-02-10,63.07951
2023-02-11,41.98126
2023-02-12,8.44628
2023-02-13,17.64295
2023-02-14,64.02187
2023-02-15,73.25344
2023-02-16,67.33756
2023-02-17,70.09481
2023-02-18,46.99552
2023-02-19,8.22523
2023-02-20,16.28177
2023-02-21,47.5365
2023-02-22,79.19841
2023-02-23,82.81077
2023-02-24,67.36664
2023-02-25,45.96009
2023-02-26,7.81222
2023-02-27,17.0787
2023-02-28,58.71095
2023-03-01,54.04572
2023-03-02,56.61101
2023-03-03,58.60624
2023-03-04,40.35832
2023-03-05,7.4283
2023-03-06,16.39811
2023-03-07,61.48566
2023-03-08,68.28573
2023-03-09,70.66488
2023-03-10,72.58449
2023-03-11,58.64114
2023-03-12,10.20883
2023-03-13,26.81635
2023-03-14,83.8811
2023-03-15,92.82764
2023-03-16,95.29986
2023-03-17,87.67959
2023-03-18,60.06049
2023-03-19,9.59222
2023-03-20,27.74125
2023-03-21,81.08894
2023-03-22,75.83037
2023-03-23,100.0
2023-03-24,81.99057
2023-03-25,53.10918
2023-03-26,9.86562
2023-03-27,24.68151
2023-03-28,78.17462
2023-03-29,75.54534
2023-03-30,71.25821
2023-03-31,61.0552
2023-04-01,41.55081
2023-04-02,7.82386
2023-04-03,22.27909
2023-04-04,68.54749
2023-04-05,72.29364
2023-04-06,74.81821
2023-04-07,66.13925
2023-04-08,26.1125
2023-04-09,7.74242
2023-04-10,21.59851
2023-04-11,69.47821
2023-04-12,71.15932
2023-04-13,73.05566
2023-04-14,63.34128
2023-04-15,42.6444
2023-04-16,8.84765
2023-04-17,21.17387
2023-04-18,66.45337
2023-04-19,68.00651
2023-04-20,73.79442
2023-04-21,69.96102
2023-04-22,42.63277
2023-04-23,8.45209
2023-04-24,22.0406
2023-04-25,69.89122
2023-04-26,78.48874
2023-04-27,84.45116
2023-04-28,62.05572
2023-04-29,37.58943
2023-04-30,6.8815
2023-05-01,18.02105
2023-05-02,55.60467
2023-05-03,71.69449
2023-05-04,72.96259
2023-05-05,52.12611
2023-05-06,38.8459
2023-05-07,8.29503
2023-05-08,20.94119
2023-05-09,66.1218
2023-05-10,70.41475
2023-05-11,71.82828
2023-05-12,63.16095
2023-05-13,39.83479
2023-05-14,7.80641
2023-05-15,21.41236
2023-05-16,64.1033
2023-05-17,66.56971
2023-05-18,67.98324
2023-05-19,64.95259
2023-05-20,43.01669
2023-05-21,8.37647
2023-05-22,22.3489
2023-05-23,64.71409
2023-05-24,70.17043
2023-05-25,72.38089
2023-05-26,67.33174
2023-05-27,43.10394
