date,P2P
2022-05-14,9.41432
2022-05-15,8.56727
2022-05-16,11.76185
2022-05-17,11.06001
2022-05-18,11.22942
2022-05-19,11.22942
2022-05-20,11.51984
2022-05-21,9.29332
2022-05-22,8.20425
2022-05-23,11.44724
2022-05-24,13.04453
2022-05-25,12.77831
2022-05-26,12.05227
2022-05-27,9.43852
2022-05-28,8.9787
2022-05-29,8.68828
2022-05-30,11.13262
2022-05-31,11.88286
2022-06-01,9.94675
2022-06-02,11.32623
2022-06-03,10.47918
2022-06-04,9.19651
2022-06-05,8.37366
2022-06-06,9.31752
2022-06-07,11.42303
2022-06-08,13.06873
2022-06-09,12.70571
2022-06-10,10.98741
2022-06-11,7.91384
2022-06-12,10.33397
2022-06-13,11.25363
2022-06-14,13.33494
2022-06-15,13.06873
2022-06-16,12.5605
2022-06-17,10.35818
2022-06-18,10.64859
2022-06-19,12.85091
2022-06-20,15.31945
2022-06-21,11.88286
2022-06-22,11.71345
2022-06-23,13.86737
2022-06-24,9.75314
2022-06-25,7.84123
2022-06-26,8.56727
2022-06-27,10.7212
2022-06-28,13.06873
2022-06-29,12.6089
2022-06-30,11.49564
2022-07-01,11.08422
2022-07-02,9.55953
2022-07-03,9.77734
2022-07-04,13.14133
2022-07-05,11.64085
2022-07-06,11.73765
2022-07-07,19.21587
2022-07-08,15.29525
2022-07-09,8.42207
2022-07-10,8.78509
2022-07-11,12.31848
2022-07-12,12.02807
2022-07-13,12.72991
2022-07-14,12.05227
2022-07-15,11.15682
2022-07-16,9.46272
2022-07-17,8.76089
2022-07-18,12.94772
2022-07-19,13.55275
2022-07-20,15.70667
2022-07-21,11.88286
2022-07-22,9.97095
2022-07-23,9.84995
2022-07-24,8.05905
2022-07-25,11.10842
2022-07-26,10.64859
2022-07-27,11.47144
2022-07-28,10.8906
2022-07-29,15.48886
2022-07-30,9.72894
2022-07-31,9.82575
2022-08-01,11.90706
2022-08-02,11.85866
2022-08-03,14.90803
2022-08-04,11.76185
2022-08-05,11.44724
2022-08-06,9.65634
2022-08-07,8.49467
2022-08-08,12.75411
2022-08-09,12.48789
2022-08-10,12.07647
2022-08-11,11.59244
2022-08-12,11.25363
2022-08-13,9.92255
2022-08-14,9.0271
2022-08-15,9.53533
2022-08-16,12.22168
2022-08-17,13.89157
2022-08-18,11.47144
2022-08-19,13.77057
2022-08-20,9.0997
2022-08-21,8.15585
2022-08-22,11.93126
2022-08-23,10.8664
2022-08-24,11.18102
2022-08-25,11.54404
2022-08-26,10.35818
2022-08-27,8.61568
2022-08-28,7.81703
2022-08-29,11.42303
2022-08-30,12.39109
2022-08-31,12.10067
2022-09-01,9.29332
2022-09-02,10.67279
2022-09-03,8.63988
2022-09-04,8.66408
2022-09-05,11.37463
2022-09-06,11.51984
2022-09-07,10.67279
2022-09-08,9.17231
2022-09-09,7.67182
2022-09-10,6.51016
2022-09-11,6.67957
2022-09-12,9.31752
2022-09-13,11.78606
2022-09-14,12.5363
2022-09-15,12.5847
2022-09-16,11.90706
2022-09-17,9.48693
2022-09-18,7.91384
2022-09-19,11.61665
2022-09-20,11.30203
2022-09-21,10.8422
2022-09-22,11.10842
2022-09-23,11.01161
2022-09-24,7.93804
2022-09-25,7.3088
2022-09-26,11.35043
2022-09-27,10.40658
2022-09-28,10.91481
2022-09-29,19.55469
2022-09-30,12.24588
2022-10-01,8.56727
2022-10-02,7.72023
2022-10-03,8.85769
2022-10-04,11.20522
2022-10-05,11.13262
2022-10-06,11.32623
2022-10-07,10.43078
2022-10-08,7.76863
2022-10-09,9.0997
2022-10-10,9.0755
2022-10-11,10.52758
2022-10-12,11.76185
2022-10-13,11.32623
2022-10-14,11.73765
2022-10-15,9.72894
2022-10-16,9.22071
2022-10-17,12.72991
2022-10-18,12.24588
2022-10-19,11.51984
2022-10-20,11.08422
2022-10-21,10.52758
2022-10-22,8.25266
2022-10-23,8.83349
2022-10-24,11.42303
2022-10-25,10.69699
2022-10-26,11.47144
2022-10-27,11.01161
2022-10-28,9.80154
2022-10-29,8.73668
2022-10-30,7.96224
2022-10-31,10.23717
2022-11-01,10.69699
2022-11-02,10.818
2022-11-03,10.09196
2022-11-04,10.09196
2022-11-05,7.79283
2022-11-06,8.63988
2022-11-07,10.33397
2022-11-08,10.43078
2022-11-09,10.50338
2022-11-10,11.20522
2022-11-11,9.92255
2022-11-12,7.93804
2022-11-13,8.63988
2022-11-14,11.64085
2022-11-15,11.32623
2022-11-16,11.78606
2022-11-17,10.26137
2022-11-18,9.70474
2022-11-19,7.98644
2022-11-20,8.30106
2022-11-21,17.37657
2022-11-22,12.77831
2022-11-23,14.83543
2022-11-24,10.11616
2022-11-25,10.7938
2022-11-26,8.20425
2022-11-27,7.62342
2022-11-28,11.30203
2022-11-29,11.51984
2022-11-30,10.45498
2022-12-01,10.33397
2022-12-02,9.72894
2022-12-03,6.55856
2022-12-04,8.59148
2022-12-05,10.09196
2022-12-06,9.0997
2022-12-07,11.03581
2022-12-08,11.15682
2022-12-09,10.91481
2022-12-10,9.26911
2022-12-11,9.0029
2022-12-12,12.99612
2022-12-13,12.92352
2022-12-14,12.46369
2022-12-15,11.32623
2022-12-16,11.08422
2022-12-17,8.27686
2022-12-18,8.34946
2022-12-19,11.20522
2022-12-20,15.82768
2022-12-21,12.31848
2022-12-22,11.39883
2022-12-23,8.37366
2022-12-24,6.55856
2022-12-25,6.87318
2022-12-26,10.06776
2022-12-27,10.33397
2022-12-28,10.60019
2022-12-29,9.72894
2022-12-30,7.72023
2022-12-31,7.212
2023-01-01,7.1878
2023-01-02,10.7454
2023-01-03,11.20522
2023-01-04,10.14036
2023-01-05,10.30977
2023-01-06,8.9787
2023-01-07,7.86544
2023-01-08,7.74443
2023-01-09,10.8422
2023-01-10,9.82575
2023-01-11,10.40658
2023-01-12,10.30977
2023-01-13,11.01161
2023-01-14,9.34172
2023-01-15,8.56727
2023-01-16,10.50338
2023-01-17,11.08422
2023-01-18,10.14036
2023-01-19,8.59148
2023-01-20,8.03484
2023-01-21,6.77637
2023-01-22,5.97773
2023-01-23,7.40561
2023-01-24,8.88189
2023-01-25,10.55179
2023-01-26,10.7696
2023-01-27,9.87415
2023-01-28,7.76863
2023-01-29,8.61568
2023-01-30,9.80154
2023-01-31,10.21297
2023-02-01,9.53533
2023-02-02,10.45498
2023-02-03,9.29332
2023-02-04,7.72023
2023-02-05,7.76863
2023-02-06,9.80154
2023-02-07,10.69699
2023-02-08,10.28557
2023-02-09,10.7212
2023-02-10,10.57599
2023-02-11,7.72023
2023-02-12,8.39787
2023-02-13,10.01936
2023-02-14,11.47144
2023-02-15,10.818
2023-02-16,10.35818
2023-02-17,9.36592
2023-02-18,8.22846
2023-02-19,8.85769
2023-02-20,9.87415
2023-02-21,10.8906
2023-02-22,11.54404
2023-02-23,9.58373
2023-02-24,10.67279
2023-02-25,7.81703
2023-02-26,7.98644
2023-02-27,9.75314
2023-02-28,8.37366
2023-03-01,8.30106
2023-03-02,9.41432
2023-03-03,9.48693
2023-03-04,7.67182
2023-03-05,7.3088
2023-03-06,10.7938
2023-03-07,11.03581
2023-03-08,10.33397
2023-03-09,10.8664
2023-03-10,9.87415
2023-03-11,7.11519
2023-03-12,6.87318
2023-03-13,10.96321
2023-03-14,10.16456
2023-03-15,9.94675
2023-03-16,9.63213
2023-03-17,9.60793
2023-03-18,6.87318
2023-03-19,12.31848
2023-03-20,12.5363
2023-03-21,11.15682
2023-03-22,11.15682
2023-03-23,8.76089
2023-03-24,10.50338
2023-03-25,7.52662
2023-03-26,7.52662
2023-03-27,10.818
2023-03-28,12.19748
2023-03-29,10.35818
2023-03-30,9.58373
2023-03-31,8.49467
2023-04-01,6.99419
2023-04-02,7.47821
2023-04-03,10.69699
2023-04-04,12.07647
2023-04-05,11.30203
2023-04-06,9.84995
2023-04-07,9.75314
2023-04-08,6.89738
2023-04-09,6.92158
2023-04-10,10.16456
2023-04-11,10.01936
2023-04-12,10.69699
2023-04-13,10.14036
2023-04-14,11.27783
2023-04-15,9.82575
2023-04-16,9.89835
2023-04-17,11.03581
2023-04-18,10.64859
2023-04-19,10.8664
2023-04-20,10.8664
2023-04-21,9.31752
2023-04-22,8.42207
2023-04-23,8.78509
2023-04-24,11.71345
2023-04-25,11.97967
2023-04-26,9.65634
2023-04-27,8.90609
2023-04-28,8.88189
2023-04-29,7.09099
2023-04-30,7.47821
2023-05-01,8.20425
2023-05-02,9.0513
2023-05-03,8.68828
2023-05-04,8.32526
2023-05-05,6.99419
2023-05-06,7.50242
2023-05-07,9.12391
2023-05-08,10.18877
2023-05-09,10.7938
2023-05-10,10.26137
2023-05-11,11.10842
2023-05-12,10.52758
2023-05-13,8.63988
2023-05-14,7.98644
2023-05-15,9.68054
2023-05-16,9.94675
2023-05-17,9.82575
2023-05-18,10.98741
2023-05-19,8.9787
2023-05-20,7.06679
2023-05-21,9.63213
2023-05-22,12.5363
2023-05-23,11.30203
2023-05-24,9.58373
2023-05-25,8.9787
2023-05-26,10.57599
2023-05-27,7.69603
2023-05-28,8.59148
