date,온투업
2023-02-26,4.03022
2023-02-27,14.35768
2023-02-28,12.84634
2023-03-01,4.28211
2023-03-02,16.62468
2023-03-03,15.11335
2023-03-04,4.534
2023-03-05,9.31989
2023-03-06,21.66246
2023-03-07,15.61712
2023-03-08,11.83879
2023-03-09,12.84634
2023-03-10,11.33501
2023-03-11,4.03022
2023-03-12,5.79345
2023-03-13,13.8539
2023-03-14,15.11335
2023-03-15,19.64735
2023-03-16,12.34256
2023-03-17,15.86901
2023-03-19,9.57178
2023-03-20,18.3879
2023-03-21,20.65491
2023-03-22,21.91435
2023-03-23,23.92947
2023-03-24,19.64735
2023-03-25,2.51889
2023-03-26,7.05289
2023-03-27,15.61712
2023-03-28,19.39546
2023-03-29,16.37279
2023-03-30,16.37279
2023-03-31,14.86146
2023-04-01,1.76322
2023-04-02,6.801
2023-04-03,25.69269
2023-04-04,17.88413
2023-04-05,17.38035
2023-04-06,20.65491
2023-04-07,16.62468
2023-04-08,3.02267
2023-04-09,6.04534
2023-04-10,13.8539
2023-04-11,13.8539
2023-04-12,13.8539
2023-04-13,12.59445
2023-04-14,15.11335
2023-04-15,1.51133
2023-04-16,2.51889
2023-04-17,13.60201
2023-04-18,14.86146
2023-04-19,13.35012
2023-04-20,20.40302
2023-04-21,15.11335
2023-04-22,1.51133
2023-04-23,2.01511
2023-04-24,15.61712
2023-04-25,18.63979
2023-04-26,15.61712
2023-04-27,14.86146
2023-04-28,11.5869
2023-04-29,1.51133
2023-04-30,5.79345
2023-05-01,32.74559
2023-05-02,30.2267
2023-05-03,16.62468
2023-05-04,14.86146
2023-05-05,4.534
2023-05-06,5.79345
2023-05-07,6.54911
2023-05-08,21.91435
2023-05-09,14.35768
2023-05-10,18.13602
2023-05-11,16.1209
2023-05-12,24.93702
2023-05-13,2.01511
2023-05-14,4.03022
2023-05-15,15.86901
2023-05-16,14.60957
2023-05-17,14.35768
2023-05-18,14.86146
2023-05-19,18.89168
2023-05-20,2.267
2023-05-21,7.30478
2023-05-22,16.87657
2023-05-23,15.61712
2023-05-24,15.11335
2023-05-25,13.09823
2023-05-26,12.59445
2023-05-27,4.78589
2023-05-29,1.76322
2023-05-30,17.38035
2023-05-31,13.8539
2023-06-01,15.11335
2023-06-02,12.34256
2023-06-03,1.51133
2023-06-04,2.01511
2023-06-05,12.34256
2023-06-06,2.267
2023-06-07,14.10579
2023-06-08,15.61712
2023-06-09,17.88413
2023-06-10,3.27455
2023-06-11,2.51889
2023-06-12,20.65491
2023-06-13,14.60957
2023-06-14,15.61712
2023-06-15,19.39546
2023-06-16,16.87657
2023-06-17,3.02267
2023-06-18,4.03022
2023-06-19,19.14357
2023-06-20,15.61712
2023-06-21,18.63979
2023-06-22,15.36523
2023-06-23,17.12846
2023-06-24,2.77078
2023-06-25,6.04534
2023-06-26,18.3879
2023-06-27,18.63979
2023-06-28,15.86901
2023-06-29,21.91435
2023-06-30,15.36523
2023-07-01,3.77833
2023-07-02,4.78589
2023-07-03,17.12846
2023-07-04,17.88413
2023-07-05,19.14357
2023-07-06,13.35012
2023-07-07,17.88413
2023-07-08,2.51889
2023-07-09,3.77833
2023-07-10,16.62468
2023-07-11,15.11335
2023-07-12,18.3879
2023-07-13,14.86146
2023-07-14,15.11335
2023-07-16,2.267
2023-07-17,18.89168
2023-07-18,16.1209
2023-07-19,14.86146
2023-07-20,15.11335
2023-07-21,14.86146
2023-07-22,2.01511
2023-07-23,2.267
2023-07-24,16.87657
2023-07-25,14.60957
2023-07-26,11.08312
2023-07-27,14.10579
2023-07-28,8.81612
2023-07-29,1.25944
2023-07-30,1.51133
2023-07-31,15.86901
2023-08-01,16.1209
2023-08-02,12.84634
2023-08-03,14.86146
2023-08-04,22.16624
2023-08-05,3.52644
2023-08-06,5.54156
2023-08-07,18.63979
2023-08-08,17.38035
2023-08-09,18.63979
2023-08-10,19.39546
2023-08-11,21.91435
2023-08-12,3.52644
2023-08-13,3.52644
2023-08-14,14.35768
2023-08-15,4.03022
2023-08-16,15.11335
2023-08-17,14.35768
2023-08-18,12.59445
2023-08-19,2.267
2023-08-20,4.28211
2023-08-21,18.13602
2023-08-22,17.38035
2023-08-23,16.87657
2023-08-24,15.61712
2023-08-25,13.60201
2023-08-26,1.51133
2023-08-27,2.267
2023-08-28,19.64735
2023-08-29,13.60201
2023-08-30,16.62468
2023-08-31,10.57934
2023-09-01,15.61712
2023-09-02,3.77833
2023-09-03,3.02267
2023-09-04,16.1209
2023-09-05,13.35012
2023-09-06,12.84634
2023-09-07,12.09068
2023-09-08,11.08312
2023-09-09,1.25944
2023-09-10,4.78589
2023-09-11,16.62468
2023-09-12,22.41813
2023-09-13,19.89924
2023-09-14,15.11335
2023-09-15,15.36523
2023-09-16,2.01511
2023-09-17,1.51133
2023-09-18,21.66246
2023-09-19,51.88916
2023-09-20,15.86901
2023-09-21,14.60957
2023-09-22,14.60957
2023-09-23,4.78589
2023-09-24,5.28967
2023-09-25,17.63224
2023-09-26,15.86901
2023-09-27,15.61712
2023-09-28,1.51133
2023-09-29,2.51889
2023-09-30,1.51133
2023-10-01,2.01511
2023-10-02,11.83879
2023-10-03,6.801
2023-10-04,20.9068
2023-10-05,17.88413
2023-10-06,13.35012
2023-10-07,2.01511
2023-10-08,2.77078
2023-10-09,3.02267
2023-10-10,17.88413
2023-10-11,22.67002
2023-10-12,19.14357
2023-10-13,18.3879
2023-10-14,1.25944
2023-10-15,3.77833
2023-10-16,18.3879
2023-10-17,17.12846
2023-10-18,20.40302
2023-10-19,16.87657
2023-10-20,24.68513
2023-10-21,2.77078
2023-10-22,9.82367
2023-10-23,17.63224
2023-10-24,20.9068
2023-10-25,24.68513
2023-10-26,21.15869
2023-10-27,26.70025
2023-10-28,2.51889
2023-10-29,3.77833
2023-10-30,15.86901
2023-10-31,19.14357
2023-11-01,21.91435
2023-11-02,18.63979
2023-11-03,21.41057
2023-11-04,2.77078
2023-11-05,3.52644
2023-11-06,18.3879
2023-11-07,23.67758
2023-11-08,14.86146
2023-11-09,17.88413
2023-11-10,15.61712
2023-11-11,3.27455
2023-11-12,4.534
2023-11-13,16.1209
2023-11-14,17.12846
2023-11-15,19.14357
2023-11-16,15.86901
2023-11-17,19.14357
2023-11-18,2.77078
2023-11-19,2.267
2023-11-20,30.47858
2023-11-21,21.41057
2023-11-22,20.65491
2023-11-23,20.40302
2023-11-24,18.13602
2023-11-25,4.03022
2023-11-26,1.51133
2023-11-27,21.15869
2023-11-28,17.38035
2023-11-29,15.36523
2023-11-30,17.12846
2023-12-01,15.86901
2023-12-02,3.27455
2023-12-03,3.02267
2023-12-04,18.3879
2023-12-05,20.9068
2023-12-06,13.8539
2023-12-07,20.15113
2023-12-08,15.86901
2023-12-09,2.77078
2023-12-10,4.534
2023-12-11,16.87657
2023-12-12,20.15113
2023-12-13,17.38035
2023-12-14,15.86901
2023-12-15,14.35768
2023-12-17,1.25944
2023-12-18,16.37279
2023-12-19,17.12846
2023-12-20,14.60957
2023-12-21,16.87657
2023-12-22,14.86146
2023-12-23,1.51133
2023-12-24,2.01511
2023-12-25,2.77078
2023-12-26,21.41057
2023-12-27,15.36523
2023-12-28,13.35012
2023-12-29,10.07556
2023-12-30,1.51133
2023-12-31,2.51889
2024-01-01,1.76322
2024-01-02,15.11335
2024-01-03,18.89168
2024-01-04,12.59445
2024-01-05,13.09823
2024-01-06,2.01511
2024-01-07,2.01511
2024-01-08,12.84634
2024-01-09,19.14357
2024-01-10,17.12846
2024-01-11,13.8539
2024-01-12,9.06801
2024-01-13,2.01511
2024-01-14,1.76322
2024-01-15,14.10579
2024-01-16,14.60957
2024-01-17,17.63224
2024-01-18,17.38035
2024-01-19,12.59445
2024-01-20,2.77078
2024-01-21,2.267
2024-01-22,19.89924
2024-01-23,16.62468
2024-01-24,36.27204
2024-01-25,32.24181
2024-01-26,18.63979
2024-01-27,4.534
2024-01-28,3.77833
2024-01-29,19.14357
2024-01-30,14.86146
2024-01-31,21.15869
2024-02-01,17.12846
2024-02-02,17.63224
2024-02-03,5.03778
2024-02-04,5.79345
2024-02-05,20.9068
2024-02-06,18.89168
2024-02-07,17.12846
2024-02-08,10.57934
2024-02-09,2.267
2024-02-10,2.01511
2024-02-11,2.267
2024-02-12,2.267
2024-02-13,14.10579
2024-02-14,14.86146
2024-02-15,13.09823
2024-02-16,10.57934
2024-02-17,1.25944
2024-02-18,4.28211
2024-02-19,15.86901
2024-02-20,15.11335
2024-02-21,15.11335
2024-02-22,22.92191
2024-02-23,20.9068
2024-02-24,1.51133
2024-02-25,2.51889
2024-02-26,16.62468
2024-02-27,11.5869
2024-02-28,11.08312
2024-02-29,12.09068
2024-03-01,3.27455
2024-03-02,3.27455
2024-03-03,4.28211
2024-03-04,12.09068
2024-03-05,11.5869
2024-03-06,14.10579
2024-03-07,11.33501
2024-03-08,11.08312
2024-03-09,3.52644
2024-03-10,3.02267
2024-03-11,13.8539
2024-03-12,13.60201
2024-03-13,11.33501
2024-03-14,13.8539
2024-03-15,13.35012
2024-03-17,3.02267
2024-03-18,13.35012
2024-03-19,14.35768
2024-03-20,15.61712
