date,전세대출금리비교
2023-07-17,26.0355
2023-07-18,21.49901
2023-07-19,17.75147
2023-07-20,19.9211
2023-07-21,14.79289
2023-07-22,11.83431
2023-07-23,9.46745
2023-07-24,19.9211
2023-07-25,18.34319
2023-07-26,20.31558
2023-07-27,20.11834
2023-07-28,24.45759
2023-07-29,16.96252
2023-07-30,9.27021
2023-07-31,26.23274
2023-08-01,26.42998
2023-08-02,23.4714
2023-08-03,20.11834
2023-08-04,17.15976
2023-08-05,8.87573
2023-08-06,10.05917
2023-08-07,20.90729
2023-08-08,19.13214
2023-08-09,16.17357
2023-08-10,19.52662
2023-08-11,15.18737
2023-08-12,9.66469
2023-08-13,10.84812
2023-08-14,21.89349
2023-08-15,13.60946
2023-08-16,22.87968
2023-08-17,19.32938
2023-08-18,21.49901
2023-08-19,12.03155
2023-08-20,7.6923
2023-08-21,20.71005
2023-08-22,22.09072
2023-08-23,19.72386
2023-08-24,17.94871
2023-08-25,17.94871
2023-08-26,11.2426
2023-08-27,9.27021
2023-08-28,24.26035
2023-08-29,21.30177
2023-08-30,25.44378
2023-08-31,17.94871
2023-09-01,14.20118
2023-09-02,8.48126
2023-09-03,10.84812
2023-09-04,22.68244
2023-09-05,20.11834
2023-09-06,19.32938
2023-09-07,16.56804
2023-09-08,12.03155
2023-09-09,7.88954
2023-09-10,9.07297
2023-09-11,16.56804
2023-09-12,14.59566
2023-09-13,16.96252
2023-09-14,14.20118
2023-09-15,12.22879
2023-09-16,6.50887
2023-09-17,10.84812
2023-09-18,16.17357
2023-09-19,18.14595
2023-09-20,22.28796
2023-09-21,12.62327
2023-09-22,12.42603
2023-09-23,5.52268
2023-09-24,9.27021
2023-09-25,16.3708
2023-09-26,17.15976
2023-09-27,13.21499
2023-09-28,3.35305
2023-09-29,4.14201
2023-09-30,2.95857
2023-10-01,3.94477
2023-10-02,7.88954
2023-10-03,9.27021
2023-10-04,22.28796
2023-10-05,17.94871
2023-10-06,15.58185
2023-10-07,6.90335
2023-10-08,5.52268
2023-10-09,12.03155
2023-10-10,21.30177
2023-10-11,23.4714
2023-10-12,18.73767
2023-10-13,11.83431
2023-10-14,5.52268
2023-10-15,8.08678
2023-10-16,19.13214
2023-10-17,15.58185
2023-10-18,18.73767
2023-10-19,13.41222
2023-10-20,10.45364
