date,금리인하
2022-06-08,0.82047
2022-06-09,0.71325
2022-06-10,0.64798
2022-06-11,0.35429
2022-06-12,0.34963
2022-06-13,0.84844
2022-06-14,0.8531
2022-06-15,0.72723
2022-06-16,1.06754
2022-06-17,0.84378
2022-06-18,0.4755
2022-06-19,0.45219
2022-06-20,1.05356
2022-06-21,1.15146
2022-06-22,4.42403
2022-06-23,4.70374
2022-06-24,2.12111
2022-06-25,1.28199
2022-06-26,1.10018
2022-06-27,1.94862
2022-06-28,1.58966
2022-06-29,1.71553
2022-06-30,1.37988
2022-07-01,1.10484
2022-07-02,1.0116
2022-07-03,2.08848
2022-07-04,3.51032
2022-07-05,2.55932
2022-07-06,3.74807
2022-07-07,1.93464
2022-07-08,1.96261
2022-07-09,0.68994
2022-07-10,0.68062
2022-07-11,1.53838
2022-07-12,1.51508
2022-07-13,1.79478
2022-07-14,1.18875
2022-07-15,1.15612
2022-07-16,0.52678
2022-07-17,0.64798
2022-07-18,2.74579
2022-07-19,1.69222
2022-07-20,1.30063
2022-07-21,1.12815
2022-07-22,1.02093
2022-07-23,0.66663
2022-07-24,1.14213
2022-07-25,1.48244
2022-07-26,2.29826
2022-07-27,2.00456
2022-07-28,1.72952
2022-07-29,1.53372
2022-07-30,0.81581
2022-07-31,0.93701
2022-08-01,1.51041
2022-08-02,1.13281
2022-08-03,1.62696
2022-08-04,1.51041
2022-08-05,1.26334
2022-08-06,0.72257
2022-08-07,0.97431
2022-08-08,1.33327
2022-08-09,0.98363
2022-08-10,1.74817
2022-08-11,1.53372
2022-08-12,1.45913
2022-08-13,0.96965
2022-08-14,0.79716
2022-08-15,1.13281
2022-08-16,2.09314
2022-08-17,1.65493
2022-08-18,1.48244
2022-08-19,1.40785
2022-08-20,0.77385
2022-08-21,0.91837
2022-08-22,1.96261
2022-08-23,1.67824
2022-08-24,2.51736
2022-08-25,2.69451
2022-08-26,1.79478
2022-08-27,1.07687
2022-08-28,0.74122
2022-08-29,1.61297
2022-08-30,1.66891
2022-08-31,1.90667
2022-09-01,1.4265
2022-09-02,1.28665
2022-09-03,0.7552
2022-09-04,0.73656
2022-09-05,1.36124
2022-09-06,1.49177
2022-09-07,1.5244
2022-09-08,1.17477
2022-09-09,0.66663
2022-09-10,0.66663
2022-09-11,0.8904
2022-09-12,0.97431
2022-09-13,1.86471
2022-09-14,1.36124
2022-09-15,1.76681
2022-09-16,1.32394
2022-09-17,0.74588
2022-09-18,0.74122
2022-09-19,1.4638
2022-09-20,1.61764
2022-09-21,1.57568
2022-09-22,1.92997
2022-09-23,1.25402
2022-09-24,0.68994
2022-09-25,0.82047
2022-09-26,1.66425
2022-09-27,1.51041
2022-09-28,2.23299
2022-09-29,1.53372
2022-09-30,1.32394
2022-10-01,0.67595
2022-10-02,0.85776
2022-10-03,1.0116
2022-10-04,2.54067
2022-10-05,2.23765
2022-10-06,1.7808
2022-10-07,1.53372
