date,블록체인기술
2022-04-27,24.53531
2022-04-28,21.18959
2022-04-29,22.67657
2022-04-30,20.81784
2022-05-01,18.58736
2022-05-02,25.65055
2022-05-03,31.22676
2022-05-04,39.77695
2022-05-05,23.79182
2022-05-06,30.11152
2022-05-07,23.42007
2022-05-08,33.45724
2022-05-09,51.67286
2022-05-10,58.73605
2022-05-11,42.75092
2022-05-12,48.69888
2022-05-13,53.53159
2022-05-14,40.52044
2022-05-15,51.30111
2022-05-16,69.88847
2022-05-17,77.32342
2022-05-18,72.4907
2022-05-19,59.8513
2022-05-20,47.95539
2022-05-21,32.342
2022-05-22,51.67286
2022-05-23,60.22304
2022-05-24,56.13382
2022-05-25,62.82527
2022-05-26,60.22304
2022-05-27,58.73605
2022-05-28,27.13754
2022-05-29,39.77695
2022-05-30,62.82527
2022-05-31,55.01858
2022-06-01,34.94423
2022-06-02,60.59479
2022-06-03,42.37918
2022-06-04,27.88104
2022-06-05,24.16356
2022-06-06,33.82899
2022-06-07,51.30111
2022-06-08,72.4907
2022-06-09,46.84014
2022-06-10,61.33828
2022-06-11,27.50929
2022-06-12,40.14869
2022-06-13,52.7881
2022-06-14,56.13382
2022-06-15,43.12267
2022-06-16,50.55762
2022-06-17,36.43122
2022-06-18,20.07434
2022-06-19,26.39405
2022-06-20,30.11152
2022-06-21,26.0223
2022-06-22,27.88104
2022-06-23,23.79182
2022-06-24,23.04832
2022-06-25,12.6394
2022-06-26,13.75464
2022-06-27,17.84386
2022-06-28,19.7026
2022-06-29,18.9591
2022-06-30,18.58736
2022-07-01,21.93308
2022-07-02,10.78066
2022-07-03,15.24163
2022-07-04,27.88104
2022-07-05,24.16356
2022-07-06,29.36802
2022-07-07,20.81784
2022-07-08,34.57249
2022-07-09,15.24163
2022-07-10,16.72862
2022-07-11,50.55762
2022-07-12,42.75092
2022-07-13,44.60966
2022-07-14,44.23791
2022-07-15,31.97026
2022-07-16,12.26765
2022-07-17,19.33085
2022-07-18,31.97026
2022-07-19,38.28996
2022-07-20,26.39405
2022-07-21,21.56133
2022-07-22,17.47211
2022-07-23,11.15241
2022-07-24,9.66542
2022-07-25,17.47211
2022-07-26,22.67657
2022-07-27,29.36802
2022-07-28,26.0223
2022-07-29,22.67657
2022-07-30,20.81784
2022-07-31,15.61338
2022-08-01,20.44609
2022-08-02,26.39405
2022-08-03,38.28996
2022-08-04,26.76579
2022-08-05,18.58736
2022-08-06,15.61338
2022-08-07,20.07434
2022-08-08,27.50929
2022-08-09,31.22676
2022-08-10,23.42007
2022-08-11,31.59851
2022-08-12,26.39405
2022-08-13,11.89591
2022-08-14,13.01115
2022-08-15,15.24163
2022-08-16,36.43122
2022-08-17,34.20074
2022-08-18,34.94423
2022-08-19,27.88104
2022-08-20,17.10037
2022-08-21,20.07434
2022-08-22,26.39405
2022-08-23,27.88104
2022-08-24,31.59851
2022-08-25,18.9591
2022-08-26,28.99628
2022-08-27,15.24163
2022-08-28,19.33085
2022-08-29,35.31598
2022-08-30,34.57249
2022-08-31,23.04832
2022-09-01,25.65055
2022-09-02,35.31598
2022-09-03,13.38289
2022-09-04,19.7026
2022-09-05,34.20074
2022-09-06,24.53531
2022-09-07,23.42007
2022-09-08,20.81784
2022-09-09,14.12639
2022-09-10,15.61338
2022-09-11,20.44609
2022-09-12,18.58736
2022-09-13,43.12267
2022-09-14,47.58364
2022-09-15,49.81412
2022-09-16,45.35315
2022-09-17,24.53531
2022-09-18,21.93308
2022-09-19,46.84014
2022-09-20,61.71003
2022-09-21,39.03345
2022-09-22,42.75092
2022-09-23,35.68773
2022-09-24,20.81784
2022-09-25,26.76579
2022-09-26,40.89219
2022-09-27,36.43122
2022-09-28,45.7249
2022-09-29,32.71375
2022-09-30,28.99628
2022-10-01,11.89591
2022-10-02,15.61338
2022-10-03,20.07434
2022-10-04,39.77695
2022-10-05,31.22676
2022-10-06,25.65055
2022-10-07,24.53531
2022-10-08,15.98513
2022-10-09,18.21561
2022-10-10,25.27881
2022-10-11,29.73977
2022-10-12,34.94423
2022-10-13,35.31598
2022-10-14,28.62453
2022-10-15,20.07434
2022-10-16,27.88104
2022-10-17,36.05947
2022-10-18,42.37918
2022-10-19,35.68773
2022-10-20,46.84014
2022-10-21,33.45724
2022-10-22,23.79182
2022-10-23,28.62453
2022-10-24,42.00743
2022-10-25,42.37918
2022-10-26,52.41635
2022-10-27,44.23791
2022-10-28,39.77695
2022-10-29,23.04832
2022-10-30,30.85501
2022-10-31,49.07063
2022-11-01,36.43122
2022-11-02,40.89219
2022-11-03,37.54646
2022-11-04,34.57249
2022-11-05,28.99628
2022-11-06,24.53531
2022-11-07,47.58364
2022-11-08,52.41635
2022-11-09,54.27509
2022-11-10,47.21189
2022-11-11,36.43122
2022-11-12,25.65055
