date,부동산수수료
2022-05-29,9.29088
2022-05-30,21.56295
2022-05-31,19.56584
2022-06-01,13.16931
2022-06-02,16.70043
2022-06-03,15.91895
2022-06-04,13.71924
2022-06-05,7.26483
2022-06-06,11.69319
2022-06-07,17.7424
2022-06-08,17.48191
2022-06-09,17.85817
2022-06-10,16.20839
2022-06-11,12.82199
2022-06-12,8.36468
2022-06-13,16.43994
2022-06-14,16.55571
2022-06-15,16.43994
2022-06-16,18.11866
2022-06-17,18.08972
2022-06-18,13.48769
2022-06-19,8.53835
2022-06-20,18.78437
2022-06-21,17.01881
2022-06-22,16.23733
2022-06-23,15.36903
2022-06-24,16.09261
2022-06-25,12.61939
2022-06-26,8.13314
2022-06-27,17.42402
2022-06-28,17.22141
2022-06-29,16.12156
2022-06-30,18.00289
2022-07-01,16.29522
2022-07-02,12.18523
2022-07-03,7.46743
2022-07-04,17.71345
2022-07-05,15.22431
2022-07-06,14.55861
2022-07-07,15.16642
2022-07-08,15.4848
2022-07-09,12.38784
2022-07-10,8.21997
2022-07-11,16.49782
2022-07-12,15.42691
2022-07-13,14.1534
2022-07-14,14.79015
2022-07-15,14.52966
2022-07-16,10.3039
2022-07-17,7.35166
2022-07-18,16.70043
2022-07-19,14.26917
2022-07-20,15.22431
2022-07-21,14.32706
2022-07-22,14.58755
2022-07-23,11.37481
2022-07-24,7.64109
2022-07-25,15.71635
2022-07-26,15.65846
2022-07-27,14.61649
2022-07-28,15.19536
2022-07-29,15.34008
2022-07-30,10.70911
2022-07-31,6.42547
2022-08-01,14.18234
2022-08-02,13.45875
2022-08-03,13.60347
2022-08-04,14.29811
2022-08-05,13.66136
2022-08-06,11.08538
2022-08-07,7.40955
2022-08-08,15.31114
2022-08-09,13.34298
2022-08-10,15.6874
2022-08-11,15.51374
2022-08-12,15.25325
2022-08-13,11.40376
2022-08-14,6.74384
2022-08-15,9.72503
2022-08-16,17.39507
2022-08-17,15.54269
2022-08-18,16.43994
2022-08-19,16.78726
2022-08-20,11.63531
2022-08-21,8.24891
2022-08-22,16.67149
2022-08-23,17.22141
2022-08-24,16.35311
2022-08-25,15.10853
2022-08-26,14.38494
2022-08-27,12.15629
2022-08-28,8.91461
2022-08-29,17.22141
2022-08-30,16.23733
2022-08-31,17.0767
2022-09-01,14.70332
2022-09-02,15.77424
2022-09-03,11.2301
2022-09-04,8.5094
2022-09-05,14.18234
2022-09-06,12.06946
2022-09-07,13.45875
2022-09-08,10.85383
2022-09-09,5.3835
2022-09-10,4.65991
2022-09-11,5.12301
2022-09-12,7.29377
2022-09-13,17.01881
2022-09-14,16.58465
2022-09-15,18.35021
2022-09-16,17.39507
2022-09-17,13.08248
2022-09-18,8.45151
2022-09-19,17.71345
2022-09-20,17.2793
2022-09-21,16.17945
2022-09-22,14.96382
2022-09-23,15.45586
2022-09-24,12.59044
2022-09-25,7.3806
2022-09-26,16.64254
2022-09-27,17.01881
2022-09-28,13.92185
2022-09-29,17.22141
2022-09-30,16.58465
2022-10-01,11.57742
2022-10-02,7.58321
2022-10-03,10.47756
2022-10-04,16.67149
2022-10-05,16.46888
2022-10-06,16.52677
2022-10-07,15.22431
2022-10-08,10.94066
2022-10-09,8.07525
2022-10-10,9.60926
2022-10-11,17.2793
2022-10-12,16.03473
2022-10-13,15.51374
2022-10-14,15.83212
2022-10-15,12.61939
2022-10-16,9.49348
2022-10-17,15.71635
2022-10-18,15.45586
2022-10-19,15.13748
2022-10-20,15.54269
2022-10-21,16.29522
2022-10-22,11.98263
2022-10-23,7.23589
2022-10-24,15.62952
2022-10-25,17.13458
2022-10-26,14.79015
2022-10-27,20.54992
2022-10-28,16.84515
2022-10-29,12.96671
2022-10-30,7.67004
2022-10-31,16.6136
2022-11-01,16.09261
2022-11-02,15.54269
2022-11-03,14.61649
2022-11-04,14.84804
2022-11-05,10.82489
2022-11-06,8.94356
2022-11-07,14.96382
2022-11-08,14.73227
2022-11-09,15.19536
2022-11-10,16.03473
2022-11-11,14.61649
2022-11-12,10.27496
2022-11-13,7.98842
2022-11-14,16.64254
2022-11-15,17.01881
2022-11-16,14.38494
2022-11-17,15.6874
2022-11-18,15.07959
2022-11-19,10.79594
2022-11-20,6.97539
2022-11-21,14.58755
2022-11-22,15.6874
2022-11-23,15.19536
2022-11-24,14.55861
2022-11-25,15.16642
2022-11-26,11.14327
2022-11-27,8.13314
2022-11-28,15.54269
2022-11-29,14.84804
2022-11-30,14.84804
2022-12-01,13.80607
2022-12-02,12.87988
2022-12-03,9.60926
2022-12-04,7.23589
2022-12-05,15.74529
2022-12-06,15.0217
2022-12-07,15.9479
2022-12-08,15.45586
2022-12-09,15.22431
2022-12-10,12.7641
2022-12-11,8.91461
2022-12-12,17.56874
2022-12-13,15.62952
2022-12-14,13.60347
2022-12-15,13.86396
2022-12-16,15.28219
2022-12-17,11.05643
2022-12-18,9.26193
2022-12-19,15.45586
2022-12-20,14.87698
2022-12-21,15.45586
2022-12-22,14.32706
2022-12-23,12.59044
2022-12-24,10.59334
2022-12-25,6.54124
2022-12-26,14.64544
2022-12-27,15.25325
2022-12-28,14.67438
2022-12-29,14.29811
2022-12-30,14.32706
2022-12-31,9.46454
2023-01-01,6.33863
