date,대웅제약주가
2021-09-23,4.62152
2021-09-24,4.3962
2021-09-25,0.64179
2021-09-26,0.52369
2021-09-27,5.38297
2021-09-28,4.82199
2021-09-29,5.06285
2021-09-30,4.80334
2021-10-01,4.49099
2021-10-02,0.98522
2021-10-03,0.59983
2021-10-04,1.22608
2021-10-05,5.74505
2021-10-06,5.17629
2021-10-07,5.77147
2021-10-08,5.03799
2021-10-09,0.54389
2021-10-10,0.45686
2021-10-11,0.72104
2021-10-12,4.60443
2021-10-13,4.58734
2021-10-14,4.94786
2021-10-15,4.72564
2021-10-16,0.56564
2021-10-17,0.43666
2021-10-18,4.62308
2021-10-19,4.78625
2021-10-20,4.15378
2021-10-21,3.9269
2021-10-22,3.4001
2021-10-23,0.41646
2021-10-24,0.36052
2021-10-25,3.62698
2021-10-26,3.58813
2021-10-27,3.39233
2021-10-28,4.1631
2021-10-29,3.68758
2021-10-30,0.52369
2021-10-31,0.39315
2021-11-01,3.98284
2021-11-02,4.01547
2021-11-03,3.61921
2021-11-04,3.79947
2021-11-05,3.67671
2021-11-06,0.75057
2021-11-07,0.62469
2021-11-08,4.46613
2021-11-09,4.0854
2021-11-10,3.8321
2021-11-11,3.91757
2021-11-12,4.56869
2021-11-13,0.65422
2021-11-14,0.54855
2021-11-15,5.21048
2021-11-16,4.22992
2021-11-17,3.6736
2021-11-18,3.5586
2021-11-19,3.56327
2021-11-20,0.56564
2021-11-21,0.52679
2021-11-22,4.38066
2021-11-23,3.42185
2021-11-24,3.85697
2021-11-25,3.58191
2021-11-26,4.27188
2021-11-27,0.81428
2021-11-28,0.71949
2021-11-29,4.63396
2021-11-30,4.41484
2021-12-01,4.94164
2021-12-02,4.72409
2021-12-03,4.41018
2021-12-04,0.7055
2021-12-05,0.57497
2021-12-06,4.52984
2021-12-07,5.06596
2021-12-08,5.84917
2021-12-09,6.04963
2021-12-10,4.73807
2021-12-11,0.63091
2021-12-12,0.50348
2021-12-13,4.46923
2021-12-14,4.35269
2021-12-15,4.83286
2021-12-16,4.99603
2021-12-17,4.08851
2021-12-18,0.57652
2021-12-19,0.39937
2021-12-20,3.89737
2021-12-21,3.88183
2021-12-22,3.55239
2021-12-23,3.6534
2021-12-24,3.38922
2021-12-25,0.47862
2021-12-26,0.44599
2021-12-27,3.85386
2021-12-28,3.80724
2021-12-29,4.67436
2021-12-30,3.92534
2021-12-31,1.80727
2022-01-01,0.51592
2022-01-02,0.5672
2022-01-03,4.52829
2022-01-04,4.19263
2022-01-05,3.63319
2022-01-06,3.89892
2022-01-07,3.86007
2022-01-08,0.5097
2022-01-09,0.53301
2022-01-10,4.00459
2022-01-11,4.02946
2022-01-12,3.68448
2022-01-13,3.25092
2022-01-14,10.88561
2022-01-15,2.7179
2022-01-16,1.98442
2022-01-17,7.94704
2022-01-18,5.96727
2022-01-19,5.1592
2022-01-20,4.71787
2022-01-21,4.64483
2022-01-22,0.66976
2022-01-23,0.54233
2022-01-24,4.60598
2022-01-25,4.94009
2022-01-26,4.54693
2022-01-27,4.65727
2022-01-28,4.2812
2022-01-29,0.55787
2022-01-30,0.38538
2022-01-31,0.33876
2022-02-01,0.30924
2022-02-02,0.49261
2022-02-03,4.93698
2022-02-04,4.6526
2022-02-05,0.95725
2022-02-06,0.72726
2022-02-07,5.63938
2022-02-08,5.10947
2022-02-09,4.80334
2022-02-10,4.73963
2022-02-11,3.99372
2022-02-12,0.59828
2022-02-13,0.52058
2022-02-14,3.91136
2022-02-15,4.13357
2022-02-16,6.84837
2022-02-17,6.5267
2022-02-18,8.13351
2022-02-19,1.27892
2022-02-20,1.13129
2022-02-21,7.10167
2022-02-22,6.94161
2022-02-23,5.91909
2022-02-24,6.15841
2022-02-25,5.52128
2022-02-26,1.25872
2022-02-27,0.84225
2022-02-28,5.42338
2022-03-01,0.99299
2022-03-02,5.11569
2022-03-03,5.04731
2022-03-04,4.16621
2022-03-05,0.54544
2022-03-06,0.44909
2022-03-07,3.94244
2022-03-08,4.59977
2022-03-09,0.74435
2022-03-10,4.46923
2022-03-11,4.24235
2022-03-12,1.00853
2022-03-13,0.53456
2022-03-14,4.19884
2022-03-15,4.81577
2022-03-16,6.05274
2022-03-17,5.67978
2022-03-18,5.34257
2022-03-19,1.05048
2022-03-20,1.47161
2022-03-21,7.20579
2022-03-22,4.89192
2022-03-23,4.18486
2022-03-24,4.29208
2022-03-25,4.16465
2022-03-26,0.80029
2022-03-27,0.56098
2022-03-28,3.65495
2022-03-29,3.58036
2022-03-30,3.81656
2022-03-31,3.3053
2022-04-01,3.56171
2022-04-02,0.62314
2022-04-03,0.54078
2022-04-04,4.23925
2022-04-05,4.01547
2022-04-06,3.60988
2022-04-07,3.23848
2022-04-08,3.33483
2022-04-09,0.4724
2022-04-10,0.41801
2022-04-11,3.23227
2022-04-12,3.06755
2022-04-13,3.13903
2022-04-14,2.71324
2022-04-15,2.73655
2022-04-16,0.32322
2022-04-17,0.23465
2022-04-18,2.89816
2022-04-19,3.09241
2022-04-20,3.32551
2022-04-21,3.73576
2022-04-22,3.07687
2022-04-23,0.33099
2022-04-24,0.28126
2022-04-25,2.99917
2022-04-26,3.52908
2022-04-27,3.10018
2022-04-28,3.33949
2022-04-29,5.03022
2022-04-30,0.71482
2022-05-01,0.56098
2022-05-02,4.36667
2022-05-03,4.34492
2022-05-04,3.27112
2022-05-05,0.56875
2022-05-06,2.89195
2022-05-07,0.46463
2022-05-08,0.29836
2022-05-09,2.94634
2022-05-10,3.08464
2022-05-11,2.92924
2022-05-12,3.25247
2022-05-13,2.82046
2022-05-14,0.34809
2022-05-15,0.29836
2022-05-16,2.66973
2022-05-17,2.58426
2022-05-18,2.91526
2022-05-19,2.88262
2022-05-20,3.00539
2022-05-21,0.41491
2022-05-22,0.32944
2022-05-23,3.12038
2022-05-24,3.02559
2022-05-25,3.0085
2022-05-26,2.80492
2022-05-27,3.09086
2022-05-28,0.43822
2022-05-29,0.28748
2022-05-30,3.02404
2022-05-31,2.65885
2022-06-01,0.41801
2022-06-02,2.5625
2022-06-03,2.20198
2022-06-04,0.2968
2022-06-05,0.2362
2022-06-06,0.27194
2022-06-07,2.60757
2022-06-08,2.27813
2022-06-09,2.43508
2022-06-10,2.22684
2022-06-11,0.24086
2022-06-12,0.22998
2022-06-13,2.76452
2022-06-14,2.60602
2022-06-15,2.54075
2022-06-16,2.44596
2022-06-17,2.58892
2022-06-18,0.34342
2022-06-19,0.19424
2022-06-20,2.70858
2022-06-21,2.9914
2022-06-22,3.03025
2022-06-23,2.91992
2022-06-24,3.79325
2022-06-25,0.46774
2022-06-26,0.39004
2022-06-27,3.2043
2022-06-28,3.45604
2022-06-29,3.10795
2022-06-30,4.55159
2022-07-01,3.3799
2022-07-02,0.52524
2022-07-03,0.2968
2022-07-04,3.17011
2022-07-05,3.2447
2022-07-06,3.54151
2022-07-07,3.27267
2022-07-08,3.23071
2022-07-09,0.41646
2022-07-10,0.36052
2022-07-11,3.38145
2022-07-12,3.25092
2022-07-13,3.55083
2022-07-14,3.50732
2022-07-15,3.46847
2022-07-16,0.36984
2022-07-17,0.31545
2022-07-18,3.73886
2022-07-19,5.11724
2022-07-20,5.91599
2022-07-21,4.61375
2022-07-22,4.13824
2022-07-23,0.46619
2022-07-24,0.43511
2022-07-25,3.92845
2022-07-26,3.86629
2022-07-27,3.66272
2022-07-28,4.04811
2022-07-29,4.11648
2022-07-30,0.61382
2022-07-31,0.432
2022-08-01,3.31152
2022-08-02,3.07376
2022-08-03,3.26179
2022-08-04,3.01627
2022-08-05,3.34726
2022-08-06,0.42112
2022-08-07,0.38227
2022-08-08,2.99606
2022-08-09,2.72256
2022-08-10,2.62311
2022-08-11,3.03802
2022-08-12,2.57649
2022-08-13,0.28903
2022-08-14,0.34187
2022-08-15,0.6278
2022-08-16,2.79715
2022-08-17,2.3838
2022-08-18,2.35272
2022-08-19,2.35272
2022-08-20,0.67442
2022-08-21,0.44909
2022-08-22,2.60602
2022-08-23,2.40555
2022-08-24,2.72878
2022-08-25,2.40711
2022-08-26,2.20353
2022-08-27,0.28282
2022-08-28,0.29836
2022-08-29,2.47548
2022-08-30,2.29988
2022-08-31,2.26259
2022-09-01,1.97976
2022-09-02,2.06057
2022-09-03,0.19735
2022-09-04,0.16316
2022-09-05,1.98598
2022-09-06,1.86321
2022-09-07,1.77308
2022-09-08,1.65964
2022-09-09,0.16627
2022-09-10,0.16316
2022-09-11,0.12276
2022-09-12,0.16161
2022-09-13,2.27502
2022-09-14,2.60135
2022-09-15,2.06057
2022-09-16,1.92537
2022-09-17,0.19269
2022-09-18,0.20046
2022-09-19,1.86632
2022-09-20,1.75444
2022-09-21,1.81038
2022-09-22,1.88186
2022-09-23,1.88186
2022-09-24,0.23309
2022-09-25,0.16316
2022-09-26,2.188
2022-09-27,2.4646
2022-09-28,2.37136
2022-09-29,2.68682
2022-09-30,2.29522
2022-10-01,0.20978
2022-10-02,0.17715
2022-10-03,0.23465
2022-10-04,2.31387
2022-10-05,2.13516
2022-10-06,2.03415
2022-10-07,1.88342
2022-10-08,0.15695
2022-10-09,0.15384
2022-10-10,0.18336
2022-10-11,1.95956
2022-10-12,1.99686
2022-10-13,1.9751
2022-10-14,2.00929
2022-10-15,0.21755
2022-10-16,0.16316
2022-10-17,1.95179
2022-10-18,1.92227
2022-10-19,1.87875
2022-10-20,1.8399
2022-10-21,1.86788
2022-10-22,0.26883
2022-10-23,0.16472
2022-10-24,2.39934
2022-10-25,2.22063
2022-10-26,2.01861
2022-10-27,2.37447
2022-10-28,2.09631
2022-10-29,0.22688
2022-10-30,0.18026
2022-10-31,2.35582
2022-11-01,2.48325
2022-11-02,2.14604
2022-11-03,2.12428
2022-11-04,2.12584
2022-11-05,0.22688
2022-11-06,0.15539
2022-11-07,1.99375
2022-11-08,2.23461
2022-11-09,2.28123
2022-11-10,2.33562
2022-11-11,2.62311
2022-11-12,0.25174
2022-11-13,0.23154
2022-11-14,2.37603
2022-11-15,2.42265
2022-11-16,2.25948
2022-11-17,2.01084
2022-11-18,2.00463
2022-11-19,0.20512
2022-11-20,0.16472
2022-11-21,1.79639
2022-11-22,1.78862
2022-11-23,1.74977
2022-11-24,1.89119
2022-11-25,1.67674
2022-11-26,0.25174
2022-11-27,0.15228
2022-11-28,1.641
2022-11-29,1.80882
2022-11-30,1.91139
2022-12-01,3.40631
2022-12-02,2.52055
2022-12-03,0.2362
2022-12-04,0.23465
2022-12-05,2.09476
2022-12-06,2.97897
2022-12-07,2.6402
2022-12-08,2.98519
2022-12-09,3.24159
2022-12-10,1.1344
2022-12-11,0.56875
2022-12-12,2.96188
2022-12-13,2.46305
2022-12-14,2.57494
2022-12-15,2.45839
2022-12-16,2.12739
2022-12-17,0.2766
2022-12-18,0.25951
2022-12-19,1.93625
2022-12-20,1.81193
2022-12-21,2.03726
2022-12-22,2.03104
2022-12-23,1.80416
2022-12-24,0.1958
2022-12-25,0.17404
2022-12-26,1.84612
2022-12-27,1.7218
2022-12-28,2.49102
2022-12-29,1.96267
2022-12-30,0.71482
2022-12-31,0.16316
2023-01-01,0.19269
2023-01-02,2.2082
2023-01-03,2.31231
2023-01-04,2.66662
2023-01-05,2.16624
2023-01-06,2.02327
2023-01-07,0.20046
2023-01-08,0.20667
2023-01-09,2.14604
2023-01-10,2.17401
2023-01-11,2.18178
2023-01-12,2.01861
2023-01-13,2.19732
2023-01-14,0.29836
2023-01-15,0.30613
2023-01-16,2.36981
2023-01-17,2.39312
2023-01-18,2.19266
2023-01-19,3.42807
2023-01-20,2.57494
2023-01-21,0.24863
2023-01-22,0.23309
2023-01-23,0.17404
2023-01-24,0.1958
2023-01-25,2.31698
2023-01-26,2.30144
2023-01-27,2.15847
2023-01-28,0.24242
2023-01-29,0.25174
2023-01-30,2.25637
2023-01-31,2.63399
2023-02-01,2.53609
2023-02-02,2.15381
2023-02-03,2.10719
2023-02-04,0.1989
2023-02-05,0.20823
2023-02-06,1.98442
2023-02-07,1.77308
2023-02-08,2.21907
2023-02-09,2.39623
2023-02-10,10.68825
2023-02-11,4.37133
2023-02-12,2.22684
2023-02-13,9.51189
2023-02-14,6.26408
2023-02-15,5.55857
2023-02-16,5.8445
2023-02-17,5.42804
2023-02-18,1.58505
2023-02-19,1.00542
2023-02-20,6.71784
2023-02-21,4.66659
2023-02-22,4.73496
2023-02-23,3.98595
2023-02-24,4.24235
2023-02-25,0.51902
2023-02-26,0.46619
2023-02-27,3.75285
2023-02-28,3.3224
2023-03-01,0.69151
2023-03-02,3.68914
2023-03-03,3.45759
2023-03-04,0.47551
2023-03-05,0.32788
2023-03-06,3.16855
2023-03-07,3.30375
2023-03-08,3.09863
2023-03-09,3.05045
2023-03-10,3.03802
2023-03-11,0.50038
2023-03-12,0.40403
2023-03-13,3.00228
2023-03-14,3.07221
2023-03-15,3.167
2023-03-16,2.82513
2023-03-17,2.62622
2023-03-18,0.37606
2023-03-19,0.39471
2023-03-20,2.70081
2023-03-21,2.54852
2023-03-22,2.63865
2023-03-23,2.61223
2023-03-24,2.22684
2023-03-25,0.33255
2023-03-26,0.27505
2023-03-27,2.41643
2023-03-28,2.23151
2023-03-29,2.14604
2023-03-30,2.29988
2023-03-31,1.95956
2023-04-01,0.28282
2023-04-02,0.25485
2023-04-03,2.21752
2023-04-04,2.83756
2023-04-05,2.98208
2023-04-06,2.86708
2023-04-07,2.6573
2023-04-08,0.40558
2023-04-09,0.3543
2023-04-10,2.61068
2023-04-11,2.68527
2023-04-12,2.9137
2023-04-13,3.47935
2023-04-14,3.36591
2023-04-15,0.39937
2023-04-16,0.25796
2023-04-17,2.80026
2023-04-18,2.75209
2023-04-19,2.42886
2023-04-20,2.19266
2023-04-21,2.09786
2023-04-22,0.23309
2023-04-23,0.24708
2023-04-24,2.27346
2023-04-25,2.26103
2023-04-26,2.71479
2023-04-27,2.39467
2023-04-28,3.33328
2023-04-29,0.45376
2023-04-30,0.31079
2023-05-01,0.79097
2023-05-02,3.11106
2023-05-03,3.01627
2023-05-04,3.383
2023-05-05,0.60138
2023-05-06,0.38072
2023-05-07,0.35896
2023-05-08,2.67905
2023-05-09,2.45217
2023-05-10,2.35893
2023-05-11,2.43352
2023-05-12,2.34805
2023-05-13,0.32944
2023-05-14,0.3543
2023-05-15,2.44285
2023-05-16,2.27813
2023-05-17,2.10563
2023-05-18,2.05435
2023-05-19,2.15692
2023-05-20,0.37295
2023-05-21,0.23465
2023-05-22,2.29367
2023-05-23,2.4817
2023-05-24,2.30765
2023-05-25,2.07922
2023-05-26,2.01706
2023-05-27,0.30768
