date,환테크
2021-05-21,4.52801
2021-05-22,2.6861
2021-05-23,3.14658
2021-05-24,4.91174
2021-05-25,12.3561
2021-05-26,11.89562
2021-05-27,11.74213
2021-05-28,32.69378
2021-05-29,19.033
2021-05-30,11.20491
2021-05-31,19.95395
2021-06-01,22.56331
2021-06-02,14.88871
2021-06-03,9.59324
2021-06-04,7.98158
2021-06-05,4.98848
2021-06-06,5.90943
2021-06-07,10.05372
2021-06-08,10.3607
2021-06-09,10.05372
2021-06-10,6.90713
2021-06-11,8.36531
2021-06-12,5.37221
2021-06-13,4.37452
2021-06-14,7.13737
2021-06-15,6.60015
2021-06-16,6.36991
2021-06-17,11.43514
2021-06-18,7.5211
2021-06-19,2.99309
2021-06-20,3.06983
2021-06-21,5.14198
2021-06-22,6.13967
2021-06-23,4.29777
2021-06-24,4.14428
2021-06-25,5.29547
2021-06-26,3.83729
2021-06-27,4.22102
2021-06-28,7.59785
2021-06-29,5.83269
2021-06-30,5.60245
2021-07-01,5.60245
2021-07-02,4.29777
2021-07-03,3.76055
2021-07-04,3.06983
2021-07-05,5.83269
2021-07-06,4.52801
2021-07-07,4.98848
2021-07-08,7.06062
2021-07-09,4.75825
2021-07-10,4.91174
2021-07-11,6.29316
2021-07-12,7.90483
2021-07-13,6.29316
2021-07-14,9.13277
2021-07-15,7.29086
2021-07-16,7.44435
2021-07-17,3.06983
2021-07-18,3.83729
2021-07-19,6.67689
2021-07-20,3.99079
2021-07-21,5.83269
2021-07-22,8.28856
2021-07-23,3.83729
2021-07-24,3.06983
2021-07-25,2.8396
2021-07-26,3.60706
2021-07-27,4.6815
2021-07-28,3.45356
2021-07-29,5.90943
2021-07-30,4.22102
2021-07-31,3.76055
2021-08-01,2.91634
2021-08-02,4.83499
2021-08-03,4.83499
2021-08-04,7.5211
2021-08-05,6.90713
2021-08-06,9.13277
2021-08-07,7.36761
2021-08-08,9.97697
2021-08-09,12.89332
2021-08-10,16.50038
2021-08-11,22.7168
2021-08-12,13.81427
2021-08-13,14.42824
2021-08-14,7.59785
2021-08-15,7.82808
2021-08-16,14.50498
2021-08-17,18.18879
2021-08-18,12.73983
2021-08-19,12.27935
2021-08-20,10.43745
2021-08-21,6.67689
