date,라울뒤피
2021-05-04,0.81986
2021-05-05,0.86671
2021-05-06,0.98383
2021-05-07,0.89013
2021-05-08,0.86671
2021-05-09,0.56219
2021-05-10,1.03068
2021-05-11,0.81986
2021-05-12,1.54602
2021-05-13,0.93698
2021-05-14,0.81986
2021-05-15,1.38205
2021-05-16,1.1478
2021-05-17,1.03068
2021-05-18,1.03068
2021-05-19,1.21808
2021-05-20,1.19465
2021-05-21,0.91356
2021-05-22,0.42164
2021-05-23,1.1478
2021-05-24,0.70274
2021-05-25,1.31178
2021-05-26,1.07753
2021-05-27,1.3352
2021-05-28,1.07753
2021-05-29,1.03068
2021-05-30,0.86671
2021-05-31,1.21808
2021-06-01,0.72616
2021-06-02,1.07753
2021-06-03,0.98383
2021-06-04,0.70274
2021-06-05,0.77301
2021-06-06,1.03068
2021-06-07,1.03068
2021-06-08,1.63972
2021-06-09,1.07753
2021-06-10,1.17123
2021-06-11,1.1478
2021-06-12,1.00726
2021-06-13,1.40548
2021-06-14,1.21808
2021-06-15,1.38205
2021-06-16,1.17123
2021-06-17,1.1478
2021-06-18,1.12438
2021-06-19,0.84328
2021-06-20,1.10096
2021-06-21,1.03068
2021-06-22,1.40548
2021-06-23,0.53876
2021-06-24,1.2415
2021-06-25,1.75685
2021-06-26,2.64698
2021-06-27,1.99109
2021-06-28,1.49918
2021-06-29,1.21808
2021-06-30,1.89739
2021-07-01,1.03068
2021-07-02,1.40548
2021-07-03,1.2415
2021-07-04,1.89739
2021-07-05,1.6163
2021-07-06,1.17123
2021-07-07,0.91356
2021-07-08,1.19465
2021-07-09,1.00726
2021-07-10,0.70274
2021-07-11,1.05411
2021-07-12,1.26493
2021-07-13,1.17123
2021-07-14,0.98383
2021-07-15,1.03068
2021-07-16,1.17123
2021-07-17,1.00726
2021-07-18,1.12438
2021-07-19,1.2415
2021-07-20,1.12438
2021-07-21,1.19465
2021-07-22,1.19465
2021-07-23,6.81658
2021-07-24,4.70836
2021-07-25,1.87397
2021-07-26,9.1122
2021-07-27,1.73342
2021-07-28,1.66315
2021-07-29,1.54602
2021-07-30,0.81986
2021-07-31,1.1478
2021-08-01,1.21808
2021-08-02,1.66315
2021-08-03,1.38205
2021-08-04,1.49918
2021-08-05,1.10096
2021-08-06,1.05411
2021-08-07,0.93698
2021-08-08,1.1478
2021-08-09,1.4289
2021-08-10,1.75685
2021-08-11,1.4289
2021-08-12,0.79643
2021-08-13,0.96041
2021-08-14,0.98383
2021-08-15,1.10096
2021-08-16,1.05411
2021-08-17,1.31178
2021-08-18,1.71
2021-08-19,1.00726
2021-08-20,1.12438
2021-08-21,1.03068
2021-08-22,1.63972
2021-08-23,1.19465
2021-08-24,1.96767
2021-08-25,1.28835
2021-08-26,1.17123
2021-08-27,1.07753
2021-08-28,0.70274
2021-08-29,1.6163
2021-08-30,0.93698
2021-08-31,1.12438
2021-09-01,0.81986
2021-09-02,0.79643
2021-09-03,0.96041
2021-09-04,0.72616
2021-09-05,1.12438
2021-09-06,0.96041
2021-09-07,0.86671
2021-09-08,0.98383
2021-09-09,0.89013
2021-09-10,0.91356
2021-09-11,1.12438
2021-09-12,0.81986
2021-09-13,1.31178
2021-09-14,1.00726
2021-09-15,0.53876
2021-09-16,0.84328
2021-09-17,1.12438
2021-09-18,1.03068
2021-09-19,0.42164
2021-09-20,0.67931
2021-09-21,0.70274
2021-09-22,0.67931
2021-09-23,1.2415
2021-09-24,0.93698
2021-09-25,0.84328
2021-09-26,0.56219
2021-09-27,1.1478
2021-09-28,0.79643
2021-09-29,1.05411
2021-09-30,1.3352
2021-10-01,1.3352
2021-10-02,0.86671
2021-10-03,1.31178
2021-10-04,1.3352
2021-10-05,0.93698
2021-10-06,0.96041
2021-10-07,0.96041
2021-10-08,1.05411
2021-10-09,0.56219
2021-10-10,0.70274
2021-10-11,0.93698
2021-10-12,1.03068
2021-10-13,1.12438
2021-10-14,1.00726
2021-10-15,0.79643
2021-10-16,1.10096
2021-10-17,0.63246
2021-10-18,0.60904
2021-10-19,0.67931
2021-10-20,0.65589
2021-10-21,1.00726
2021-10-22,0.89013
2021-10-23,0.84328
2021-10-24,1.00726
2021-10-25,0.65589
2021-10-26,0.91356
2021-10-27,1.17123
2021-10-28,1.05411
2021-10-29,0.72616
2021-10-30,0.46849
2021-10-31,0.53876
2021-11-01,0.84328
2021-11-02,0.74959
2021-11-03,1.00726
2021-11-04,0.60904
2021-11-05,0.86671
2021-11-06,0.84328
2021-11-07,0.93698
