date,전환사채
2022-08-11,23.92496
2022-08-12,19.42279
2022-08-13,7.76334
2022-08-14,7.41702
2022-08-15,6.89754
2022-08-16,17.20057
2022-08-17,21.55844
2022-08-18,17.20057
2022-08-19,18.61471
2022-08-20,10.04329
2022-08-21,7.27272
2022-08-22,17.63347
2022-08-23,15.49783
2022-08-24,15.03607
2022-08-25,16.70995
2022-08-26,16.07503
2022-08-27,7.18614
2022-08-28,6.14718
2022-08-29,11.83261
2022-08-30,15.75757
2022-08-31,16.65223
2022-09-01,18.21067
2022-09-02,14.05483
2022-09-03,5.85858
2022-09-04,5.0505
2022-09-05,14.19913
2022-09-06,13.07359
2022-09-07,14.94949
2022-09-08,11.05339
2022-09-09,5.10822
2022-09-10,3.52092
2022-09-11,3.80952
2022-09-12,5.9163
2022-09-13,15.90187
2022-09-14,17.57575
2022-09-15,30.70707
2022-09-16,29.46608
2022-09-17,8.45598
2022-09-18,8.68686
2022-09-19,15.00721
2022-09-20,17.08513
2022-09-21,17.34487
2022-09-22,16.47907
2022-09-23,13.44877
2022-09-24,6.9264
2022-09-25,6.72438
2022-09-26,17.02741
2022-09-27,16.39249
2022-09-28,31.31313
2022-09-29,26.08946
2022-09-30,21.78932
2022-10-01,7.82106
2022-10-02,7.0707
2022-10-03,7.56132
2022-10-04,13.91053
2022-10-05,14.31457
2022-10-06,15.20923
2022-10-07,12.55411
2022-10-08,7.30158
2022-10-09,6.23376
2022-10-10,7.82106
2022-10-11,15.81529
2022-10-12,15.00721
2022-10-13,16.04617
2022-10-14,13.53535
2022-10-15,7.9365
2022-10-16,7.18614
2022-10-17,13.36219
2022-10-18,15.18037
2022-10-19,18.23953
2022-10-20,17.80663
2022-10-21,17.80663
2022-10-22,8.71572
2022-10-23,8.48484
2022-10-24,15.69985
2022-10-25,17.02741
2022-10-26,19.91341
2022-10-27,17.22943
2022-10-28,15.78643
2022-10-29,7.0707
2022-10-30,5.16594
2022-10-31,12.15007
2022-11-01,15.35353
2022-11-02,51.02453
2022-11-03,19.91341
2022-11-04,14.31457
2022-11-05,7.56132
2022-11-06,6.03174
2022-11-07,14.83405
2022-11-08,17.37373
2022-11-09,19.33621
2022-11-10,17.46031
2022-11-11,13.99711
2022-11-12,7.27272
2022-11-13,7.9365
2022-11-14,14.77633
2022-11-15,21.96248
2022-11-16,35.81529
2022-11-17,20.02886
2022-11-18,12.81385
2022-11-19,7.01298
2022-11-20,6.14718
2022-11-21,15.93073
2022-11-22,26.29148
2022-11-23,26.55122
2022-11-24,19.74025
2022-11-25,18.09523
2022-11-26,9.75468
2022-11-27,7.215
2022-11-28,13.24675
2022-11-29,15.06493
2022-11-30,14.51659
2022-12-01,16.01731
2022-12-02,18.21067
2022-12-03,6.17604
2022-12-04,6.95526
2022-12-05,14.43001
2022-12-06,15.81529
2022-12-07,16.79653
2022-12-08,15.09379
2022-12-09,13.04473
2022-12-10,7.7922
2022-12-11,6.83982
2022-12-12,16.59451
2022-12-13,23.49206
2022-12-14,20.08658
2022-12-15,17.25829
2022-12-16,14.08369
2022-12-17,6.89754
2022-12-18,6.98412
2022-12-19,14.89177
2022-12-20,26.58008
2022-12-21,20.20202
2022-12-22,17.66233
2022-12-23,11.60173
2022-12-24,5.0505
2022-12-25,4.44444
2022-12-26,15.90187
2022-12-27,14.97835
2022-12-28,14.45887
2022-12-29,11.97691
2022-12-30,11.02453
2022-12-31,6.26262
2023-01-01,4.12698
2023-01-02,11.39971
2023-01-03,13.53535
2023-01-04,14.54545
2023-01-05,11.94805
2023-01-06,16.19047
2023-01-07,10.73593
2023-01-08,11.19769
2023-01-09,17.48917
2023-01-10,14.51659
2023-01-11,29.26406
2023-01-12,35.61327
2023-01-13,38.18181
2023-01-14,27.5036
2023-01-15,27.18614
2023-01-16,37.48917
2023-01-17,100.0
2023-01-18,80.31746
2023-01-19,52.03463
2023-01-20,40.05772
2023-01-21,24.50216
2023-01-22,12.69841
2023-01-23,9.92784
2023-01-24,11.80375
2023-01-25,16.42135
2023-01-26,16.59451
2023-01-27,15.26695
2023-01-28,7.73448
2023-01-29,8.0808
2023-01-30,15.09379
2023-01-31,18.84559
2023-02-01,16.79653
2023-02-02,16.47907
2023-02-03,12.84271
2023-02-04,7.76334
2023-02-05,6.37806
2023-02-06,14.25685
2023-02-07,22.97258
2023-02-08,36.82539
2023-02-09,27.04184
2023-02-10,22.4531
2023-02-11,15.84415
2023-02-12,12.87157
2023-02-13,21.03896
2023-02-14,25.45454
2023-02-15,27.5036
2023-02-16,28.91774
2023-02-17,20.02886
2023-02-18,10.21645
2023-02-19,12.90043
2023-02-20,16.65223
2023-02-21,18.21067
2023-02-22,25.51226
2023-02-23,17.69119
2023-02-24,15.49783
2023-02-25,7.27272
2023-02-26,6.46464
2023-02-27,12.72727
2023-02-28,15.38239
2023-03-01,8.54256
2023-03-02,14.02597
2023-03-03,17.80663
2023-03-04,12.15007
2023-03-05,8.2251
2023-03-06,16.62337
2023-03-07,20.11544
2023-03-08,17.74891
2023-03-09,17.05627
2023-03-10,14.60317
2023-03-11,7.73448
2023-03-12,8.28282
2023-03-13,17.72005
2023-03-14,17.48917
2023-03-15,14.80519
2023-03-16,17.17171
2023-03-17,13.93939
2023-03-18,7.5036
2023-03-19,6.60894
2023-03-20,17.57575
2023-03-21,18.64357
2023-03-22,15.81529
2023-03-23,17.97979
2023-03-24,15.67099
2023-03-25,8.02308
2023-03-26,8.2251
2023-03-27,16.68109
2023-03-28,19.39393
2023-03-29,16.04617
2023-03-30,17.80663
2023-03-31,16.56565
2023-04-01,6.58008
2023-04-02,6.55122
2023-04-03,18.64357
2023-04-04,27.41702
2023-04-05,21.52958
2023-04-06,20.77922
2023-04-07,17.25829
2023-04-08,7.38816
2023-04-09,7.99422
2023-04-10,17.89321
2023-04-11,19.48051
2023-04-12,19.22077
2023-04-13,27.96536
2023-04-14,28.74458
2023-04-15,10.56277
2023-04-16,8.62914
2023-04-17,19.04761
2023-04-18,23.08802
2023-04-19,36.27705
2023-04-20,33.07359
2023-04-21,22.39538
2023-04-22,11.25541
2023-04-23,7.99422
2023-04-24,15.67099
2023-04-25,17.89321
2023-04-26,20.20202
2023-04-27,26.3492
2023-04-28,23.49206
2023-04-29,8.28282
