date,자동차보험비교견적
2022-04-29,18.05929
2022-04-30,14.42048
2022-05-01,14.95956
2022-05-02,31.53638
2022-05-03,26.54986
2022-05-04,23.04582
2022-05-05,12.80323
2022-05-06,22.77628
2022-05-07,11.32075
2022-05-08,14.28571
2022-05-09,32.34501
2022-05-10,30.86253
2022-05-11,30.86253
2022-05-12,28.30188
2022-05-13,21.96765
2022-05-14,12.53369
2022-05-15,13.61185
2022-05-16,33.01886
2022-05-17,33.15363
2022-05-18,26.8194
2022-05-19,25.20215
2022-05-20,23.18059
2022-05-21,11.9946
2022-05-22,15.22911
2022-05-23,31.40161
2022-05-24,31.13207
2022-05-25,29.11051
2022-05-26,26.8194
2022-05-27,28.70619
2022-05-28,13.74663
2022-05-29,11.45552
2022-05-30,30.72776
2022-05-31,27.7628
2022-06-01,15.63342
2022-06-02,28.03234
2022-06-03,25.20215
2022-06-04,13.74663
2022-06-05,10.51212
2022-06-06,15.63342
2022-06-07,33.82749
2022-06-08,34.90566
2022-06-09,27.22371
2022-06-10,21.56334
2022-06-11,11.32075
2022-06-12,15.76819
2022-06-13,29.51482
2022-06-14,31.80592
2022-06-15,29.64959
2022-06-16,25.06738
2022-06-17,26.54986
2022-06-18,13.8814
2022-06-19,10.91644
2022-06-20,34.36657
2022-06-21,25.87601
2022-06-22,30.0539
2022-06-23,26.14555
2022-06-24,19.94609
2022-06-25,10.91644
2022-06-26,12.80323
2022-06-27,31.26684
2022-06-28,29.91913
2022-06-29,25.33692
2022-06-30,26.41509
2022-07-01,25.20215
2022-07-02,13.61185
2022-07-03,11.85983
2022-07-04,32.47978
2022-07-05,36.79245
2022-07-06,29.91913
2022-07-07,24.66307
2022-07-08,28.57142
2022-07-09,13.20754
2022-07-10,10.37735
2022-07-11,30.86253
2022-07-12,25.33692
2022-07-13,31.13207
2022-07-14,24.93261
2022-07-15,23.18059
2022-07-16,16.44204
2022-07-17,14.95956
2022-07-18,27.62803
2022-07-19,27.89757
2022-07-20,24.5283
2022-07-21,23.18059
2022-07-22,21.02425
2022-07-23,10.10781
2022-07-24,10.51212
2022-07-25,26.54986
2022-07-26,24.39353
2022-07-27,19.94609
2022-07-28,21.42857
2022-07-29,20.75471
2022-07-30,10.24258
2022-07-31,9.02964
2022-08-01,25.06738
2022-08-02,22.50673
2022-08-03,22.77628
2022-08-04,19.407
2022-08-05,19.13746
2022-08-06,8.89487
2022-08-07,9.29919
2022-08-08,23.18059
2022-08-09,19.81132
