date,나스닥선물
2021-07-30,18.73661
2021-07-31,2.40374
2021-08-01,0.90241
2021-08-02,12.10003
2021-08-03,13.19484
2021-08-04,12.64275
2021-08-05,11.54708
2021-08-06,9.88017
2021-08-07,1.61413
2021-08-08,0.57082
2021-08-09,11.76162
2021-08-10,12.14472
2021-08-11,13.53878
2021-08-12,12.41204
2021-08-13,11.11248
2021-08-14,1.68309
2021-08-15,0.60785
2021-08-16,10.24922
2021-08-17,16.607
2021-08-18,14.95881
2021-08-19,26.54166
2021-08-20,20.13536
2021-08-21,2.48292
2021-08-22,0.86751
2021-08-23,13.9304
2021-08-24,16.01277
2021-08-25,15.76247
2021-08-26,15.40278
2021-08-27,13.6469
2021-08-28,2.02532
2021-08-29,0.64701
2021-08-30,11.62073
2021-08-31,13.99297
2021-09-01,13.24805
2021-09-02,13.16079
2021-09-03,10.30839
2021-09-04,1.6584
2021-09-05,0.58486
2021-09-06,9.06842
2021-09-07,11.99659
2021-09-08,14.9703
2021-09-09,15.49686
2021-09-10,11.36788
2021-09-11,2.16452
2021-09-12,0.75087
2021-09-13,13.70011
2021-09-14,12.92625
2021-09-15,12.22475
2021-09-16,12.18431
2021-09-17,8.69937
2021-09-18,2.03086
2021-09-19,0.66021
2021-09-20,11.56922
2021-09-21,19.08736
2021-09-22,20.05916
2021-09-23,17.77673
2021-09-24,16.39331
2021-09-25,2.5987
2021-09-26,0.9105
2021-09-27,14.77705
2021-09-28,26.57656
2021-09-29,32.70745
2021-09-30,21.97637
2021-10-01,24.66829
2021-10-02,3.44492
2021-10-03,1.17228
2021-10-04,24.1145
2021-10-05,35.97531
2021-10-06,45.11439
2021-10-07,29.41875
2021-10-08,23.23252
2021-10-09,3.27466
2021-10-10,1.53495
2021-10-11,20.35926
2021-10-12,29.51026
2021-10-13,24.62828
2021-10-14,19.72203
2021-10-15,17.71629
2021-10-16,2.76258
2021-10-17,1.2306
2021-10-18,20.35628
2021-10-19,17.84314
2021-10-20,18.6783
2021-10-21,18.13302
2021-10-22,15.44876
2021-10-23,2.55315
2021-10-24,0.91348
2021-10-25,14.952
2021-10-26,14.17516
2021-10-27,16.70618
2021-10-28,15.56624
2021-10-29,17.23528
2021-10-30,2.55315
2021-10-31,0.88709
2021-11-01,13.3766
2021-11-02,15.03969
2021-11-03,15.78248
2021-11-04,14.35692
2021-11-05,12.4827
2021-11-06,1.95722
2021-11-07,0.69937
2021-11-08,14.42715
2021-11-09,13.15398
2021-11-10,18.52889
2021-11-11,18.33819
2021-11-12,11.91018
2021-11-13,2.04746
2021-11-14,0.66361
2021-11-15,11.67606
2021-11-16,14.34926
2021-11-17,13.20932
2021-11-18,13.05352
2021-11-19,11.22571
2021-11-20,2.01042
2021-11-21,0.67808
2021-11-22,10.52761
2021-11-23,17.18889
2021-11-24,16.06597
2021-11-25,12.28008
2021-11-26,23.3202
2021-11-27,4.60487
2021-11-28,1.96913
2021-11-29,29.29658
2021-11-30,36.3848
2021-12-01,27.39172
2021-12-02,29.0416
2021-12-03,20.81557
2021-12-04,5.45876
2021-12-05,1.89847
2021-12-06,29.24039
2021-12-07,23.15632
2021-12-08,22.97456
2021-12-09,20.71086
2021-12-10,20.20559
2021-12-11,3.34787
2021-12-12,1.02117
2021-12-13,17.90188
2021-12-14,25.07864
2021-12-15,24.42566
2021-12-16,21.25657
2021-12-17,22.74428
2021-12-18,4.12046
2021-12-19,1.14164
2021-12-20,32.63424
2021-12-21,28.06385
2021-12-22,26.19006
2021-12-23,20.48015
2021-12-24,9.58816
2021-12-25,1.53197
2021-12-26,0.97733
2021-12-27,16.16558
2021-12-28,17.53964
2021-12-29,17.51069
2021-12-30,13.10801
2021-12-31,7.78631
2022-01-01,1.78823
2022-01-02,0.86665
2022-01-03,14.24028
2022-01-04,16.28094
2022-01-05,21.57582
2022-01-06,37.07566
2022-01-07,24.34351
2022-01-08,4.45503
2022-01-09,1.3068
2022-01-10,33.16377
2022-01-11,31.64627
2022-01-12,25.06204
2022-01-13,23.10439
2022-01-14,26.50122
2022-01-15,4.32904
2022-01-16,1.17314
2022-01-17,20.50441
2022-01-18,41.65244
2022-01-19,45.55666
2022-01-20,35.15121
2022-01-21,47.34617
2022-01-22,9.52091
2022-01-23,2.95796
2022-01-24,77.37788
2022-01-25,79.73863
2022-01-26,67.31041
2022-01-27,78.30286
2022-01-28,47.6667
2022-01-29,8.29881
2022-01-30,2.29818
2022-01-31,24.36522
2022-02-01,30.82515
2022-02-02,35.26657
2022-02-03,61.45408
2022-02-04,51.01543
2022-02-05,9.20251
2022-02-06,3.15249
2022-02-07,43.98212
2022-02-08,41.40214
2022-02-09,35.31595
2022-02-10,43.413
2022-02-11,45.03309
2022-02-12,9.54006
2022-02-13,3.62924
2022-02-14,69.65159
2022-02-15,69.19825
2022-02-16,56.74576
2022-02-17,67.12397
2022-02-18,55.96296
2022-02-19,10.55443
2022-02-20,3.5705
2022-02-21,48.85814
2022-02-22,85.18037
2022-02-23,62.87581
2022-02-24,100.0
2022-02-25,74.11599
2022-02-26,11.80334
2022-02-27,4.3069
2022-02-28,61.91635
2022-03-01,46.19516
2022-03-02,57.3434
2022-03-03,46.02021
2022-03-04,51.96466
2022-03-05,9.31148
2022-03-06,3.11759
2022-03-07,62.01213
2022-03-08,68.25071
2022-03-09,44.71512
2022-03-10,56.80621
2022-03-11,49.9934
2022-03-12,9.94955
2022-03-13,3.33085
2022-03-14,57.72438
2022-03-15,59.69139
2022-03-16,57.31233
2022-03-17,58.92816
2022-03-18,45.34723
2022-03-19,8.06938
2022-03-20,2.76769
2022-03-21,46.89326
2022-03-22,44.09662
2022-03-23,42.59657
2022-03-24,43.50835
2022-03-25,35.76545
2022-03-26,6.1841
2022-03-27,1.94572
2022-03-28,36.20474
2022-03-29,35.86123
2022-03-30,37.36
2022-03-31,34.98605
2022-04-01,32.24603
2022-04-02,5.47706
2022-04-03,1.73927
2022-04-04,30.24667
2022-04-05,30.91624
2022-04-06,44.03107
2022-04-07,50.58891
2022-04-08,36.97222
2022-04-09,6.15685
2022-04-10,1.78439
2022-04-11,42.763
2022-04-12,53.7397
2022-04-13,45.07608
2022-04-14,38.95072
2022-04-15,20.23156
2022-04-16,2.84729
2022-04-17,1.76822
2022-04-18,42.88177
2022-04-19,38.85027
2022-04-20,39.64031
2022-04-21,33.92316
2022-04-22,37.90911
2022-04-23,7.24614
2022-04-24,2.23943
2022-04-25,58.90305
2022-04-26,48.10599
2022-04-27,65.94104
2022-04-28,51.17675
2022-04-29,46.50846
2022-04-30,8.9105
2022-05-01,2.95796
2022-05-02,52.91135
2022-05-03,46.42247
2022-05-04,37.55198
2022-05-05,37.16888
2022-05-06,63.65265
2022-05-07,9.19229
2022-05-08,3.00308
2022-05-09,75.3002
2022-05-10,84.98244
2022-05-11,78.58124
2022-05-12,87.88975
2022-05-13,56.24135
2022-05-14,9.47366
2022-05-15,2.98307
2022-05-16,67.45557
2022-05-17,55.63392
2022-05-18,61.51878
2022-05-19,86.12067
2022-05-20,53.0101
2022-05-21,10.65446
2022-05-22,2.75236
2022-05-23,54.10662
2022-05-24,69.47153
2022-05-25,63.34489
2022-05-26,62.57231
2022-05-27,50.78429
2022-05-28,7.76162
2022-05-29,2.34713
2022-05-30,42.4876
2022-05-31,54.99201
2022-06-01,39.42449
2022-06-02,53.15568
2022-06-03,45.10247
2022-06-04,7.87783
2022-06-05,2.62083
2022-06-06,37.23188
2022-06-07,55.79482
2022-06-08,48.98542
2022-06-09,43.05118
2022-06-10,47.24827
2022-06-11,8.42183
2022-06-12,3.2538
2022-06-13,80.70235
2022-06-14,92.81643
2022-06-15,73.57028
2022-06-16,97.87336
2022-06-17,75.01457
2022-06-18,9.8691
2022-06-19,3.70458
2022-06-20,56.89986
2022-06-21,58.64637
2022-06-22,76.03362
2022-06-23,71.42024
2022-06-24,48.57592
2022-06-25,7.90592
2022-06-26,3.01415
2022-06-27,61.28211
2022-06-28,54.49483
2022-06-29,60.22602
2022-06-30,62.26582
2022-07-01,56.54783
2022-07-02,7.26572
2022-07-03,2.35436
2022-07-04,43.94381
2022-07-05,62.24071
