date,양도세율
2022-07-05,5.5059
2022-07-06,5.04468
2022-07-07,5.13116
2022-07-08,4.72758
2022-07-09,3.11328
2022-07-10,2.76736
2022-07-11,5.67886
2022-07-12,5.21764
2022-07-13,5.41942
2022-07-14,4.66993
2022-07-15,5.30412
2022-07-16,2.70971
2022-07-17,3.31507
2022-07-18,5.10233
2022-07-19,4.58345
2022-07-20,6.83194
2022-07-21,6.91842
2022-07-22,6.16892
2022-07-23,3.57451
2022-07-24,4.03574
2022-07-25,6.54367
2022-07-26,5.85183
2022-07-27,6.37071
2022-07-28,5.10233
2022-07-29,5.27529
2022-07-30,2.99798
2022-07-31,3.74747
2022-08-01,4.6411
2022-08-02,5.15998
2022-08-03,4.9582
2022-08-04,4.81406
2022-08-05,4.72758
2022-08-06,3.7763
2022-08-07,2.94032
2022-08-08,4.46814
2022-08-09,4.81406
2022-08-10,5.18881
2022-08-11,4.84289
2022-08-12,5.10233
2022-08-13,3.80513
2022-08-14,3.19976
2022-08-15,3.3439
2022-08-16,5.93831
2022-08-17,4.69876
2022-08-18,6.05361
2022-08-19,6.2554
2022-08-20,4.61228
2022-08-21,3.86278
2022-08-22,6.54367
2022-08-23,6.80311
2022-08-24,6.2554
2022-08-25,5.67886
2022-08-26,5.823
2022-08-27,3.7763
2022-08-28,3.63217
2022-08-29,5.65004
2022-08-30,6.42836
2022-08-31,5.67886
2022-09-01,5.47708
2022-09-02,5.21764
2022-09-03,3.22859
2022-09-04,3.3439
2022-09-05,4.81406
2022-09-06,5.0735
2022-09-07,4.49697
2022-09-08,3.83395
2022-09-09,2.76736
2022-09-10,3.31507
2022-09-11,2.79619
2022-09-12,3.71865
2022-09-13,5.90948
2022-09-14,6.19775
2022-09-15,5.85183
2022-09-16,5.56356
2022-09-17,4.41049
2022-09-18,4.29518
2022-09-19,5.93831
2022-09-20,5.96713
2022-09-21,10.37763
2022-09-22,8.41741
2022-09-23,7.81204
2022-09-24,4.00691
2022-09-25,4.2087
2022-09-26,7.17786
2022-09-27,6.08244
2022-09-28,6.60132
2022-09-29,6.80311
2022-09-30,6.42836
2022-10-01,5.59238
2022-10-02,5.62121
2022-10-03,6.77428
2022-10-04,8.10031
2022-10-05,8.27327
2022-10-06,8.61919
2022-10-07,6.6878
2022-10-08,5.10233
2022-10-09,4.43931
2022-10-10,5.15998
2022-10-11,7.17786
2022-10-12,8.12914
2022-10-13,7.81204
2022-10-14,7.4373
2022-10-15,5.21764
2022-10-16,6.14009
2022-10-17,7.95618
2022-10-18,6.88959
2022-10-19,7.5526
2022-10-20,7.66791
2022-10-21,7.23551
2022-10-22,4.84289
2022-10-23,4.98702
2022-10-24,8.18679
2022-10-25,7.0049
2022-10-26,8.35975
2022-10-27,8.10031
2022-10-28,6.60132
2022-10-29,5.33294
2022-10-30,3.60334
2022-10-31,6.16892
2022-11-01,6.60132
2022-11-02,6.6878
2022-11-03,7.14903
2022-11-04,6.22657
2022-11-05,4.90054
2022-11-06,4.84289
2022-11-07,7.29316
2022-11-08,8.33093
2022-11-09,6.16892
2022-11-10,14.03862
2022-11-11,10.26232
2022-11-12,6.08244
2022-11-13,6.2554
2022-11-14,10.23349
2022-11-15,8.38858
2022-11-16,7.72556
2022-11-17,8.38858
2022-11-18,6.83194
2022-11-19,5.62121
2022-11-20,4.78524
2022-11-21,7.75439
2022-11-22,8.21562
2022-11-23,7.09138
2022-11-24,7.98501
2022-11-25,6.57249
