date,주식장외거래
2021-05-19,6.47219
2021-05-20,14.49407
2021-05-21,13.67365
2021-05-22,5.92525
2021-05-23,7.38377
2021-05-24,11.21239
2021-05-25,13.67365
2021-05-26,16.13491
2021-05-27,18.77848
2021-05-28,13.21786
2021-05-29,4.19325
2021-05-30,3.6463
2021-05-31,16.86417
2021-06-01,17.13764
2021-06-02,18.86964
2021-06-03,22.15132
2021-06-04,25.06836
2021-06-05,8.02187
2021-06-06,4.7402
2021-06-07,23.42752
2021-06-08,22.51595
2021-06-09,20.23701
2021-06-10,23.42752
2021-06-11,22.88058
2021-06-12,6.19872
2021-06-13,4.55788
2021-06-14,18.32269
2021-06-15,20.14585
2021-06-16,18.04922
2021-06-17,20.05469
2021-06-18,18.23154
2021-06-19,7.1103
2021-06-20,4.19325
2021-06-21,16.95533
2021-06-22,18.9608
2021-06-23,22.51595
2021-06-24,21.969
2021-06-25,17.77575
2021-06-26,4.64904
2021-06-27,5.10483
2021-06-28,14.94986
2021-06-29,17.31996
2021-06-30,16.04375
2021-07-01,13.58249
2021-07-02,16.95533
2021-07-03,6.74567
2021-07-04,5.65177
2021-07-05,15.95259
2021-07-06,16.13491
2021-07-07,17.95806
2021-07-08,20.51048
2021-07-09,18.77848
2021-07-10,5.92525
2021-07-11,6.56335
2021-07-12,14.76754
2021-07-13,16.77301
2021-07-14,15.4968
2021-07-15,17.59343
2021-07-16,16.04375
2021-07-17,5.19598
2021-07-18,3.6463
2021-07-19,11.57702
2021-07-20,10.93892
2021-07-21,10.7566
2021-07-22,12.30628
2021-07-23,11.48587
2021-07-24,5.46946
2021-07-25,4.01093
2021-07-26,14.40291
2021-07-27,23.24521
2021-07-28,20.32816
2021-07-29,19.32543
2021-07-30,20.41932
2021-07-31,4.83135
2021-08-01,3.55515
2021-08-02,13.85597
2021-08-03,19.14311
2021-08-04,28.35004
2021-08-05,25.15952
2021-08-06,37.01002
2021-08-07,7.20145
2021-08-08,10.02734
2021-08-09,36.00729
2021-08-10,36.1896
2021-08-11,32.90793
2021-08-12,31.17593
2021-08-13,31.17593
2021-08-14,8.56882
2021-08-15,6.28988
2021-08-16,11.94165
2021-08-17,24.43026
2021-08-18,21.05742
2021-08-19,28.80583
2021-08-20,24.15679
2021-08-21,6.65451
2021-08-22,4.92251
2021-08-23,18.9608
2021-08-24,24.79489
2021-08-25,25.61531
2021-08-26,20.87511
2021-08-27,20.14585
2021-08-28,5.10483
2021-08-29,5.92525
2021-08-30,21.05742
2021-08-31,28.07657
2021-09-01,27.34731
2021-09-02,25.88878
2021-09-03,18.41385
2021-09-04,5.83409
2021-09-05,3.28167
2021-09-06,18.86964
2021-09-07,16.68185
2021-09-08,18.86964
2021-09-09,22.24247
2021-09-10,19.87237
2021-09-11,4.28441
2021-09-12,4.37556
2021-09-13,15.67912
2021-09-14,21.23974
2021-09-15,22.78942
2021-09-16,16.68185
2021-09-17,19.41659
2021-09-18,4.83135
2021-09-19,3.28167
2021-09-20,3.46399
2021-09-21,3.09936
2021-09-22,6.65451
