date,해외선물거래
2022-02-17,35.29411
2022-02-18,32.49299
2022-02-19,22.96918
2022-02-20,10.08403
2022-02-21,36.97478
2022-02-22,54.62184
2022-02-23,50.14005
2022-02-24,42.57703
2022-02-25,46.77871
2022-02-26,28.29131
2022-02-27,13.44537
2022-02-28,32.21288
2022-03-01,31.09243
2022-03-02,42.57703
2022-03-03,43.97759
2022-03-04,40.05602
2022-03-05,24.64985
2022-03-06,8.68347
2022-03-07,45.09803
2022-03-08,48.73949
2022-03-09,34.73389
2022-03-10,55.18207
2022-03-11,54.62184
2022-03-12,22.68907
2022-03-13,18.7675
2022-03-14,42.85714
2022-03-15,59.94397
2022-03-16,52.10084
2022-03-17,42.29691
2022-03-18,41.17647
2022-03-19,22.68907
2022-03-20,15.96638
2022-03-21,38.37535
2022-03-22,45.93837
2022-03-23,45.93837
2022-03-24,47.05882
2022-03-25,36.13445
2022-03-26,23.24929
2022-03-27,14.84593
2022-03-28,46.21848
2022-03-29,51.2605
2022-03-30,36.41456
2022-03-31,41.17647
2022-04-01,36.69467
2022-04-02,18.48739
2022-04-03,11.48459
2022-04-04,35.014
2022-04-05,40.61624
2022-04-06,43.69747
2022-04-07,43.13725
2022-04-08,32.7731
2022-04-09,17.36694
2022-04-10,18.20728
2022-04-11,34.17366
2022-04-12,52.94117
2022-04-13,54.90196
2022-04-14,31.09243
2022-04-15,35.014
2022-04-16,16.52661
2022-04-17,10.64425
2022-04-18,35.014
2022-04-19,45.93837
2022-04-20,41.17647
2022-04-21,38.93557
2022-04-22,31.65266
2022-04-23,20.72829
2022-04-24,17.08683
2022-04-25,27.73109
2022-04-26,38.65546
2022-04-27,40.05602
2022-04-28,52.10084
2022-04-29,43.13725
2022-04-30,21.56862
2022-05-01,10.08403
2022-05-02,35.29411
2022-05-03,47.61904
2022-05-04,37.53501
2022-05-05,35.85434
2022-05-06,33.61344
2022-05-07,24.92997
2022-05-08,17.36694
2022-05-09,42.0168
2022-05-10,49.29971
2022-05-11,43.13725
2022-05-12,36.13445
2022-05-13,32.7731
2022-05-14,20.72829
2022-05-15,12.32492
2022-05-16,31.93277
2022-05-17,37.2549
2022-05-18,47.89915
2022-05-19,42.29691
2022-05-20,26.33053
2022-05-21,21.0084
2022-05-22,14.84593
2022-05-23,37.81512
2022-05-24,44.2577
2022-05-25,39.49579
2022-05-26,43.97759
2022-05-27,31.65266
2022-05-28,19.32773
2022-05-29,16.24649
2022-05-30,44.2577
2022-05-31,38.09523
2022-06-01,31.37254
2022-06-02,35.29411
2022-06-03,31.65266
2022-06-04,17.92717
2022-06-05,12.88515
2022-06-06,21.0084
2022-06-07,33.61344
2022-06-08,40.05602
2022-06-09,43.13725
2022-06-10,33.61344
2022-06-11,19.04761
2022-06-12,15.96638
2022-06-13,44.81792
2022-06-14,38.65546
2022-06-15,38.93557
2022-06-16,41.73669
2022-06-17,41.73669
2022-06-18,25.21008
2022-06-19,20.72829
2022-06-20,41.45658
2022-06-21,42.0168
2022-06-22,44.81792
2022-06-23,45.09803
2022-06-24,29.41176
2022-06-25,19.32773
2022-06-26,15.68627
2022-06-27,27.17086
2022-06-28,35.85434
2022-06-29,36.13445
2022-06-30,36.13445
2022-07-01,29.97198
2022-07-02,21.84873
2022-07-03,13.72549
2022-07-04,34.17366
2022-07-05,50.98039
2022-07-06,48.73949
2022-07-07,42.0168
2022-07-08,33.33333
2022-07-09,18.7675
2022-07-10,10.08403
2022-07-11,30.81232
2022-07-12,31.65266
2022-07-13,46.77871
2022-07-14,37.53501
2022-07-15,35.85434
2022-07-16,20.72829
2022-07-17,15.12605
2022-07-18,40.89635
2022-07-19,37.81512
2022-07-20,38.65546
2022-07-21,36.13445
2022-07-22,31.65266
2022-07-23,18.48739
2022-07-24,17.64705
2022-07-25,29.13165
2022-07-26,30.81232
2022-07-27,36.41456
2022-07-28,34.45378
2022-07-29,23.52941
2022-07-30,13.16526
2022-07-31,10.36414
2022-08-01,24.36974
2022-08-02,30.2521
2022-08-03,29.69187
2022-08-04,35.57422
2022-08-05,31.37254
2022-08-06,19.60784
2022-08-07,14.56582
2022-08-08,28.85154
2022-08-09,31.09243
2022-08-10,31.09243
2022-08-11,39.49579
2022-08-12,26.33053
2022-08-13,15.68627
2022-08-14,11.48459
2022-08-15,20.44817
2022-08-16,28.29131
2022-08-17,33.33333
2022-08-18,30.53221
2022-08-19,29.13165
2022-08-20,15.12605
2022-08-21,11.20448
2022-08-22,24.36974
2022-08-23,33.33333
2022-08-24,33.33333
2022-08-25,27.17086
2022-08-26,26.05042
2022-08-27,11.20448
2022-08-28,12.04481
2022-08-29,23.80952
2022-08-30,21.0084
2022-08-31,34.17366
2022-09-01,35.014
2022-09-02,28.85154
2022-09-03,12.88515
2022-09-04,9.5238
