date,카페인테리어소품
2021-07-27,39.17525
2021-07-28,34.53608
2021-07-29,45.36082
2021-07-30,25.25773
2021-07-31,40.72164
2021-08-01,35.56701
2021-08-02,36.59793
2021-08-03,34.02061
2021-08-04,45.87628
2021-08-05,36.59793
2021-08-06,22.68041
2021-08-07,49.48453
2021-08-08,42.7835
2021-08-09,39.17525
2021-08-10,34.02061
2021-08-11,35.05154
2021-08-12,43.29896
2021-08-13,47.42268
2021-08-14,36.08247
2021-08-15,42.26804
2021-08-16,43.81443
2021-08-17,35.05154
2021-08-18,31.95876
2021-08-19,39.69072
2021-08-20,46.90721
2021-08-21,45.87628
2021-08-22,37.1134
2021-08-23,50.0
2021-08-24,35.05154
2021-08-25,44.84536
2021-08-26,39.17525
2021-08-27,33.50515
2021-08-28,35.05154
2021-08-29,35.05154
2021-08-30,44.84536
2021-08-31,36.08247
2021-09-01,39.69072
2021-09-02,46.90721
2021-09-03,38.65979
2021-09-04,37.1134
2021-09-05,37.62886
2021-09-06,32.47422
2021-09-07,42.7835
2021-09-08,49.48453
2021-09-09,46.39175
2021-09-10,33.50515
2021-09-11,33.50515
2021-09-12,32.47422
2021-09-13,29.8969
2021-09-14,46.90721
2021-09-15,34.53608
2021-09-16,31.95876
2021-09-17,37.62886
2021-09-18,44.84536
2021-09-19,29.38144
2021-09-20,30.92783
2021-09-21,40.20618
2021-09-22,45.87628
2021-09-23,45.36082
2021-09-24,41.75257
2021-09-25,56.70103
2021-09-26,67.52577
2021-09-27,40.20618
2021-09-28,61.3402
2021-09-29,62.88659
2021-09-30,45.87628
2021-10-01,40.20618
2021-10-02,52.57731
2021-10-03,54.63917
2021-10-04,60.30927
2021-10-05,60.82474
2021-10-06,45.87628
2021-10-07,55.6701
2021-10-08,50.51546
2021-10-09,56.70103
2021-10-10,57.21649
2021-10-11,57.73195
2021-10-12,53.09278
2021-10-13,47.42268
2021-10-14,57.73195
2021-10-15,53.09278
2021-10-16,48.96907
2021-10-17,58.76288
2021-10-18,42.7835
2021-10-19,53.60824
2021-10-20,50.0
2021-10-21,48.96907
2021-10-22,56.70103
2021-10-23,51.03092
2021-10-24,53.09278
2021-10-25,58.76288
2021-10-26,53.60824
2021-10-27,58.24742
2021-10-28,57.73195
2021-10-29,54.63917
2021-10-30,58.76288
2021-10-31,58.24742
2021-11-01,47.42268
2021-11-02,57.73195
2021-11-03,62.37113
2021-11-04,100.0
2021-11-05,95.36082
2021-11-06,52.06185
2021-11-07,61.3402
2021-11-08,50.0
2021-11-09,67.0103
2021-11-10,72.16494
2021-11-11,57.21649
2021-11-12,57.21649
2021-11-13,47.42268
2021-11-14,59.79381
2021-11-15,46.39175
2021-11-16,70.61855
2021-11-17,67.52577
2021-11-18,64.94845
2021-11-19,45.87628
2021-11-20,46.39175
2021-11-21,63.91752
2021-11-22,69.07216
2021-11-23,65.46391
2021-11-24,60.30927
2021-11-25,40.20618
2021-11-26,42.7835
2021-11-27,42.26804
2021-11-28,71.13402
2021-11-29,59.27835
2021-11-30,46.90721
2021-12-01,54.12371
2021-12-02,36.59793
2021-12-03,44.84536
2021-12-04,42.26804
2021-12-05,39.69072
2021-12-06,37.1134
2021-12-07,31.44329
2021-12-08,49.48453
2021-12-09,28.35051
2021-12-10,35.56701
2021-12-11,35.56701
2021-12-12,46.39175
2021-12-13,46.90721
2021-12-14,39.17525
2021-12-15,42.26804
2021-12-16,37.62886
2021-12-17,27.31958
2021-12-18,38.65979
2021-12-19,32.98969
2021-12-20,34.02061
2021-12-21,28.86597
2021-12-22,31.44329
2021-12-23,44.32989
2021-12-24,28.86597
2021-12-25,42.26804
2021-12-26,35.56701
2021-12-27,37.62886
2021-12-28,43.29896
2021-12-29,48.4536
2021-12-30,53.60824
2021-12-31,36.08247
2022-01-01,51.03092
2022-01-02,52.06185
2022-01-03,48.4536
2022-01-04,53.60824
2022-01-05,48.4536
2022-01-06,58.76288
2022-01-07,56.70103
2022-01-08,46.90721
2022-01-09,59.79381
2022-01-10,61.85567
2022-01-11,53.60824
2022-01-12,63.40206
2022-01-13,60.30927
2022-01-14,53.60824
2022-01-15,50.51546
2022-01-16,64.94845
2022-01-17,57.21649
2022-01-18,51.54639
2022-01-19,49.48453
2022-01-20,56.70103
2022-01-21,54.12371
2022-01-22,55.6701
2022-01-23,52.57731
2022-01-24,59.27835
2022-01-25,44.32989
2022-01-26,50.51546
2022-01-27,46.39175
2022-01-28,45.36082
2022-01-29,53.60824
2022-01-30,41.23711
2022-01-31,45.36082
2022-02-01,45.36082
2022-02-02,45.87628
2022-02-03,50.0
2022-02-04,56.70103
2022-02-05,56.70103
2022-02-06,64.94845
2022-02-07,47.93814
2022-02-08,58.76288
2022-02-09,56.18556
2022-02-10,61.3402
2022-02-11,46.39175
2022-02-12,44.84536
2022-02-13,57.73195
2022-02-14,58.76288
2022-02-15,52.06185
2022-02-16,43.29896
2022-02-17,59.79381
2022-02-18,57.73195
2022-02-19,54.63917
2022-02-20,58.24742
2022-02-21,53.09278
2022-02-22,36.59793
2022-02-23,54.63917
2022-02-24,61.85567
2022-02-25,47.42268
2022-02-26,49.48453
2022-02-27,42.7835
2022-02-28,36.59793
2022-03-01,56.70103
2022-03-02,38.65979
2022-03-03,61.85567
2022-03-04,44.84536
2022-03-05,54.63917
2022-03-06,47.42268
2022-03-07,41.75257
2022-03-08,41.75257
2022-03-09,35.56701
2022-03-10,45.36082
2022-03-11,46.90721
2022-03-12,47.42268
2022-03-13,59.79381
2022-03-14,60.82474
2022-03-15,48.4536
2022-03-16,45.87628
2022-03-17,52.57731
2022-03-18,48.4536
2022-03-19,42.7835
2022-03-20,42.7835
2022-03-21,42.7835
2022-03-22,50.0
2022-03-23,53.09278
2022-03-24,55.6701
2022-03-25,54.63917
2022-03-26,41.23711
2022-03-27,44.84536
2022-03-28,59.27835
2022-03-29,54.12371
2022-03-30,65.97938
2022-03-31,49.48453
2022-04-01,48.4536
2022-04-02,55.6701
2022-04-03,68.5567
2022-04-04,48.96907
2022-04-05,44.32989
2022-04-06,50.51546
2022-04-07,52.57731
2022-04-08,50.0
2022-04-09,37.62886
2022-04-10,50.0
2022-04-11,31.95876
2022-04-12,38.65979
2022-04-13,55.6701
2022-04-14,44.84536
2022-04-15,50.0
2022-04-16,27.83505
2022-04-17,40.20618
2022-04-18,49.48453
2022-04-19,61.3402
2022-04-20,48.96907
2022-04-21,59.27835
2022-04-22,61.85567
2022-04-23,47.93814
2022-04-24,53.09278
2022-04-25,40.20618
2022-04-26,54.12371
2022-04-27,39.69072
2022-04-28,44.32989
2022-04-29,45.87628
2022-04-30,44.84536
2022-05-01,45.36082
2022-05-02,40.72164
2022-05-03,47.93814
2022-05-04,46.90721
2022-05-05,31.95876
2022-05-06,44.84536
2022-05-07,31.44329
2022-05-08,42.7835
2022-05-09,45.87628
2022-05-10,39.17525
2022-05-11,43.29896
2022-05-12,39.17525
2022-05-13,38.65979
2022-05-14,36.59793
2022-05-15,47.93814
2022-05-16,40.20618
2022-05-17,40.72164
2022-05-18,44.32989
2022-05-19,35.56701
2022-05-20,45.87628
2022-05-21,39.17525
2022-05-22,34.02061
2022-05-23,45.87628
2022-05-24,47.93814
2022-05-25,59.79381
2022-05-26,41.75257
2022-05-27,32.47422
2022-05-28,36.59793
2022-05-29,31.95876
2022-05-30,40.20618
2022-05-31,38.65979
2022-06-01,43.29896
2022-06-02,41.75257
2022-06-03,38.65979
2022-06-04,39.69072
2022-06-05,41.23711
2022-06-06,40.20618
2022-06-07,56.70103
2022-06-08,39.69072
2022-06-09,51.54639
2022-06-10,44.32989
2022-06-11,39.17525
2022-06-12,36.08247
2022-06-13,41.75257
2022-06-14,30.92783
2022-06-15,40.72164
2022-06-16,49.48453
2022-06-17,29.38144
2022-06-18,28.35051
2022-06-19,28.86597
2022-06-20,45.87628
2022-06-21,45.36082
2022-06-22,41.23711
2022-06-23,43.81443
2022-06-24,42.7835
2022-06-25,36.08247
2022-06-26,38.14432
