date,미국배당주
2021-07-21,28.9445
2021-07-22,25.89771
2021-07-23,26.87704
2021-07-24,22.85092
2021-07-25,20.45701
2021-07-26,25.7889
2021-07-27,31.66485
2021-07-28,33.73231
2021-07-29,37.43199
2021-07-30,36.99673
2021-07-31,32.75299
2021-08-01,26.55059
2021-08-02,30.14145
2021-08-03,43.85201
2021-08-04,44.83133
2021-08-05,43.09031
2021-08-06,43.09031
2021-08-07,36.12622
2021-08-08,31.55603
2021-08-09,37.5408
2021-08-10,44.50489
2021-08-11,40.36996
2021-08-12,44.61371
2021-08-13,37.43199
2021-08-14,26.22415
2021-08-15,28.07399
2021-08-16,31.22959
2021-08-17,36.45266
2021-08-18,42.00217
2021-08-19,34.82045
2021-08-20,36.45266
2021-08-21,26.87704
2021-08-22,26.00652
2021-08-23,28.9445
2021-08-24,44.83133
2021-08-25,43.74319
2021-08-26,44.83133
2021-08-27,41.56692
2021-08-28,35.25571
2021-08-29,33.29706
2021-08-30,38.08487
2021-08-31,48.85745
2021-09-01,48.85745
2021-09-02,52.99238
2021-09-03,43.63438
2021-09-04,30.90315
2021-09-05,30.25027
2021-09-06,36.12622
2021-09-07,44.39608
2021-09-08,41.78454
2021-09-09,38.19368
2021-09-10,41.34929
2021-09-11,31.88248
2021-09-12,27.63873
2021-09-13,37.97606
2021-09-14,40.47878
2021-09-15,40.6964
2021-09-16,41.4581
2021-09-17,36.56147
2021-09-18,28.72687
2021-09-19,25.89771
2021-09-20,26.11534
2021-09-21,35.79978
2021-09-22,42.43743
2021-09-23,64.96191
2021-09-24,57.67138
2021-09-25,41.56692
2021-09-26,29.92383
2021-09-27,43.63438
2021-09-28,45.04896
2021-09-29,37.32317
2021-09-30,39.49945
2021-10-01,31.99129
2021-10-02,25.0272
2021-10-03,36.56147
2021-10-04,28.9445
2021-10-05,37.21436
2021-10-06,37.86724
2021-10-07,34.60282
2021-10-08,32.53536
2021-10-09,23.72143
2021-10-10,22.19804
2021-10-11,25.89771
2021-10-12,36.56147
2021-10-13,33.18824
2021-10-14,30.79434
2021-10-15,33.73231
2021-10-16,26.98585
2021-10-17,28.61806
2021-10-18,34.71164
2021-10-19,36.7791
2021-10-20,37.75843
2021-10-21,33.18824
2021-10-22,29.27094
2021-10-23,25.0272
2021-10-24,23.72143
2021-10-25,29.37976
2021-10-26,47.00761
2021-10-27,47.33405
2021-10-28,38.3025
2021-10-29,36.45266
2021-10-30,25.24483
2021-10-31,26.65941
2021-11-01,31.33841
2021-11-02,47.98694
2021-11-03,41.67573
2021-11-04,43.30794
2021-11-05,36.88792
2021-11-06,30.03264
2021-11-07,22.08922
2021-11-08,37.97606
2021-11-09,45.59303
2021-11-10,39.0642
2021-11-11,39.60826
2021-11-12,37.64961
2021-11-13,26.98585
2021-11-14,28.61806
2021-11-15,35.25571
2021-11-16,39.60826
2021-11-17,88.13928
2021-11-18,42.00217
2021-11-19,36.12622
2021-11-20,30.14145
2021-11-21,28.72687
2021-11-22,36.23503
2021-11-23,38.08487
2021-11-24,37.10554
2021-11-25,36.01741
2021-11-26,26.98585
2021-11-27,24.48313
2021-11-28,22.85092
2021-11-29,27.96517
2021-11-30,32.75299
2021-12-01,36.23503
2021-12-02,33.73231
2021-12-03,26.87704
2021-12-04,25.24483
2021-12-05,18.06311
2021-12-06,23.93906
2021-12-07,27.52992
2021-12-08,33.73231
2021-12-09,33.73231
2021-12-10,30.35908
2021-12-11,27.96517
2021-12-12,23.17736
2021-12-13,32.75299
2021-12-14,31.01196
2021-12-15,28.72687
2021-12-16,29.7062
2021-12-17,32.20892
2021-12-18,23.5038
2021-12-19,19.04243
2021-12-20,28.40043
2021-12-21,34.92927
2021-12-22,28.07399
2021-12-23,35.47334
2021-12-24,28.40043
2021-12-25,21.21871
2021-12-26,19.04243
2021-12-27,27.31229
