date,루닛주가
2023-09-02,3.31456
2023-09-03,6.0348
2023-09-04,27.29376
2023-09-05,100.0
2023-09-06,57.41349
2023-09-07,53.68174
2023-09-08,39.46338
2023-09-09,8.2807
2023-09-10,7.30919
2023-09-11,49.09563
2023-09-12,41.79501
2023-09-13,37.34891
2023-09-14,32.05989
2023-09-15,32.58565
2023-09-16,5.44332
2023-09-17,5.77478
2023-09-18,29.26822
2023-09-19,31.33125
2023-09-20,50.33288
2023-09-21,30.36831
2023-09-22,26.90516
2023-09-23,4.49467
2023-09-24,3.49172
2023-09-25,22.54478
2023-09-26,21.09323
2023-09-27,17.30719
2023-09-28,2.72023
2023-09-29,2.20018
2023-09-30,3.14598
2023-10-01,2.07446
2023-10-02,2.99739
2023-10-03,2.7688
2023-10-04,17.66722
2023-10-05,16.91002
2023-10-06,14.60696
2023-10-07,2.71737
2023-10-08,2.30305
2023-10-09,2.49164
2023-10-10,15.44132
2023-10-11,16.13566
2023-10-12,17.2129
2023-10-13,13.76403
2023-10-14,2.5145
2023-10-15,2.46306
2023-10-16,13.58687
2023-10-17,16.11852
2023-10-18,14.30979
2023-10-19,14.35837
2023-10-20,15.38989
2023-10-21,2.94596
2023-10-22,2.19733
2023-10-23,14.12692
2023-10-24,17.15289
2023-10-25,14.90984
2023-10-26,17.32719
2023-10-27,18.27585
2023-10-28,3.21741
2023-10-29,2.73452
2023-10-30,18.39586
2023-10-31,15.92422
2023-11-01,17.11575
2023-11-02,39.62625
2023-11-03,38.68617
2023-11-04,8.30928
2023-11-05,6.03766
2023-11-06,32.62565
2023-11-07,25.55647
2023-11-08,22.90767
2023-11-09,68.13155
2023-11-10,40.28345
2023-11-11,5.65762
2023-11-12,4.5661
2023-11-13,30.12543
2023-11-14,31.68271
2023-11-15,25.03643
2023-11-16,20.69605
2023-11-17,21.77329
2023-11-18,4.6061
2023-11-19,3.46601
2023-11-20,20.83035
2023-11-21,19.63596
2023-11-22,20.00742
2023-11-23,17.15004
2023-11-24,20.26459
2023-11-25,3.6946
2023-11-26,3.1717
2023-11-27,18.5673
2023-11-28,19.0702
2023-11-29,26.64514
2023-11-30,23.11912
2023-12-01,24.77069
2023-12-02,4.56039
2023-12-03,4.03177
2023-12-04,28.64245
2023-12-05,25.35931
2023-12-06,22.98482
2023-12-07,22.11046
2023-12-08,21.05609
2023-12-09,3.59173
2023-12-10,3.24313
2023-12-11,22.86767
2023-12-12,18.66445
2023-12-13,16.91287
2023-12-14,33.08283
2023-12-15,23.47629
2023-12-16,3.77175
2023-12-17,3.60888
2023-12-18,22.47621
2023-12-19,19.04163
2023-12-20,20.39603
2023-12-21,20.81606
2023-12-22,17.49292
2023-12-23,3.12883
2023-12-24,2.48306
2023-12-25,3.82032
2023-12-26,17.89581
2023-12-27,21.23324
2023-12-28,17.1929
2023-12-29,5.99765
2023-12-30,2.41735
2023-12-31,2.42306
2024-01-01,2.43163
2024-01-02,17.45578
2024-01-03,16.64428
2024-01-04,16.58142
2024-01-05,15.18415
2024-01-06,3.10312
2024-01-07,2.65451
2024-01-08,18.14155
2024-01-09,17.74437
2024-01-10,16.98145
2024-01-11,16.07852
2024-01-12,13.97548
2024-01-13,3.1917
2024-01-14,2.46878
2024-01-15,14.57839
2024-01-16,15.88707
2024-01-17,15.67277
2024-01-18,16.60713
2024-01-19,14.92985
2024-01-20,4.08892
2024-01-21,3.18027
2024-01-22,16.13566
2024-01-23,21.16752
2024-01-24,16.86144
2024-01-25,15.03271
2024-01-26,13.364
2024-01-27,2.50307
2024-01-28,2.28305
2024-01-29,15.087
2024-01-30,16.95573
2024-01-31,14.60696
2024-02-01,16.56713
2024-02-02,15.38989
2024-02-03,2.77452
2024-02-04,2.5545
2024-02-05,14.68697
2024-02-06,28.95391
2024-02-07,18.76446
2024-02-08,16.95002
2024-02-09,2.82881
2024-02-10,2.20304
2024-02-11,2.0516
2024-02-12,3.18027
2024-02-13,20.10172
2024-02-14,16.82144
2024-02-15,18.49872
2024-02-16,38.1747
2024-02-17,4.81184
2024-02-18,3.69745
2024-02-19,24.11635
2024-02-20,29.11678
2024-02-21,23.26485
2024-02-22,24.53067
2024-02-23,21.9133
2024-02-24,3.28313
2024-02-25,3.29742
2024-02-26,18.70731
2024-02-27,18.5273
2024-02-28,17.41292
2024-02-29,15.2613
2024-03-01,2.4402
2024-03-02,1.88873
2024-03-03,1.86015
2024-03-04,15.3356
2024-03-05,14.01834
2024-03-06,15.02985
2024-03-07,22.74194
2024-03-08,17.04717
2024-03-09,2.44306
2024-03-10,2.32305
2024-03-11,15.46132
2024-03-12,17.57864
2024-03-13,17.22433
2024-03-14,15.30416
2024-03-15,14.74126
2024-03-16,2.35163
2024-03-17,1.9373
2024-03-18,14.19835
2024-03-19,13.8669
2024-03-20,12.56107
