date,TQQQ주가
2022-08-16,24.71692
2022-08-17,22.01969
2022-08-18,22.89422
2022-08-19,22.11175
2022-08-20,11.61741
2022-08-21,4.46469
2022-08-22,14.18576
2022-08-23,31.81441
2022-08-24,40.19147
2022-08-25,44.34318
2022-08-26,41.94973
2022-08-27,38.62653
2022-08-28,9.70266
2022-08-29,34.7786
2022-08-30,50.32679
2022-08-31,52.75706
2022-09-01,58.36325
2022-09-02,54.51532
2022-09-03,32.90067
2022-09-04,9.18714
2022-09-05,17.90481
2022-09-06,34.06977
2022-09-07,50.32679
2022-09-08,47.58354
2022-09-09,45.39261
2022-09-10,29.77078
2022-09-11,10.33784
2022-09-12,30.28629
2022-09-13,67.09932
2022-09-14,81.72696
2022-09-15,58.81432
2022-09-16,65.27662
2022-09-17,40.38479
2022-09-18,10.64162
2022-09-19,34.52085
2022-09-20,50.57534
2022-09-21,51.07244
2022-09-22,70.46856
2022-09-23,69.00487
2022-09-24,41.15805
2022-09-25,10.21817
2022-09-26,42.54809
2022-09-27,64.07069
2022-09-28,64.38368
2022-09-29,68.13035
2022-09-30,67.07171
2022-10-01,39.42741
2022-10-02,12.40909
2022-10-03,36.97873
2022-10-04,69.60324
2022-10-05,60.79351
2022-10-06,54.93878
2022-10-07,48.98278
2022-10-08,39.51946
2022-10-09,10.54957
2022-10-10,34.1158
2022-10-11,64.68747
2022-10-12,61.06968
2022-10-13,71.0301
2022-10-14,71.33388
2022-10-15,40.28353
2022-10-16,11.13872
2022-10-17,37.54947
2022-10-18,70.65267
2022-10-19,63.82214
2022-10-20,54.62579
2022-10-21,47.87811
2022-10-22,32.54165
2022-10-23,8.93859
2022-10-24,36.23308
2022-10-25,57.05606
2022-10-26,68.20399
2022-10-27,60.9408
2022-10-28,56.43008
2022-10-29,39.62993
2022-10-30,8.14692
2022-10-31,31.9617
2022-11-01,52.71103
2022-11-02,48.44886
2022-11-03,67.34787
2022-11-04,61.81533
2022-11-05,35.95691
2022-11-06,9.50013
2022-11-07,34.75098
2022-11-08,57.90297
2022-11-09,60.01104
2022-11-10,65.04648
2022-11-11,100.0
2022-11-12,48.46727
2022-11-13,11.82914
2022-11-14,35.5979
2022-11-15,67.44913
2022-11-16,63.15014
2022-11-17,53.00561
2022-11-18,48.65138
2022-11-19,29.63269
2022-11-20,6.87655
2022-11-21,22.96787
2022-11-22,41.82085
2022-11-23,45.68719
2022-11-24,40.61493
2022-11-25,27.34051
2022-11-26,19.11074
2022-11-27,5.88235
2022-11-28,19.48817
2022-11-29,37.31934
2022-11-30,36.51845
2022-12-01,56.60498
2022-12-02,46.26714
2022-12-03,26.98149
