date,압류통장해지
2022-10-22,27.05882
2022-10-23,14.70588
2022-10-24,61.17647
2022-10-25,61.7647
2022-10-26,62.94117
2022-10-27,51.7647
2022-10-28,45.88235
2022-10-29,21.17647
2022-10-30,22.94117
2022-10-31,60.58823
2022-11-01,50.58823
2022-11-02,49.41176
2022-11-03,46.47058
2022-11-04,50.0
2022-11-05,27.05882
2022-11-06,17.64705
2022-11-07,47.64705
2022-11-08,52.94117
2022-11-09,49.41176
2022-11-10,56.47058
2022-11-11,40.58823
2022-11-12,23.52941
2022-11-13,20.0
2022-11-14,42.35294
2022-11-15,53.52941
2022-11-16,64.11764
2022-11-17,51.7647
2022-11-18,54.70588
2022-11-19,17.05882
2022-11-20,10.58823
2022-11-21,54.70588
2022-11-22,60.58823
2022-11-23,60.0
2022-11-24,58.82352
2022-11-25,44.11764
2022-11-26,10.0
2022-11-27,14.70588
2022-11-28,55.88235
2022-11-29,55.88235
2022-11-30,49.41176
2022-12-01,35.88235
2022-12-02,48.23529
2022-12-03,20.0
2022-12-04,16.47058
2022-12-05,50.0
2022-12-06,54.11764
2022-12-07,50.0
2022-12-08,46.47058
2022-12-09,51.17647
2022-12-10,24.70588
2022-12-11,17.64705
2022-12-12,51.17647
2022-12-13,52.94117
2022-12-14,49.41176
2022-12-15,42.94117
2022-12-16,38.82352
2022-12-17,17.64705
2022-12-18,18.82352
2022-12-19,47.05882
2022-12-20,50.58823
2022-12-21,55.88235
2022-12-22,38.82352
2022-12-23,39.41176
2022-12-24,21.17647
2022-12-25,15.88235
2022-12-26,62.35294
2022-12-27,57.05882
2022-12-28,47.64705
2022-12-29,50.0
2022-12-30,30.58823
2022-12-31,17.64705
2023-01-01,18.23529
2023-01-02,47.05882
2023-01-03,44.70588
2023-01-04,43.52941
2023-01-05,48.23529
2023-01-06,42.94117
2023-01-07,18.23529
2023-01-08,17.05882
2023-01-09,45.88235
2023-01-10,51.17647
2023-01-11,55.88235
2023-01-12,50.58823
2023-01-13,48.82352
2023-01-14,19.41176
2023-01-15,22.94117
2023-01-16,38.82352
2023-01-17,58.23529
2023-01-18,52.35294
2023-01-19,52.94117
2023-01-20,36.47058
2023-01-21,17.64705
2023-01-22,20.58823
2023-01-23,16.47058
2023-01-24,25.29411
2023-01-25,57.64705
2023-01-26,47.05882
2023-01-27,57.64705
2023-01-28,17.05882
2023-01-29,14.70588
2023-01-30,40.58823
2023-01-31,71.17647
2023-02-01,54.11764
2023-02-02,55.29411
2023-02-03,64.11764
2023-02-04,15.29411
2023-02-05,22.94117
2023-02-06,51.17647
2023-02-07,38.82352
2023-02-08,54.11764
2023-02-09,52.35294
2023-02-10,52.94117
2023-02-11,29.41176
2023-02-12,20.58823
2023-02-13,49.41176
2023-02-14,58.23529
2023-02-15,79.41176
2023-02-16,48.23529
2023-02-17,59.41176
2023-02-18,24.70588
2023-02-19,24.11764
2023-02-20,70.58823
2023-02-21,65.88235
2023-02-22,61.7647
2023-02-23,58.82352
2023-02-24,74.11764
2023-02-25,24.70588
2023-02-26,25.29411
2023-02-27,55.88235
2023-02-28,74.11764
2023-03-01,27.64705
2023-03-02,67.64705
2023-03-03,59.41176
2023-03-04,28.23529
2023-03-05,27.05882
2023-03-06,67.64705
2023-03-07,58.23529
2023-03-08,68.23529
2023-03-09,56.47058
2023-03-10,59.41176
2023-03-11,25.88235
2023-03-12,26.47058
2023-03-13,55.88235
2023-03-14,68.23529
2023-03-15,67.05882
2023-03-16,63.52941
2023-03-17,59.41176
2023-03-18,24.70588
2023-03-19,28.23529
2023-03-20,71.7647
2023-03-21,67.05882
2023-03-22,64.70588
2023-03-23,49.41176
2023-03-24,54.70588
2023-03-25,21.7647
2023-03-26,27.64705
2023-03-27,69.41176
2023-03-28,56.47058
2023-03-29,63.52941
2023-03-30,55.88235
2023-03-31,65.88235
2023-04-01,21.17647
2023-04-02,21.7647
2023-04-03,55.29411
2023-04-04,48.82352
2023-04-05,59.41176
2023-04-06,57.05882
2023-04-07,42.94117
2023-04-08,21.17647
2023-04-09,16.47058
2023-04-10,73.52941
2023-04-11,50.0
2023-04-12,62.94117
2023-04-13,50.58823
2023-04-14,45.88235
2023-04-15,23.52941
2023-04-16,17.05882
2023-04-17,54.70588
2023-04-18,64.11764
2023-04-19,61.7647
2023-04-20,47.05882
2023-04-21,64.11764
2023-04-22,16.47058
2023-04-23,18.23529
2023-04-24,54.70588
2023-04-25,72.35294
2023-04-26,57.05882
2023-04-27,54.70588
2023-04-28,49.41176
2023-04-29,18.23529
2023-04-30,22.35294
2023-05-01,28.23529
2023-05-02,65.29411
2023-05-03,67.64705
2023-05-04,39.41176
2023-05-05,24.11764
2023-05-06,24.70588
2023-05-07,28.23529
2023-05-08,64.70588
2023-05-09,54.11764
2023-05-10,65.88235
2023-05-11,59.41176
2023-05-12,62.94117
2023-05-13,23.52941
2023-05-14,24.70588
2023-05-15,57.64705
2023-05-16,61.7647
2023-05-17,52.35294
2023-05-18,67.64705
2023-05-19,47.05882
2023-05-20,24.11764
2023-05-21,30.0
2023-05-22,75.88235
2023-05-23,61.7647
2023-05-24,54.11764
2023-05-25,67.05882
2023-05-26,57.64705
2023-05-27,11.7647
2023-05-28,19.41176
2023-05-29,32.94117
2023-05-30,50.0
2023-05-31,79.41176
