date,KODEX레버리지
2022-09-16,3.21533
2022-09-17,1.12417
2022-09-18,0.91232
2022-09-19,3.72104
2022-09-20,3.27
2022-09-21,3.6322
2022-09-22,4.07981
2022-09-23,4.42151
2022-09-24,1.26768
2022-09-25,1.01824
2022-09-26,6.30766
2022-09-27,5.36458
2022-09-28,7.71202
2022-09-29,6.40333
2022-09-30,5.89421
2022-10-01,1.46928
2022-10-02,1.00799
2022-10-03,1.65037
2022-10-04,5.10831
2022-10-05,5.24499
2022-10-06,4.33608
2022-10-07,3.61169
2022-10-08,1.34968
2022-10-09,1.06608
2022-10-10,1.26768
2022-10-11,4.69486
2022-10-12,4.34292
2022-10-13,4.26775
2022-10-14,4.63677
2022-10-15,1.53078
2022-10-16,1.20276
2022-10-17,4.07981
2022-10-18,4.52743
2022-10-19,4.51035
2022-10-20,3.91238
2022-10-21,3.47843
2022-10-22,0.96357
2022-10-23,0.85423
2022-10-24,3.63561
2022-10-25,3.58778
2022-10-26,3.99781
2022-10-27,4.40784
2022-10-28,3.59803
2022-10-29,0.85081
2022-10-30,0.63213
2022-10-31,3.71079
2022-11-01,4.319
2022-11-02,3.68687
2022-11-03,4.06956
2022-11-04,3.73129
2022-11-05,0.67655
2022-11-06,0.64921
2022-11-07,3.6937
2022-11-08,3.8543
2022-11-09,4.10715
2022-11-10,4.00464
2022-11-11,5.50809
2022-11-12,1.16517
2022-11-13,0.91232
2022-11-14,3.8543
2022-11-15,3.42376
2022-11-16,3.54336
2022-11-17,3.16066
2022-11-18,3.31784
2022-11-19,0.5057
2022-11-20,0.47153
2022-11-21,2.91806
2022-11-22,2.83605
2022-11-23,2.69596
2022-11-24,2.69937
2022-11-25,2.29276
2022-11-26,0.37244
2022-11-27,0.32802
2022-11-28,2.23467
2022-11-29,2.88047
2022-11-30,2.85314
2022-12-01,3.33151
2022-12-02,3.16066
2022-12-03,0.60479
2022-12-04,0.48862
2022-12-05,3.14699
2022-12-06,3.13674
2022-12-07,3.27684
2022-12-08,2.92147
2022-12-09,2.93514
2022-12-10,0.69363
2022-12-11,0.5262
2022-12-12,3.0069
2022-12-13,3.28367
2022-12-14,3.00006
2022-12-15,3.44426
2022-12-16,2.96931
2022-12-17,0.61163
2022-12-18,0.5057
2022-12-19,2.46702
2022-12-20,2.99323
2022-12-21,2.84288
2022-12-22,2.77455
2022-12-23,3.12991
2022-12-24,0.69705
2022-12-25,0.46128
2022-12-26,2.66862
2022-12-27,2.76088
2022-12-28,2.91464
2022-12-29,3.05473
2022-12-30,1.5137
