date,실비보험
2021-06-03,14.80373
2021-06-04,12.82727
2021-06-05,7.94519
2021-06-06,6.98058
2021-06-07,15.79196
2021-06-08,16.67388
2021-06-09,18.3078
2021-06-10,18.22118
2021-06-11,15.29194
2021-06-12,8.52395
2021-06-13,11.21697
2021-06-14,20.15827
2021-06-15,20.57955
2021-06-16,17.79991
2021-06-17,16.83137
2021-06-18,15.00846
2021-06-19,9.7366
2021-06-20,11.33509
2021-06-21,23.04421
2021-06-22,24.14268
2021-06-23,25.57974
2021-06-24,24.1348
2021-06-25,26.41048
2021-06-26,13.48478
2021-06-27,14.30764
2021-06-28,33.98952
2021-06-29,53.90369
2021-06-30,100.0
2021-07-01,20.99295
2021-07-02,12.47293
2021-07-03,7.56328
2021-07-04,7.53179
2021-07-05,13.54777
2021-07-06,12.47686
2021-07-07,11.35871
2021-07-08,10.11063
2021-07-09,9.09484
2021-07-10,6.00811
2021-07-11,5.27579
2021-07-12,11.44139
2021-07-13,10.44923
2021-07-14,10.47285
2021-07-15,10.66183
2021-07-16,9.08303
2021-07-17,5.59077
2021-07-18,5.03956
2021-07-19,10.78782
2021-07-20,10.14213
2021-07-21,10.14213
2021-07-22,9.58305
2021-07-23,9.09878
2021-07-24,5.95299
2021-07-25,5.03956
2021-07-26,10.09882
2021-07-27,9.99645
2021-07-28,9.40588
2021-07-29,9.00822
2021-07-30,8.5712
2021-07-31,5.16162
2021-08-01,4.52773
2021-08-02,9.54761
2021-08-03,9.26808
2021-08-04,8.85467
2021-08-05,9.31532
2021-08-06,8.3704
2021-08-07,5.1813
2021-08-08,5.58289
2021-08-09,10.72876
2021-08-10,10.87838
2021-08-11,10.69333
2021-08-12,10.77601
2021-08-13,9.52399
2021-08-14,5.84668
2021-08-15,4.86239
2021-08-16,7.268
2021-08-17,10.19331
2021-08-18,10.29174
2021-08-19,10.05551
2021-08-20,9.65392
2021-08-21,6.22465
2021-08-22,5.12618
2021-08-23,11.2406
2021-08-24,11.07523
2021-08-25,11.77999
2021-08-26,11.14217
2021-08-27,10.35473
2021-08-28,6.59474
2021-08-29,5.36241
2021-08-30,11.21697
2021-08-31,10.50041
2021-09-01,9.22477
2021-09-02,8.89798
2021-09-03,8.35465
2021-09-04,5.86637
2021-09-05,5.20886
2021-09-06,11.0398
2021-09-07,10.65002
2021-09-08,9.64998
2021-09-09,10.3193
2021-09-10,8.76018
2021-09-11,6.03173
2021-09-12,5.07894
2021-09-13,9.96102
2021-09-14,9.54368
2021-09-15,9.48068
2021-09-16,8.65388
2021-09-17,7.6499
2021-09-18,4.7364
2021-09-19,3.92535
2021-09-20,3.86629
2021-09-21,5.31123
2021-09-22,5.33485
2021-09-23,11.91779
2021-09-24,11.46108
2021-09-25,6.70892
2021-09-26,5.42934
2021-09-27,11.90204
2021-09-28,11.42958
2021-09-29,9.6303
2021-09-30,9.81534
2021-10-01,9.7681
2021-10-02,6.3152
2021-10-03,5.13799
2021-10-04,7.08295
2021-10-05,12.02015
2021-10-06,10.80751
2021-10-07,11.20122
2021-10-08,9.06728
2021-10-09,4.78759
2021-10-10,4.74034
2021-10-11,6.69711
2021-10-12,10.95318
2021-10-13,10.5634
2021-10-14,10.42954
2021-10-15,8.54758
2021-10-16,5.29548
2021-10-17,4.27969
2021-10-18,9.20508
2021-10-19,8.79562
2021-10-20,9.05547
2021-10-21,8.73656
2021-10-22,8.55151
2021-10-23,5.26398
2021-10-24,4.52773
2021-10-25,9.25233
2021-10-26,9.43344
2021-10-27,8.95704
2021-10-28,8.6775
2021-10-29,8.10661
2021-10-30,5.18918
2021-10-31,4.37025
2021-11-01,8.38615
2021-11-02,9.5673
2021-11-03,8.35072
2021-11-04,7.957
2021-11-05,8.02787
2021-11-06,4.95688
2021-11-07,4.20488
2021-11-08,8.77593
2021-11-09,9.00035
2021-11-10,8.77593
2021-11-11,8.55545
2021-11-12,7.38218
2021-11-13,5.04744
2021-11-14,4.4608
2021-11-15,9.81928
2021-11-16,9.24839
2021-11-17,8.44127
2021-11-18,8.21685
2021-11-19,7.90582
2021-11-20,5.13406
2021-11-21,4.59073
2021-11-22,9.35076
2021-11-23,8.31528
2021-11-24,8.63026
2021-11-25,8.78381
2021-11-26,7.9885
2021-11-27,5.75219
2021-11-28,4.81121
2021-11-29,9.9807
2021-11-30,9.22083
2021-12-01,8.46883
2021-12-02,8.32316
2021-12-03,7.59085
2021-12-04,5.01988
2021-12-05,4.27182
2021-12-06,9.47281
2021-12-07,9.32713
2021-12-08,9.11453
2021-12-09,8.47277
2021-12-10,8.21685
2021-12-11,5.13012
2021-12-12,4.50411
2021-12-13,9.87834
2021-12-14,10.46891
2021-12-15,10.59096
2021-12-16,11.49651
2021-12-17,8.16567
2021-12-18,4.99232
2021-12-19,4.75215
2021-12-20,11.35084
2021-12-21,10.92168
2021-12-22,9.91771
2021-12-23,9.33501
2021-12-24,7.50029
2021-12-25,4.71278
2021-12-26,5.83487
2021-12-27,13.52415
2021-12-28,13.80369
2021-12-29,13.89424
2021-12-30,12.39025
2021-12-31,10.63821
2022-01-01,6.66955
2022-01-02,6.16165
2022-01-03,11.3154
2022-01-04,11.81542
2022-01-05,10.99255
2022-01-06,10.53191
2022-01-07,10.00433
2022-01-08,6.09472
2022-01-09,6.26796
2022-01-10,14.09504
2022-01-11,11.59888
2022-01-12,11.24453
2022-01-13,10.40985
2022-01-14,9.22477
2022-01-15,6.11835
2022-01-16,5.53958
2022-01-17,10.67364
2022-01-18,9.77991
2022-01-19,9.93739
2022-01-20,10.63033
2022-01-21,9.39013
2022-01-22,6.24827
2022-01-23,5.46871
2022-01-24,10.44529
2022-01-25,11.52407
2022-01-26,9.79959
2022-01-27,9.33501
2022-01-28,7.205
2022-01-29,4.94901
2022-01-30,3.92141
2022-01-31,3.97259
2022-02-01,5.23642
2022-02-02,5.12224
2022-02-03,10.74451
2022-02-04,10.47679
2022-02-05,7.80345
2022-02-06,6.47269
2022-02-07,10.82326
2022-02-08,11.46501
2022-02-09,11.19335
2022-02-10,10.37836
2022-02-11,9.48462
2022-02-12,6.11047
2022-02-13,5.3821
2022-02-14,10.11457
2022-02-15,9.91771
2022-02-16,9.0909
2022-02-17,9.27201
2022-02-18,8.62238
2022-02-19,5.71282
2022-02-20,5.22855
2022-02-21,10.34292
2022-02-22,9.57518
2022-02-23,9.59092
2022-02-24,8.79955
2022-02-25,9.05941
2022-02-26,6.73648
2022-02-27,5.3191
2022-02-28,9.25626
2022-03-01,5.40178
2022-03-02,9.12634
2022-03-03,8.37828
2022-03-04,7.84676
2022-03-05,5.42147
2022-03-06,4.54742
2022-03-07,8.78381
2022-03-08,8.18536
2022-03-09,4.61041
2022-03-10,9.63817
2022-03-11,8.49246
2022-03-12,5.7955
2022-03-13,5.01594
2022-03-14,9.461
2022-03-15,10.34292
2022-03-16,8.96098
2022-03-17,8.99248
2022-03-18,8.5712
2022-03-19,5.25611
2022-03-20,4.90176
2022-03-21,9.51612
2022-03-22,9.19327
2022-03-23,9.13815
2022-03-24,8.4649
2022-03-25,8.61844
2022-03-26,6.13016
2022-03-27,5.11831
2022-03-28,9.72085
2022-03-29,9.36257
2022-03-30,9.84684
2022-03-31,8.86255
2022-04-01,7.43336
2022-04-02,4.27182
2022-04-03,4.49624
2022-04-04,8.32709
2022-04-05,8.55545
2022-04-06,8.96491
2022-04-07,8.38615
2022-04-08,7.90976
2022-04-09,4.96476
2022-04-10,4.16551
2022-04-11,9.00035
2022-04-12,8.9846
2022-04-13,9.11846
2022-04-14,9.07516
2022-04-15,7.89794
2022-04-16,5.20099
2022-04-17,4.25607
2022-04-18,8.92161
2022-04-19,9.37044
2022-04-20,9.0476
2022-04-21,9.02791
2022-04-22,7.72471
2022-04-23,5.38997
2022-04-24,4.38993
2022-04-25,9.87834
2022-04-26,9.16965
2022-04-27,8.71294
2022-04-28,8.45308
2022-04-29,7.55935
2022-04-30,4.83089
2022-05-01,4.05527
2022-05-02,8.80743
2022-05-03,7.8822
2022-05-04,7.39792
2022-05-05,4.0474
2022-05-06,7.08689
2022-05-07,4.51592
2022-05-08,4.09858
2022-05-09,9.51218
2022-05-10,9.16965
2022-05-11,9.41375
2022-05-12,8.67356
2022-05-13,8.09874
2022-05-14,5.26792
2022-05-15,4.37812
2022-05-16,9.39407
2022-05-17,8.76806
2022-05-18,8.63813
2022-05-19,8.52002
2022-05-20,7.72471
2022-05-21,4.95295
2022-05-22,4.66947
2022-05-23,9.13815
2022-05-24,9.30745
2022-05-25,9.24445
2022-05-26,8.40584
2022-05-27,7.49635
2022-05-28,4.5671
2022-05-29,4.25607
2022-05-30,9.27989
2022-05-31,8.23654
2022-06-01,5.51202
2022-06-02,8.01212
2022-06-03,7.17744
2022-06-04,4.58679
2022-06-05,3.94897
2022-06-06,4.59466
2022-06-07,9.02004
2022-06-08,9.06334
2022-06-09,9.02397
2022-06-10,8.20898
2022-06-11,5.30729
2022-06-12,4.44505
2022-06-13,9.96889
2022-06-14,9.48068
2022-06-15,9.06334
2022-06-16,8.39796
2022-06-17,8.1578
2022-06-18,5.1065
2022-06-19,4.61829
2022-06-20,9.53187
2022-06-21,9.00429
2022-06-22,10.09882
2022-06-23,8.24441
2022-06-24,7.7129
2022-06-25,4.75609
2022-06-26,4.7049
2022-06-27,10.13425
2022-06-28,9.98464
2022-06-29,9.39013
2022-06-30,8.68144
2022-07-01,7.40186
2022-07-02,5.07106
2022-07-03,4.4293
2022-07-04,8.65782
2022-07-05,9.1854
2022-07-06,8.5082
2022-07-07,8.05937
2022-07-08,7.23256
2022-07-09,4.79546
2022-07-10,4.53954
2022-07-11,9.461
2022-07-12,9.29564
2022-07-13,8.20898
2022-07-14,8.54758
2022-07-15,7.92157
2022-07-16,5.2443
2022-07-17,4.90964
2022-07-18,9.31532
2022-07-19,8.52002
2022-07-20,9.52005
2022-07-21,8.48458
2022-07-22,7.8822
2022-07-23,5.19705
2022-07-24,4.59073
2022-07-25,9.92558
2022-07-26,8.93342
2022-07-27,8.6775
2022-07-28,8.13417
2022-07-29,7.71683
2022-07-30,4.71672
2022-07-31,4.02378
2022-08-01,8.35859
