date,김프
2021-10-15,7.80646
2021-10-16,5.90355
2021-10-17,3.3097
2021-10-18,4.75511
2021-10-19,3.51999
2021-10-20,4.76885
2021-10-21,4.93193
2021-10-22,3.47964
2021-10-23,2.82474
2021-10-24,2.34408
2021-10-25,2.89169
2021-10-26,2.4651
2021-10-27,6.12414
2021-10-28,4.39891
2021-10-29,3.39896
2021-10-30,3.21185
2021-10-31,5.52847
2021-11-01,4.73366
2021-11-02,4.54568
2021-11-03,6.34044
2021-11-04,4.36973
2021-11-05,3.77233
2021-11-06,3.42042
2021-11-07,2.70887
2021-11-08,3.98606
2021-11-09,4.54826
2021-11-10,3.68822
2021-11-11,5.52417
2021-11-12,4.14742
2021-11-13,2.87195
2021-11-14,2.39558
2021-11-15,3.38094
2021-11-16,6.89835
2021-11-17,5.29843
2021-11-18,5.66494
2021-11-19,7.12409
2021-11-20,3.25305
2021-11-21,3.46849
2021-11-22,4.89073
2021-11-23,5.06411
2021-11-24,4.70362
2021-11-25,5.40744
2021-11-26,8.71714
2021-11-27,6.32928
2021-11-28,5.77051
2021-11-29,5.20488
2021-11-30,4.40749
2021-12-01,3.64187
2021-12-02,3.83327
2021-12-03,3.18524
2021-12-04,16.86179
2021-12-05,6.48378
2021-12-06,7.76955
2021-12-07,5.68296
2021-12-08,4.87871
2021-12-09,4.02468
2021-12-10,4.51135
2021-12-11,3.23245
2021-12-12,2.66853
2021-12-13,3.39209
2021-12-14,4.99459
2021-12-15,4.05901
2021-12-16,3.5114
2021-12-17,2.66338
2021-12-18,2.4385
2021-12-19,2.02908
2021-12-20,3.02902
2021-12-21,3.83842
2021-12-22,3.09769
2021-12-23,2.60072
2021-12-24,3.72684
2021-12-25,2.27799
2021-12-26,2.34236
2021-12-27,2.99212
2021-12-28,3.38952
2021-12-29,3.71311
2021-12-30,2.87195
2021-12-31,2.10117
2022-01-01,2.75951
2022-01-02,2.11062
2022-01-03,2.54064
2022-01-04,3.16035
2022-01-05,2.39472
2022-01-06,4.78001
2022-01-07,3.74744
2022-01-08,2.33721
2022-01-09,2.76552
2022-01-10,3.80495
2022-01-11,3.26249
2022-01-12,2.95349
2022-01-13,2.63505
2022-01-14,2.79384
2022-01-15,1.85569
2022-01-16,1.82909
2022-01-17,2.13036
2022-01-18,2.82131
2022-01-19,3.07451
2022-01-20,2.2016
2022-01-21,4.44698
2022-01-22,5.96879
2022-01-23,3.47535
2022-01-24,4.67872
2022-01-25,3.85902
2022-01-26,3.4187
2022-01-27,3.06336
2022-01-28,2.48656
2022-01-29,2.20246
2022-01-30,2.04109
2022-01-31,1.93294
2022-02-01,2.12349
2022-02-02,2.00933
2022-02-03,2.49085
2022-02-04,2.08315
2022-02-05,3.2685
2022-02-06,2.15439
2022-02-07,2.66166
2022-02-08,4.07103
2022-02-09,2.37412
2022-02-10,2.56982
2022-02-11,2.33721
2022-02-12,2.27799
2022-02-13,1.73209
2022-02-14,2.51489
2022-02-15,2.16126
2022-02-16,2.15267
2022-02-17,2.20332
2022-02-18,2.52862
2022-02-19,1.9853
2022-02-20,2.27456
2022-02-21,2.37841
2022-02-22,2.6711
2022-02-23,2.01963
2022-02-24,3.68393
2022-02-25,2.4136
2022-02-26,2.04967
2022-02-27,1.56815
2022-02-28,2.03079
2022-03-01,3.39038
2022-03-02,2.56381
2022-03-03,1.89003
2022-03-04,2.02478
2022-03-05,1.76986
2022-03-06,1.55356
2022-03-07,2.81616
2022-03-08,2.30803
2022-03-09,2.56209
2022-03-10,2.85135
2022-03-11,2.23421
2022-03-12,1.73295
2022-03-13,1.51666
2022-03-14,2.47025
2022-03-15,2.33292
2022-03-16,2.49858
2022-03-17,2.12692
2022-03-18,1.72008
2022-03-19,2.30546
2022-03-20,2.07628
2022-03-21,1.9956
2022-03-22,2.78783
2022-03-23,2.35867
2022-03-24,2.41704
2022-03-25,3.32944
2022-03-26,2.07285
2022-03-27,2.65136
2022-03-28,4.63323
2022-03-29,3.79036
2022-03-30,3.32257
2022-03-31,3.14919
2022-04-01,3.16292
2022-04-02,2.387
2022-04-03,2.33035
2022-04-04,2.39815
2022-04-05,2.32863
2022-04-06,2.75178
2022-04-07,2.50974
2022-04-08,1.9544
2022-04-09,1.75012
2022-04-10,1.35014
2022-04-11,2.31318
2022-04-12,3.07451
2022-04-13,1.99217
2022-04-14,1.77244
2022-04-15,1.76814
2022-04-16,1.22482
2022-04-17,1.19993
2022-04-18,2.21533
2022-04-19,2.00762
2022-04-20,1.86342
2022-04-21,2.00676
2022-04-22,1.91063
2022-04-23,1.5055
2022-04-24,1.24457
2022-04-25,1.97414
2022-04-26,1.91063
2022-04-27,2.1501
2022-04-28,1.80849
2022-04-29,1.84196
2022-04-30,1.59305
2022-05-01,2.57325
2022-05-02,1.96556
2022-05-03,1.52009
2022-05-04,1.66772
2022-05-05,1.89346
