date,보험비교
2021-12-26,6.25823
2021-12-27,13.70223
2021-12-28,16.73254
2021-12-29,16.46903
2021-12-30,15.41501
2021-12-31,12.71409
2022-01-01,6.52173
2022-01-02,6.58761
2022-01-03,13.63636
2022-01-04,13.63636
2022-01-05,15.54677
2022-01-06,12.31884
2022-01-07,10.67193
2022-01-08,6.25823
2022-01-09,7.04874
2022-01-10,14.88801
2022-01-11,13.37285
2022-01-12,12.58234
2022-01-13,13.63636
2022-01-14,9.48616
2022-01-15,5.92885
2022-01-16,5.73122
2022-01-17,14.42687
2022-01-18,15.21739
2022-01-19,16.73254
2022-01-20,12.38471
2022-01-21,12.25296
2022-01-22,6.91699
2022-01-23,8.16864
2022-01-24,15.94202
2022-01-25,13.2411
2022-01-26,15.34914
2022-01-27,11.92358
2022-01-28,11.26482
2022-01-29,6.0606
2022-01-30,4.15019
2022-01-31,5.46772
2022-02-01,5.7971
2022-02-02,6.52173
2022-02-03,15.81027
2022-02-04,13.76811
2022-02-05,7.24637
2022-02-06,6.85111
2022-02-07,13.83399
2022-02-08,14.42687
2022-02-09,12.05533
2022-02-10,13.83399
2022-02-11,13.04347
2022-02-12,6.12648
2022-02-13,8.30039
2022-02-14,13.63636
2022-02-15,13.30698
2022-02-16,15.28326
2022-02-17,15.21739
2022-02-18,10.54018
2022-02-19,6.71936
2022-02-20,7.1805
2022-02-21,13.30698
2022-02-22,13.96574
2022-02-23,14.03162
2022-02-24,11.39657
2022-02-25,10.67193
2022-02-26,9.02503
2022-02-27,7.37812
2022-02-28,10.73781
2022-03-01,6.78524
2022-03-02,11.13306
2022-03-03,11.92358
2022-03-04,11.52832
2022-03-05,5.66534
2022-03-06,7.57575
2022-03-07,10.86956
2022-03-08,10.40843
2022-03-09,5.92885
2022-03-10,11.19894
2022-03-11,10.40843
2022-03-12,7.31225
2022-03-13,6.78524
2022-03-14,14.6245
2022-03-15,15.48089
2022-03-16,12.25296
2022-03-17,11.79183
2022-03-18,11.52832
2022-03-19,6.19235
2022-03-20,6.98287
2022-03-21,12.91172
2022-03-22,14.88801
2022-03-23,15.34914
2022-03-24,12.05533
2022-03-25,13.04347
2022-03-26,8.36627
2022-03-27,7.31225
2022-03-28,15.81027
2022-03-29,16.46903
2022-03-30,13.70223
2022-03-31,13.04347
2022-04-01,10.40843
2022-04-02,5.27009
2022-04-03,3.55731
2022-04-04,11.79183
2022-04-05,11.5942
2022-04-06,11.66007
2022-04-07,9.22266
2022-04-08,7.64163
2022-04-09,5.20421
2022-04-10,5.07246
2022-04-11,10.80368
2022-04-12,11.92358
2022-04-13,13.70223
2022-04-14,12.58234
2022-04-15,9.02503
2022-04-16,5.00658
2022-04-17,6.45586
2022-04-18,12.51646
2022-04-19,11.98945
2022-04-20,11.98945
2022-04-21,11.39657
2022-04-22,10.80368
2022-04-23,5.73122
2022-04-24,5.99472
2022-04-25,12.12121
2022-04-26,12.51646
2022-04-27,11.79183
2022-04-28,11.5942
2022-04-29,9.61791
2022-04-30,4.34782
2022-05-01,5.07246
2022-05-02,11.79183
2022-05-03,11.92358
2022-05-04,10.40843
2022-05-05,5.33596
2022-05-06,9.88142
2022-05-07,7.1805
2022-05-08,5.7971
2022-05-09,12.9776
2022-05-10,13.89986
2022-05-11,12.84584
2022-05-12,11.19894
2022-05-13,11.8577
2022-05-14,5.53359
2022-05-15,7.11462
2022-05-16,13.30698
2022-05-17,14.42687
2022-05-18,12.05533
2022-05-19,12.84584
2022-05-20,11.26482
2022-05-21,5.73122
2022-05-22,5.92885
2022-05-23,11.72595
2022-05-24,13.04347
2022-05-25,12.91172
2022-05-26,10.93544
2022-05-27,10.14492
2022-05-28,4.47957
2022-05-29,4.01844
2022-05-30,13.43873
2022-05-31,10.27667
2022-06-01,5.99472
2022-06-02,9.74967
2022-06-03,10.07905
2022-06-04,4.54545
2022-06-05,5.66534
2022-06-06,6.65349
2022-06-07,11.72595
2022-06-08,13.2411
2022-06-09,12.9776
2022-06-10,10.2108
2022-06-11,4.61133
2022-06-12,6.58761
2022-06-13,13.57048
