date,채권추심
2022-08-18,63.38615
2022-08-19,58.46538
2022-08-20,26.27189
2022-08-21,21.68473
2022-08-22,61.55129
2022-08-23,68.14011
2022-08-24,70.30859
2022-08-25,70.97581
2022-08-26,57.04753
2022-08-27,24.10341
2022-08-28,17.43119
2022-08-29,58.9658
2022-08-30,65.88824
2022-08-31,68.80733
2022-09-01,76.39699
2022-09-02,64.30358
2022-09-03,23.93661
2022-09-04,20.8507
2022-09-05,56.38031
2022-09-06,60.13344
2022-09-07,53.54462
2022-09-08,43.86989
2022-09-09,19.09924
2022-09-10,13.42785
2022-09-11,16.34695
2022-09-12,22.60216
2022-09-13,67.63969
2022-09-14,71.80984
2022-09-15,70.97581
2022-09-16,59.13261
2022-09-17,29.35779
2022-09-18,22.10175
2022-09-19,60.46705
2022-09-20,70.89241
2022-09-21,66.72226
2022-09-22,55.71309
2022-09-23,55.9633
2022-09-24,23.18598
2022-09-25,22.76897
2022-09-26,66.13844
2022-09-27,64.22018
2022-09-28,72.81067
2022-09-29,74.81234
2022-09-30,70.14178
2022-10-01,24.77064
2022-10-02,17.18098
2022-10-03,21.60133
2022-10-04,58.46538
2022-10-05,61.63469
2022-10-06,56.0467
2022-10-07,49.20767
2022-10-08,20.10008
2022-10-09,13.92827
2022-10-10,18.84904
2022-10-11,57.71476
2022-10-12,57.54795
2022-10-13,65.63803
2022-10-14,53.211
2022-10-15,23.01918
2022-10-16,21.10091
2022-10-17,61.30108
2022-10-18,60.96747
2022-10-19,62.71893
2022-10-20,60.13344
2022-10-21,55.46288
2022-10-22,21.68473
2022-10-23,21.10091
2022-10-24,57.21434
2022-10-25,60.38365
2022-10-26,63.55296
2022-10-27,57.63135
2022-10-28,56.54712
2022-10-29,21.10091
2022-10-30,16.34695
2022-10-31,64.8874
2022-11-01,72.89407
2022-11-02,58.38198
2022-11-03,60.46705
2022-11-04,55.12927
2022-11-05,18.76563
2022-11-06,21.85154
2022-11-07,56.88073
2022-11-08,57.96497
2022-11-09,58.21517
2022-11-10,55.46288
2022-11-11,49.37447
2022-11-12,21.18432
2022-11-13,18.68223
2022-11-14,54.79566
2022-11-15,60.71726
2022-11-16,55.87989
2022-11-17,51.62635
2022-11-18,56.54712
2022-11-19,17.26438
2022-11-20,19.09924
2022-11-21,56.71392
2022-11-22,59.79983
2022-11-23,59.79983
2022-11-24,54.96246
2022-11-25,63.80316
2022-11-26,26.5221
2022-11-27,24.18682
2022-11-28,59.0492
2022-11-29,66.13844
2022-11-30,66.13844
2022-12-01,73.22768
2022-12-02,61.9683
2022-12-03,19.84987
2022-12-04,20.10008
2022-12-05,58.29858
2022-12-06,56.29691
2022-12-07,68.14011
2022-12-08,68.39032
2022-12-09,64.30358
2022-12-10,27.18932
2022-12-11,23.10258
2022-12-12,61.71809
2022-12-13,66.38865
2022-12-14,64.30358
2022-12-15,57.38115
2022-12-16,58.29858
2022-12-17,22.10175
2022-12-18,17.34778
2022-12-19,55.12927
2022-12-20,59.79983
2022-12-21,59.13261
2022-12-22,53.0442
2022-12-23,48.87406
2022-12-24,19.93327
2022-12-25,16.51376
2022-12-26,57.13094
2022-12-27,67.63969
2022-12-28,56.0467
2022-12-29,53.87823
2022-12-30,66.22185
2022-12-31,24.93744
2023-01-01,18.26522
2023-01-02,74.97914
2023-01-03,69.55796
2023-01-04,67.7231
2023-01-05,61.55129
2023-01-06,58.9658
2023-01-07,28.10675
2023-01-08,22.18515
2023-01-09,72.56046
2023-01-10,74.56213
2023-01-11,73.14428
2023-01-12,70.97581
2023-01-13,61.21768
2023-01-14,27.60633
2023-01-15,21.51793
2023-01-16,68.72393
2023-01-17,66.55546
2023-01-18,66.05504
2023-01-19,58.46538
2023-01-20,45.12093
2023-01-21,20.01668
2023-01-22,18.68223
2023-01-23,16.01334
2023-01-24,22.60216
2023-01-25,76.7306
2023-01-26,63.05254
2023-01-27,50.95913
2023-01-28,24.18682
2023-01-29,23.7698
2023-01-30,67.22268
2023-01-31,90.90909
2023-02-01,86.40533
2023-02-02,72.06005
2023-02-03,55.62969
2023-02-04,27.10592
2023-02-05,19.59966
2023-02-06,69.39115
2023-02-07,67.38949
2023-02-08,71.14261
2023-02-09,64.8874
2023-02-10,63.05254
2023-02-11,24.93744
2023-02-12,21.93494
2023-02-13,68.80733
2023-02-14,67.97331
2023-02-15,63.63636
2023-02-16,65.72143
2023-02-17,64.22018
2023-02-18,24.60383
2023-02-19,22.76897
2023-02-20,62.38532
2023-02-21,57.63135
2023-02-22,64.8874
2023-02-23,59.29941
2023-02-24,66.97247
2023-02-25,23.35279
2023-02-26,23.43619
2023-02-27,63.71976
2023-02-28,75.47956
2023-03-01,31.85988
2023-03-02,80.90075
2023-03-03,69.80817
2023-03-04,26.27189
2023-03-05,25.27105
2023-03-06,69.72477
2023-03-07,68.30692
2023-03-08,71.14261
2023-03-09,63.80316
2023-03-10,67.7231
2023-03-11,27.52293
2023-03-12,23.51959
2023-03-13,61.30108
2023-03-14,69.80817
2023-03-15,66.05504
2023-03-16,70.14178
2023-03-17,66.88907
2023-03-18,25.27105
2023-03-19,24.77064
2023-03-20,70.30859
2023-03-21,70.30859
2023-03-22,57.88156
2023-03-23,64.05337
2023-03-24,54.79566
2023-03-25,25.02085
2023-03-26,23.26939
2023-03-27,58.04837
2023-03-28,63.30275
2023-03-29,65.97164
2023-03-30,58.29858
2023-03-31,74.64553
2023-04-01,29.4412
2023-04-02,24.43703
2023-04-03,73.5613
2023-04-04,73.5613
2023-04-05,65.30442
2023-04-06,71.89324
2023-04-07,62.38532
2023-04-08,23.43619
2023-04-09,23.10258
2023-04-10,65.47122
2023-04-11,65.80483
2023-04-12,60.80066
2023-04-13,62.13511
2023-04-14,63.55296
2023-04-15,29.77481
2023-04-16,24.27022
2023-04-17,59.79983
2023-04-18,67.97331
2023-04-19,64.804
2023-04-20,60.46705
2023-04-21,60.46705
2023-04-22,23.10258
2023-04-23,22.18515
2023-04-24,54.21184
2023-04-25,65.38782
2023-04-26,64.804
2023-04-27,64.9708
2023-04-28,65.47122
2023-04-29,30.35863
2023-04-30,23.51959
2023-05-01,34.52877
2023-05-02,88.2402
2023-05-03,72.47706
2023-05-04,69.39115
2023-05-05,30.94245
2023-05-06,21.85154
2023-05-07,23.35279
2023-05-08,63.88657
2023-05-09,76.81401
2023-05-10,65.80483
2023-05-11,64.22018
2023-05-12,57.29774
2023-05-13,24.60383
2023-05-14,20.51709
2023-05-15,60.21684
2023-05-16,67.30608
2023-05-17,59.54962
2023-05-18,67.63969
2023-05-19,60.71726
2023-05-20,23.35279
2023-05-21,23.01918
2023-05-22,60.80066
2023-05-23,65.63803
2023-05-24,57.29774
2023-05-25,62.0517
2023-05-26,66.55546
2023-05-27,22.68557
2023-05-28,16.51376
