date,지분경매
2022-06-18,18.47826
2022-06-19,17.93478
2022-06-20,30.43478
2022-06-21,40.21739
2022-06-22,22.82608
2022-06-23,24.45652
2022-06-24,19.56521
2022-06-25,15.76086
2022-06-26,18.47826
2022-06-27,33.15217
2022-06-28,22.82608
2022-06-29,21.73913
2022-06-30,24.45652
2022-07-01,28.26086
2022-07-02,17.3913
2022-07-03,21.19565
2022-07-04,17.3913
2022-07-05,22.82608
2022-07-06,29.8913
2022-07-07,25.54347
2022-07-08,18.47826
2022-07-09,14.13043
2022-07-10,25.54347
2022-07-11,20.65217
2022-07-12,28.26086
2022-07-13,27.17391
2022-07-14,27.71739
2022-07-15,24.45652
2022-07-16,25.54347
2022-07-17,15.21739
2022-07-18,38.04347
2022-07-19,33.69565
2022-07-20,23.91304
2022-07-21,36.41304
2022-07-22,24.45652
2022-07-23,20.65217
2022-07-24,27.17391
2022-07-25,37.5
2022-07-26,41.84782
2022-07-27,28.80434
2022-07-28,25.54347
2022-07-29,17.3913
2022-07-30,10.86956
2022-07-31,20.10869
2022-08-01,30.97826
2022-08-02,36.41304
2022-08-03,32.06521
2022-08-04,34.23913
2022-08-05,23.91304
2022-08-06,22.2826
2022-08-07,22.82608
2022-08-08,30.43478
2022-08-09,21.73913
2022-08-10,26.63043
2022-08-11,30.97826
2022-08-12,30.43478
2022-08-13,21.73913
2022-08-14,21.73913
2022-08-15,30.43478
2022-08-16,33.69565
2022-08-17,30.97826
2022-08-18,19.56521
2022-08-19,22.82608
2022-08-20,19.02173
2022-08-21,20.65217
2022-08-22,27.17391
2022-08-23,24.45652
2022-08-24,25.54347
2022-08-25,26.08695
2022-08-26,25.0
2022-08-27,17.93478
2022-08-28,17.93478
2022-08-29,30.97826
2022-08-30,29.34782
2022-08-31,21.73913
2022-09-01,23.91304
2022-09-02,14.67391
2022-09-03,17.3913
2022-09-04,15.76086
2022-09-05,21.73913
2022-09-06,19.56521
2022-09-07,17.93478
2022-09-08,25.54347
2022-09-09,8.69565
2022-09-10,15.21739
2022-09-11,23.91304
2022-09-12,15.76086
2022-09-13,33.69565
2022-09-14,42.3913
2022-09-15,30.97826
2022-09-16,17.93478
2022-09-17,20.10869
2022-09-18,25.0
2022-09-19,25.54347
2022-09-20,29.8913
2022-09-21,26.08695
2022-09-22,26.63043
2022-09-23,17.3913
2022-09-24,24.45652
2022-09-25,15.76086
2022-09-26,22.82608
2022-09-27,27.17391
2022-09-28,28.80434
2022-09-29,38.58695
2022-09-30,14.13043
2022-10-01,13.04347
2022-10-02,27.17391
2022-10-03,16.30434
2022-10-04,29.34782
2022-10-05,17.93478
2022-10-06,25.0
2022-10-07,27.71739
2022-10-08,17.3913
2022-10-09,21.73913
2022-10-10,21.19565
2022-10-11,33.69565
2022-10-12,22.82608
2022-10-13,21.19565
2022-10-14,26.08695
2022-10-15,20.65217
2022-10-16,29.34782
2022-10-17,34.23913
2022-10-18,28.26086
2022-10-19,27.17391
2022-10-20,20.10869
2022-10-21,22.82608
2022-10-22,15.76086
2022-10-23,23.91304
2022-10-24,32.60869
2022-10-25,31.52173
2022-10-26,29.34782
2022-10-27,25.0
2022-10-28,21.73913
2022-10-29,15.21739
2022-10-30,17.3913
2022-10-31,23.91304
2022-11-01,17.3913
2022-11-02,25.54347
2022-11-03,22.2826
2022-11-04,23.91304
2022-11-05,15.76086
2022-11-06,16.84782
2022-11-07,22.2826
2022-11-08,24.45652
2022-11-09,34.23913
2022-11-10,26.08695
2022-11-11,21.73913
2022-11-12,14.67391
2022-11-13,21.19565
2022-11-14,23.36956
2022-11-15,17.93478
2022-11-16,17.93478
2022-11-17,23.36956
2022-11-18,28.26086
2022-11-19,26.08695
2022-11-20,22.82608
2022-11-21,28.80434
2022-11-22,27.17391
2022-11-23,32.60869
2022-11-24,29.34782
2022-11-25,21.73913
2022-11-26,16.84782
2022-11-27,23.36956
2022-11-28,38.04347
2022-11-29,33.69565
2022-11-30,17.3913
2022-12-01,21.73913
2022-12-02,26.63043
2022-12-03,17.93478
2022-12-04,16.30434
2022-12-05,25.54347
2022-12-06,39.13043
2022-12-07,38.58695
2022-12-08,35.32608
2022-12-09,36.95652
2022-12-10,25.0
2022-12-11,29.34782
2022-12-12,41.84782
2022-12-13,38.04347
2022-12-14,39.67391
2022-12-15,28.80434
2022-12-16,31.52173
2022-12-17,25.0
2022-12-18,27.17391
2022-12-19,34.7826
2022-12-20,32.06521
2022-12-21,38.58695
2022-12-22,33.69565
2022-12-23,29.34782
2022-12-24,18.47826
2022-12-25,24.45652
2022-12-26,28.26086
2022-12-27,40.76086
2022-12-28,27.71739
2022-12-29,33.69565
2022-12-30,28.26086
2022-12-31,10.86956
2023-01-01,19.56521
2023-01-02,21.19565
2023-01-03,28.80434
2023-01-04,45.10869
2023-01-05,31.52173
2023-01-06,30.97826
2023-01-07,25.54347
2023-01-08,33.15217
2023-01-09,35.32608
2023-01-10,37.5
2023-01-11,30.97826
2023-01-12,34.23913
2023-01-13,34.23913
2023-01-14,24.45652
2023-01-15,29.8913
2023-01-16,26.63043
2023-01-17,38.04347
2023-01-18,32.06521
2023-01-19,28.26086
2023-01-20,16.84782
2023-01-21,10.86956
2023-01-22,14.67391
2023-01-23,20.65217
2023-01-24,26.63043
2023-01-25,27.17391
2023-01-26,30.43478
2023-01-27,23.91304
2023-01-28,19.56521
2023-01-29,29.34782
2023-01-30,35.32608
2023-01-31,41.30434
2023-02-01,25.0
2023-02-02,32.60869
2023-02-03,27.71739
2023-02-04,20.10869
2023-02-05,21.73913
2023-02-06,36.41304
2023-02-07,29.34782
2023-02-08,26.63043
2023-02-09,38.04347
2023-02-10,36.41304
2023-02-11,26.63043
