date,환율
2022-03-21,26.39452
2022-03-22,26.18494
2022-03-23,25.85789
2022-03-24,24.23322
2022-03-25,23.39506
2022-03-26,8.14108
2022-03-27,6.42879
2022-03-28,25.33879
2022-03-29,25.41547
2022-03-30,26.70432
2022-03-31,24.09675
2022-04-01,21.33413
2022-04-02,7.79279
2022-04-03,6.09971
2022-04-04,21.34331
2022-04-05,21.43976
2022-04-06,21.86151
2022-04-07,21.41509
2022-04-08,20.22352
2022-04-09,7.07602
2022-04-10,5.55376
2022-04-11,23.56272
2022-04-12,25.18472
2022-04-13,23.70809
2022-04-14,22.87602
2022-04-15,20.41648
2022-04-16,6.8314
2022-04-17,5.73376
2022-04-18,21.85919
2022-04-19,23.70942
2022-04-20,25.24465
2022-04-21,23.26602
2022-04-22,24.47181
2022-04-23,8.39061
2022-04-24,6.51143
2022-04-25,30.82484
2022-04-26,29.60467
2022-04-27,37.15404
2022-04-28,38.61756
2022-04-29,35.80455
2022-04-30,10.74963
2022-05-01,7.92905
2022-05-02,30.32571
2022-05-03,27.88195
2022-05-04,26.04209
2022-05-05,12.77586
2022-05-06,30.19583
2022-05-07,9.19064
2022-05-08,7.84732
2022-05-09,31.85394
2022-05-10,32.83243
2022-05-11,29.02284
2022-05-12,40.61667
2022-05-13,34.71174
2022-05-14,10.12245
2022-05-15,7.42382
2022-05-16,31.27301
2022-05-17,29.37947
2022-05-18,30.19527
2022-05-19,30.95017
2022-05-20,27.99809
2022-05-21,9.17949
2022-05-22,7.10841
2022-05-23,28.50479
2022-05-24,27.97769
2022-05-25,25.67081
2022-05-26,25.24816
2022-05-27,25.3418
2022-05-28,8.38528
2022-05-29,6.54486
2022-05-30,30.55141
2022-05-31,31.85884
2022-06-01,13.34031
2022-06-02,27.64889
2022-06-03,25.51822
2022-06-04,8.52287
2022-06-05,6.5619
2022-06-06,10.29347
2022-06-07,27.07343
2022-06-08,25.88663
2022-06-09,25.01489
2022-06-10,26.41954
2022-06-11,11.2189
2022-06-12,7.9493
2022-06-13,39.14725
2022-06-14,41.1568
2022-06-15,37.5441
2022-06-16,38.43834
2022-06-17,35.12991
2022-06-18,11.2128
2022-06-19,8.95849
2022-06-20,37.0756
2022-06-21,31.54946
2022-06-22,42.88303
2022-06-23,49.58288
2022-06-24,39.51811
2022-06-25,11.65368
2022-06-26,9.16463
2022-06-27,37.82875
2022-06-28,33.51512
2022-06-29,33.61122
2022-06-30,35.57072
2022-07-01,33.60029
2022-07-02,10.07885
2022-07-03,7.7562
2022-07-04,31.40058
2022-07-05,38.07596
2022-07-06,46.25496
2022-07-07,38.39558
2022-07-08,33.52732
2022-07-09,10.51447
2022-07-10,8.22967
2022-07-11,34.301
2022-07-12,42.39183
2022-07-13,40.19829
2022-07-14,40.93264
2022-07-15,50.75538
2022-07-16,13.52851
2022-07-17,9.78026
2022-07-18,40.78209
2022-07-19,37.7433
2022-07-20,38.15503
2022-07-21,34.3964
2022-07-22,32.28648
2022-07-23,10.57587
2022-07-24,8.21951
2022-07-25,32.41979
2022-07-26,30.31702
2022-07-27,29.6782
2022-07-28,37.74309
2022-07-29,33.45926
2022-07-30,11.02439
2022-07-31,8.22498
2022-08-01,30.04696
2022-08-02,30.41838
2022-08-03,30.15097
2022-08-04,28.73861
2022-08-05,29.87551
2022-08-06,10.38522
2022-08-07,7.82377
2022-08-08,28.98373
2022-08-09,26.77533
2022-08-10,27.91671
2022-08-11,29.35143
2022-08-12,25.94354
2022-08-13,9.51257
2022-08-14,7.21425
2022-08-15,11.45336
2022-08-16,29.6679
2022-08-17,27.79363
2022-08-18,31.29621
2022-08-19,36.9036
2022-08-20,14.11974
2022-08-21,9.81825
2022-08-22,51.53558
2022-08-23,51.37429
2022-08-24,43.11826
2022-08-25,40.70211
2022-08-26,33.14693
2022-08-27,13.63057
2022-08-28,9.86556
2022-08-29,49.64266
2022-08-30,39.63958
2022-08-31,38.85896
2022-09-01,42.32762
2022-09-02,43.96876
2022-09-03,14.38735
2022-09-04,10.82821
2022-09-05,53.15962
2022-09-06,48.48656
2022-09-07,66.45045
2022-09-08,52.46297
2022-09-09,20.03827
2022-09-10,14.32841
2022-09-11,12.06793
2022-09-12,17.1363
2022-09-13,52.72925
2022-09-14,71.8655
2022-09-15,63.41069
2022-09-16,61.85793
2022-09-17,18.66053
2022-09-18,13.55949
2022-09-19,56.86456
2022-09-20,48.54355
2022-09-21,49.83857
2022-09-22,86.90381
2022-09-23,65.42745
2022-09-24,25.52839
2022-09-25,17.65891
2022-09-26,92.85184
2022-09-27,77.65828
2022-09-28,93.74594
2022-09-29,79.15349
2022-09-30,67.7105
2022-10-01,22.5414
2022-10-02,16.64664
2022-10-03,24.70081
2022-10-04,62.94009
2022-10-05,60.9604
2022-10-06,68.77212
2022-10-07,56.82762
2022-10-08,20.34962
2022-10-09,14.82459
2022-10-10,23.07705
2022-10-11,61.73443
2022-10-12,57.38548
2022-10-13,52.62327
2022-10-14,50.071
2022-10-15,21.06098
2022-10-16,15.04026
2022-10-17,53.64816
2022-10-18,53.76662
2022-10-19,52.67325
2022-10-20,50.64456
2022-10-21,50.00995
2022-10-22,19.52911
2022-10-23,13.84687
2022-10-24,51.33673
2022-10-25,48.93067
2022-10-26,47.57943
2022-10-27,49.19442
2022-10-28,42.21351
2022-10-29,15.68764
2022-10-30,10.97883
2022-10-31,40.77444
2022-11-01,43.74047
2022-11-02,42.05223
2022-11-03,49.67035
2022-11-04,40.9618
2022-11-05,16.77042
2022-11-06,12.43087
2022-11-07,50.13843
2022-11-08,64.67277
2022-11-09,73.68643
2022-11-10,70.80718
2022-11-11,98.4417
2022-11-12,30.28184
2022-11-13,20.17074
2022-11-14,79.64245
2022-11-15,67.34301
2022-11-16,62.40977
2022-11-17,59.4483
2022-11-18,52.60652
2022-11-19,18.35871
2022-11-20,14.35848
2022-11-21,53.90904
2022-11-22,51.95403
2022-11-23,46.10342
2022-11-24,51.73128
2022-11-25,44.61789
2022-11-26,16.61517
2022-11-27,12.94857
2022-11-28,45.33738
2022-11-29,44.67018
2022-11-30,46.804
2022-12-01,62.64212
2022-12-02,49.72306
2022-12-03,15.93121
2022-12-04,12.7746
2022-12-05,48.6156
2022-12-06,49.04015
2022-12-07,48.2003
2022-12-08,43.77131
2022-12-09,42.5011
2022-12-10,15.51941
2022-12-11,12.3115
2022-12-12,42.00555
2022-12-13,42.76331
2022-12-14,45.47722
2022-12-15,46.30942
2022-12-16,41.56495
2022-12-17,14.99015
2022-12-18,12.03751
2022-12-19,40.25422
2022-12-20,47.20899
2022-12-21,47.77793
2022-12-22,46.86519
2022-12-23,42.585
2022-12-24,14.99667
2022-12-25,11.52443
2022-12-26,39.80044
2022-12-27,41.65586
2022-12-28,41.35004
2022-12-29,38.97896
2022-12-30,31.96391
2022-12-31,14.41266
2023-01-01,11.61702
2023-01-02,40.06371
2023-01-03,42.46802
2023-01-04,40.89795
2023-01-05,38.10925
2023-01-06,37.92652
2023-01-07,16.11183
2023-01-08,12.08861
2023-01-09,47.55721
2023-01-10,47.09109
2023-01-11,42.28718
2023-01-12,39.95198
2023-01-13,41.32551
2023-01-14,16.20989
2023-01-15,12.04753
2023-01-16,39.95401
2023-01-17,37.55903
2023-01-18,39.45194
2023-01-19,38.29346
2023-01-20,31.9166
2023-01-21,13.22508
2023-01-22,10.06119
2023-01-23,12.63301
2023-01-24,16.33984
2023-01-25,37.15761
2023-01-26,35.16243
2023-01-27,33.81645
2023-01-28,14.21408
2023-01-29,11.15988
2023-01-30,36.65393
2023-01-31,36.1527
2023-02-01,34.36212
2023-02-02,41.27925
2023-02-03,35.75913
2023-02-04,17.21544
2023-02-05,12.62965
2023-02-06,44.91998
2023-02-07,44.60275
2023-02-08,41.65565
2023-02-09,40.14277
2023-02-10,37.69045
2023-02-11,16.42417
2023-02-12,12.16893
2023-02-13,43.31179
2023-02-14,42.03386
2023-02-15,46.74231
2023-02-16,46.5954
2023-02-17,52.8032
2023-02-18,19.40498
2023-02-19,13.69624
2023-02-20,46.72956
2023-02-21,43.10782
2023-02-22,48.76812
2023-02-23,50.05348
2023-02-24,44.83062
2023-02-25,20.15574
2023-02-26,13.82199
2023-02-27,54.83391
2023-02-28,51.14089
2023-03-01,26.13833
2023-03-02,49.67533
2023-03-03,43.72232
2023-03-04,16.26919
2023-03-05,12.54428
2023-03-06,43.49024
2023-03-07,41.6288
2023-03-08,52.10837
2023-03-09,46.36052
2023-03-10,47.27474
2023-03-11,17.39109
2023-03-12,13.36604
2023-03-13,58.06713
2023-03-14,55.24823
2023-03-15,48.56296
2023-03-16,47.23163
2023-03-17,43.04032
2023-03-18,15.8799
2023-03-19,11.79969
2023-03-20,45.5049
2023-03-21,41.96615
2023-03-22,39.39005
2023-03-23,60.72314
2023-03-24,49.40463
2023-03-25,16.83561
2023-03-26,11.97036
2023-03-27,44.28278
2023-03-28,40.96173
2023-03-29,38.82959
2023-03-30,39.31386
2023-03-31,37.9765
2023-04-01,14.20126
2023-04-02,11.11769
2023-04-03,44.98959
2023-04-04,42.90855
2023-04-05,40.69538
2023-04-06,42.49514
2023-04-07,36.83435
2023-04-08,12.79079
2023-04-09,10.56017
2023-04-10,39.35599
2023-04-11,40.78159
2023-04-12,40.15069
2023-04-13,43.47517
2023-04-14,44.56034
2023-04-15,14.67452
2023-04-16,11.16206
2023-04-17,41.03063
2023-04-18,39.67028
2023-04-19,41.64969
2023-04-20,43.21646
2023-04-21,38.86849
2023-04-22,14.82683
2023-04-23,11.68473
2023-04-24,42.62986
2023-04-25,44.74139
2023-04-26,45.12066
2023-04-27,43.13368
2023-04-28,38.93908
2023-04-29,14.87751
2023-04-30,11.12168
2023-05-01,20.08614
2023-05-02,40.87923
2023-05-03,40.65192
2023-05-04,45.43257
2023-05-05,18.7028
2023-05-06,15.1904
2023-05-07,10.98851
2023-05-08,39.66972
2023-05-09,37.52335
2023-05-10,35.23
2023-05-11,36.51893
2023-05-12,35.09634
2023-05-13,14.62581
2023-05-14,11.11895
2023-05-15,38.87242
2023-05-16,36.44919
2023-05-17,36.57157
2023-05-18,36.48318
2023-05-19,35.93646
2023-05-20,13.26833
2023-05-21,10.55842
2023-05-22,40.77017
2023-05-23,43.41363
2023-05-24,38.83464
2023-05-25,39.46421
2023-05-26,34.94886
2023-05-27,13.10284
2023-05-28,10.24041
2023-05-29,15.40131
