date,추심
2021-10-27,8.94064
2021-10-28,9.05334
2021-10-29,7.26897
2021-10-30,3.02404
2021-10-31,3.11795
2021-11-01,7.58827
2021-11-02,8.26446
2021-11-03,8.58377
2021-11-04,8.86551
2021-11-05,7.06235
2021-11-06,3.88805
2021-11-07,3.26821
2021-11-08,8.03906
2021-11-09,8.94064
2021-11-10,7.43801
2021-11-11,6.91209
2021-11-12,7.04357
2021-11-13,3.26821
2021-11-14,3.77535
2021-11-15,7.19383
2021-11-16,8.41472
2021-11-17,8.05785
2021-11-18,7.90758
2021-11-19,6.83696
2021-11-20,2.98647
2021-11-21,3.26821
2021-11-22,7.7761
2021-11-23,7.96393
2021-11-24,7.36288
2021-11-25,7.75732
2021-11-26,6.59278
2021-11-27,2.85499
2021-11-28,3.32456
2021-11-29,7.06235
2021-11-30,8.69646
2021-12-01,7.96393
2021-12-02,6.93087
2021-12-03,6.32982
2021-12-04,3.70022
2021-12-05,3.64387
2021-12-06,8.24567
2021-12-07,8.37716
2021-12-08,8.22689
2021-12-09,8.73403
2021-12-10,7.1187
2021-12-11,3.85048
2021-12-12,4.30127
2021-12-13,7.70097
2021-12-14,8.09541
2021-12-15,8.11419
2021-12-16,8.28324
2021-12-17,6.70548
2021-12-18,3.1743
2021-12-19,3.0616
2021-12-20,6.89331
2021-12-21,6.96844
2021-12-22,7.47558
2021-12-23,7.26897
2021-12-24,4.86476
2021-12-25,2.14124
2021-12-26,4.47032
2021-12-27,5.9166
2021-12-28,7.45679
2021-12-29,5.89782
2021-12-30,6.51765
2021-12-31,5.05259
2022-01-01,2.32907
2022-01-02,2.66716
2022-01-03,6.49887
2022-01-04,7.51314
2022-01-05,7.75732
2022-01-06,7.90758
2022-01-07,7.45679
2022-01-08,3.13673
2022-01-09,3.30578
2022-01-10,7.41923
2022-01-11,8.41472
2022-01-12,7.73854
2022-01-13,7.73854
2022-01-14,7.08114
2022-01-15,4.22614
2022-01-16,4.62058
2022-01-17,8.28324
2022-01-18,7.79489
2022-01-19,7.73854
2022-01-20,7.62584
2022-01-21,7.00601
2022-01-22,3.62509
2022-01-23,3.98196
2022-01-24,8.02028
2022-01-25,7.56949
2022-01-26,7.7761
2022-01-27,8.11419
2022-01-28,6.01051
2022-01-29,3.38091
2022-01-30,3.11795
2022-01-31,2.76108
2022-02-01,3.09917
2022-02-02,4.18858
2022-02-03,6.98722
2022-02-04,7.92637
2022-02-05,3.8317
2022-02-06,3.9444
2022-02-07,7.32531
2022-02-08,8.18933
2022-02-09,8.20811
2022-02-10,6.91209
2022-02-11,7.21262
2022-02-12,4.18858
2022-02-13,4.01953
2022-02-14,6.89331
2022-02-15,8.15176
2022-02-16,8.22689
2022-02-17,7.60706
2022-02-18,6.91209
2022-02-19,3.66265
2022-02-20,3.86927
2022-02-21,7.17505
2022-02-22,10.21788
2022-02-23,7.79489
2022-02-24,8.15176
2022-02-25,7.17505
2022-02-26,3.98196
2022-02-27,3.719
2022-02-28,7.62584
2022-03-01,4.26371
2022-03-02,7.15627
2022-03-03,7.02479
2022-03-04,7.02479
2022-03-05,3.39969
2022-03-06,3.26821
2022-03-07,7.66341
2022-03-08,8.56498
2022-03-09,3.15552
2022-03-10,6.79939
2022-03-11,8.62133
2022-03-12,4.30127
2022-03-13,4.3764
2022-03-14,7.92637
2022-03-15,8.48985
2022-03-16,8.71525
2022-03-17,8.18933
2022-03-18,7.51314
2022-03-19,3.68144
2022-03-20,4.88354
2022-03-21,8.90308
2022-03-22,8.88429
2022-03-23,8.79038
2022-03-24,8.60255
2022-03-25,8.75281
2022-03-26,3.43726
2022-03-27,3.47483
2022-03-28,7.25018
2022-03-29,8.15176
2022-03-30,8.41472
2022-03-31,8.03906
2022-04-01,7.02479
2022-04-02,3.32456
2022-04-03,3.41848
2022-04-04,7.3441
2022-04-05,7.55071
2022-04-06,8.02028
2022-04-07,8.80916
2022-04-08,6.87453
2022-04-09,3.47483
2022-04-10,3.51239
2022-04-11,7.94515
2022-04-12,9.37265
2022-04-13,9.03456
2022-04-14,9.3163
2022-04-15,8.15176
2022-04-16,4.3764
2022-04-17,4.43275
2022-04-18,8.80916
2022-04-19,9.33508
2022-04-20,9.16604
2022-04-21,8.82794
2022-04-22,9.27873
2022-04-23,4.75206
2022-04-24,4.52667
2022-04-25,8.45229
2022-04-26,8.30202
2022-04-27,8.30202
2022-04-28,8.37716
2022-04-29,7.7761
2022-04-30,4.00075
2022-05-01,4.01953
2022-05-02,7.66341
2022-05-03,7.85123
2022-05-04,7.15627
2022-05-05,3.19308
2022-05-06,5.74755
2022-05-07,2.89256
2022-05-08,2.61081
2022-05-09,8.0015
2022-05-10,7.04357
2022-05-11,7.96393
2022-05-12,8.48985
2022-05-13,7.13749
2022-05-14,3.09917
2022-05-15,2.79864
2022-05-16,7.47558
2022-05-17,7.62584
2022-05-18,8.39594
2022-05-19,8.80916
2022-05-20,7.30653
2022-05-21,3.41848
2022-05-22,3.30578
2022-05-23,8.03906
2022-05-24,7.98271
2022-05-25,8.13298
2022-05-26,8.69646
2022-05-27,7.28775
2022-05-28,3.719
2022-05-29,3.58752
2022-05-30,7.94515
2022-05-31,9.41021
2022-06-01,4.24492
2022-06-02,8.94064
2022-06-03,8.30202
2022-06-04,4.30127
2022-06-05,4.30127
2022-06-06,4.99624
2022-06-07,8.13298
2022-06-08,10.46205
2022-06-09,9.72952
2022-06-10,9.69196
2022-06-11,5.44703
2022-06-12,5.78512
2022-06-13,9.87978
2022-06-14,10.70623
2022-06-15,9.82344
2022-06-16,9.03456
2022-06-17,8.84673
2022-06-18,3.60631
2022-06-19,4.77084
2022-06-20,8.47107
2022-06-21,8.13298
2022-06-22,7.85123
2022-06-23,8.20811
2022-06-24,7.04357
2022-06-25,3.08039
2022-06-26,7.68219
2022-06-27,8.0015
2022-06-28,8.58377
2022-06-29,8.82794
2022-06-30,8.13298
2022-07-01,7.62584
2022-07-02,4.03831
2022-07-03,3.68144
2022-07-04,7.49436
2022-07-05,8.67768
2022-07-06,8.86551
2022-07-07,8.28324
2022-07-08,7.51314
2022-07-09,3.66265
2022-07-10,3.45604
2022-07-11,8.35837
2022-07-12,9.05334
2022-07-13,7.3441
2022-07-14,7.87002
2022-07-15,7.40045
2022-07-16,3.11795
2022-07-17,3.08039
2022-07-18,7.41923
2022-07-19,8.17054
2022-07-20,8.20811
2022-07-21,7.55071
2022-07-22,6.94966
2022-07-23,2.74229
2022-07-24,2.93012
2022-07-25,7.73854
2022-07-26,7.83245
2022-07-27,8.15176
2022-07-28,7.40045
2022-07-29,6.72426
2022-07-30,3.34335
2022-07-31,3.11795
2022-08-01,6.4613
2022-08-02,6.79939
2022-08-03,7.45679
2022-08-04,7.66341
2022-08-05,6.53643
2022-08-06,3.64387
2022-08-07,3.30578
2022-08-08,8.02028
2022-08-09,7.73854
2022-08-10,7.96393
2022-08-11,7.81367
2022-08-12,6.93087
2022-08-13,2.74229
2022-08-14,2.72351
2022-08-15,3.96318
2022-08-16,7.38166
2022-08-17,8.41472
2022-08-18,8.35837
2022-08-19,7.94515
2022-08-20,3.64387
2022-08-21,2.59203
2022-08-22,7.28775
2022-08-23,8.37716
2022-08-24,9.14725
2022-08-25,7.53193
2022-08-26,8.11419
2022-08-27,3.02404
2022-08-28,2.98647
2022-08-29,8.67768
2022-08-30,7.64462
2022-08-31,7.98271
2022-09-01,8.48985
2022-09-02,6.87453
2022-09-03,2.70473
2022-09-04,3.13673
2022-09-05,7.00601
2022-09-06,7.51314
2022-09-07,7.8888
2022-09-08,6.81818
2022-09-09,2.53568
2022-09-10,2.6296
2022-09-11,2.98647
2022-09-12,3.73779
2022-09-13,8.37716
2022-09-14,8.75281
2022-09-15,9.12847
2022-09-16,8.90308
2022-09-17,3.75657
2022-09-18,3.66265
2022-09-19,9.82344
2022-09-20,9.12847
2022-09-21,9.33508
2022-09-22,8.92186
2022-09-23,8.62133
2022-09-24,3.90683
2022-09-25,3.39969
2022-09-26,8.71525
2022-09-27,9.35386
2022-09-28,8.99699
2022-09-29,10.12396
2022-09-30,8.45229
2022-10-01,3.66265
2022-10-02,3.36213
2022-10-03,3.75657
2022-10-04,8.20811
2022-10-05,9.03456
2022-10-06,8.09541
2022-10-07,8.41472
2022-10-08,3.56874
2022-10-09,3.26821
2022-10-10,4.45154
2022-10-11,8.67768
2022-10-12,9.16604
2022-10-13,9.54169
2022-10-14,8.64012
2022-10-15,4.20736
2022-10-16,4.52667
2022-10-17,8.48985
2022-10-18,9.29752
2022-10-19,8.99699
2022-10-20,9.54169
2022-10-21,8.79038
2022-10-22,4.82719
2022-10-23,4.7145
2022-10-24,9.03456
2022-10-25,9.44778
2022-10-26,9.37265
2022-10-27,8.5462
2022-10-28,8.45229
2022-10-29,3.34335
2022-10-30,2.12246
2022-10-31,6.98722
2022-11-01,8.56498
2022-11-02,7.56949
2022-11-03,8.6589
2022-11-04,7.45679
2022-11-05,2.94891
2022-11-06,3.02404
2022-11-07,7.62584
2022-11-08,8.28324
2022-11-09,8.47107
2022-11-10,7.40045
2022-11-11,6.574
2022-11-12,2.87377
2022-11-13,3.54996
2022-11-14,7.7761
2022-11-15,7.45679
2022-11-16,8.37716
2022-11-17,7.32531
2022-11-18,6.63035
2022-11-19,2.83621
2022-11-20,4.28249
2022-11-21,7.8888
2022-11-22,8.11419
2022-11-23,8.50864
2022-11-24,7.8888
2022-11-25,8.07663
2022-11-26,3.73779
2022-11-27,3.49361
2022-11-28,7.09992
2022-11-29,8.22689
2022-11-30,8.09541
2022-12-01,7.06235
2022-12-02,7.70097
2022-12-03,2.55447
2022-12-04,3.23065
2022-12-05,7.85123
2022-12-06,7.53193
2022-12-07,9.33508
2022-12-08,8.60255
2022-12-09,6.79939
2022-12-10,4.09466
2022-12-11,4.01953
2022-12-12,8.30202
2022-12-13,9.27873
2022-12-14,9.7483
2022-12-15,8.30202
2022-12-16,7.08114
2022-12-17,3.90683
2022-12-18,3.49361
2022-12-19,7.68219
2022-12-20,7.36288
2022-12-21,7.47558
2022-12-22,7.09992
2022-12-23,5.50338
2022-12-24,2.4042
2022-12-25,2.29151
2022-12-26,6.40495
2022-12-27,7.7761
2022-12-28,7.08114
2022-12-29,7.1187
2022-12-30,5.70999
2022-12-31,2.81743
2023-01-01,2.76108
2023-01-02,6.4613
2023-01-03,7.40045
2023-01-04,8.11419
2023-01-05,8.37716
2023-01-06,7.49436
2023-01-07,3.26821
2023-01-08,3.0616
2023-01-09,8.64012
2023-01-10,8.6589
2023-01-11,8.5462
2023-01-12,8.58377
2023-01-13,8.39594
2023-01-14,3.66265
2023-01-15,3.41848
2023-01-16,8.03906
2023-01-17,8.6589
2023-01-18,9.41021
2023-01-19,8.86551
2023-01-20,6.19834
2023-01-21,2.66716
2023-01-22,2.47933
2023-01-23,2.83621
2023-01-24,4.07588
2023-01-25,7.43801
2023-01-26,8.94064
2023-01-27,7.32531
2023-01-28,3.43726
2023-01-29,3.85048
2023-01-30,7.62584
2023-01-31,8.88429
2023-02-01,8.94064
2023-02-02,8.88429
2023-02-03,8.69646
2023-02-04,3.41848
2023-02-05,3.41848
2023-02-06,7.96393
2023-02-07,8.35837
2023-02-08,8.84673
2023-02-09,8.56498
2023-02-10,7.62584
2023-02-11,3.39969
2023-02-12,3.36213
2023-02-13,8.11419
2023-02-14,7.81367
2023-02-15,7.64462
2023-02-16,8.64012
2023-02-17,7.13749
2023-02-18,3.47483
2023-02-19,3.62509
2023-02-20,7.83245
2023-02-21,11.92712
2023-02-22,11.72051
2023-02-23,9.56048
2023-02-24,7.92637
2023-02-25,3.90683
2023-02-26,3.49361
2023-02-27,10.44327
2023-02-28,9.89857
2023-03-01,4.33884
2023-03-02,7.98271
2023-03-03,7.2314
2023-03-04,3.719
2023-03-05,4.39519
2023-03-06,8.58377
2023-03-07,9.91735
2023-03-08,9.35386
2023-03-09,10.0864
2023-03-10,8.99699
2023-03-11,4.32006
2023-03-12,3.8317
2023-03-13,8.82794
2023-03-14,8.94064
2023-03-15,10.18031
2023-03-16,14.53794
2023-03-17,10.34936
2023-03-18,3.86927
2023-03-19,5.97295
2023-03-20,11.38241
2023-03-21,10.16153
2023-03-22,8.97821
2023-03-23,8.95942
2023-03-24,8.37716
2023-03-25,3.60631
2023-03-26,3.49361
2023-03-27,8.82794
2023-03-28,9.61682
2023-03-29,8.84673
2023-03-30,8.90308
2023-03-31,8.18933
2023-04-01,3.51239
2023-04-02,3.287
2023-04-03,8.37716
2023-04-04,8.71525
2023-04-05,8.90308
2023-04-06,8.45229
2023-04-07,8.0015
2023-04-08,3.8317
2023-04-09,3.719
2023-04-10,9.27873
2023-04-11,9.52291
2023-04-12,8.86551
2023-04-13,8.5462
2023-04-14,8.11419
2023-04-15,4.11344
2023-04-16,4.39519
2023-04-17,8.97821
2023-04-18,10.89406
2023-04-19,9.429
2023-04-20,9.91735
2023-04-21,10.04883
2023-04-22,4.54545
2023-04-23,4.65815
2023-04-24,8.82794
2023-04-25,9.84222
2023-04-26,9.65439
2023-04-27,9.84222
2023-04-28,8.20811
2023-04-29,4.26371
2023-04-30,3.02404
2023-05-01,5.07137
2023-05-02,8.82794
2023-05-03,9.39143
2023-05-04,10.78136
2023-05-05,6.29226
2023-05-06,3.58752
2023-05-07,4.18858
2023-05-08,8.17054
2023-05-09,9.01577
2023-05-10,9.35386
2023-05-11,8.79038
2023-05-12,8.39594
2023-05-13,4.13223
2023-05-14,3.32456
2023-05-15,8.82794
2023-05-16,9.33508
2023-05-17,8.94064
2023-05-18,9.25995
2023-05-19,6.91209
2023-05-20,3.8317
2023-05-21,4.00075
2023-05-22,8.60255
2023-05-23,8.05785
2023-05-24,8.45229
2023-05-25,8.47107
2023-05-26,7.8888
2023-05-27,3.23065
2023-05-28,3.30578
2023-05-29,4.24492
